,CLUSTER_GT_NEW_11,RAIL_FLAG,Year,CLUSTER_GT_ORIGINAL,CLUSTER_APTA,CLUSTER_APTA_GROUPED,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,GasPrice_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,Total_FAC_cumsum
0,1,0,2002,33,891,80,0.0,196177021.2,0.0,173608090.2,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0,2003,34,922,83,196177021.2,194379100.0,-4299206.025,173202806.7,-2069940.3730000001,6426928.296,0.633923647,1324720.612,1.621939147,8.08140918,0.253269643,-2278198.4,-8945734.353,4024616.749,7857962.026000001,355806.53,-1482664.55,-468211.9978,-323071.7891,-11263844.83,3754916.6989999996,7083386.188999999,29159.31663,-1350485.959,-3474105.363,-2278198.4,-8945734.353,4024616.749,7857962.026000001,355806.53,-1482664.55,-468211.9978
2,1,0,2004,37,1011,91,194379100.0,214130580.1,11368916.69,207767883.7,26857416.45,6479581.078,0.513299914,1352388.334,1.9075461059999999,8.238486603,0.24574535100000003,1522649.334,16272650.13,4502061.092,8973169.487,337111.5812,-1362386.4540000001,30245255.17,1901992.426,13661220.98,4027271.756,8259284.079,209504.79100000003,-1201857.5829999999,25495685.17,-755549.0659999999,7326915.777000001,8526677.841,16831131.513,692918.1112,-2845051.004,29777043.1722
3,1,0,2005,37,1011,91,214130580.1,226789193.7,12658613.61,218432538.3,10664654.55,6023429.964,0.589285748,1311771.898,2.32422515,8.264881952,0.233120147,174158.96,-6465768.494,4658770.87,12835257.37,310942.2047,-1254237.477,10259123.43,1068231.429,-6318763.821,4531415.887,12340777.06,264406.5503,-1221412.554,9377551.363,-581390.1059999999,861147.2830000008,13185448.711,29666388.883,1003860.3159,-4099288.481,40036166.6022
4,1,0,2006,37,1011,91,226789193.7,235337525.5,8548331.795,229533373.1,11100834.83,5829830.937000001,0.6231413339999999,1312053.395,2.638073019,8.471127011,0.222540248,225726.0376,-1735569.4840000002,6030542.164,9096072.427000001,616255.7536,-1427540.4919999999,12805486.41,461771.9702,-3230455.9669999997,5878283.23,8838455.473,545354.7001,-1392574.5790000001,9706622.661,-355664.0683999999,-874422.2009999994,19215990.875,38762461.31,1620116.0695000002,-5526828.973,52841653.0122
5,1,0,2007,38,1042,94,235337525.5,240914643.4,2472177.954,234023792.9,817306.585,5753450.393999999,0.680074466,1313326.751,2.8714577169999997,8.375239406,0.220125367,894034.625,-6030707.267999999,1473832.2869999998,6474386.25,-317553.4356,-447096.3845,2046896.074,999847.1414,-6897657.374,1151384.084,5794907.393999999,123441.88,-354616.5403,449853.2407,538370.5566000001,-6905129.468999999,20689823.162,45236847.56,1302562.6339000002,-5973925.3575,54888549.0862
6,1,0,2008,38,1042,94,240914643.4,257566148.8,16651505.4,245988972.2,11965179.29,5824593.324,0.717528658,1304518.326,3.32657123,8.676291463,0.215952228,1479682.749,-3014129.941,748754.1001,12032910.46,881649.3198,-435517.8183,11693348.87,1561324.616,-2928311.588,768529.4596,12028144.79,974000.7829999999,-438508.7761,11519304.55,2018053.3056,-9919259.409999998,21438577.2621,57269758.02,2184211.9537000004,-6409443.1758,66581897.956199996
7,1,0,2009,38,1042,94,257566148.8,245701463.7,-11864685.11,215675522.4,-30313449.74,5639628.805,0.76068451,1267101.28,2.430655884,8.769900052999999,0.214548656,-802611.0303,-5147429.112,-1303973.4840000002,-25133428.24,304401.2964,-406983.6292,-32490024.2,-581893.1588,-4876963.896000001,-1199422.469,-23539849.95,261011.3021,-376331.5746,-30666570.45,1215442.2753,-15066688.521999998,20134603.7781,32136329.780000005,2488613.2501000003,-6816426.805000001,34091873.7562
8,1,0,2010,38,1042,94,245701463.7,240070284.1,-5631179.58,227686266.8,12010744.41,5388985.076,0.778217142,1249756.628,2.872440304,9.184558585,0.212270127,-328002.9781,-2313163.6769999997,782466.8238,13460279.42,1743094.121,-452898.3499,12891775.36,-146187.5762,-1727138.3269999998,654050.7056,12017549.63,1608239.674,-395769.7005,11659017.35,887439.2972000001,-17379852.198999997,20917070.6019,45596609.2,4231707.3711,-7269325.1549,46983649.1162
9,1,0,2011,38,1042,94,240070284.1,244954966.1,4884681.964,253987405.2,26301138.41,5242431.204,0.7243880840000001,1227814.122,3.624173706,9.235910347999999,0.210154282,-799458.8186,7563102.27,371927.8048,19546840.57,117893.6745,-279509.5055,26520796.0,-653762.1426,8471700.266,373942.8197,18354109.79,25260.46179,-270112.7916,26034779.87,87980.47860000015,-9816749.928999998,21288998.4067,65143449.77,4349601.0456,-7548834.6604,73504445.1162
