CBSAFP,Year,AsOfDate,dockCt,docklessCt,scooterCt,Lat,Lon,Unnamed: 16
12980,2017,201712,4,0,0,42.3211519999999,-85.179714,0.0
12980,2018,201812,3,0,0,42.3211519999999,-85.179714,0.0
12980,2019,201912,3,0,0,42.3211519999999,-85.179714,0.0
13820,2015,201512,32,0,0,33.5206609999999,-86.80249,0.0
13820,2016,201612,39,0,0,33.5206609999999,-86.80249,0.0
13820,2017,201712,40,0,0,33.5206609999999,-86.80249,0.0
13820,2018,201812,37,0,0,33.5206609999999,-86.80249,0.0
13820,2019,201912,37,0,0,33.5206609999999,-86.80249,0.0
13980,2015,201512,0,0,0,37.229573,-80.4139389999999,0.0
13980,2016,201612,0,0,0,37.229573,-80.4139389999999,0.0
13980,2017,201712,0,0,0,37.229573,-80.4139389999999,0.0
13980,2018,201812,12,0,0,37.229573,-80.4139389999999,0.0
13980,2019,201912,12,0,0,37.229573,-80.4139389999999,0.0
14010,2015,201512,0,0,0,40.484203,-88.9936869999999,0.0
14010,2016,201612,0,0,0,40.484203,-88.9936869999999,0.0
14010,2017,201712,9,0,0,40.484203,-88.9936869999999,0.0
14010,2018,201812,12,1,1,40.484203,-88.9936869999999,0.0
14010,2019,201912,12,0,1,40.484203,-88.9936869999999,0.0
14260,2015,201512,31,0,0,43.61871,-116.214607,0.0
14260,2016,201612,38,0,0,43.61871,-116.214607,0.0
14260,2017,201712,83,0,0,43.61871,-116.214607,0.0
14260,2018,201812,101,0,2,43.61871,-116.214607,0.0
14260,2019,201912,101,0,1,43.61871,-116.214607,0.0
14460,2015,4433264,140,0,0,933.3288499999992,-1564.568462999999,0.0
14460,2016,4435464,188,0,0,933.3288499999992,-1564.568462999999,0.0
14460,2017,4437664,218,3,0,933.3288499999992,-1564.568462999999,0.0
14460,2018,4439864,321,14,10,933.3288499999992,-1564.5684629999992,0.0
14460,2019,4442064,321,1,12,933.3288499999991,-1564.5684629999987,0.0
14500,2015,403024,30,0,0,80.1821929999999,-210.372473999999,0.0
