,Year,Mode,CLUSTER_APTA4,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
17,2002,0,2.0,692.8819700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692.8819700000001,692.8819700000001,692.8819700000001,692.8819700000001,692.8819700000001,692.8819700000001
18,2003,0,2.0,770.8835610000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.8835610000001,770.8835610000001,770.8835610000001,770.8835610000001,770.8835610000001,770.8835610000001
19,2004,0,2.0,811.791151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.791151,811.791151,811.791151,811.791151,811.791151,811.791151
20,2005,0,2.0,855.440924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,855.440924,855.440924,855.440924,855.440924,855.440924,855.440924
21,2006,0,2.0,913.931565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,913.931565,913.931565,913.931565,913.931565,913.931565,913.931565
22,2007,0,2.0,924.926555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.926555,924.926555,924.926555,924.926555,924.926555,924.926555
23,2008,0,2.0,988.529403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.529403,988.529403,988.529403,988.529403,988.529403,988.529403
24,2009,0,2.0,908.879793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,908.879793,908.879793,908.879793,908.879793,908.879793,908.879793
25,2010,0,2.0,898.7041469999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.7041469999999,898.7041469999999,898.7041469999999,898.7041469999999,898.7041469999999,898.7041469999999
26,2011,0,2.0,936.058351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936.058351,936.058351,936.058351,936.058351,936.058351,936.058351
27,2012,0,2.0,961.2165179999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,961.2165179999997,961.2165179999997,961.2165179999997,961.2165179999997,961.2165179999997,961.2165179999997
28,2013,0,2.0,943.429918,2859690.6191149782,3255637.161856889,-7798464.848939362,-795435.4297518295,-4364919.760555654,-648997.0147039909,2.8596906191149785,3.255637161856889,-7.798464848939362,-0.7954354297518295,-4.364919760555654,-0.6489970147039908,940.5702273808851,940.1742808381432,951.2283828489394,944.2253534297519,947.7948377605557,944.0789150147041
29,2014,0,2.0,939.315734,6515568.593977265,2139400.0969614377,3482394.4997145967,-847710.0266593158,-6179036.969108013,-5684855.259796795,9.375259213092244,5.395037258818326,-4.3160703492247645,-1.6431454564111452,-10.543956729663666,-6.333852274500786,929.9404747869078,933.9206967411817,943.6318043492248,940.9588794564112,949.8596907296637,945.6495862745008
30,2015,0,2.0,913.6995090000003,13240329.239744462,2984818.041106174,-1947175.512582464,-3658936.4031626787,-31064398.93701168,-27532505.13300514,22.615588452836707,8.3798552999245,-6.263245861807229,-5.302081859573824,-41.608355666675344,-33.86635740750592,891.0839205471635,905.3196537000757,919.9627548618075,919.0015908595741,955.3078646666756,947.5658664075062
31,2016,0,2.0,871.357915,12309222.74971254,1184294.094983042,-3581815.23172963,-5126542.704859363,-11135438.185518509,-29409396.659529675,34.92481120254925,9.564149394907542,-9.84506109353686,-10.428624564433187,-52.74379385219385,-63.2757540670356,836.4331037974508,861.7937656050925,881.2029760935369,881.7865395644333,924.101708852194,934.6336690670356
32,2017,0,2.0,831.5523420000001,4202093.392338052,2014141.386269258,2794796.8384182844,-1814951.7235005638,7622303.284563005,-27880917.07993182,39.1269045948873,11.5782907811768,-7.050264255118575,-12.243576287933752,-45.12149056763085,-91.15667114696743,792.4254374051128,819.9740512188233,838.6026062551186,843.7959182879338,876.6738325676309,922.7090131469674
33,2018,0,2.0,809.5317830000001,7396836.280498413,2852203.573472508,3759697.7564474302,-2604725.434640567,8852873.035411956,-40812398.42373959,46.52374087538572,14.430494354649309,-3.290566498671145,-14.84830172257432,-36.2686175322189,-131.96906957070703,763.0080421246145,795.1012886453508,812.8223494986713,824.3800847225745,845.800400532219,941.5008525707071
85,2002,1,2.0,47.103514999999994,0.0,0.0,0.0,0.0,0.0,0.0,46.52374087538572,14.430494354649309,-3.290566498671145,-14.84830172257432,-36.2686175322189,-131.96906957070703,0.5797741246142749,32.67302064535069,50.39408149867114,61.951816722574314,83.3721325322189,179.07258457070702
