,Year,Mode,UPT_ADJ,Known_FAC,New_Reporter_FAC,Total,Pivot_4m_2012
0,2002,0,0.93361892,0.0,0.93361892,0.93361892,1.25007379
1,2003,0,1.0670973200000005,0.028380936158245797,0.13655748,0.1649384161582458,1.41501221
2,2004,0,1.52484264,0.04094574314701428,0.44950739,0.49045313314701433,1.90546535
3,2005,0,1.83906927,0.032138953988708294,0.27514218,0.3072811339887083,2.21274649
4,2006,0,2.2312726200000004,0.06539966777533401,0.26468097999999995,0.33008064777533397,2.54282714
5,2007,0,2.44013701,0.04462329475603099,0.12183549000000002,0.166458784756031,2.70928593
6,2008,0,2.65912325,0.0573995759277567,0.040155989999999975,0.09755556592775667,2.8068415
7,2009,0,2.7114414699999996,-0.1028145356038723,0.1324834099999999,0.02966887439612763,2.83651038
8,2010,0,2.7599177500000005,0.0666658531543602,0.017705370000000015,0.08437122315436023,2.92088161
9,2011,0,2.9395154,0.08813865440594054,0.012730139999999996,0.10086879440594054,3.02175041
10,2012,0,3.0855631999999993,0.0017194937743751119,0.062093279999999994,0.06381277377437511,3.08556319
11,2013,0,3.05701207,-0.05379038674267745,0.0,-0.05379038674267745,3.0317728
12,2014,0,3.05480098,0.010862419658893372,0.0,0.010862419658893372,3.04263521
13,2015,0,2.93875997,-0.17312444020566237,0.0,-0.17312444020566237,2.86951076
14,2016,0,2.75294854,-0.1380063954781686,0.0,-0.1380063954781686,2.73150436
15,2017,0,2.66796306,-0.04883204853507951,0.0,-0.04883204853507951,2.68267231
16,2018,0,2.63469331,-0.05514510033818421,0.0,-0.05514510033818421,2.6275272
