,Year,Mode,UPT_ADJ,Known_FAC,New_Reporter_FAC,Total,Pivot_4m_2012
0,2002,0,6.928819700000001,0.0,6.928819700000001,6.928819700000001,7.71003255
1,2003,0,7.708835610000001,0.1320021227382094,0.6449043700000002,0.7769064927382097,8.48693905
2,2004,0,8.11791151,0.18556361149667497,0.27575194000000003,0.461315551496675,8.94825461
3,2005,0,8.55440924,0.1970075458029764,0.22919974000000007,0.4262072858029765,9.3744619
4,2006,0,9.13931565,0.14991312395224712,0.15747264000000027,0.30738576395224737,9.68184767
5,2007,0,9.24926555,0.03046981230152053,0.08688267999999998,0.11735249230152052,9.79920017
6,2008,0,9.88529403,0.22469774604157802,0.0,0.22469774604157802,10.02389792
7,2009,0,9.08879793,-0.7007284850161027,0.0,-0.7007284850161027,9.32316944
8,2010,0,8.98704147,0.13243691561709575,0.02308521999999999,0.15552213561709574,9.47869158
9,2011,0,9.36058351,0.186810634497867,0.0,0.186810634497867,9.66550222
10,2012,0,9.612165179999998,-0.053337052859261484,0.0,-0.053337052859261484,9.61216517
11,2013,0,9.43429918,-0.07836134731799016,0.0,-0.07836134731799016,9.53380382
12,2014,0,9.39315734,-0.005743474189499259,0.0,-0.005743474189499259,9.52806034
13,2015,0,9.136995090000003,-0.48017854286138406,0.0,-0.48017854286138406,9.04788179
14,2016,0,8.71357915,-0.35861028656062044,0.0,-0.35861028656062044,8.6892715
15,2017,0,8.315523420000002,-0.14151713367811944,0.0,-0.14151713367811944,8.54775436
16,2018,0,8.09531783,-0.2158492626584221,0.0,-0.2158492626584221,8.33190509
