,Year,Mode,CLUSTER_APTA4,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
68,2002,1,1.0,1288.9391099999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1288.9391099999993,1288.9391099999993,1288.9391099999993,1288.9391099999993,1288.9391099999993,1288.9391099999993
69,2003,1,1.0,1274.9005779999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.9005779999995,1274.9005779999995,1274.9005779999995,1274.9005779999995,1274.9005779999995,1274.9005779999995
70,2004,1,1.0,1354.6364710000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1354.6364710000007,1354.6364710000007,1354.6364710000007,1354.6364710000007,1354.6364710000007,1354.6364710000007
71,2005,1,1.0,1404.388432999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.388432999999,1404.388432999999,1404.388432999999,1404.388432999999,1404.388432999999,1404.388432999999
72,2006,1,1.0,1466.3139490000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466.3139490000008,1466.3139490000008,1466.3139490000008,1466.3139490000008,1466.3139490000008,1466.3139490000008
73,2007,1,1.0,1490.3913790000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.3913790000001,1490.3913790000001,1490.3913790000001,1490.3913790000001,1490.3913790000001,1490.3913790000001
74,2008,1,1.0,1563.634307000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.634307000001,1563.634307000001,1563.634307000001,1563.634307000001,1563.634307000001,1563.634307000001
75,2009,1,1.0,1542.1664689999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1542.1664689999996,1542.1664689999996,1542.1664689999996,1542.1664689999996,1542.1664689999996,1542.1664689999996
76,2010,1,1.0,1584.2635330000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.2635330000003,1584.2635330000003,1584.2635330000003,1584.2635330000003,1584.2635330000003,1584.2635330000003
77,2011,1,1.0,1649.9664150000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649.9664150000003,1649.9664150000003,1649.9664150000003,1649.9664150000003,1649.9664150000003,1649.9664150000003
78,2012,1,1.0,1684.3104710000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1684.3104710000002,1684.3104710000002,1684.3104710000002,1684.3104710000002,1684.3104710000002,1684.3104710000002
79,2013,1,1.0,1692.9234280000007,30928332.90258251,4271316.633061283,-25418315.976911407,-1069532.5743878833,-7688488.747045109,3343956.593591822,30.92833290258251,4.271316633061283,-25.41831597691141,-1.0695325743878834,-7.688488747045109,3.343956593591822,1661.9950950974182,1688.6521113669394,1718.341743976912,1693.9929605743887,1700.6119167470458,1689.5794714064089
80,2014,1,1.0,1741.056553,42467872.44058588,4579883.111138111,4708428.975043936,-3769915.633225292,-10549663.55817304,-879245.9483521907,73.39620534316839,8.851199744199395,-20.70988700186747,-4.8394482076131755,-18.23815230521815,2.4647106452396312,1667.6603476568316,1732.2053532558004,1761.7664400018673,1745.8960012076132,1759.294705305218,1738.5918423547603
81,2015,1,1.0,1722.9710639999996,3624088.155991368,5033649.125140694,-24779479.8675035,-4036497.939523203,-56606695.62660856,-1778759.0739510455,77.02029349915975,13.884848869340088,-45.489366869370976,-8.875946147136379,-74.8448479318267,0.6859515712885856,1645.9507705008398,1709.0862151306596,1768.4604308693706,1731.847010147136,1797.8159119318263,1722.285112428711
82,2016,1,1.0,1698.078949999999,10099314.695229363,3214406.0271304008,-7662114.356627218,-9209280.267539829,-20943595.36436805,1748187.5737214372,87.11960819438912,17.099254896470487,-53.1514812259982,-18.085226414676207,-95.78844329619476,2.4341391450100227,1610.9593418056097,1680.9796951035285,1751.230431225997,1716.1641764146752,1793.8673932961938,1695.644810854989
83,2017,1,1.0,1666.6330980000002,34512551.22055632,3361674.493822759,6111718.002988497,-4619386.679373866,14808840.901087942,3702666.81934125,121.63215941494543,20.46092939029325,-47.0397632230097,-22.70461309405007,-80.97960239510682,6.136805964351273,1545.0009385850549,1646.172168609707,1713.67286122301,1689.3377110940503,1747.6127003951071,1660.496292035649
84,2018,1,1.0,1636.1846329999996,29087205.240036663,4122291.6128709447,1457531.6585596176,-5845793.530877597,17716162.43497312,-37501428.12435276,150.7193646549821,24.583221003164194,-45.582231564450076,-28.55040662492767,-63.2634399601337,-31.36462216000149,1485.4652683450176,1611.6014119968354,1681.7668645644496,1664.7350396249274,1699.4480729601332,1667.5492551600012
