,Year,Mode,CLUSTER_APTA4,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
51,2002,0,10.0,1201.0079940000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014
52,2003,0,10.0,1127.6911529999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995
53,2004,0,10.0,1109.2370340000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016
54,2005,0,10.0,1185.4139689999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993
55,2006,0,10.0,1159.5406689999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998
56,2007,0,10.0,1100.7119669999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993
57,2008,0,10.0,1112.5671739999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998
58,2009,0,10.0,1079.0112739999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984
59,2010,0,10.0,1055.8040629999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982
60,2011,0,10.0,1024.0677329999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994
