,Year,Mode,CLUSTER_APTA4,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
34,2002,0,3.0,93.361892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.361892,93.361892,93.361892,93.361892,93.361892,93.361892
35,2003,0,3.0,106.70973200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.70973200000005,106.70973200000005,106.70973200000005,106.70973200000005,106.70973200000005,106.70973200000005
36,2004,0,3.0,152.484264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.484264,152.484264,152.484264,152.484264,152.484264,152.484264
37,2005,0,3.0,183.906927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.906927,183.906927,183.906927,183.906927,183.906927,183.906927
38,2006,0,3.0,223.12726200000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.12726200000003,223.12726200000003,223.12726200000003,223.12726200000003,223.12726200000003,223.12726200000003
39,2007,0,3.0,244.013701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.013701,244.013701,244.013701,244.013701,244.013701,244.013701
40,2008,0,3.0,265.912325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.912325,265.912325,265.912325,265.912325,265.912325,265.912325
41,2009,0,3.0,271.1441469999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.1441469999999,271.1441469999999,271.1441469999999,271.1441469999999,271.1441469999999,271.1441469999999
42,2010,0,3.0,275.9917750000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.9917750000001,275.9917750000001,275.9917750000001,275.9917750000001,275.9917750000001,275.9917750000001
43,2011,0,3.0,293.95154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.95154,293.95154,293.95154,293.95154,293.95154,293.95154
44,2012,0,3.0,308.5563199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.5563199999999,308.5563199999999,308.5563199999999,308.5563199999999,308.5563199999999,308.5563199999999
45,2013,0,3.0,305.701207,1030600.1193978484,798760.4686886725,-6147447.976054833,215226.50062289333,-1341369.4178015226,0.0,1.0306001193978485,0.7987604686886726,-6.147447976054833,0.21522650062289334,-1.3413694178015227,0.0,304.6706068806022,304.90244653131134,311.84865497605483,305.4859804993771,307.0425764178015,305.701207
46,2014,0,3.0,305.480098,3061470.305211094,233243.2712365744,447741.3588865698,-694934.720838154,-1969835.9408327069,-68057.01017687767,4.092070424608942,1.0320037399252469,-5.699706617168263,-0.4797082202152606,-3.3112053586342296,-0.06805701017687767,301.38802757539105,304.44809426007475,311.17980461716826,305.9598062202153,308.79130335863425,305.54815501017686
47,2015,0,3.0,293.875997,2988159.902433087,222411.88116094074,-3853910.579851497,-652636.6866578778,-10505049.983458055,-5821584.119926914,7.08023032704203,1.2544156210861876,-9.55361719701976,-1.1323449068731384,-13.816255342092285,-5.889641130103791,286.79576667295794,292.6215813789138,303.42961419701976,295.0083419068731,307.6922523420923,299.76563813010375
48,2016,0,3.0,275.294854,2000583.3408287617,1032060.305489453,-4226856.192831832,-1536694.4322024717,-3408896.1221574266,-7894424.247033045,9.080813667870792,2.2864759265756405,-13.780473389851592,-2.66903933907561,-17.225151464249713,-13.784065377136836,266.2140403321292,273.00837807342435,289.07532738985157,277.9638933390756,292.5200054642497,289.0789193771368
49,2017,0,3.0,266.796306,1574497.8194190932,385856.80247162544,491585.7243333177,-838643.582562632,2445879.928250056,-8742673.74663101,10.655311487289884,2.6723327290472665,-13.288887665518274,-3.507682921638242,-14.779271535999655,-22.526739123767847,256.1409945127101,264.1239732709528,280.0851936655183,270.3039889216383,281.5755775359997,289.3230451237679
50,2018,0,3.0,263.469331,1660266.4426704631,372249.36511696386,872883.8236769424,-1016890.879427132,2681608.5482426314,-9975184.701275684,12.315577929960348,3.04458209416423,-12.416003841841333,-4.524573801065374,-12.097662987757024,-32.50192382504353,251.15375307003967,260.42474890583577,275.88533484184137,267.9939048010654,275.56699398775703,295.97125482504356
