,Proposed TNC Groups,Year,TRIP_SHARE_2017,TOT_POP,TNC_TRIPS_PER_PERSON,TOTAL_YEARLY_POPULATION,POP_SHARE,UBER_TRIPS_YEARLY_TOTAL
0,1.0,2012,0.11,19160024,21.5,47135322,0.40648972335438804,38
6,1.0,2013,0.11,19949502,21.5,95436888,0.20903345046204774,132
21,1.0,2014,0.11,20092883,21.5,119360751,0.168337437823259,286
39,1.0,2015,0.11,20182305,21.5,213074972,0.09471926623085512,495
62,1.0,2016,0.11,20153634,21.5,240308609,0.08386563462651478,905
85,1.0,2017,0.11,20320876,21.5,253371069,0.0802020375893824,1431
108,2.0,2011,0.58,4391037,22.8,4391037,1.0,11270
1,2.0,2012,0.58,4455560,22.8,47135322,0.09452698763784832,38
7,2.0,2013,0.58,4516276,22.8,95436888,0.047322121400270305,132
22,2.0,2014,0.58,4594060,22.8,119360751,0.03848886641137169,286
40,2.0,2015,0.58,4656132,22.8,213074972,0.021852083124995085,495
63,2.0,2016,0.58,4679166,22.8,240308609,0.019471487182550335,905
86,2.0,2017,0.58,4727357,22.8,253371069,0.0186578405287464,1431
2,3.0,2012,0.58,5804333,18.3,47135322,0.12314189770465554,38
8,3.0,2013,0.58,5950214,18.3,95436888,0.06234710838433877,132
23,3.0,2014,0.58,6032744,18.3,119360751,0.05054210826806879,286
41,3.0,2015,0.58,6098283,18.3,213074972,0.028620362789488013,495
64,3.0,2016,0.58,6133552,18.3,240308609,0.025523646554002567,905
87,3.0,2017,0.58,6216710,18.3,253371069,0.0245359899397196,1431
3,4.0,2012,0.58,9522446,11.3,47135322,0.2020235695005966,38
9,4.0,2013,0.58,9537040,11.3,95436888,0.09993033301756445,132
24,4.0,2014,0.58,9553810,11.3,119360751,0.08004147024845713,286
42,4.0,2015,0.58,9550108,11.3,213074972,0.04482041185015385,495
65,4.0,2016,0.58,9512968,11.3,240308609,0.039586463587744376,905
88,4.0,2017,0.58,9533895,11.3,253371069,0.03762819108601543,1431
4,5.0,2012,0.58,4640802,9.1,47135322,0.09845699155295895,38
10,5.0,2013,0.58,4684299,9.1,95436888,0.04908268802729611,132
25,5.0,2014,0.58,4732161,9.1,119360751,0.039645871531086466,286
43,5.0,2015,0.58,4774321,9.1,213074972,0.022406765821374835,495
66,5.0,2016,0.58,4794447,9.1,240308609,0.01995120782376964,905
89,5.0,2017,0.58,4836531,9.1,253371069,0.019088726345469223,1431
11,6.0,2013,0.098,1919641,8.0,95436888,0.02011424555251634,132
26,6.0,2014,0.098,1952872,8.0,119360751,0.016361090087310192,286
44,6.0,2015,0.098,1976836,8.0,213074972,0.009277654627592771,495
67,6.0,2016,0.098,1978816,8.0,240308609,0.008234478191332712,905
90,6.0,2017,0.098,1998463,8.0,253371069,0.007887494842593887,1431
12,7.0,2013,0.58,6034678,6.2,95436888,0.06323213305111122,132
27,7.0,2014,0.58,6051170,6.2,119360751,0.05069648062117169,286
45,7.0,2015,0.58,6069875,6.2,213074972,0.028487038825000994,495
68,7.0,2016,0.58,6070500,6.2,240308609,0.025261267273200355,905
91,7.0,2017,0.58,6096120,6.2,253371069,0.02406004767655616,1431
13,8.0,2013,0.58,13131431,8.2,95436888,0.13759282469478679,132
28,8.0,2014,0.58,13262220,8.2,119360751,0.11111039339891553,286
46,8.0,2015,0.58,13340068,8.2,213074972,0.06260739060427989,495
69,8.0,2016,0.58,13310447,8.2,240308609,0.05538897276876169,905
92,8.0,2017,0.58,13353907,8.2,253371069,0.05270494004191142,1431
47,9.0,2015,0.58,6012331,7.6,213074972,0.028216974258243713,495
70,9.0,2016,0.58,6066387,7.6,240308609,0.025244151781511914,905
93,9.0,2017,0.58,6158824,7.6,253371069,0.024307526602415686,1431
14,10.0,2013,0.098,3211252,7.2,95436888,0.03364791190592887,132
29,10.0,2014,0.098,3263431,7.2,119360751,0.02734090538689724,286
48,10.0,2015,0.098,3299521,7.2,213074972,0.015485258400033956,495
71,10.0,2016,0.098,3317749,7.2,240308609,0.013806201175256272,905
94,10.0,2017,0.098,3337685,7.2,253371069,0.01317311014699946,1431
5,11.0,2012,0.58,3552157,7.5,47135322,0.07536083024955255,38
15,11.0,2013,0.58,3610105,7.5,95436888,0.03782714499240587,132
30,11.0,2014,0.58,3671478,7.5,119360751,0.03075950820718278,286
49,11.0,2015,0.58,3733580,7.5,213074972,0.01752237705327494,495
72,11.0,2016,0.58,3798902,7.5,240308609,0.01580843073333257,905
95,11.0,2017,0.58,3867046,7.5,253371069,0.015262381830973764,1431
50,12.0,2015,0.198,2390244,7.5,213074972,0.011217854342836661,495
73,12.0,2016,0.198,2425325,7.5,240308609,0.010092543126492817,905
96,12.0,2017,0.198,2451560,7.5,253371069,0.009675769256828608,1431
51,13.0,2015,0.198,2353045,7.0,213074972,0.011043272599843402,495
74,13.0,2016,0.198,2342299,7.0,240308609,0.009747045724857906,905
97,13.0,2017,0.198,2333367,7.0,253371069,0.00920928742657671,1431
16,14.0,2013,0.198,5524693,7.0,95436888,0.057888444560346516,132
31,14.0,2014,0.198,5611829,7.0,119360751,0.04701569781510507,286
52,14.0,2015,0.198,5709731,7.0,213074972,0.026796816849986492,495
75,14.0,2016,0.198,5790210,7.0,240308609,0.024094892081040674,905
98,14.0,2017,0.198,5882450,7.0,253371069,0.023216739082393027,1431
32,15.0,2014,0.098,2785874,6.1,119360751,0.02333995033258462,286
53,15.0,2015,0.098,2797407,6.1,213074972,0.013128745125448146,495
76,15.0,2016,0.098,2798886,6.1,240308609,0.011647048400167802,905
99,15.0,2017,0.098,2808175,6.1,253371069,0.011083250392727355,1431
17,16.0,2013,0.098,4398762,4.6,95436888,0.04609079457829765,132
33,16.0,2014,0.098,4489109,4.6,119360751,0.03760959077745749,286
54,16.0,2015,0.098,4574531,4.6,213074972,0.021469114636326222,495
77,16.0,2016,0.098,4661537,4.6,240308609,0.01939812734715634,905
100,16.0,2017,0.098,4737270,4.6,253371069,0.018696964964062254,1431
18,17.0,2013,0.098,6812373,4.1,95436888,0.07138092138964129,132
34,17.0,2014,0.098,6954003,4.1,119360751,0.058260382426715794,286
55,17.0,2015,0.098,7102165,4.1,213074972,0.03333176549707584,495
78,17.0,2016,0.098,7232599,4.1,240308609,0.03009712814741481,905
101,17.0,2017,0.098,7400479,4.1,253371069,0.029208066371618775,1431
19,18.0,2013,0.098,3459146,3.6,95436888,0.03624537715437662,132
35,18.0,2014,0.098,3495176,3.6,119360751,0.029282456508672602,286
56,18.0,2015,0.098,3524583,3.6,213074972,0.016541515725272512,495
79,18.0,2016,0.098,3551036,3.6,240308609,0.014776982043119396,905
102,18.0,2017,0.098,3600618,3.6,253371069,0.014210848990024193,1431
20,19.0,2013,0.098,2697476,3.5,95436888,0.02826450082907146,132
36,19.0,2014,0.098,2754258,3.5,119360751,0.023075072642597564,286
57,19.0,2015,0.098,2814330,3.5,213074972,0.013208167874357388,495
80,19.0,2016,0.098,2853077,3.5,240308609,0.011872554262090544,905
103,19.0,2017,0.098,2888227,3.5,253371069,0.011399198067084762,1431
58,20.0,2015,0.098,6656946,2.9,213074972,0.031242270912981745,495
81,20.0,2016,0.098,6772470,2.9,240308609,0.02818238609171093,905
104,20.0,2017,0.098,6892427,2.9,253371069,0.027202896633790496,1431
37,21.0,2014,0.098,4296611,4.4,119360751,0.035996849584165234,286
38,21.0,2014,0.198,15767062,4.4,119360751,0.13209586792898112,286
59,21.0,2015,0.098,8259618,4.4,213074972,0.038763905129129854,495
60,21.0,2015,0.198,64669590,4.4,213074972,0.30350627008412795,495
82,21.0,2016,0.098,8299708,4.4,240308609,0.03453770563833608,905
83,21.0,2016,0.198,73551674,4.4,240308609,0.30607173961046064,905
105,21.0,2017,0.098,8363212,4.4,253371069,0.03300776222402882,1431
106,21.0,2017,0.198,74935368,4.4,253371069,0.29575345084090876,1431
61,22.0,2015,0.198,22529422,2.3,213074972,0.10573471763732063,495
84,22.0,2016,0.198,40213220,2.3,240308609,0.16733990582917485,905
107,22.0,2017,0.198,50630502,2.3,253371069,0.19982747911917284,1431
