,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER
727,16700,"Charleston-North Charleston, SC Metro Area",2017,775831,7/1/14,2014,2015,1,Low Op-Ex
2784,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",2017,1904226,12/1/13,2013,2014,1,Mid Op-Ex
753,16820,"Charlottesville, VA Metro Area",2017,232182,9/1/14,2014,2015,1,Low Op-Ex
766,16860,"Chattanooga, TN-GA Metro Area",2017,554876,11/1/14,2014,2015,1,Low Op-Ex
779,16940,"Cheyenne, WY Metro Area",2017,98327,3/1/17,2017,2018,0,Low Op-Ex
792,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017,9533895,9/1/11,2011,2012,1,High Op-Ex
805,17020,"Chico, CA Metro Area",2017,229294,10/1/15,2015,2016,1,Low Op-Ex
4156,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2017,1724388,5/1/14,2014,2015,1,Mid Op-Ex
831,17300,"Clarksville, TN-KY Metro Area",2017,285602,3/1/16,2016,2017,1,Low Op-Ex
844,17420,"Cleveland, TN Metro Area",2017,123935,9/1/17,2017,2018,0,Low Op-Ex
3187,39300,"Providence-Warwick, RI-MA Metro Area",2017,1621122,11/1/13,2013,2014,1,Mid Op-Ex
870,17660,"Coeur d'Alene, ID Metro Area",2017,157637,3/1/16,2016,2017,1,Low Op-Ex
883,17780,"College Station-Bryan, TX Metro Area",2017,258860,10/1/14,2014,2015,1,Low Op-Ex
896,17820,"Colorado Springs, CO Metro Area",2017,723878,5/1/14,2014,2015,1,Low Op-Ex
909,17860,"Columbia, MO Metro Area",2017,178271,3/1/15,2015,2016,1,Low Op-Ex
922,17900,"Columbia, SC Metro Area",2017,825004,7/1/14,2014,2015,1,Low Op-Ex
935,17980,"Columbus, GA-AL Metro Area",2017,305911,9/1/16,2016,2017,1,Low Op-Ex
948,18020,"Columbus, IN Metro Area",2017,82040,3/1/18,2018,2019,0,Low Op-Ex
2602,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",2017,1576236,3/1/14,2014,2015,1,Mid Op-Ex
1913,27260,"Jacksonville, FL Metro Area",2017,1504980,1/1/14,2014,2015,1,Mid Op-Ex
987,18700,"Corvallis, OR Metro Area",2017,90951,9/1/17,2017,2018,0,Low Op-Ex
1000,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2017,7400479,8/1/12,2012,2013,1,High Op-Ex
1005,19300,"Daphne-Fairhope-Foley, AL Metro Area",2017,212628,10/1/16,2016,2017,1,
1018,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",2017,382298,7/1/15,2015,2016,1,Low Op-Ex
2927,36420,"Oklahoma City, OK Metro Area",2017,1383737,11/1/13,2013,2014,1,Mid Op-Ex
1044,19500,"Decatur, IL Metro Area",2017,105801,3/1/17,2017,2018,0,Low Op-Ex
2532,32820,"Memphis, TN-MS-AR Metro Area",2017,1346626,5/1/14,2014,2015,1,Mid Op-Ex
1070,19740,"Denver-Aurora-Lakewood, CO Metro Area",2017,2888227,8/1/12,2012,2013,1,High Op-Ex
1083,19780,"Des Moines-West Des Moines, IA Metro Area",2017,645911,9/1/14,2014,2015,1,Low Op-Ex
3252,39580,"Raleigh, NC Metro Area",2017,1335079,4/1/14,2014,2015,1,Mid Op-Ex
1109,20020,"Dothan, AL Metro Area",2017,147914,8/1/18,2018,2019,0,Low Op-Ex
1122,20100,"Dover, DE Metro Area",2017,176824,8/1/15,2015,2016,1,Low Op-Ex
1135,20220,"Dubuque, IA Metro Area",2017,97041,4/1/17,2017,2018,0,Low Op-Ex
1148,20260,"Duluth, MN-WI Metro Area",2017,278782,5/1/17,2017,2018,0,Low Op-Ex
3304,40060,"Richmond, VA Metro Area",2017,1301540,8/1/14,2014,2015,1,Mid Op-Ex
1166,20700,"East Stroudsburg, PA Metro Area",2017,168046,9/1/15,2015,2016,1,
1179,20740,"Eau Claire, WI Metro Area",2017,167484,3/1/17,2017,2018,0,Low Op-Ex
1192,20940,"El Centro, CA Metro Area",2017,182830,7/1/16,2016,2017,1,Low Op-Ex
1205,21060,"Elizabethtown-Fort Knox, KY Metro Area",2017,149813,5/1/18,2018,2019,0,Low Op-Ex
