,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,MNAME_y,TNC_CLUSTER,TNC_TRIPS_PER_PERSON,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA
519,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",2012,4640802,10/1/11,2011,2012,1,"Boston-Cambridge-Newton, MA-NH Metro Area",5,9.1,4640802,47135322,0.098456992,1.764297355
520,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2013,4684299,10/1/11,2011,2012,1,"Boston-Cambridge-Newton, MA-NH Metro Area",5,9.1,4684299,95436888,0.049082688,3.539076948
521,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2014,4732161,10/1/11,2011,2012,1,"Boston-Cambridge-Newton, MA-NH Metro Area",5,9.1,4732161,119360751,0.039645872,4.381475373
522,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2015,4774321,10/1/11,2011,2012,1,"Boston-Cambridge-Newton, MA-NH Metro Area",5,9.1,4774321,213074972,0.022406766,7.752453483
523,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2016,4794447,10/1/11,2011,2012,1,"Boston-Cambridge-Newton, MA-NH Metro Area",5,9.1,4794447,240308609,0.019951208,8.706611213
524,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2017,4836531,10/1/11,2011,2012,1,"Boston-Cambridge-Newton, MA-NH Metro Area",5,9.1,4836531,253371069,0.019088726,9.1
623,,,2018,,,,,,,5,,4873125.5,243525115.5,0.023600375,11.25079861
602,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2013,1919641,5/1/12,2012,2013,1,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",6,8,1919641,95436888,0.020114246,3.137078076
603,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2014,1952872,5/1/12,2012,2013,1,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",6,8,1952872,119360751,0.01636109,3.856708716
604,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2015,1976836,5/1/12,2012,2013,1,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",6,8,1976836,213074972,0.009277655,6.801283436
605,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2016,1978816,5/1/12,2012,2013,1,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",6,8,1978816,240308609,0.008234478,7.662897062
606,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",2017,1998463,5/1/12,2012,2013,1,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",6,8,1998463,253371069,0.007887495,8
624,,,2018,,,,,,,6,,2013693.25,243525115.5,0.009773185,9.91258699
574,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2013,6034678,5/1/12,2012,2013,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",7,6.2,6034678,95436888,0.063232133,2.359121674
575,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2014,6051170,5/1/12,2012,2013,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",7,6.2,6051170,119360751,0.050696481,2.942458604
576,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2015,6069875,5/1/12,2012,2013,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",7,6.2,6069875,213074972,0.028487039,5.236497079
577,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2016,6070500,5/1/12,2012,2013,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",7,6.2,6070500,240308609,0.025261267,5.905178627
578,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2017,6096120,5/1/12,2012,2013,1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",7,6.2,6096120,253371069,0.024060048,6.2
625,,,2018,,,,,,,7,,6115491.25,243525115.5,0.029541714,7.612562879
555,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2013,13131431,2/1/12,2012,2013,1,"Los Angeles-Long Beach-Anaheim, CA Metro Area",8,8.2,13131431,95436888,0.137592825,3.141010509
556,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2014,13262220,2/1/12,2012,2013,1,"Los Angeles-Long Beach-Anaheim, CA Metro Area",8,8.2,13262220,119360751,0.111110393,3.8896497
557,31100,"Los Angeles-Long Beach-Anaheim, CA Metro Area",2015,13340068,2/1/12,2012,2013,1,"Los Angeles-Long Beach-Anaheim, CA Metro Area",8,8.2,13340068,213074972,0.062607391,6.90302701
