Proposed TNC Groups,Year,SCHELLAR_CLUSTER,TRIP_SHARE_2017,TOT_POP,TNC_TRIPS_PER_PERSON,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,,Scale_2,TNC_TRIPS,TNC_TRIPS_PER_CAPITA
1,2012,Cluster_1,0.11,19160024,21.5,47135322,0.406489723,4.242035429,3.999704572,81.27750064,76.63443559,0.256365937,19.6,1.0
1,2013,Cluster_1,0.11,19949502,21.5,95436888,0.20903345,8.249128569,8.098371689,164.5660069,161.5584822,0.316136148,51.1,2.6
1,2014,Cluster_1,0.11,20092883,21.5,119360751,0.168337438,10.24337682,10.12844977,205.8189719,203.5097563,0.514568007,104.7,5.2
1,2015,Cluster_1,0.11,20182305,21.5,213074972,0.094719266,18.20478427,18.08064321,367.4145086,364.9090558,0.371544144,135.6,6.7
1,2016,Cluster_1,0.11,20153634,21.5,240308609,0.083865635,20.56079127,20.39157475,414.374662,410.9643342,0.561718437,230.8,11.5
1,2017,Cluster_1,0.11,20320876,21.5,253371069,0.080202038,21.5,21.5,436.898834,436.898834,0.820035309,358.3,17.6
1,2018,,,20439139.75,21.5,549604549,0.037188811,46.36727439,46.63712337,947.707201,953.2226821,0.614032648,585.3,28.6
2,2011,Cluster_2,0.58,4391037,22.8,4391037,1,,,0,0,,0.0,0.0
2,2012,Cluster_2,0.58,4455560,22.8,47135322,0.094526988,4.500289015,4.241547174,20.05130772,18.89846792,0.256365937,4.8,1.1
2,2013,Cluster_2,0.58,4516276,22.8,95436888,0.047322121,8.989427174,8.588040675,40.5987342,38.78596199,0.316136148,12.3,2.7
2,2014,Cluster_2,0.58,4594060,22.8,119360751,0.038488866,11.05251476,10.74086767,50.77591595,49.34419051,0.514568007,25.4,5.5
2,2015,Cluster_2,0.58,4656132,22.8,213074972,0.021852083,19.46719503,19.1738914,90.64182974,89.27616932,0.371544144,33.2,7.1
2,2016,Cluster_2,0.58,4679166,22.8,240308609,0.019471487,21.84726621,21.62455369,102.2269853,101.1848764,0.561718437,56.8,12.1
2,2017,Cluster_2,0.58,4727357,22.8,253371069,0.018657841,22.8,22.8,107.7837396,107.7837396,0.820035309,88.4,18.7
2,2018,,,4769258.75,22.8,549604549,0.008677619,49.02252281,49.45704246,233.8010959,235.8734325,0.614032648,144.8,30.4
3,2012,Cluster_2,0.58,5804333,18.3,47135322,0.123141898,3.646270069,3.404399705,21.16416569,19.76026955,0.256365937,5.1,0.9
3,2013,Cluster_2,0.58,5950214,18.3,95436888,0.062347108,7.201755262,6.893032647,42.85198499,41.01501936,0.316136148,13.0,2.2
3,2014,Cluster_2,0.58,6032744,18.3,119360751,0.050542108,8.883852124,8.620959575,53.5940056,52.00804215,0.514568007,26.8,4.4
3,2015,Cluster_2,0.58,6098283,18.3,213074972,0.028620363,15.68843202,15.38957073,95.67249826,93.84995757,0.371544144,34.9,5.7
3,2016,Cluster_2,0.58,6133552,18.3,240308609,0.025523647,17.5918678,17.35654967,107.9006359,106.4573,0.561718437,59.8,9.7
