,CBSA,MNAME_x,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,_merge,MNAME_y,Proposed TNC Groups,TNC_TRIPS_PER_PERSON,TRIP_SHARE_2017
14,11180,"Ames, IA Metro Area",2017,97502,8/1/15,2015,2016,1,both,"Ames, IA Metro Area",22.0,2.3,0.198
15,11460,"Ann Arbor, MI Metro Area",2015,358880,4/1/14,2014,2015,1,both,"Ann Arbor, MI Metro Area",21.0,4.4,0.198
16,11460,"Ann Arbor, MI Metro Area",2016,364709,4/1/14,2014,2015,1,both,"Ann Arbor, MI Metro Area",21.0,4.4,0.198
17,11460,"Ann Arbor, MI Metro Area",2017,367627,4/1/14,2014,2015,1,both,"Ann Arbor, MI Metro Area",21.0,4.4,0.198
18,11540,"Appleton, WI Metro Area",2016,234079,9/1/15,2015,2016,1,left_only,,,,
19,11540,"Appleton, WI Metro Area",2017,236126,9/1/15,2015,2016,1,left_only,,,,
20,11700,"Asheville, NC Metro Area",2015,446840,8/1/14,2014,2015,1,both,"Asheville, NC Metro Area",22.0,2.3,0.198
21,11700,"Asheville, NC Metro Area",2016,452319,8/1/14,2014,2015,1,both,"Asheville, NC Metro Area",22.0,2.3,0.198
22,11700,"Asheville, NC Metro Area",2017,456145,8/1/14,2014,2015,1,both,"Asheville, NC Metro Area",22.0,2.3,0.198
23,12020,"Athens-Clarke County, GA Metro Area",2015,201813,8/1/14,2014,2015,1,both,"Athens-Clarke County, GA Metro Area",22.0,2.3,0.198
24,12020,"Athens-Clarke County, GA Metro Area",2016,206360,8/1/14,2014,2015,1,both,"Athens-Clarke County, GA Metro Area",22.0,2.3,0.198
25,12020,"Athens-Clarke County, GA Metro Area",2017,206937,8/1/14,2014,2015,1,both,"Athens-Clarke County, GA Metro Area",22.0,2.3,0.198
26,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2013,5524693,8/1/12,2012,2013,1,both,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14.0,7.0,0.198
27,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2014,5611829,8/1/12,2012,2013,1,both,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14.0,7.0,0.198
28,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2015,5709731,8/1/12,2012,2013,1,both,"Atlanta-Sandy Springs-Roswell, GA Metro Area",14.0,7.0,0.198
