,CBSA,MNAME,Year,TOT_POP,UBER_ARRIVAL,TNC_ARRIVAL_YEAR,TNC_FIRST_FULL_YEAR_OPERATION,TNC_FLAG,APTA_CLUSTER,TNC_CLUSTER
16,12260,"Augusta-Richmond County, GA-SC Metro Area",2017,600600,4/1/15,2015,2016,1,Low Op-Ex,
17,40900,"Sacramento-Roseville-Arden-Arcade, CA Metro Area",2017,2324884,2/1/13,2013,2014,1,Mid Op-Ex,
18,12540,"Bakersfield, CA Metro Area",2017,893119,6/1/14,2014,2015,1,,
19,12580,"Baltimore-Columbia-Towson, MD Metro Area",2017,2808175,1/1/13,2013,2014,1,High Op-Ex,15.0
20,12620,"Bangor, ME Metro Area",2017,151957,10/1/15,2015,2016,1,Low Op-Ex,
21,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2017,2204079,9/1/15,2015,2016,1,Mid Op-Ex,21.0
22,12940,"Baton Rouge, LA Metro Area",2017,834159,7/1/14,2014,2015,1,Low Op-Ex,
23,13140,"Beaumont-Port Arthur, TX Metro Area",2017,411339,2/1/16,2016,2017,1,Low Op-Ex,
24,13380,"Bellingham, WA Metro Area",2017,221404,11/1/15,2015,2016,1,Low Op-Ex,
25,13740,"Billings, MT Metro Area",2017,172081,8/1/16,2016,2017,1,Low Op-Ex,
26,17140,"Cincinnati, OH-KY-IN Metro Area",2017,2180746,3/1/14,2014,2015,1,Mid Op-Ex,21.0
27,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",2017,181986,10/1/14,2014,2015,1,Low Op-Ex,
28,14020,"Bloomington, IN Metro Area",2017,167825,8/1/14,2014,2015,1,Low Op-Ex,
29,14060,"Bloomington, IL Metro Area",2017,186356,3/1/15,2015,2016,1,Low Op-Ex,
30,14260,"Boise City, ID Metro Area",2017,710323,11/1/14,2014,2015,1,Low Op-Ex,
31,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",2017,4836531,10/1/11,2011,2012,1,High Op-Ex,5.0
32,28140,"Kansas City, MO-KS Metro Area",2017,2126945,5/1/14,2014,2015,1,Mid Op-Ex,21.0
33,14540,"Bowling Green, KY Metro Area",2017,178474,9/1/15,2015,2016,1,Low Op-Ex,
34,12420,"Austin-Round Rock, TX Metro Area",2017,2115827,6/1/14,2014,2015,1,Mid Op-Ex,21.0
35,18140,"Columbus, OH Metro Area",2017,2078725,12/1/13,2013,2014,1,Mid Op-Ex,21.0
36,15260,"Brunswick, GA Metro Area",2017,114473,3/1/16,2016,2017,1,,
37,17460,"Cleveland-Elyria, OH Metro Area",2017,2058844,4/1/14,2014,2015,1,Mid Op-Ex,21.0
38,15500,"Burlington, NC Metro Area",2017,162391,8/1/15,2015,2016,1,Low Op-Ex,
39,15540,"Burlington-South Burlington, VT Metro Area",2017,218341,11/1/14,2014,2015,1,Low Op-Ex,
40,15680,"California-Lexington Park, MD Metro Area",2017,112667,6/1/16,2016,2017,1,,
41,15940,"Canton-Massillon, OH Metro Area",2017,399927,5/1/15,2015,2016,1,Low Op-Ex,
42,15980,"Cape Coral-Fort Myers, FL Metro Area",2017,739224,12/1/14,2014,2015,1,Low Op-Ex,
43,16180,"Carson City, NV Metro Area",2017,54745,8/1/16,2016,2017,1,Low Op-Ex,
44,16300,"Cedar Rapids, IA Metro Area",2017,270293,1/1/15,2015,2016,1,Low Op-Ex,
45,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2017,2027059,6/1/13,2013,2014,1,Mid Op-Ex,21.0
46,16620,"Charleston, WV Metro Area",2017,215089,7/1/16,2016,2017,1,Low Op-Ex,
47,16700,"Charleston-North Charleston, SC Metro Area",2017,775831,7/1/14,2014,2015,1,Low Op-Ex,
48,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN Metro Area",2017,1904226,12/1/13,2013,2014,1,Mid Op-Ex,
49,16820,"Charlottesville, VA Metro Area",2017,232182,9/1/14,2014,2015,1,Low Op-Ex,
50,16860,"Chattanooga, TN-GA Metro Area",2017,554876,11/1/14,2014,2015,1,Low Op-Ex,
51,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017,9533895,9/1/11,2011,2012,1,High Op-Ex,4.0
52,17020,"Chico, CA Metro Area",2017,229294,10/1/15,2015,2016,1,Low Op-Ex,
