TNC_CLUSTER,Name
1,"New York-Newark-Jersey City, NY-NJ-PA"
2,"San Francisco-Oakland-Hayward, CA"
3,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
4,"Chicago-Naperville-Elgin, IL-IN-WI"
5,"Boston-Cambridge-Newton, MA-NH"
6,"San Jose-Sunnyvale-Santa Clara, CA"
7,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
8,"Los Angeles-Long Beach-Anaheim, CA"
9,"Miami-Fort Lauderdale-West Palm Beach, FL"
10,"San Diego-Carlsbad, CA"
11,"Seattle-Tacoma-Bellevue, WA"
12,"Portland-Vancouver-Hillsboro, OR-WA"
13,"Pittsburgh, PA"
14,"Atlanta-Sandy Springs-Roswell, GA"
15,"Baltimore-Columbia-Towson, MD"
16,"Phoenix-Mesa-Scottsdale, AZ"
17,"Dallas-Fort Worth-Arlington, TX"
18,"Minneapolis-St. Paul-Bloomington, MN-WI"
19,"Denver-Aurora-Lakewood, CO"
20,"Houston-The Woodlands-Sugar Land, TX"
21,"Buffalo-Cheektowaga-Niagara Falls, NY"
21,"Milwaukee-Waukesha-West Allis, WI"
21,"New Orleans-Metairie, LA"
21,"Las Vegas-Henderson-Paradise, NV"
21,"Salt Lake City, UT"
21,"Cleveland-Elyria, OH"
21,"Sacramento--Roseville--Arden-Arcade, CA"
21,"Detroit-Warren-Dearborn, MI"
21,"Riverside-San Bernardino-Ontario, CA"
21,"Providence-Warwick, RI-MA"
21,"Virginia Beach-Norfolk-Newport News, VA-NC"
21,"St. Louis, MO-IL"
21,"Austin-Round Rock, TX"
21,"San Antonio-New Braunfels, TX"
21,"Grand Rapids-Wyoming, MI"
21,"Hartford-West Hartford-East Hartford, CT"
21,"Cincinnati, OH-KY-IN"
21,"Louisville/Jefferson County, KY-IN"
21,"Richmond, VA"
21,"Tampa-St. Petersburg-Clearwater, FL"
21,"Jacksonville, FL"
21,"Raleigh, NC"
21,"Columbus, OH"
21,"Oklahoma City, OK"
21,"Charlotte-Concord-Gastonia, NC-SC"
21,"Birmingham-Hoover, AL"
21,"Kansas City, MO-KS"
21,"Nashville-Davidson--Murfreesboro--Franklin, TN"
21,"Indianapolis-Carmel-Anderson, IN"
21,"Memphis, TN-MS-AR"
21,"Orlando-Kissimmee-Sanford, FL"
