Metropolitan Statistical Area,State,Month,Year,Link,,
Indianapolis-Carmel-Anderson,IN,Jun,2013,https://newsroom.uber.com/indianapolis/hi-indianapolis-your-uber-is-arriving-now/,,
Fort Wayne,IN,May,2015,http://wane.com/2015/05/07/uber-taxi-service-now-available-in-fort-wayne/,,
Kokomo,IN,,,,,
Lafayette-West Lafayette,IN,Jan,2015,http://theadvocate.com/news/11470712-123/uber-launches-ride-share-service-in,,
Muncie,IN,Mar,2015,https://www.thestarpress.com/story/news/local/2015/03/26/global-rideshare-app-uber-launching-muncie/70500334/,,
Terre Haute,IN,Mar,2017,https://www.tribstar.com/news/local_news/uber-comes-to-terre-haute/article_7de3bc67-400b-5d14-afb8-0429ba8eca77.html,,
Evansville,IN-KY,Jan,2017,https://www.courierpress.com/story/news/local/2017/01/25/uber-kicks-off-evansville/97009642/,,
South Bend-Mishawaka,IN-MI,Aug,2015,https://drive.uber.com/in/cities/south-bend/,,
Kansas City,KS,May,2014,https://newsroom.uber.com/kc/kc-your-uber-has-arrived-and-its-free/,,
Lawrence,KS,Apr,2015,http://www.kansas.com/news/politics-government/article19297086.html,,
Wichita,KS,Aug,2014,http://www.kake.com/home/headlines/Uber-arrives-in-Wichita-273053761.html,,
Topeka,KS,Apr,2015,http://www2.ljworld.com/news/2015/apr/23/uber-expands-service-lawrence-other-kansas-cities/,,
Lexington-Fayette,KY,Jun,2014,https://newsroom.uber.com/lexington/uber-lexington-launches-with-free-rides-for-2-weeks/,,
Elizabethtown-Fort Knox,KY,,,,,
New Orleans-Metairie,LA,Apr,2015,https://newsroom.uber.com/louisiana/uberx-and-uberxl-launch-in-new-orleans/,,
Baton Rouge,LA,Jul,2014,http://theadvocate.com/home/9697616-125/ride-share-service-launches-br-service,,
Lafayette,LA,Jan,2015,http://theadvocate.com/news/11470712-123/uber-launches-ride-share-service-in,,
Shreveport-Bossier City,LA,Feb,2018,https://www.shreveporttimes.com/story/news/2018/02/14/uber-launch-thursday-shreveport/337493002/,,
Gulfport-Biloxi-Pascagoula,LA-MS,Jul,2016,https://www.sunherald.com/news/local/article87168487.html,,
Pittsfield,MA,May,2017,https://www.uber.com/blog/boston/uber-in-the-berkshires/,,
Springfield,MA,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Springfield,MA,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Springfield,MO,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Springfield,MO,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/,,
Boston-Cambridge-Newton,MA-NH,Sep,2012,http://www.bizjournals.com/boston/blog/mass_roundup/2012/09/uber-taxi-in-boston.html,,
Baltimore-Columbia-Towson,MD,Feb,2013,http://technical.ly/baltimore/2013/02/01/uber-baltimore-on-demand-car-service-officially-launches-will-be-available-all-day-super-bowl-sunday/,,
Baltimore-Columbia-Towson,MD,Oct,2014,https://newsroom.uber.com/uber-launching-columbia-with-free-rides/,,
Baltimore-Columbia-Towson,MD,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
Portland-South Portland,ME,Oct,2014,https://newsroom.uber.com/maine/portland-your-uber-is-arriving-now/,,
Portland-South Portland,ME,Dec,2014,http://www.theverge.com/2014/12/5/7342981/uber-launches-in-portland-oregon-despite-being-completely-illegal-there,,
Ann Arbor,MI,Apr,2014,http://www.mlive.com/news/ann-arbor/index.ssf/2014/04/app-driven_ride_service_uber_e.html,,
Detroit-Warren-Dearborn,MI,Oct,2013,https://newsroom.uber.com/detroit/partner_earnings/,,
Flint,MI,Jul,2014,http://nbc25news.com/news/local/ride-sharing-service-uber-launches-in-flint?id=1074670,,
Saginaw,MI,Mar,2017,https://www.mlive.com/news/saginaw/2017/03/uber_now_serving_saginaw_bay_c.html,,
Grand Rapids-Wyoming,MI,Jul,2014,http://www.mlive.com/news/grand-rapids/index.ssf/2014/07/uber_in_grand_rapids_rideshari.html,,
Bay City,MI,Mar,2017,https://www.mlive.com/news/saginaw/2017/03/uber_now_serving_saginaw_bay_c.html,,
Holland,MI,June,2017,https://whtc.com/news/articles/2017/jun/16/uber-is-here-along-lakeshore/,,
Jackson,MI,Dec,2014,https://newsroom.uber.com/jackson-your-uberx-is-arriving-now/,,
Kalamazoo-Portage,MI,Jul,2014,http://www.usatoday.com/story/money/business/2014/07/25/uber-michigan/13174947/,,
Lansing-East Lansing,MI,Jul,2014,http://www.wilx.com/home/headlines/Uber-Launches-Ride-Share-Service-In-Lansing-Area-268528422.html,,
Niles-Benton Harbor,MI,June,2017,https://www.heraldpalladium.com/news/local/a-year-later-with-uber/article_36eff7fb-08bc-5d46-be25-d537168a3354.html,,
St. Cloud,MN,Feb,2017,https://www.sctimes.com/story/news/local/2017/02/25/lyft-finally-comes-st-cloud/98364990/,,
Rochester,MN,Mar,2017,https://www.uber.com/blog/minneapolis/uber-launches-rochester-st-cloud-mankato/,,
Minneapolis-St. Paul-Bloomington,MN-WI,Oct,2012,https://thenextweb.com/insider/2012/10/25/uber-minnesota-twin-cities/,,
Duluth,MN-WI,May,2017,https://www.duluthnewstribune.com/business/4259489-uber-launches-duluth,,
Columbia,MO,Oct,2014,https://newsroom.uber.com/uber-launching-columbia-with-free-rides/,,
Columbia,MO,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
Fayetteville-Springdale-Rogers,MO,Sep,2014,http://www.uatrav.com/news/article_1dc69eea-3874-11e4-a7ce-0017a43b2370.html,,
Fayetteville-Springdale-Rogers,MO,Jun,2014,https://newsroom.uber.com/us-north-carolina/uber-rolls-into-six-more-north-carolina-cities/,,
St. Louis,MO-IL,May,2017,https://fox2now.com/2015/09/21/uber-x-starts-operations-in-st-louis-area/,,
Jackson,MS,Dec,2014,https://newsroom.uber.com/jackson-your-uberx-is-arriving-now/,,
Greenville-Anderson-Mauldin,MS-SC,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
Billings,MT,Aug,2016,https://billingsgazette.com/business/uber-launches-ride-sharing-service-friday-in-billings/article_1db60c4c-bca6-51cc-8479-227610f195d1.html,,
Missoula,MT,Aug,2016,https://missoulian.com/news/local/uber-coming-to-missoula-aug/article_d1d20338-6eba-5340-a547-496972f85db4.html,,
Great Falls,MT,Aug ,2016,http://www.greatfallstribune.com/story/news/local/2016/08/06/uber-launches-ride-sharing-billings/88347926/,,
Raleigh,NC,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th,,
Virginia Beach-Norfolk-Newport News,NC,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th,,
Durham-Chapel Hill,NC,Jun,2014,https://www.charlotteobserver.com/news/business/article9135194.html,,
Fayetteville,NC,Sep,2014,http://www.uatrav.com/news/article_1dc69eea-3874-11e4-a7ce-0017a43b2370.html,,
Fayetteville,NC,Jun,2014,https://newsroom.uber.com/us-north-carolina/uber-rolls-into-six-more-north-carolina-cities/,,
Greensboro-High Point,NC,Jun,2014,https://myfox8.com/2014/06/26/uber-launches-ride-networking-service-in-greensboro-winston-salem/,,
Hickory-Lenoir-Morganton,NC,,,,,
Winston-Salem,NC,Jun,2014,https://www.charlotteobserver.com/news/business/article9135194.html,,
Charlotte-Concord-Gastonia,NC-SC,Sep,2013,http://www.bizjournals.com/charlotte/blog/bank_notes/2013/09/inside-scoop-uber-arrives-in.html,,
Fargo,ND-MN,May,2015,http://hpr1.com/index.php/feature/news/uber-launches-in-fargo/,,
Lincoln,NE,Aug,2014,http://ubernebraska.com/lincoln/,,
Manchester-Nashua,NH,Oct,2014,https://www.nhpr.org/post/ride-sharing-service-uber-comes-manchester,,
Albuquerque,NM,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,,
Santa Fe,NM,Nov,2014,http://www.abqjournal.com/498586/biz/uber-ride-sharing-coming-to-santa-fe.html,,
Reno,NV,Oct,2014,https://newsroom.uber.com/reno/uber-launches-in-the-biggest-little-city/,,
Las Vegas-Henderson-Paradise,NV,Sept,2015,https://newsroom.uber.com/vegas/las-vegas-were-here/,,
Albany-Schenectady-Troy,NY,June,2017,https://www.democratandchronicle.com/story/news/politics/albany/2017/06/27/uber-lyft-launch-thursday/103237788/,,
Binghamton,NY,Feb,2015,https://www.businessinsider.com/uber-launches-in-birmingham-2015-2,,
Buffalo-Cheektowaga-Niagara Falls,NY,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th,,
Ithaca,NY,June,2017,https://wskg.org/news/ride-hailings-in-ithaca-now-so-we-rode-with-an-uber-driver/,,
Rochester,NY,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th,,
Syracuse,NY,June,2017,https://www.syracuse.com/news/2017/06/fares_for_uber_and_lyft_differ_but_appear_to_be_cheaper_than_syracuse_taxis.html,,
Akron,OH,Aug,2014,http://www.crainscleveland.com/article/20140828/FREE/140829750/uber-launches-service-in-akron,,
Cleveland-Elyria,OH,Apr,2014,https://newsroom.uber.com/us-ohio/uber-cleveland-launches-with-free-rides-for-2-weeks/,,
Dayton,OH,Aug,2014,http://www.daytondailynews.com/news/business/uber-to-offer-vehicle-for-hire-service-in-dayton/nhBJZ/,,
Toledo,OH,Jun,2014,https://newsroom.uber.com/us-ohio/uber-toledo-launches-with-free-rides-for-2-weeks-2/,,
Wheeling,OH,Aug,2017,https://weelunk.com/wheeling-welcomes-uber/,,
Columbus,OH,Oct,2013,http://www.dispatch.com/content/blogs/crawlumbus/2013/10/uber-launching-in-columbus.html,,
Canton-Massillon,OH,Aug,2014,https://www.cantonrep.com/article/20141011/NEWS/141009134,,
Huntington-Ashland,OH,July,2016,http://www.herald-dispatch.com/news/uber-launches-in-west-virginia/article_efe55a45-633e-596b-88fc-7d3a7c54af9e.html,,
Cincinnati,OH-IN,Mar,2014,https://newsroom.uber.com/us-ohio/uber-cincinnati-launches-with-free-rides-for-2-weeks/,,
Oklahoma City,OK,Oct,2013,http://www.reddirtreport.com/rustys-free-time/uber-officially-arrives-oklahoma-city,,
Tulsa,OK,Mar,2014,https://newsroom.uber.com/us-oklahoma/tulsa-were-bringing-uber-to-you/,,
Eugene,OR,Sep,2018,https://www.registerguard.com/news/20180830/uber-set-to-launch-in-eugene-next-thursday,,
Corvallis,OR,Sep,2017,http://kval.com/news/local/uber-launches-corvallis-service-wednesday-sept-20,,
Salem,OR,Jun,2017,https://www.oregonlive.com/commuting/2017/06/uber_to_launch_service_in_sale.html,,
Medford,OR,Dec,2017,http://mailtribune.com/news/top-stories/uber-lyft-will-start-dec-1-in-medford,,
Portland-Vancouver-Hillsboro,OR-WA,Oct,2014,https://newsroom.uber.com/maine/portland-your-uber-is-arriving-now/,,
Portland-Vancouver-Hillsboro,OR-WA,Dec,2014,http://www.theverge.com/2014/12/5/7342981/uber-launches-in-portland-oregon-despite-being-completely-illegal-there,,
Portland-Vancouver-Hillsboro,OR-WA,Jul,2014,https://newsroom.uber.com/vancouver-wa/vancouver-washington-we-have-arrived/,,
Altoona,PA,Aug,2016,https://www.pennlive.com/news/2016/08/uber_expands_ride-hailing_serv.html,,
Erie,PA,Apr,2015,http://www.erienewsnow.com/story/28767725/uber-ride-share-app-launching-in-erie,,
Johnstown,PA,Aug,2016,http://wjactv.com/news/local/uber-comes-to-johnstown,,
Lancaster,PA,Mar,2015,https://newsroom.uber.com/us-pennsylvania/lancaster-york-and-reading-your-uber-has-arrived/,,
Pittsburgh,PA,Mar,2014,https://newsroom.uber.com/us-pennsylvania/uber-officially-launches-in-pittsburgh/,,
Reading,PA,Mar,2015,https://newsroom.uber.com/us-pennsylvania/lancaster-york-and-reading-your-uber-has-arrived/,,
Scranton--Wilkes-Barre--Hazleton,PA,Feb,2015,https://wnep.com/2015/02/08/uber-arrives-in-scranton-wilkes-barre/,,
State College,PA,Feb,2015,https://newsroom.uber.com/us-pennsylvania/state-college-your-uber-is-arriving-now/,,
Williamsport,PA,Aug,2016,https://www.northcentralpa.com/news/uber-comes-to-williamsport/article_dcb55581-768e-52f5-b56b-82084736fe51.html,,
Lebanon,PA,Nov,2016,https://www.ldnews.com/story/news/local/2016/11/11/uber-comes-lebanon-county-lyft-ride-sharing/91874380/,,
York-Hanover,PA,Nov,2016,http://www.witf.org/news/2016/11/lyft-launches-ride-sharing-service-in-central-pennsylvania.php,,
Harrisburg-Carlisle,PA,Jan,2015,https://theburgnews.com/news/harrisburg-lift-uber-launches-city,,
Somerset,PA,Aug,2016,https://www.dailyamerican.com/ourtownjohnstown/uber-expansion-means-new-service-for-cambria-somerset-residents/article_385256d4-5e68-11e6-9947-7b3a4020a1e1.html,,
Youngstown-Warren-Boardman,PA,,,,,
Allentown-Bethlehem-Easton,PA-NJ,Jan,2015,https://www.mcall.com/business/mc-pa-uber-lehigh-valley-20150130-10-story.html,,
Providence-Warwick,RI-MA,May,2017,https://www.uber.com/blog/new-england/providence-greenlight-hub-now-open/,,
Charleston-North Charleston,SC,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
Columbia,SC,Oct,2014,https://newsroom.uber.com/uber-launching-columbia-with-free-rides/,,
Columbia,SC,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/,,
Sumter,SC,Jun,2014,"http://www.theitem.com/stories/uber-ride-service-begins-in-south-carolina,226988",,
Sioux City,SD,May,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwjwlv6DzczkAhVSiqwKHXxKBUEQFjABegQIABAB&url=https%3A%2F%2Fsiouxcityjournal.com%2Fnews%2Flocal%2Fuber-starts-cruises-friday-in-sioux-city%2Farticle_137419d4-d154-523f-a784-338afa3b2763.html&usg=AOvVaw2t-NTBiKJuw5Y3wRWVUNuP,,
Sioux Falls,SD,May,2019,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjwlv6DzczkAhVSiqwKHXxKBUEQFjAAegQIAxAB&url=https%3A%2F%2Fwww.kotatv.com%2Fcontent%2Fnews%2FUber-arrives-in-South-Dakota-starting-with-Sioux-Falls-509914161.html&usg=AOvVaw1MVuLo4TIyN09KgDR2ArYK,,
Nashville-Davidson--Murfreesboro--Franklin,TN,Dec,2013,https://twitter.com/uber/status/410868842273849344,,
Jackson,TN,Dec,2014,https://newsroom.uber.com/jackson-your-uberx-is-arriving-now/,,
Knoxville,TN,Aug,2014,http://www.local8now.com/home/headlines/Uber-expands-ride-sharing-services-to-Knoxville-273042271.html,,
Memphis,TN-MS-AR,Apr,2014,https://www.memphisdailynews.com/news/2014/apr/25/ride-sharing-service-lyft-launches-in-memphis/,,
Corpus Christi,TX,May,2014,https://newsroom.uber.com/us-texas/cheers-corpus-christi-your-uberx-has-arrived/,,
Austin-Round Rock,TX,Jun,2014,http://kxan.com/2014/06/04/uber-launches-in-austin-despite-official-ban/,,
College Station-Bryan,TX,Aug,2014,http://kagstv.com/News/KAGSNews/ID/4561/Uber-Makes-Its-Debut-In-College-Station-Students-Excited,,
Killeen-Temple,TX,Jul,2015,https://newsroom.uber.com/us-texas/uber-killeen/,,
Laredo,TX,July,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjdmLqizczkAhVQL6wKHawvAH4QFjAAegQIARAB&url=https%3A%2F%2Fwww.lmtonline.com%2Flocal%2Farticle%2FUber-launches-in-Laredo-11285780.php&usg=AOvVaw0G9uJ-GbZ9VmbyhIo3LzNu,,
Lubbock,TX,Jun,2014,https://newsroom.uber.com/uber-lands-in-lubbock-with-two-weeks-of-free-rides/,,
San Antonio-New Braunfels,TX,Mar,2014,https://newsroom.uber.com/us-texas/saddle-up-san-antonio-your-uberx-has-arrived/,,
Beaumont-Port Arthur,TX,Nov,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwjI84OvzczkAhUKKawKHXdnAUQQFjABegQIBBAB&url=https%3A%2F%2Fwww.beaumontenterprise.com%2Fnews%2Farticle%2FUber-rolls-into-Beaumont-6656662.php&usg=AOvVaw3pKyx034DIlIw7arGkSZlu,,
Brownsville-Harlingen,TX,July,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwi59ZG7zczkAhUHca0KHfMsDxoQFjAAegQIARAB&url=https%3A%2F%2Fwww.brownsvilleherald.com%2Fnews%2Fvalley%2Fuber-to-begin-services-in-valley%2Farticle_cc628a5c-5f8d-11e7-accd-0702b9e785e6.html&usg=AOvVaw1IUfLAN3Q-8zYdSJV5vNl_,,
El Paso,TX,Jun,2014,http://elpaso411.com/2014/06/uber-launches-in-el-paso/,,
San Angelo,TX,Aug,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&cad=rja&uact=8&ved=2ahUKEwiLj5_FzczkAhULS60KHZmtDXYQFjAJegQIAhAB&url=https%3A%2F%2Fwww.myfoxzone.com%2Farticle%2Fnews%2Fuber-is-officially-coming-to-san-angelo%2F462041588&usg=AOvVaw24bGJGmpV_8Tp9MIhWli5-,,
Waco,TX,Aug,2014,https://www.facebook.com/wacouber/info/?tab=page_info,,
Dallas-Fort Worth-Arlington,TX,,2012,https://www.dmagazine.com/publications/d-magazine/2016/october/which-ride-sharing-app-works-best-in-dallas/,,
Houston-The Woodlands-Sugar Land,TX,Feb,2014,http://www.chron.com/news/houston-texas/houston/article/Ridesharing-service-Uber-jumps-into-Houston-market-5253892.php,,
