,Year,TRIPS
0,2011,100316518.52540345
1,2012,796049827.7034194
2,2013,1110669865.5465906
3,2014,1227879183.3756452
4,2015,1622251642.6053855
5,2016,1705582211.2343137
6,2017,1747138356.325717
