CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TOTAL_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,TRIPS_SCALED,Scale_2,TNC_TRIPS,TNC_TRIPS_PER_CAPITA_CLUSTER
35380,"New Orleans-Metairie-Kenner, LA Metro Area",2014,1251849,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
35840,"North Port-Bradenton-Sarasota, FL Metro Area",2014,748708,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
36420,"Oklahoma City, OK Metro Area",2014,1336767,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
36500,"Olympia, WA Metro Area",2014,265851,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2014,2321418,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2014,846178,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
38860,"Portland-South Portland-Biddeford, ME Metro Area",2014,523552,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",2014,1609367,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
39580,"Raleigh-Cary, NC Metro Area",2014,1242974,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
39900,"Reno-Sparks, NV Metro Area",2014,444487,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
40060,"Richmond, VA Metro Area",2014,1260668,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2014,4441890,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2014,2244397,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
41500,"Salinas, CA Metro Area",2014,431344,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
41620,"Salt Lake City, UT Metro Area",2014,1153340,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
41700,"San Antonio-New Braunfels, TX Metro Area",2014,2326665,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",2014,,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
42100,"Santa Cruz-Watsonville, CA Metro Area",2014,271804,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
44060,"Spokane, WA Metro Area",2014,542073,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
44140,"Springfield, MA Metro Area",2014,629100,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
41180,"St. Louis, MO-IL Metro Area",2014,2805856,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
44700,"Stockton, CA Metro Area",2014,715597,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2014,2915582,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
46060,"Tucson, AZ Metro Area",2014,1004516,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2014,1717387,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
49340,"Worcester, MA Metro Area",2014,930473,21,20063673,119360751,0.03599685,4.034635127,0.971800478,80.94959986,19.49788701,0.514568007,10,0.5
10420,"Akron, OH Metro Area",2015,704243,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
10740,"Albuquerque, NM Metro Area",2015,906209,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,832327,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
11460,"Ann Arbor, MI Metro Area",2015,358880,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
12420,"Austin-Round Rock-San Marcos, TX Metro Area",2015,2000860,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
12700,"Barnstable Town, MA Metro Area",2015,214333,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
13820,"Birmingham-Hoover, AL Metro Area",2015,1145647,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
14740,"Bremerton-Silverdale, WA Metro Area",2015,260131,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",2015,948053,21,72929208,213074972,0.038763905,3.746633713,3.280236342,273.2390293,239.2250384,0.371544144,88.9,1.2
