CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER
10420,"Akron, OH Metro Area",2002,646583.7344,21
10420,"Akron, OH Metro Area",2003,659397.0625,21
10420,"Akron, OH Metro Area",2004,672492.75,21
10420,"Akron, OH Metro Area",2005,684459,21
10420,"Akron, OH Metro Area",2006,700943,21
10420,"Akron, OH Metro Area",2007,699356,21
10420,"Akron, OH Metro Area",2008,698553,21
10420,"Akron, OH Metro Area",2009,699935,21
10420,"Akron, OH Metro Area",2010,702951,21
10420,"Akron, OH Metro Area",2011,701456,21
10420,"Akron, OH Metro Area",2012,702262,21
10420,"Akron, OH Metro Area",2013,705686,21
10420,"Akron, OH Metro Area",2014,703825,21
10420,"Akron, OH Metro Area",2015,704243,21
10420,"Akron, OH Metro Area",2016,702221,21
10420,"Akron, OH Metro Area",2017,703505,21
10420,"Akron, OH Metro Area",2018,703962.5,21
10500,"Albany, GA Metro Area",2002,145401.7656,22
10500,"Albany, GA Metro Area",2003,149947.9375,22
10500,"Albany, GA Metro Area",2004,154628.25,22
10500,"Albany, GA Metro Area",2005,158772,22
10500,"Albany, GA Metro Area",2006,165062,22
10500,"Albany, GA Metro Area",2007,162767,22
10500,"Albany, GA Metro Area",2008,163074,22
10500,"Albany, GA Metro Area",2009,164238,22
10500,"Albany, GA Metro Area",2010,162659,22
10500,"Albany, GA Metro Area",2011,161617,22
10500,"Albany, GA Metro Area",2012,155019,22
10500,"Albany, GA Metro Area",2013,156277,22
10500,"Albany, GA Metro Area",2014,152596,22
10500,"Albany, GA Metro Area",2015,156997,22
10500,"Albany, GA Metro Area",2016,152506,22
10500,"Albany, GA Metro Area",2017,151754,22
10500,"Albany, GA Metro Area",2018,150067.25,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2002,732133,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2003,760442,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2004,789259,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2005,816044,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2006,850957,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2007,853358,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2008,853919,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2009,857592,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2010,870832,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2011,871478,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2012,874646,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2013,877905,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2014,880167,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2015,881830,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2016,881839,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2017,886188,22
10580,"Albany-Schenectady-Troy, NY Metro Area",2018,889452,22
10740,"Albuquerque, NM Metro Area",2002,698465.0938,21
10740,"Albuquerque, NM Metro Area",2003,727097.625,21
10740,"Albuquerque, NM Metro Area",2004,755951.5,21
10740,"Albuquerque, NM Metro Area",2005,783920,21
10740,"Albuquerque, NM Metro Area",2006,815430,21
10740,"Albuquerque, NM Metro Area",2007,832774,21
10740,"Albuquerque, NM Metro Area",2008,841408,21
10740,"Albuquerque, NM Metro Area",2009,856216,21
10740,"Albuquerque, NM Metro Area",2010,892014,21
10740,"Albuquerque, NM Metro Area",2011,899149,21
10740,"Albuquerque, NM Metro Area",2012,902794,21
10740,"Albuquerque, NM Metro Area",2013,901932,21
10740,"Albuquerque, NM Metro Area",2014,905213,21
10740,"Albuquerque, NM Metro Area",2015,906209,21
10740,"Albuquerque, NM Metro Area",2016,913924,21
10740,"Albuquerque, NM Metro Area",2017,913113,21
10740,"Albuquerque, NM Metro Area",2018,914433.5,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2002,685502.5938,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2003,712921.625,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2004,740809.5,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2005,766822,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2006,800336,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2007,803844,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2008,808210,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2009,816012,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2010,822141,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2011,824916,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2012,827171,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2013,827048,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2014,829835,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,832327,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,835652,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,840550,21
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2018,845054.75,21
11020,"Altoona, PA Metro Area",2002,114425.125,22
11020,"Altoona, PA Metro Area",2003,117238.5,22
11020,"Altoona, PA Metro Area",2004,120126,22
11020,"Altoona, PA Metro Area",2005,122717,22
11020,"Altoona, PA Metro Area",2006,126494,22
11020,"Altoona, PA Metro Area",2007,125527,22
11020,"Altoona, PA Metro Area",2008,125174,22
11020,"Altoona, PA Metro Area",2009,126122,22
11020,"Altoona, PA Metro Area",2010,127031,22
11020,"Altoona, PA Metro Area",2011,127099,22
11020,"Altoona, PA Metro Area",2012,127121,22
11020,"Altoona, PA Metro Area",2013,126314,22
11020,"Altoona, PA Metro Area",2014,125955,22
11020,"Altoona, PA Metro Area",2015,125593,22
11020,"Altoona, PA Metro Area",2016,124650,22
11020,"Altoona, PA Metro Area",2017,123457,22
11020,"Altoona, PA Metro Area",2018,122326.5,22
11180,"Ames, IA Metro Area",2003,53362.875,22
11180,"Ames, IA Metro Area",2004,62079.5,22
11180,"Ames, IA Metro Area",2005,70480,22
11180,"Ames, IA Metro Area",2006,80145,22
11180,"Ames, IA Metro Area",2007,84752,22
11180,"Ames, IA Metro Area",2008,86754,22
11180,"Ames, IA Metro Area",2009,87214,22
11180,"Ames, IA Metro Area",2010,89575,22
11180,"Ames, IA Metro Area",2011,89663,22
11180,"Ames, IA Metro Area",2012,91140,22
11180,"Ames, IA Metro Area",2013,92406,22
11180,"Ames, IA Metro Area",2014,94073,22
11180,"Ames, IA Metro Area",2015,96021,22
11180,"Ames, IA Metro Area",2016,97090,22
11180,"Ames, IA Metro Area",2017,97502,22
11180,"Ames, IA Metro Area",2018,98078.25,22
11260,"Anchorage, AK Metro Area",2002,297029.5313,22
11260,"Anchorage, AK Metro Area",2003,311933.875,22
11260,"Anchorage, AK Metro Area",2004,327068.5,22
11260,"Anchorage, AK Metro Area",2005,341282,22
11260,"Anchorage, AK Metro Area",2006,359180,22
11260,"Anchorage, AK Metro Area",2007,362340,22
11260,"Anchorage, AK Metro Area",2008,364701,22
11260,"Anchorage, AK Metro Area",2009,374553,22
11260,"Anchorage, AK Metro Area",2010,382964,22
11260,"Anchorage, AK Metro Area",2011,387516,22
11260,"Anchorage, AK Metro Area",2012,392535,22
11260,"Anchorage, AK Metro Area",2013,396142,22
11260,"Anchorage, AK Metro Area",2014,398892,22
11260,"Anchorage, AK Metro Area",2015,399790,22
11260,"Anchorage, AK Metro Area",2016,402557,22
11260,"Anchorage, AK Metro Area",2017,400888,22
11260,"Anchorage, AK Metro Area",2018,400328,22
11460,"Ann Arbor, MI Metro Area",2002,258746.4375,21
11460,"Ann Arbor, MI Metro Area",2003,279285.25,21
11460,"Ann Arbor, MI Metro Area",2004,300110,21
11460,"Ann Arbor, MI Metro Area",2005,319791,21
11460,"Ann Arbor, MI Metro Area",2006,344047,21
11460,"Ann Arbor, MI Metro Area",2007,350003,21
11460,"Ann Arbor, MI Metro Area",2008,347376,21
11460,"Ann Arbor, MI Metro Area",2009,347563,21
11460,"Ann Arbor, MI Metro Area",2010,345290,21
11460,"Ann Arbor, MI Metro Area",2011,347962,21
11460,"Ann Arbor, MI Metro Area",2012,350946,21
11460,"Ann Arbor, MI Metro Area",2013,354240,21
11460,"Ann Arbor, MI Metro Area",2014,356874,21
11460,"Ann Arbor, MI Metro Area",2015,358880,21
11460,"Ann Arbor, MI Metro Area",2016,364709,21
11460,"Ann Arbor, MI Metro Area",2017,367627,21
11460,"Ann Arbor, MI Metro Area",2018,371272.75,21
11540,"Appleton, WI Metro Area",2002,197224.0469,22
11540,"Appleton, WI Metro Area",2003,202025.8125,22
11540,"Appleton, WI Metro Area",2004,206907.75,22
11540,"Appleton, WI Metro Area",2005,211469,22
11540,"Appleton, WI Metro Area",2006,217313,22
11540,"Appleton, WI Metro Area",2007,218026,22
11540,"Appleton, WI Metro Area",2008,219720,22
11540,"Appleton, WI Metro Area",2009,221894,22
