,CBSA,MNAME,Year,Tot_Pop,TNC_CLUSTER,TOT_POP_CLUSTER,TOTAL_YEARLY_POPULATION,POP_SHARE,TNC_TRIPS_PER_CAPITA,TNC_TRIPS_SCALED,TOTAL_TNC_TRIPS_PER_CLUSTER,_merge
28,29620,"Lansing-East Lansing, MI Metro Area",2014,470458.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
29,29820,"Las Vegas-Paradise, NV Metro Area",2014,2069681.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
30,31140,"Louisville, Jefferson County, KY-IN Metro Area",2014,1265210.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
31,31540,"Madison, WI Metro Area",2014,633787.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
32,32820,"Memphis, TN-MS-AR Metro Area",2014,1344121.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
33,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",2014,1572245.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
34,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2014,1792468.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
35,35300,"New Haven-Milford, CT Metro Area",2014,861277.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
36,35380,"New Orleans-Metairie-Kenner, LA Metro Area",2014,1251849.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
37,35840,"North Port-Bradenton-Sarasota, FL Metro Area",2014,748708.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
38,36420,"Oklahoma City, OK Metro Area",2014,1336767.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
39,36500,"Olympia, WA Metro Area",2014,265851.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
40,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2014,2321418.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
41,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",2014,846178.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
42,38860,"Portland-South Portland-Biddeford, ME Metro Area",2014,523552.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
43,39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",2014,1609367.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
44,39580,"Raleigh-Cary, NC Metro Area",2014,1242974.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
45,39900,"Reno-Sparks, NV Metro Area",2014,444487.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
46,40060,"Richmond, VA Metro Area",2014,1260668.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
47,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2014,4441890.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
48,40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2014,2244397.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
49,41500,"Salinas, CA Metro Area",2014,431344.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
50,41620,"Salt Lake City, UT Metro Area",2014,1153340.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
51,41700,"San Antonio-New Braunfels, TX Metro Area",2014,2326665.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
52,42060,"Santa Barbara-Santa Maria-Goleta, CA Metro Area",2014,,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
53,42100,"Santa Cruz-Watsonville, CA Metro Area",2014,271804.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
54,44060,"Spokane, WA Metro Area",2014,542073.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
55,44140,"Springfield, MA Metro Area",2014,629100.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
56,41180,"St. Louis, MO-IL Metro Area",2014,2805856.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
57,44700,"Stockton, CA Metro Area",2014,715597.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
58,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2014,2915582.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
59,46060,"Tucson, AZ Metro Area",2014,1004516.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
60,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",2014,1717387.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
61,49340,"Worcester, MA Metro Area",2014,930473.0,21,20063673.0,119360751,0.03599685,4.034635127,0.971800478,80.94959986,both
62,10420,"Akron, OH Metro Area",2015,704243.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
63,10740,"Albuquerque, NM Metro Area",2015,906209.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
64,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,832327.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
65,11460,"Ann Arbor, MI Metro Area",2015,358880.0,21,72929208.0,213074972,0.038763905,3.746633713,3.280236342,273.2390293,both
