CBSAFP,YearPlaceI,City,State,CityState,Year,AsOfDate,dockCt,dockNm,docklessCt,docklessNm,scooterCt,scooterNm,Type,Lat,Lon,,NAME
19820,2017MI00128,Detroit,MI,"Detroit, MI",2017,201712,43,Mo Go,0,-,0,-,Docked only,42.331426999999900,-83.045754000000000,,"Detroit-Warren-Dearborn, MI"
47900,2019MD00118,Boyds,MD,"Boyds, MD",2019,201912,2,Montgomery Parks,0,-,0,-,Docked only,39.183610999999900,-77.312777999999900,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
47900,2018MD00118,Boyds,MD,"Boyds, MD",2018,201812,2,Montgomery Parks,0,-,0,-,Docked only,39.183610999999900,-77.312777999999900,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
47900,2017MD00118,Boyds,MD,"Boyds, MD",2017,201712,2,Montgomery Parks,0,-,0,-,Docked only,39.183610999999900,-77.312777999999900,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
35620,2019NJ00151,Morristown,NJ,"Morristown, NJ",2019,201912,3,Morris Moves,0,-,0,-,Docked only,40.796562000000000,-74.477317999999900,,"New York-Newark-Jersey City, NY-NJ-PA"
35620,2018NJ00151,Morristown,NJ,"Morristown, NJ",2018,201812,3,Morris Moves,0,-,0,-,Docked only,40.796562000000000,-74.477317999999900,,"New York-Newark-Jersey City, NY-NJ-PA"
25200,2018ID0076,Hailey,ID,"Hailey, ID",2018,201812,52,MR Bike Share,0,-,0,-,Docked only,43.515000000000000,-114.306388999999000,,"Hailey, ID"
25200,2017ID0076,Hailey,ID,"Hailey, ID",2017,201712,52,MR Bike Share,0,-,0,-,Docked only,43.515000000000000,-114.306388999999000,,"Hailey, ID"
25200,2016ID0076,Hailey,ID,"Hailey, ID",2016,201612,49,MR Bike Share,0,-,0,-,Docked only,43.515000000000000,-114.306388999999000,,"Hailey, ID"
25200,2015ID0076,Hailey,ID,"Hailey, ID",2015,201512,45,MR Bike Share,0,-,0,-,Docked only,43.515000000000000,-114.306388999999000,,"Hailey, ID"
34980,2017TN00192,Nashville,TN,"Nashville, TN",2017,201712,36,Nashville B-cycle,1,Ofo,0,-,All bikes,36.162663999999900,-86.781602000000000,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
34980,2019TN00192,Nashville,TN,"Nashville, TN",2019,201912,35,Nashville B-cycle,0,-,3,"Jump, Lime, Lyft",Docked and scooters,36.162663999999900,-86.781602000000000,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
34980,2018TN00192,Nashville,TN,"Nashville, TN",2018,201812,35,Nashville B-cycle,0,-,3,"Bird, Lime, Lyft",Docked and scooters,36.162663999999900,-86.781602000000000,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
34980,2016TN00192,Nashville,TN,"Nashville, TN",2016,201612,36,Nashville B-cycle,0,-,0,-,Docked only,36.162663999999900,-86.781602000000000,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
34980,2015TN00192,Nashville,TN,"Nashville, TN",2015,201512,31,Nashville B-cycle,0,-,0,-,Docked only,36.162663999999900,-86.781602000000000,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
35380,2019LA0094,New Orleans,LA,"New Orleans, LA",2019,201912,93,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066000000000,-90.071532000000000,,"New Orleans-Metairie, LA"
35380,2018LA0094,New Orleans,LA,"New Orleans, LA",2018,201812,93,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066000000000,-90.071532000000000,,"New Orleans-Metairie, LA"
35380,2017LA0094,New Orleans,LA,"New Orleans, LA",2017,201712,75,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066000000000,-90.071532000000000,,"New Orleans-Metairie, LA"
