CLUSTER_GT,RAIL_FLAG,Year,CBSA,UPT,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,TNC_FLAG,YEARS_SINCE_TNC,FARE_TOTAL_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,FARE_per_UPT_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,walkscore,transit,bike,Bus_UPT_ADJ,Bus_UPT_ADJ_diff,Bus_UPT_ADJ_log,PCT_Bus_UPT_ADJ_rel_diff,Bus_UPT_ADJ_scale,Bus_VRM_ADJ,Bus_VRM_ADJ_diff,Bus_VRM_ADJ_log,PCT_Bus_VRM_ADJ_rel_diff,Bus_VRM_ADJ_scale,Bus_VRH_ADJ,Bus_VRH_ADJ_diff,Bus_VRH_ADJ_log,PCT_Bus_VRH_ADJ_rel_diff,Bus_VRH_ADJ_scale,Bus_FARE_TOTAL,Bus_FARE_TOTAL_diff,Bus_FARE_TOTAL_log,PCT_Bus_FARE_TOTAL_rel_diff,Bus_FARE_TOTAL_scale,Bus_FARE_per_UPT_2018,Bus_FARE_per_UPT_2018_diff,Bus_FARE_per_UPT_2018_log,PCT_Bus_FARE_per_UPT_2018_rel_diff,Bus_FARE_per_UPT_2018_scale,Bus_AVG_SPEED,Bus_AVG_SPEED_diff,Bus_AVG_SPEED_log,PCT_Bus_AVG_SPEED_rel_diff,Bus_AVG_SPEED_scale,Rail_UPT_ADJ,Rail_UPT_ADJ_diff,Rail_UPT_ADJ_log,PCT_Rail_UPT_ADJ_rel_diff,Rail_UPT_ADJ_scale,Rail_VRM_ADJ,Rail_VRM_ADJ_diff,Rail_VRM_ADJ_log,PCT_Rail_VRM_ADJ_rel_diff,Rail_VRM_ADJ_scale,Rail_VRH_ADJ,Rail_VRH_ADJ_diff,Rail_VRH_ADJ_log,PCT_Rail_VRH_ADJ_rel_diff,Rail_VRH_ADJ_scale,Rail_FARE_TOTAL,Rail_FARE_TOTAL_diff,Rail_FARE_TOTAL_log,PCT_Rail_FARE_TOTAL_rel_diff,Rail_FARE_TOTAL_scale,Rail_FARE_per_UPT_2018,Rail_FARE_per_UPT_2018_diff,Rail_FARE_per_UPT_2018_log,PCT_Rail_FARE_per_UPT_2018_rel_diff,Rail_FARE_per_UPT_2018_scale,Rail_AVG_SPEED,Rail_AVG_SPEED_diff,Rail_AVG_SPEED_log,PCT_Rail_AVG_SPEED_rel_diff,Rail_AVG_SPEED_scale,CLUSTER_APTA,CLUSTER_APTA_HML,BUS_FLAG,POP_EMP,HH_EMP,TSD_POP_PCT,YEARS_SINCE_2002,YEARS_2002_2010,YEARS_AFTER_2010,YEARS_2002_2014,YEARS_AFTER_2014,YEARS_SINCE_2002_BUS,YEARS_SINCE_2002_RAIL,YEARS_2002_2010_BUS,YEARS_AFTER_2010_BUS,YEARS_2002_2010_RAIL,YEARS_AFTER_2010_RAIL,YEARS_2002_2014_BUS,YEARS_AFTER_2014_BUS,YEARS_2002_2014_RAIL,YEARS_AFTER_2014_RAIL
1,0,2002,1191460,639856848.3741,297749018.947,639856848.3741,297749018.947,22004147.888,498529745.0,73.93285390999998,33226226191,35919153.31133,25348097.11047,7766779.6409950005,344658.40627,1069182.8125800001,1057124.5313500003,1225791.7501200004,37849391.01999999,558.39,361.7200000000001,3380.4500000000007,1131.4399999999998,2654.2200000000007,514.3399999999999,15391353.290000001,1420540.1700000002,5249126.65,5917662.1899999995,2009266.6800000002,794757.67,372.3199999999999,1698182.9532400006,2211122.6251100004,1930.2399999999998,1920.26,449.50000000000006,1077562.77,18552184.649999995,19629747.410000004,245.16,4054.84,59.749999999999964,0.0,9437502.0,583.9699999999999,60.19999999999996,86638,0,0,697941643.0000001,1496855.9375800001,1479974.34385,1716108.4501199997,2377456.13449,3095571.675130001,83.64999999999999,103.50599548199999,0,0,0,60504.0,0.0,0.0,0,0,0,639856848.3741,0.0,0.0,0.0,149644386,297749018.947,0.0,0.0,0.0,-93096698.5,22004147.888,0.0,0.0,0.0,-2616130.75,498529745.0,0.0,0.0,0.0,-206595650,103.50599548199999,0.0,0.0,0.0,-873.7611351999994,583.9699999999999,0.0,0.0,0.0,-946,0.0,0.0,0.0,0.0,-8551492560,0.0,0.0,0.0,0.0,11700116562,0.0,0.0,0.0,0.0,901619063.6000006,0.0,0.0,0.0,0.0,-210035321050,0.0,0.0,0.0,0.0,-1018.6569538000009,0.0,0.0,0.0,0.0,-2666,1090,99,43,54471337.96133001,33943537.94,10.140058679926483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2003,1231200,638293508.8507001,301614439.433,638293508.8507001,301614439.433,22760218.1233,498558374.0,171.711573498,33492724487,36905329.6285,25997737.939999998,7949892.25,384328.75,1080909.5,1069368.5625,1223868.875,38154376.480000004,578.3399999999999,370.2900000000001,3451.84,1126.07,2730.5699999999997,543.4300000000001,15421577.63,1414263.11,5255246.7299999995,5934589.89,2018931.1099999994,798546.98,384.73999999999995,1825494.9375,2373319.1875,1901.5199999999995,1979.57,519.03,1171227.7600000002,18698929.010000005,19870156.76,263.22,4136.78,70.77,0.0,9515688.0,599.35,60.279999999999966,88653,0,0,683024972.3800001,1480846.0150799998,1465034.93073,1676700.3588699999,2500928.06449,3251447.2870100006,96.95489999999992,235.244855772,0,0,0,60504.0,0.0,0.0,0,0,0,638293508.8507001,-4064624.3353999993,-1.3088463149999998,486.0733381099999,153124488,301614439.433,2464385.188,1.7156544399999998,427.77764724099995,-95261738.0,22760218.1233,631959.9425000001,1.511532174,509.38558337100005,-2676971.0,498558374.0,-1730638.0,1.0527510799999997,304.1503569440002,-211400200,235.244855772,130.77527718200002,1.4301530330000005,2062.812876195,-894.0811615999994,599.35,4.09,0.2066734230000002,49.471601987999996,-968,0.0,0.0,0.0,0.0,-8750364480,0.0,0.0,0.0,0.0,11972212296,0.0,0.0,0.0,0.0,922586948.8000007,0.0,0.0,0.0,0.0,-214919863400,0.0,0.0,0.0,0.0,-1042.346650400001,0.0,0.0,0.0,0.0,-2728,1121,102,44,55604258.63850002,34120506.63999999,10.044137242269233,44,44,0,44,0,44,0,44,0,0,0,44,0,0,0
1,0,2004,1350420,640203201.9604,306140094.829,640203201.9604,306140094.829,23287832.5721,513948760.0,43.04909341999999,34189177353,38262056.0,26734880.0,8379053.25,415215.25,1142093.25,1128640.25,1266487.5,38796126.75,622.0199999999999,396.23,3682.530000000001,1168.3100000000002,2929.5300000000007,602.5099999999998,15590383.5,1417214.5,5323000.5,5997562.0,2041423.75,811182.75,412.8300000000001,2036474.75,2652986.75,1958.6899999999998,2120.4300000000007,621.1899999999998,1139957.5600000005,19122981.089999996,20262938.660000008,268.71999999999997,4431.280000000001,89.20000000000002,0.0,9642494.0,627.25,62.50999999999994,94701,0,0,683551850.8000001,1518984.0225,1501091.5325,1684428.3750000002,2708511.4175000014,3528472.3774999995,118.63600000000002,57.255294251,0,0,0,62522.0,0.0,0.0,0,0,0,640203201.9604,-6966121.2292,11.251694175,14809.011121316998,163564794,306140094.829,-327751.90120000043,3.145733869999999,2863.6200438970004,-101756856.5,23287832.5721,164622.6024000001,4.182560487000002,2668.2399751359994,-2859491.75,513948760.0,8521720.0,-3.1182501379999996,23.234009596999993,-225813850,57.255294251,-181.098847089,-15.673743395000002,-466.4829258659999,-955.0412407999993,627.25,-15.459999999999997,-1.0376615820000004,-62.46663863399999,-1034,0.0,0.0,0.0,0.0,-9346980240,0.0,0.0,0.0,0.0,12788499498,0.0,0.0,0.0,0.0,985490604.4000008,0.0,0.0,0.0,0.0,-229573490450,0.0,0.0,0.0,0.0,-1113.4157402000008,0.0,0.0,0.0,0.0,-2914,1210,110,47,57385037.09,34713364.59,10.109765362635446,94,94,0,94,0,94,0,94,0,0,0,94,0,0,0
1,0,2005,1350420,659740494.6784002,294568113.483,659740494.6784002,294568113.483,22194804.1582,507161823.0,32.644329772,34189177353,38891590.0,27083569.0,8533461.0,439007.0,1132646.0,1117815.0,1242231.0,38750463.0,629.1999999999999,392.79999999999995,3678.100000000001,1136.2000000000003,2944.9000000000005,618.9,15484667.0,1398277.0,5294117.0,5956806.0,2026946.0,808521.0,414.60999999999996,2116685.0,2764429.0,1887.4000000000003,2133.8,678.7999999999998,1082769.5299999998,19284811.090000007,20367580.599999998,252.47999999999993,4447.52,108.64999999999993,935507.2000000002,9619595.0,634.1100000000001,60.62999999999997,94701,0,0,654238751.6699998,1461113.3399999999,1441981.35,1602477.9900000002,2730523.6499999994,3566113.410000001,140.15849999999998,42.11118540699999,0,0,0,62522.0,0.0,0.0,0,0,0,659740494.6784002,19537292.718000002,3.3219536279999997,1419.75941094,163564794,294568113.483,-11571981.346,-0.9320795009999999,-74.662955494,-101756856.5,22194804.1582,-1093028.4139000003,-1.5975930970000005,-113.84489739400001,-2859491.75,507161823.0,-6786937.0,-0.6338594649999993,109.88378089900003,-225813850,42.11118540699999,-15.144108847999998,-5.391039021,-242.57298993300003,-955.0412407999993,634.1100000000001,6.860000000000004,0.66655896,104.65465386,-1034,0.0,0.0,0.0,0.0,-9346980240,0.0,0.0,0.0,0.0,12788499498,0.0,0.0,0.0,0.0,985490604.4000008,0.0,0.0,0.0,0.0,-229573490450,0.0,0.0,0.0,0.0,-1113.4157402000008,0.0,0.0,0.0,0.0,-2914,1210,110,47,58176401.09,34769478.09,9.812894837411775,141,141,0,141,0,141,0,141,0,0,0,141,0,0,0
1,0,2006,1350420,654905215.2058002,287187597.8122,654905215.2058002,287187597.8122,21758589.0709,541883719.0,35.023487561,34189177353,39707348.0,27567746.0,8720929.0,466988.0,1099481.0,1085211.0,1183314.0,38665114.0,646.5999999999999,389.6,3663.400000000001,1096.3,2963.8,639.9000000000001,15337736.0,1373931.0,5255708.0,5904198.0,2004898.0,799001.0,414.85,2185764.0,2851310.0,1823.2000000000003,2149.9999999999995,726.8000000000003,1026863.66,19382034.85,20408898.51,235.20000000000005,4464.8,123.3800000000001,935507.2000000002,9596696.0,630.6900000000003,58.75,94701,0,0,677354648.75,1374351.25,1356513.75,1479142.5,2732205.0,3564137.5,154.22499999999994,43.77935945299999,0,0,0,62522.0,0.0,0.0,0,0,0,654905215.2058002,-4835279.473600002,-0.883843387,57.60273173300002,163564794,287187597.8122,-7380515.6707999995,-1.772529789,-63.7056083,-101756856.5,21758589.0709,-436215.08729999996,-1.4719864679999992,-28.129428492999995,-2859491.75,541883719.0,34721896.0,5.703440198000001,12807.734288508998,-225813850,43.77935945299999,1.6681740459999999,5.106846126,11929.466732151002,-955.0412407999993,630.6900000000003,-3.4199999999999995,-0.30183243200000004,-24.897598231999993,-1034,0.0,0.0,0.0,0.0,-9346980240,0.0,0.0,0.0,0.0,12788499498,0.0,0.0,0.0,0.0,985490604.4000008,0.0,0.0,0.0,0.0,-229573490450,0.0,0.0,0.0,0.0,-1113.4157402000008,0.0,0.0,0.0,0.0,-2914,1210,110,47,59089382.85,34719770.85000001,9.512518535883917,188,188,0,188,0,188,0,188,0,0,0,188,0,0,0
1,0,2007,1377480,662744177.2298,294773696.24320006,662744177.2298,294773696.24320006,22107376.644399993,580398242.0,38.42277749,34252840658,39879265.0,27567316.0,8805616.0,479870.0,1180533.0,1159837.0,1279060.0,38827629.0,644.8999999999999,391.2999999999999,3763.800000000001,1103.3,3044.100000000001,652.5999999999999,15393307.0,1376677.0,5267819.0,5914058.0,2016581.0,818172.0,431.3999999999999,2342760.0,3099484.0,1772.6999999999998,2195.7,831.5999999999999,1032585.1000000003,19505669.18,20538254.22999999,235.73999999999998,4564.260000000001,136.74999999999997,936825.6000000002,9588767.0,654.4100000000001,58.080000000000034,96718,0,0,702281872.8199998,1428444.9300000002,1403402.7700000005,1547662.5999999996,2834739.6000000006,3750375.6400000006,165.46750000000006,46.491560766,0,0,0,64540.0,0.0,0.0,0,0,0,662744177.2298,4734022.023999998,1.6055752189999999,321.91111390299994,167044896,294773696.24320006,6050645.431,2.0064053840000002,358.32709073099994,-103921896.0,22107376.644399993,233340.57349999994,1.2159723139999998,297.158056839,-2920332.0,580398242.0,35317025.0,6.232119333,1399.804041664,-230618400,46.491560766,1.466131315,3.097954108,899.0431069080003,-975.3612671999992,654.4100000000001,10.42,0.7897187850000003,87.529704169,-1056,0.0,0.0,0.0,0.0,-9545852160,0.0,0.0,0.0,0.0,13060595232,0.0,0.0,0.0,0.0,1006458489.6000009,0.0,0.0,0.0,0.0,-234458032800,0.0,0.0,0.0,0.0,-1137.1054368000007,0.0,0.0,0.0,0.0,-2976,1241,113,48,59384934.18,34898976.18,9.571477730521693,240,240,0,240,0,240,0,240,0,0,0,240,0,0,0
1,0,2008,1377480,693750966.3216,294708289.4542001,693750966.3216,294708289.4542001,21871404.1164,613478742.0,38.638213949000004,34252840658,40037756.0,27699716.0,8832336.0,501028.0,1213214.0,1194060.0,1325262.0,38965023.0,658.4,398.1,3743.6,1089.2000000000003,3046.4999999999995,664.3000000000001,15460321.0,1398273.0,5350957.0,5892801.0,2021462.0,796828.0,432.2899999999999,2415490.0,3176657.0,1722.7000000000005,2201.2999999999997,876.0000000000001,1251007.0,19396135.45999999,20647142.48,286.52000000000004,4513.48,158.7399999999999,936825.6000000002,9566482.0,658.7900000000003,56.16000000000005,96718,0,0,717770128.1399999,1419460.38,1397050.2,1550556.5400000003,2826123.3000000003,3716688.69,185.72579999999994,45.20671032,0,0,0,64540.0,0.0,0.0,0,0,0,693750966.3216,31006789.091799997,2.9874064959999993,320.57917684,167044896,294708289.4542001,-65406.78900000019,0.1722764170000001,29.398530339000004,-103921896.0,21871404.1164,-235972.528,-0.139492601,-3.310774074000003,-2920332.0,613478742.0,33080500.0,3.223406305,357.02190268299995,-230618400,45.20671032,-1.2848504459999996,-1.3775975079999996,-98.353676565,-975.3612671999992,658.7900000000003,4.379999999999997,0.311991336,35.79871278900001,-1056,0.0,0.0,0.0,0.0,-9545852160,0.0,0.0,0.0,0.0,13060595232,0.0,0.0,0.0,0.0,1006458489.6000009,0.0,0.0,0.0,0.0,-234458032800,0.0,0.0,0.0,0.0,-1137.1054368000007,0.0,0.0,0.0,0.0,-2976,1241,113,48,59433891.459999986,34856456.459999986,9.456768544109792,288,288,0,288,0,288,0,288,0,0,0,288,0,0,0
1,0,2009,1377480,661307238.5059999,295245887.5032,661307238.5059999,295245887.5032,21855176.324999996,629890540.0,42.15959229899999,34252840658,40299004.0,27846650.0,8816341.0,499822.0,1161930.0,1147237.0,1254878.0,39238071.0,715.8999999999997,421.4,3662.9000000000005,1087.1000000000001,3040.5000000000005,672.4,15529676.0,1444567.0,5441401.0,5859989.0,2002040.0,781679.0,436.03000000000003,2317266.0,3073295.0,1809.9,2146.4,843.7,1938069.9000000001,18683067.639999993,20621137.580000002,435.3900000000001,4364.61,115.11000000000004,936825.6000000002,9544197.0,656.57,56.16000000000005,96718,0,0,736971931.8000002,1359458.0999999999,1342267.29,1468207.2600000005,2711201.22,3595755.1500000013,134.67870000000008,49.32672298999998,0,0,0,64540.0,0.0,0.0,0,0,0,661307238.5059999,-32443727.815599997,-2.298477695,-209.33151222000004,167044896,295245887.5032,537598.0490000003,0.199924882,30.653876976000006,-103921896.0,21855176.324999996,-16227.791400000073,0.42217885100000013,52.228743574,-2920332.0,629890540.0,16411798.0,1.6671732479999999,190.047128645,-230618400,49.32672298999998,4.1200126699999995,3.9656509320000004,452.12951127400004,-975.3612671999992,656.57,-2.220000000000001,-0.22247683999999993,-17.752420603,-1056,0.0,0.0,0.0,0.0,-9545852160,0.0,0.0,0.0,0.0,13060595232,0.0,0.0,0.0,0.0,1006458489.6000009,0.0,0.0,0.0,0.0,-234458032800,0.0,0.0,0.0,0.0,-1137.1054368000007,0.0,0.0,0.0,0.0,-2976,1241,113,48,58982071.63999999,34212743.639999986,9.341729657590845,336,336,0,336,0,336,0,336,0,0,0,336,0,0,0
1,0,2010,1377480,651836289.3801999,285895897.706,651836289.3801999,285895897.706,21652107.479600005,626498468.0,41.589954246999994,34252840658,40398349.0,27818794.0,8825824.0,528552.0,1172099.0,1152307.0,1283009.0,39364269.0,0.0,0.0,0.0,1081.0,3037.5000000000005,681.4999999999997,15646420.0,1501094.0,5523491.0,5881124.0,1962740.0,777971.0,463.40000000000003,2303288.0,3050316.0,1816.8999999999994,2140.4,842.6999999999999,1966769.9000000004,18611637.58,20578407.509999994,454.00000000000006,4346.0,136.29000000000002,936825.6000000002,9521912.0,649.0300000000001,55.19999999999995,96718,0,0,720473238.1999998,1347913.8500000006,1325153.05,1475460.3499999999,2648781.2000000007,3507863.400000001,156.7335,47.828447383000004,0,0,0,64540.0,0.0,1.0,0,0,0,651836289.3801999,-9470949.125799999,0.12306828400000006,23.000913452999995,167044896,285895897.706,-9349989.7972,0.38833531400000004,67.206040768,-103921896.0,21652107.479600005,-203068.84539999996,0.8717381160000001,106.01955315000002,-2920332.0,626498468.0,-3392072.0,-0.223695652,-6.889659907000002,-230618400,47.828447383000004,-1.4982756069999998,-1.174370606,-95.83889224700003,-975.3612671999992,649.0300000000001,-7.54,-0.484294504,-39.47329400899999,-1056,0.0,0.0,0.0,0.0,-9545852160,0.0,0.0,0.0,0.0,13060595232,0.0,0.0,0.0,0.0,1006458489.6000009,0.0,0.0,0.0,0.0,-234458032800,0.0,0.0,0.0,0.0,-1137.1054368000007,0.0,0.0,0.0,0.0,-2976,1241,113,48,59009986.57999999,34258057.58,9.218740959668112,384,384,0,384,0,384,0,384,0,0,0,384,0,0,0
1,0,2011,1377480,662427329.3718002,278385914.7986,662427329.3718002,278385914.7986,21140095.2428,649158889.0,42.02265161100001,34252840658,40510464.0,27900698.0,8796039.0,544639.0,1184936.0,1174881.0,1285892.0,39497566.0,0.0,0.0,0.0,1066.2,3044.5000000000005,689.2999999999998,15640173.0,1526899.0,5565147.0,5859740.0,1930743.0,757644.0,461.14000000000016,2329499.0,3124212.0,1805.3,2106.9,887.8,1777289.3199999998,18690243.669999998,20467533.000000004,417.11000000000007,4382.889999999999,172.55999999999995,936825.6000000002,9499627.0,648.1900000000002,53.75999999999997,96718,0,0,727057955.68,1327128.3200000003,1315866.7199999997,1440199.0400000003,2609038.8800000004,3499117.4400000004,193.2671999999999,47.065369807,0,0,0,64540.0,0.0,1.0,0,0,0,662427329.3718002,10591039.991600003,1.532322951,165.48417787900007,167044896,278385914.7986,-7509982.907400001,-0.4872226589999999,-39.96454031799999,-103921896.0,21140095.2428,-512012.2368,-0.3283872569999998,-25.629931158000012,-2920332.0,649158889.0,22660421.0,2.1419707959999994,228.48995598200003,-230618400,47.065369807,-0.7630775759999999,-0.6591484959999999,-51.194475831,-975.3612671999992,648.1900000000002,-0.8400000000000001,-0.1575278479999999,-4.592008579999996,-1056,0.0,0.0,0.0,0.0,-9545852160,0.0,0.0,0.0,0.0,13060595232,0.0,0.0,0.0,0.0,1006458489.6000009,0.0,0.0,0.0,0.0,-234458032800,0.0,0.0,0.0,0.0,-1137.1054368000007,0.0,0.0,0.0,0.0,-2976,1241,113,48,59200707.67,34330416.67,9.146354936909711,432,384,48,432,0,432,0,384,48,0,0,432,0,0,0
