CLUSTER_GT_NEW_11,RAIL_FLAG,Year,CLUSTER_GT_ORIGINAL,CLUSTER_APTA,CLUSTER_APTA_GROUPED,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
1,0,2002,33,891,80,0,196177021.2,0,173608090.2,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2003,34,922,83,196177021.2,194379100,-4299206.025,173202806.7,-2069940.373,6426928.296,0.633923647,1324720.612,1.621939147,8.08140918,0.253269643,-2278198.4,-8945734.353,4024616.749,7857962.026,355806.53,-1482664.55,-468211.9978,-323071.7891,-11263844.83,3754916.699,7083386.189,29159.31663,-1350485.959,-3474105.363
1,0,2004,37,1011,91,194379100,214130580.1,11368916.69,207767883.7,26857416.45,6479581.078,0.513299914,1352388.334,1.907546106,8.238486603,0.245745351,1522649.334,16272650.13,4502061.092,8973169.487,337111.5812,-1362386.454,30245255.17,1901992.426,13661220.98,4027271.756,8259284.079,209504.791,-1201857.583,25495685.17
1,0,2005,37,1011,91,214130580.1,226789193.7,12658613.61,218432538.3,10664654.55,6023429.964,0.589285748,1311771.898,2.32422515,8.264881952,0.233120147,174158.96,-6465768.494,4658770.87,12835257.37,310942.2047,-1254237.477,10259123.43,1068231.429,-6318763.821,4531415.887,12340777.06,264406.5503,-1221412.554,9377551.363
1,0,2006,37,1011,91,226789193.7,235337525.5,8548331.795,229533373.1,11100834.83,5829830.937,0.623141334,1312053.395,2.638073019,8.471127011,0.222540248,225726.0376,-1735569.484,6030542.164,9096072.427,616255.7536,-1427540.492,12805486.41,461771.9702,-3230455.967,5878283.23,8838455.473,545354.7001,-1392574.579,9706622.661
1,0,2007,38,1042,94,235337525.5,240914643.4,2472177.954,234023792.9,817306.585,5753450.394,0.680074466,1313326.751,2.871457717,8.375239406,0.220125367,894034.625,-6030707.268,1473832.287,6474386.25,-317553.4356,-447096.3845,2046896.074,999847.1414,-6897657.374,1151384.084,5794907.394,123441.88,-354616.5403,449853.2407
1,0,2008,38,1042,94,240914643.4,257566148.8,16651505.4,245988972.2,11965179.29,5824593.324,0.717528658,1304518.326,3.32657123,8.676291463,0.215952228,1479682.749,-3014129.941,748754.1001,12032910.46,881649.3198,-435517.8183,11693348.87,1561324.616,-2928311.588,768529.4596,12028144.79,974000.783,-438508.7761,11519304.55
1,0,2009,38,1042,94,257566148.8,245701463.7,-11864685.11,215675522.4,-30313449.74,5639628.805,0.76068451,1267101.28,2.430655884,8.769900053,0.214548656,-802611.0303,-5147429.112,-1303973.484,-25133428.24,304401.2964,-406983.6292,-32490024.2,-581893.1588,-4876963.896,-1199422.469,-23539849.95,261011.3021,-376331.5746,-30666570.45
1,0,2010,38,1042,94,245701463.7,240070284.1,-5631179.58,227686266.8,12010744.41,5388985.076,0.778217142,1249756.628,2.872440304,9.184558585,0.212270127,-328002.9781,-2313163.677,782466.8238,13460279.42,1743094.121,-452898.3499,12891775.36,-146187.5762,-1727138.327,654050.7056,12017549.63,1608239.674,-395769.7005,11659017.35
1,0,2011,38,1042,94,240070284.1,244954966.1,4884681.964,253987405.2,26301138.41,5242431.204,0.724388084,1227814.122,3.624173706,9.235910348,0.210154282,-799458.8186,7563102.27,371927.8048,19546840.57,117893.6745,-279509.5055,26520796,-653762.1426,8471700.266,373942.8197,18354109.79,25260.46179,-270112.7916,26034779.87
