,ID,Year,BUS_FLAG,RAIL_FLAG,CBSA, UPT ,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,TNC_FLAG,YEARS_SINCE_TNC,FARE_TOTAL_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,FARE_per_UPT_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,walkscore,transit,bike,Bus_UPT_ADJ,Bus_VRM_ADJ,Bus_VRH_ADJ,Bus_FARE_TOTAL,Bus_FARE_per_UPT_2018,Bus_AVG_SPEED,Rail_UPT_ADJ,Rail_VRM_ADJ,Rail_VRH_ADJ,Rail_FARE_TOTAL,Rail_FARE_per_UPT_2018,Rail_AVG_SPEED,CLUSTER_APTA,CLUSTER_GT,CLUSTER_APTA_HML
252,"Knoxville, TN Metro Area-Bus",2018,1,0,0," (140,006)",161702.514,-140006.21,161702.514,9570.3066,-134854,-0.017164413,0,28936.75,10309.75,17444.5,-974.25,5039,5283.25,4512.25,31879,-3.67,-0.15,3.8,-0.2,-0.9,1.1,13680,-5785,-325.25,7860,8557.5,3372.75,-1.91,8556.5,14549.5,-8.1,2.1,6,-8255.53,29264.88,21009.34,-2.59,2.59,-0.64,,596.75,0.21,-0.06,0,0,4,-240708.16,3651.14,3986.65,2914.03,5847.44,10690.42,-0.8416,-0.05586813,0,1,0,0,,1,80,0,60,-140006.21,161702.514,9570.3066,-134854,-0.05586813,0.21,0,0,0,0,0,0,34,3,3
3,"Albany, GA Metro Area-Bus",2018,1,0,0," (143,198)",70393,-143198,70393,2478,-99185.75,-0.016610924,0,-2528.75,3702.5,-7035,209.25,441.25,847.25,2355.5,-3296.5,-0.72,-1.52,2.4,-1.7,-0.15,1.85,4,-1278,867.5,1323.75,-1227,317.75,-2.22,6884.25,4049.25,-5.92,3.83,2.1,-2326.11,4649.01,2322.9,-3.66,3.66,-0.7,,-395.75,0.77,-0.06,0,1,1,-131338.49,-866.93,-326.17,803.72,4539.99,970.89,-0.9046,-0.053020117,0,0,0,0,,1,59,0,50,-143198,70393,2478,-99185.75,-0.053020117,0.77,0,0,0,0,0,0,34,1,3
47,"Billings, MT Metro Area-Bus",2018,1,0,0," (146,555)",47226,-146555,47226,1777,81764.5,0.362854373,0,6420.5,1201,1956.75,156.25,4152.25,3025.5,4294,4727.75,-1.27,-4.02,5.3,0.43,-2.37,1.95,5642,590.5,495.5,843.5,4247.25,-534.75,0.38,7207,7310.75,-0.67,-2,2.68,-230.53,1992.18,1761.65,-0.34,0.34,-0.51,,-1369,0.53,-0.06,0,1,2,62213.98,2570.71,1447.92,2689.3,4140.34,2954.45,-0.714,0.329918861,0,0,0,,,0,83,0,63,-146555,47226,1777,81764.5,0.329918861,0.53,0,0,0,0,0,0,32,2,3
191,"Green Bay, WI Metro Area-Bus",2018,1,0,0," (153,370)",137777,-153370,137777,7822,-449320,-0.266577044,0,7308.75,16696,-8322.75,-54,4607.5,3361,10231,7403.5,-2.9,0.28,2.63,-0.35,-1.07,1.43,5339.5,-1160.25,-2970.25,3349.5,4294.5,1826,-1.14,9872.75,15646.25,-5.12,-1.82,6.95,-3608.09,10650.26,7042.17,-2.25,2.25,-0.64,,-19.75,0.3,-0.06,0,0,4,-510382.48,2917.06,1600.3,8648.38,6680.27,11675.87,-0.8416,-0.309301831,0,0,0,0,,1,82,44,91,-153370,137777,7822,-449320,-0.309301831,0.3,0,0,0,0,0,0,32,2,3
526,"Vallejo-Fairfield, CA Metro Area-Bus",2018,1,0,0," (164,698)",125280.972,-164698.054,125280.972,19546.4375,-554619.5,-0.049679655,0,19294,7743,4914.75,2519.25,7536.5,9667.75,5118.75,18372.25,-3.8,-1.72,5.5,-1,-1.37,2.38,8197.75,698,1704,-6695,244.5,12246.25,0.17,13173,18711.5,-6.07,-4.02,10.1,-7155.27,12815,5659.73,-3.63,3.63,-0.31,,8807.25,-1.51,-0.06,0,1,2,-934912.76,5697.08,7855.27,2808.45,9093.06,13693.94,-0.5326,-0.212416437,0,0,0,,,0,87,0,64,-164698.054,125280.972,19546.4375,-554619.5,-0.212416437,-1.51,0,0,0,0,0,0,32,2,3
514,"Terre Haute, IN Metro Area-Bus",2018,1,0,0," (167,798)",-14212,-167798,-14212,-7134,-76735,-0.005371535,0,-9194.25,-4112.75,-2019,-264.75,1789.75,1068.75,5383,-8432.25,-2,-0.85,2.8,-0.27,-1.47,1.75,36.75,1223,993,-3113,-927.25,1861,1.87,1053.25,7393.5,-0.37,-0.5,0.88,-2385.76,2038.88,-346.88,-3.05,3.05,-0.64,,-436.5,2.06,-0.06,0,1,1,-87769.06,520.33,-230.55,4298.62,-1463.93,4077.42,-0.8416,-0.032346511,0,0,0,,,0,75,0,78,-167798,-14212,-7134,-76735,-0.032346511,2.06,0,0,0,0,0,0,34,3,3
550,"Yakima, WA Metro Area-Bus",2018,1,0,0," (167,886)",-610427,-167886,-610427,-46762,135515.5,0.276745626,0,3125.25,-233.5,1334,1764,1752,-970,-294,3210.75,-2.32,1.18,1.05,-0.22,-0.62,0.85,3018,-1153.75,3017.25,1648,-1449,955.5,-1.62,2017.25,-208.25,-3.15,2.48,0.68,-2385.45,13546.94,11161.49,-2.58,2.58,-0.31,,-729,14.96,-0.06,0,1,2,77995.48,439.26,-2394.58,-1820.28,-661.63,-3772.55,-0.5326,0.227126979,0,0,0,,,0,90,36,60,-167886,-610427,-46762,135515.5,0.227126979,14.96,0,0,0,0,0,0,31,2,3
231,"Jackson, TN Metro Area-Bus",2018,1,0,0," (168,556)",10219,-168556,10219,2794,-53048.5,0.147772652,0,-1247.75,-1175.5,450.5,-228.5,4534.25,3462.5,3815.75,-1739.25,-3.37,-3.32,6.7,-1.62,-0.22,1.85,-1684.25,-212,-1269.75,-1586.75,570.25,814,-0.15,3084.75,8943.75,-2.87,-2.37,5.25,-1450.81,4843.22,3392.42,-2.91,2.91,-0.64,,,-0.75,-0.06,0,0,4,-75637.06,3250.19,2221.4,2308.55,664.47,5709.09,-0.8416,0.107931884,0,0,0,0,,1,66,0,56,-168556,10219,2794,-53048.5,0.107931884,-0.75,0,0,0,0,0,0,34,3,3
272,"Lawrence, KS Metro Area-Bus",2018,1,0,0," (173,030)",282209,-173030,282209,22563,1999966,0.762526595,0,5569.5,3555.5,3028.25,-263.25,2934,5110.25,-2466,5843.5,-3.92,1.93,2.05,-0.55,-1.32,1.88,4661,-1228,2358.75,3185.25,-52.25,397.25,-3.17,7402,14495.75,-7.45,-1.1,8.55,-661.06,1336.94,675.89,-1.05,1.05,-0.64,,1816.25,0.46,-0.06,0,1,3,1816087.66,1624.2,3823.85,-4001.34,4488.1,10810.19,-0.8416,0.701754089,0,0,0,0,,1,82,0,93,-173030,282209,22563,1999966,0.701754089,0.46,0,0,0,0,0,0,31,2,3
480,"Sioux Falls, SD Metro Area-Bus",2018,1,0,0," (173,228)",-12988,-173228,-12988,-1284,-192042,-0.112667898,0,14837.5,5541.75,4369.25,1816.75,2673.25,4530.75,1234,12830,-5.12,0.88,4.25,-0.05,-1.15,1.2,11224.25,-1332.5,5658.5,1355.75,2848.5,2694,-1.76,7768,7759.5,-3.52,-1.95,5.48,-142.78,9961.36,9818.58,-0.28,0.28,-0.64,,-908,0.03,-0.06,0,0,0,-226429.68,840.43,2694.93,-626.9,4237.06,3280.5,-0.8416,-0.148662484,0,0,0,,,0,90,0,84,-173228,-12988,-1284,-192042,-0.148662484,0.03,0,0,0,0,0,0,32,2,3
