CLUSTER_APTA_GROUPED,RAIL_FLAG,Year,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_APTA,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
1,0,2002,248,184,290,0,3337000799,0,2934124545,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2003,248,184,290,3337000799,3295684045,-41316753.99,2980020910,45896365.06,139051915.3,0.836939067,14591205.78,1.644018539,18.52650901,0.610739551,-80992.05526,-48718745.46,46568052.2,139811235.7,-11583698.66,-38099464.43,87896387.3,-15774651.97,-75095199.5,47954776.51,136537628.8,-11008012.95,-36718175.82,1999028.558
1,0,2004,248,184,290,3295684045,3330862702,35178656.71,3121375617,141354706.6,143660336.3,0.887355758,14739873.71,1.93294005,18.18627442,0.588063553,32364915.77,-40160885.22,59267493.32,154639876.1,-11577370.77,-35897858.05,158636171.1,28003294.46,-33580682.44,52202344.45,136125768.9,-10133988.13,-31262030.72,113471344
1,0,2005,248,184,290,3330862702,3412317264,81454562.85,3287135554,165759936.9,145050350.8,0.873200612,15025466.27,2.349381195,17.9743314,0.568657923,-4357671.626,30023769.57,60015412.35,200802319.4,-11300351.56,-32513989.75,242669488.3,-3739232.364,-33886740.95,55248591.97,188636361.2,-10381989.57,-30117053.45,137463996
1,0,2006,248,184,290,3412317264,3377732343,-34584921.46,2970309160,-316826393.6,138795242.4,1.43717575,15562341.43,2.665398272,17.85565524,0.549719957,-31337083.9,-425185564.5,73604926.84,138488253,-14802112.84,-38211704.03,-297443285.5,-32143088.27,-440432025,72094449.15,135458112.8,-14596144.12,-37207698.16,-353317886.9
1,0,2007,248,184,290,3377732343,3346410507,-31321835.55,3413047747,442738587.3,149566333.9,0.985072085,15442042.05,2.875112736,17.60887558,0.543259336,63642918.91,455267317.5,19133552.03,83910798.52,-1205441.061,-10772572.28,609976573.6,50224615.65,307689124.9,20178835.86,78037660.27,-2997130.89,-10394518.54,431301765.9
1,0,2008,248,184,290,3346410507,3452291417,105880909.4,3662435658,249387910.7,149112832.7,0.939169915,15341540.19,3.348758247,17.45645544,0.530812684,17518390.7,63656072.31,21041661.85,174361565.9,6167545.403,-17325662.88,265419573.3,17867538.38,44175374.12,21487692.86,177323604.1,6491068.812,-17957367.56,230677323.9
1,0,2009,248,184,290,3452291417,3332786402,-119505014.5,3215778223,-446657435.5,149711211.1,1.004848108,15145238.22,2.441011205,17.52468759,0.520498685,5666033.949,-69961081.12,-11220760.99,-338830276,9591188.655,-16521311.14,-421276206.6,6792359.38,-82795625.9,-12277740.74,-351270947.1,9706809.516,-16812290.59,-463882584.6
1,0,2010,248,184,290,3332786402,3241865359,-90921043.71,3240367893,24589670.02,138364223,1.076416883,15123665.77,2.876973892,17.86759122,0.51880696,-67839840.45,-79202427.55,-2458406.161,179521748.6,13749356.15,-4954948.531,38815482.09,-53465063.96,-88869817.66,-744306.4929,158003607.8,14229898.49,-4564648.127,19752883.62
1,0,2011,248,184,290,3241865359,3240729678,-1135680.34,3380150547,139782654.6,135712847.6,1.228682384,15292338.25,3.624918252,18.26891672,0.510226766,-26791294.19,-108279151.2,22672284.99,262669887.8,16905608.03,-14120186.63,153057148.8,-25516655.35,-109971067,21652191.27,251172382,15876207.68,-13430403.95,126918036.6
