CLUSTER_GT,RAIL_FLAG,Year,CLUSTER_APTA,CLUSTER_APTA_HML,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled
1,0,2002,1090.0,99,0.0,627423715.3441002,0.0,547030557.492878,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2003,1121.0,102,627423715.3441002,626310440.6606998,-3614559.495400333,569487737.6301187,20286816.32903661,18537435.10712189,0.8984606052781264,2866608.1950922254,1.5964644388955354,9.724342500087594,0.29738517944027415,-276588.38751940837,-2740341.3164716405,6562251.41370468,19105262.06091665,-193357.45879500103,-1359553.388001029,21097672.923835177,1995372.2445510384,-3383698.099661148,6488085.561531226,16282652.222810686,90618.59301055523,-1186214.1932064702,19172032.189741015
1,0,2004,1210.0,110,626310440.6606998,627759392.1003997,-6933611.899499984,603948815.6557177,26848145.329470363,18271338.364080627,0.8167472214749474,2886025.8305237177,1.8823774162725697,9.646459625119501,0.2937147669079843,-392449.01486686716,-6878786.156288886,7808896.119085105,23365059.701534122,-331202.3142278551,-1181497.9943126857,22390020.340923283,420350.28900624614,-288627.9746499229,8164169.162057565,19776513.830455665,-131603.51122612774,-1092656.466173412,25761724.907158535
1,0,2005,1210.0,110,627759392.1003997,647238110.7684003,19478718.66800045,654720144.1847912,50771328.52907312,16695880.045338728,0.7528765279100166,2800774.857776031,2.2963342883946662,9.518275132113734,0.28628143141145457,-8547184.957711112,27057132.731430456,8302189.3812416475,30067383.646881998,-648733.1694030778,-930779.6515084781,55300007.980930604,-4967067.7611134825,17358536.05819902,10624739.572029069,29016637.24103537,-37246.75589274789,-1224269.8251832274,49430855.80027374
1,0,2006,1210.0,110,647238110.7684003,642102682.6458005,-5135428.122599866,658031106.6005462,3310962.415755175,16623855.5784234,0.8485708338940436,2846040.2911702273,2.614694619501429,9.374442970702002,0.277696560486495,-10619376.351924207,-21191874.98987128,11768485.285959201,20970359.3767751,-134686.28243198618,-1155962.1490017297,-363055.1104944907,-3943092.118163762,4539923.627492419,1056199.170794325,3126029.861941693,-2380383.3463724824,912285.2200641318,-16049206.24401842
1,0,2007,1241.0,113,642102682.6458005,650901242.6598002,5693620.0139998365,666356344.904569,4626137.427935521,17049438.481574394,0.8722663700764771,2884775.12870645,2.8499131579576265,9.143045690278225,0.2678138358702696,3859345.914726196,-13894408.654149473,2905214.893282749,14251146.521538805,-1451351.2354212254,-411479.56279786275,5258467.877179156,5591019.057338286,-16321790.996524274,2404509.116751631,14555542.552477825,-1260716.3694306293,-342425.932677285,4320842.364661877
1,0,2008,1241.0,113,650901242.6598002,681564264.4416002,30663021.78180014,691976624.4953235,25620279.590754613,16731081.553542018,0.8919249157947924,2855188.9038534705,3.300777852770898,9.322656049339912,0.2669293707040342,505681.910601215,-3789850.455157047,713367.915235907,25891626.769462638,1328280.530193281,-363275.25506335765,24285831.41527318,367287.10774960206,-4164447.7888541506,855240.7922150763,27484762.89588973,1445966.5283721455,-368529.94461838115,25243533.65140762
1,0,2009,1241.0,113,681564264.4416002,650788627.4359998,-30775637.00560035,611799765.8287752,-80176858.66654846,16712132.550875388,0.9628897787310648,2819028.896633988,2.396353103070687,9.584150053949584,0.2644174262198065,384628.20078803896,-23538571.872568008,-5641345.067560661,-54511624.72246919,2222590.282559589,-513512.7690546334,-81597835.94830638,1058894.2000910705,-23077721.096093927,-5341785.513468222,-54584878.21143406,2316036.554042748,-547404.5996844787,-80777422.27921359
1,0,2010,1241.0,113,650788627.4359998,642307792.0122,-8480835.423799872,631639070.5463471,19839304.71757199,16164781.459586885,0.9616079811718402,2824239.850967248,2.8388469311224975,9.790712414232992,0.2636471781581472,-6109618.359483262,-2957123.2333848537,630863.8363905492,28623450.59371308,1519717.675413687,-308780.29515936034,21398510.217490815,-6165837.23595667,-2957551.713436497,446820.6989740477,27336651.140028425,1458052.465079677,-278830.6371178736,19578598.667640872
1,0,2011,1241.0,113,642307792.0122,652403119.2827998,10095327.27059981,666257119.1793307,34618048.632983856,15662372.719278583,0.9834161120171905,2824591.2913962062,3.596251812849675,10.08091350889629,0.2621607847467692,-5274901.486027313,-6097146.664504294,2809393.230268552,42116283.21997303,2121957.9768527998,-327756.6724104736,35347829.60415201,-6358258.300173277,-6838832.950416612,2899683.134165188,42892861.37268797,2375188.585751265,-352593.209030404,34257334.23603773
1,0,2012,1241.0,113,652403119.2827998,653821209.6179999,1418090.3352000685,658917386.2905012,-7339732.888829555,14908901.709148768,1.0186984992429495,2808826.960746689,3.7117139247281323,10.042400891418716,0.25994821689095415,-5331559.217002952,-11435089.082801025,3993337.2965346123,5730942.851020827,-152203.1694070238,-181372.54946722803,-7375943.871122857,-4174055.615695073,-10864466.964271504,3886065.4825454634,5129376.476112343,-1149669.2783243107,-166982.98919670627,-7539805.064577298
