CLUSTER_APTA_HML,RAIL_FLAG,Year,CBSA,UPT,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,TNC_FLAG,YEARS_SINCE_TNC,FARE_TOTAL_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,FARE_per_UPT_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,walkscore,transit,bike,Bus_UPT_ADJ,Bus_UPT_ADJ_diff,Bus_UPT_ADJ_log,PCT_Bus_UPT_ADJ_rel_diff,Bus_UPT_ADJ_scale,Bus_VRM_ADJ,Bus_VRM_ADJ_diff,Bus_VRM_ADJ_log,PCT_Bus_VRM_ADJ_rel_diff,Bus_VRM_ADJ_scale,Bus_VRH_ADJ,Bus_VRH_ADJ_diff,Bus_VRH_ADJ_log,PCT_Bus_VRH_ADJ_rel_diff,Bus_VRH_ADJ_scale,Bus_FARE_TOTAL,Bus_FARE_TOTAL_diff,Bus_FARE_TOTAL_log,PCT_Bus_FARE_TOTAL_rel_diff,Bus_FARE_TOTAL_scale,Bus_FARE_per_UPT_2018,Bus_FARE_per_UPT_2018_diff,Bus_FARE_per_UPT_2018_log,PCT_Bus_FARE_per_UPT_2018_rel_diff,Bus_FARE_per_UPT_2018_scale,Bus_AVG_SPEED,Bus_AVG_SPEED_diff,Bus_AVG_SPEED_log,PCT_Bus_AVG_SPEED_rel_diff,Bus_AVG_SPEED_scale,Rail_UPT_ADJ,Rail_UPT_ADJ_diff,Rail_UPT_ADJ_log,PCT_Rail_UPT_ADJ_rel_diff,Rail_UPT_ADJ_scale,Rail_VRM_ADJ,Rail_VRM_ADJ_diff,Rail_VRM_ADJ_log,PCT_Rail_VRM_ADJ_rel_diff,Rail_VRM_ADJ_scale,Rail_VRH_ADJ,Rail_VRH_ADJ_diff,Rail_VRH_ADJ_log,PCT_Rail_VRH_ADJ_rel_diff,Rail_VRH_ADJ_scale,Rail_FARE_TOTAL,Rail_FARE_TOTAL_diff,Rail_FARE_TOTAL_log,PCT_Rail_FARE_TOTAL_rel_diff,Rail_FARE_TOTAL_scale,Rail_FARE_per_UPT_2018,Rail_FARE_per_UPT_2018_diff,Rail_FARE_per_UPT_2018_log,PCT_Rail_FARE_per_UPT_2018_rel_diff,Rail_FARE_per_UPT_2018_scale,Rail_AVG_SPEED,Rail_AVG_SPEED_diff,Rail_AVG_SPEED_log,PCT_Rail_AVG_SPEED_rel_diff,Rail_AVG_SPEED_scale,CLUSTER_APTA,CLUSTER_GT,BUS_FLAG,POP_EMP,HH_EMP,TSD_POP_PCT,YEARS_SINCE_2002,YEARS_2002_2010,YEARS_AFTER_2010,YEARS_2002_2014,YEARS_AFTER_2014,YEARS_SINCE_2002_BUS,YEARS_SINCE_2002_RAIL,YEARS_2002_2010_BUS,YEARS_AFTER_2010_BUS,YEARS_2002_2010_RAIL,YEARS_AFTER_2010_RAIL,YEARS_2002_2014_BUS,YEARS_AFTER_2014_BUS,YEARS_2002_2014_RAIL,YEARS_AFTER_2014_RAIL
1,0,2002,623960,3852681787.9599996,1143433457.8899999,3852681787.9599996,1143433457.8899999,81109452.48599999,3118773803.0,14.383760934,70607244291,95490025.10899998,48804043.986999996,24665798.7659,1616227.9688700002,575763.0156699999,561366.8906700001,698694.04694,99082094.08000001,229.47,160.73,1609.0999999999997,547.9900000000001,1256.6299999999997,195.38,38011135.919999994,5060903.219999999,12655852.69,13968477.709999999,4529975.9,1795926.41,198.25000000000006,930795.2656800002,1237369.6562900003,745.65,925.1500000000001,329.21,3167983.7600000002,50052028.47999999,53220012.24999999,117.76,1882.2399999999998,28.29,0.0,45595375.0,267.0,27.99999999999999,40242,0,0,4366283323.8,806068.22192,785913.6469200001,978171.6656899999,1303113.37193,1732317.5188300002,39.60600000000001,20.137265306,0,0,0,36252.0,0.0,0.0,0,0,0,3852681787.9599996,0.0,0.0,0.0,69602040,1143433457.8899999,0.0,0.0,0.0,-43300790.0,81109452.48599999,0.0,0.0,0.0,-1216805.0,3118773803.0,0.0,0.0,0.0,-96091000,20.137265307,0.0,0.0,0.0,-406.40052800000007,267.0,0.0,0.0,0.0,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,145542053.589,88063164.39999999,9.645279650973109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2003,623960,3772925884.07,1145332650.5900002,3772925884.07,1145332650.5900002,95149332.55199999,3123139857.0,14.261295468,70607244291,98481101.56899998,50437451.068,25258584.940500002,1622532.125,577226.9375,558525.4375,702457.8125,100741688.7,228.12999999999997,158.30000000000004,1613.0900000000001,535.95,1262.1,201.98999999999998,38191501.410000004,5014853.15,12774953.330000002,13964091.090000002,4594840.46,1842763.4699999997,196.87999999999997,990874.9375,1318934.375,709.2499999999999,919.53,371.2699999999999,3212573.6199999996,50039784.83,53252358.43000001,119.64999999999998,1880.3500000000001,33.24,0.0,45246702.0,254.87,27.400000000000013,40242,0,0,4278701603.6,790800.9044199999,765179.8494200001,962367.20319,1357498.6644300001,1806940.0938300001,45.53880000000001,19.537974791,0,0,0,36252.0,0.0,0.0,0,0,0,3772925884.07,-79755903.89000002,-0.3737831629999999,-32.262623313999995,69602040,1145332650.5900002,1899192.700000003,0.20663930800000005,34.579676418999995,-43300790.0,95149332.55199999,14039880.066000002,0.9428511079999999,138.22397347700002,-1216805.0,3123139857.0,4366054.0,-0.745740976,-41.719449533,-96091000,19.537974791,-0.5992905159999999,-0.8051877489999999,-32.767083471999996,-406.40052800000007,254.87,-12.130000000000003,-0.7362732479999998,-49.612880550999996,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,148520886.399,88231286.24,9.245603532423493,20,20,0,20,0,20,0,20,0,0,0,20,0,0,0
1,0,2004,623960,3869629914.98,1188356282.69,3869629914.98,1188356282.69,98007808.09599999,3264784835.0,14.888637222,70607244291,101517461.75,52095920.75,25861019.25,1628383.5,578193.25,555146.25,705566.75,102419734.25,226.88000000000005,155.87,1617.0300000000002,523.79,1267.65,208.70999999999998,38369950.5,4968186.5,12895927.75,13956981.75,4659716.25,1889138.25,195.58999999999997,1051048.25,1400305.5,672.79,914.09,413.3,2898173.17,50678732.34,53576905.5,106.96999999999998,1893.03,39.010000000000005,0.0,44898029.0,259.27,26.599999999999987,40242,0,0,4342163830.2,768997.0225000001,738344.5125,938403.7775,1397894.1725,1862406.3149999997,51.8833,19.801887508,0,0,0,36252.0,0.0,0.0,0,0,0,3869629914.98,96704030.91000001,0.23850957800000003,33.732232896,69602040,1188356282.69,43023632.1,0.485726927,53.939784184,-43300790.0,98007808.09599999,2858475.5439999998,0.18168889200000002,23.760347149000005,-1216805.0,3264784835.0,141644978.0,1.3665513360000001,169.53764447999998,-96091000,19.801887509,0.263912718,0.5354058110000002,84.775190092,-406.40052800000007,259.27,4.4,0.30359618399999994,32.868233979,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,152196194.09,89048682.84,8.870900592022691,40,40,0,40,0,40,0,40,0,0,0,40,0,0,0
1,0,2005,623960,3964302841.63,1184313104.99,3964302841.63,1184313104.99,97000178.272,3389273286.0,15.17083299,70607244291,104372687.0,53654140.0,26424861.0,1636046.0,581150.0,553918.0,711295.0,104023976.0,225.20000000000002,153.4,1621.2,512.1,1272.9,215.0,38556065.0,4923986.0,13009407.0,13960763.0,4724547.0,1937362.0,194.07,1110847.0,1482451.0,636.7,908.0,455.3,2625173.99,51607943.17,54233117.18000001,96.19,1903.81,47.23999999999999,3143763.2000000007,44549356.0,259.65999999999997,25.79999999999999,40242,0,0,4372162538.459999,749683.5,714554.2200000001,917570.5499999999,1432992.6300000001,1912361.7900000003,60.939599999999984,19.570374557999997,0,0,0,36252.0,0.0,0.0,0,0,0,3964302841.63,94672926.64999999,0.38440887799999995,41.505418142,69602040,1184313104.99,-4043177.7,-0.278626204,-25.329019819000003,-43300790.0,97000178.272,-1007629.824,-0.263443512,-23.226169094,-1216805.0,3389273286.0,124488451.0,0.851610688,92.00753611399999,-96091000,19.570374558999998,-0.23151295,-0.14353266600000003,-9.375419272000006,-406.40052800000007,259.65999999999997,0.39000000000000035,-0.013851026000000044,4.157312619999999,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,155980630.17000002,90164008.17,8.535955297813524,60,60,0,60,0,60,0,60,0,0,0,60,0,0,0
1,0,2006,623960,3955796034.77,1160964215.28,3955796034.77,1160964215.28,96392266.907,5165288690.0,16.603178386,70607244291,107952452.0,55613361.0,27143073.0,1636464.0,576145.0,544086.0,706546.0,105923433.0,225.09999999999997,150.8,1624.1,498.29999999999995,1279.0,222.7,38711518.0,4869921.0,13152867.0,13920982.0,4789558.0,1978190.0,193.19,1172144.0,1561499.0,598.7,904.0999999999999,497.20000000000005,2379324.9800000004,52682286.160000004,55061611.16,85.77999999999999,1914.2199999999998,53.45999999999998,3143763.2000000007,44200683.0,253.53,25.0,40242,0,0,6456610863.1,720181.25,680107.5,883182.5,1465180.0,1951873.75,66.825,20.75397298,0,0,0,36252.0,0.0,0.0,0,0,0,3955796034.77,-8506806.86,0.15878022100000005,18.340837693,69602040,1160964215.28,-23348889.71,-0.087655451,-6.744021053999998,-43300790.0,96392266.907,-607911.365,0.31125553499999997,33.656751144999994,-1216805.0,5165288690.0,1776015404.0,0.7739139309999999,138.538619074,-96091000,20.753972977999997,1.183598419,-0.014839632999999911,66.67819538600003,-406.40052800000007,253.53,-6.130000000000001,-0.40068538699999995,-36.042067164,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,160634738.16,91393804.16,8.170368445795201,80,80,0,80,0,80,0,80,0,0,0,80,0,0,0
1,0,2007,623960,3918656170.3199997,1209382017.56,3918656170.3199997,1209382017.56,101544252.681,3553091255.0,16.210626048,70607244291,108634058.0,55968575.0,27243804.0,1665860.0,602987.0,568669.0,743706.0,106642029.0,218.8,148.90000000000003,1632.3000000000002,493.09999999999997,1281.9,224.99999999999997,38989617.0,4855314.0,13176404.0,14055450.0,4853848.0,2048601.0,190.04999999999998,1227448.0,1652937.0,568.5999999999999,891.6999999999998,539.7,2381279.6899999995,53390839.93,55772119.57,83.88,1916.1200000000001,57.929999999999986,3143763.2000000007,43852010.0,252.04999999999998,24.20000000000001,40242,0,0,4299240418.089999,729614.2700000001,688089.49,899884.2599999999,1485212.08,2000053.7699999993,70.09530000000001,19.614857517999994,0,0,0,36252.0,0.0,0.0,0,0,0,3918656170.3199997,-37139864.45,0.22202904,25.387344989999995,69602040,1209382017.56,48417802.28000001,0.5137176400000001,53.495228665999996,-43300790.0,101544252.681,5151985.774,0.614861322,64.462986255,-1216805.0,3553091255.0,-1612197435.0,0.9694373059999997,171.8876313119999,-96091000,19.614857517999994,-1.13911546,0.09694443400000005,59.00175187,-406.40052800000007,252.04999999999998,-1.48,-0.101293985,-9.235090004,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,162024897.92999998,92380456.93,8.026085003940635,100,100,0,100,0,100,0,100,0,0,0,100,0,0,0
1,0,2008,623960,4031396446.4200006,1225780417.56,4031396446.4200006,1225780417.56,102877117.778,3738795069.0,16.423968931,70607244291,109656726.0,56707699.0,27415069.0,1796897.0,622982.0,581785.0,767960.0,107651679.0,221.9,149.39999999999998,1628.5,489.6,1280.5,229.89999999999995,39319763.0,4926075.0,13403909.0,14049131.0,4895194.0,2045454.0,192.23000000000008,1276177.0,1715057.0,548.0999999999999,877.0999999999999,574.8000000000001,3098320.52,53478740.440000005,56577060.92000001,107.11,1892.89,67.28999999999999,3143763.2000000007,43503337.0,253.07,23.400000000000006,40242,0,0,4374390230.56,728888.9399999998,680688.45,898513.2000000002,1493127.0899999999,2006616.6900000002,78.72930000000002,19.216043649,0,0,0,36252.0,0.0,1.0,0,0,0,4031396446.4200006,112740276.1,0.6813055170000001,71.997671794,69602040,1225780417.56,16398400.0,0.30973479699999995,32.844497366000006,-43300790.0,102877117.778,1332865.0969999998,0.241916305,26.126392006000003,-1216805.0,3738795069.0,185703814.0,0.9294461560000001,97.24980262899999,-96091000,19.216043651,-0.398813867,-0.424191575,-36.460797833,-406.40052800000007,253.07,1.0199999999999996,0.06768354000000001,7.2898999510000015,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,163135466.44,92798503.44000001,7.872754319108076,120,120,0,120,0,120,0,120,0,0,0,120,0,0,0
1,0,2009,623960,3871645625.5600004,1226347841.53,3871645625.5600004,1226347841.53,102744743.946,3862935234.0,18.308465261,70607244291,110989919.0,57663772.0,27599157.0,1808207.0,594507.0,558924.0,743119.0,108950908.0,241.20000000000005,156.8,1602.3,486.69999999999993,1282.6999999999998,230.60000000000002,39390296.0,4996193.0,13477447.0,14043698.0,4831817.0,2041141.0,195.16,1229549.0,1653027.0,577.6,876.1,546.3,5030926.75,51606428.09,56637354.839999996,174.88,1825.12,49.26999999999999,3143763.2000000007,43154664.0,252.94000000000003,23.400000000000006,40242,0,0,4519634223.47,695573.19,653941.0800000001,869449.23,1438572.33,1934041.5899999999,57.64589999999998,21.420904356999998,0,0,0,36252.0,0.0,1.0,0,0,0,3871645625.5600004,-159750820.85999998,-0.9343634679999999,-89.74008198500002,69602040,1226347841.53,567423.9699999994,-0.020159649,-0.8865467399999983,-43300790.0,102744743.946,-132373.83199999997,-0.0027217279999999996,0.5675830769999979,-1216805.0,3862935234.0,124140165.0,1.2522422210000002,135.34121685799997,-96091000,21.420904356999998,2.204860706,2.1866056890000003,242.18802705700006,-406.40052800000007,252.94000000000003,-0.1300000000000004,-0.01748433299999999,-0.5405913309999977,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,162596347.08999997,90996724.09,7.687375349189512,140,140,0,140,0,140,0,140,0,0,0,140,0,0,0
1,0,2010,623960,3765330549.6500006,1164772303.7799997,3765330549.6500006,1164772303.7799997,99256059.045,3903405181.0,18.975282830999998,70607244291,110741118.0,57168481.0,27185314.0,1838220.0,591259.0,557874.0,741022.0,108787524.0,0.0,0.0,0.0,479.0,1285.9999999999998,235.00000000000003,39838722.0,5110066.0,13649615.0,14207768.0,4862505.0,2008768.0,198.36999999999998,1209326.0,1625730.0,593.6,862.3000000000001,544.1000000000001,5336072.3100000005,51710067.23,57046139.59,184.19,1815.8100000000002,57.999999999999986,3143763.2000000007,42805991.0,246.78999999999996,22.999999999999993,40242,2,0,4488915958.249999,679947.8500000001,641555.1000000001,852175.3,1390724.9,1869589.5,66.70000000000002,21.821575255,0,0,0,36252.0,0.0,3.0,0,0,0,3765330549.6500006,-106315075.90999998,-0.654460503,-63.235233742999995,69602040,1164772303.7799997,-61575537.74999999,-0.772725282,-72.631123717,-43300790.0,99256059.045,-3488684.9010000005,-0.29733670800000006,-25.377760420999998,-1216805.0,3903405181.0,40469947.0,0.09701480599999997,12.928277823999998,-96091000,21.821575253,0.40067089599999994,0.4066391750000001,45.624680909999995,-406.40052800000007,246.78999999999996,-6.1499999999999995,-0.47507822,-43.521866184,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,162451185.23,91548789.22999999,7.601967302126436,160,160,0,160,0,160,0,160,0,0,0,160,0,0,0
1,0,2011,623960,3765249399.71,1130962480.0700002,3765249399.71,1130962480.0700002,97024992.57800001,4172237840.0,19.932685544,70607244291,111831967.0,58029304.0,27212659.0,1858751.0,596704.0,558538.0,753340.0,109885223.0,0.0,0.0,0.0,473.99999999999994,1287.3000000000002,238.70000000000002,40077549.0,5245622.0,13844804.0,14213197.0,4806478.0,1967448.0,203.42,1220619.0,1664845.0,595.0000000000001,846.3000000000001,558.7,5036450.58,52368139.860000014,57404590.43000001,170.72,1829.2800000000002,72.66000000000001,3143763.2000000007,42457318.0,247.29000000000005,22.400000000000013,40242,6,2,4672906380.660001,668308.4800000001,625562.56,843740.8,1367093.28,1864626.4000000001,81.3792,22.324607812,0,0,0,36252.0,0.0,4.0,0,0,0,3765249399.71,-81149.93999999762,0.179680081,19.200825211999998,69602040,1130962480.0700002,-33809823.70999999,-0.6251726959999999,-59.75109295200001,-43300790.0,97024992.57800001,-2231066.467,-0.6581861910000001,-61.98630621399999,-1216805.0,4172237840.0,268832659.0,1.146581817,122.068766255,-96091000,22.324607813,0.5030325600000001,0.4382365990000001,47.94146546100001,-406.40052800000007,247.29000000000005,0.4999999999999999,0.033087104999999985,3.9180663199999994,-440,0.0,0.0,0.0,0.0,-3977438400,0.0,0.0,0.0,0.0,5441914680,0.0,0.0,0.0,0.0,419357703.9999999,0.0,0.0,0.0,0.0,-97690847000,0.0,0.0,0.0,0.0,-473.79393199999987,0.0,0.0,0.0,0.0,-1240,200,81,20,164200106.85999995,92445688.86000001,7.449424407767514,180,160,20,180,0,180,0,160,20,0,0,180,0,0,0
