,CLUSTER_APTA_GROUPED,RAIL_FLAG,Year,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_APTA,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,VRM_ADJ_LOG_FAC_CUM,UPT_IF_NO_CHANGE_IN VRM,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,POP_EMP_ADJ_LOG_FAC_CUM,UPT_IF_NO_CHANGE_IN POP_EMP,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,GasPrice_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,Total_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_GasPrice_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_Total_FAC_cumsum
0,1,0,2002,248,184,290,0.0,3337000799.0,0.0,2934124545.0,0.0,,,,,,,0.0,0.0,3337000799.0,0.0,0.0,0.0,3337000799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3337000799.0,3337000799.0,3337000799.0,3337000799.0,3337000799.0,3337000799.0,3337000799.0
1,1,0,2003,248,184,290,3337000799.0,3295684045.0,-41316753.99,2980020910.0,45896365.06,139051915.3,0.836939067,14591205.78,1.6440185390000002,18.52650901,0.610739551,-80992.05526000001,-80992.05526000001,3295603053.0,-48718745.46,46568052.2,46568052.2,3249115993.0,139811235.7,-11583698.66,-38099464.43,87896387.3,-15774651.97,-75095199.5,47954776.51,136537628.8,-11008012.95,-36718175.82,1999028.5580000002,-80992.05526000001,-48718745.46,46568052.2,139811235.7,-11583698.66,-38099464.43,87896387.3,3295765037.05526,3344402790.46,3249115992.8,3155872809.3,3307267743.66,3333783509.43,3207787657.7
2,1,0,2004,248,184,290,3295684045.0,3330862702.0,35178656.71,3121375617.0,141354706.6,143660336.3,0.887355758,14739873.71,1.93294005,18.18627442,0.588063553,32364915.77,32283923.71,3363146626.0,-40160885.22,59267493.32,105835545.5,3225027156.0,154639876.1,-11577370.77,-35897858.05,158636171.1,28003294.46,-33580682.44,52202344.45,136125768.9,-10133988.13,-31262030.72,113471344.0,32283923.71474,-88879630.68,105835545.52000001,294451111.79999995,-23161069.43,-73997322.47999999,246532558.39999998,3298578778.28526,3419742332.68,3225027156.48,3036411590.2,3354023771.43,3404860024.48,3084330143.6
3,1,0,2005,248,184,290,3330862702.0,3412317264.0,81454562.85,3287135554.0,165759936.9,145050350.8,0.873200612,15025466.27,2.349381195,17.974331399999997,0.568657923,-4357671.626,27926252.09,3440243516.0,30023769.57,60015412.35,165850957.9,3246466306.0,200802319.4,-11300351.56,-32513989.75,242669488.3,-3739232.3639999996,-33886740.95,55248591.97,188636361.2,-10381989.57,-30117053.45,137463996.0,27926252.08874,-58855861.11000001,165850957.87,495253431.1999999,-34461420.99,-106511312.22999999,489202046.7,3384391011.91126,3471173125.11,3246466306.13,2917063832.8,3446778684.99,3518828576.23,2923115217.3
4,1,0,2006,248,184,290,3412317264.0,3377732343.0,-34584921.46,2970309160.0,-316826393.6,138795242.4,1.43717575,15562341.43,2.665398272,17.85565524,0.549719957,-31337083.9,-3410831.811,3374321511.0,-425185564.5,73604926.84,239455884.7,3138276458.0,138488253.0,-14802112.84,-38211704.03,-297443285.5,-32143088.27,-440432025.0,72094449.15,135458112.8,-14596144.12,-37207698.16,-353317886.9,-3410831.81126,-484041425.61,239455884.71,633741684.1999999,-49263533.83,-144723016.26,191758761.2,3381143174.81126,3861773768.61,3138276458.29,2743990658.8,3426995876.83,3522455359.26,3185973581.8
5,1,0,2007,248,184,290,3377732343.0,3346410507.0,-31321835.55,3413047747.0,442738587.3,149566333.9,0.985072085,15442042.05,2.875112736,17.60887558,0.543259336,63642918.91,60232087.1,3406642594.0,455267317.5,19133552.03,258589436.7,3087821070.0,83910798.52,-1205441.061,-10772572.28,609976573.6,50224615.65,307689124.9,20178835.86,78037660.27,-2997130.89,-10394518.54,431301765.9,60232087.09874,-28774108.110000014,258589436.74,717652482.7199999,-50468974.890999995,-155495588.54,801735334.8,3286178419.90126,3375184615.11,3087821070.26,2628758024.28,3396879481.891,3501906095.54,2544675172.2
6,1,0,2008,248,184,290,3346410507.0,3452291417.0,105880909.4,3662435658.0,249387910.7,149112832.7,0.939169915,15341540.19,3.3487582469999997,17.45645544,0.530812684,17518390.7,77750477.8,3530041895.0,63656072.31,21041661.85,279631098.6,3172660318.0,174361565.9,6167545.403,-17325662.88,265419573.3,17867538.38,44175374.12,21487692.86,177323604.1,6491068.812000001,-17957367.56,230677323.9,77750477.79874,34881964.19999999,279631098.59000003,892014048.6199999,-44301429.488,-172821251.42,1067154908.0999999,3374540939.20126,3417409452.8,3172660318.41,2560277368.38,3496592846.488,3625112668.42,2385136508.9
7,1,0,2009,248,184,290,3452291417.0,3332786402.0,-119505014.5,3215778223.0,-446657435.5,149711211.1,1.004848108,15145238.22,2.441011205,17.52468759,0.520498685,5666033.949,83416511.75,3416202914.0,-69961081.12,-11220760.99,268410337.6,3064376064.0,-338830276.0,9591188.655,-16521311.14,-421276206.6,6792359.38,-82795625.9,-12277740.74,-351270947.1,9706809.516,-16812290.59,-463882584.6,83416511.74774,-35079116.92000002,268410337.60000002,553183772.6199999,-34710240.833,-189342562.56,645878701.4999999,3249369890.25226,3367865518.92,3064376064.4,2779602629.38,3367496642.833,3522128964.56,2686907700.5
8,1,0,2010,248,184,290,3332786402.0,3241865359.0,-90921043.71,3240367893.0,24589670.02,138364223.0,1.076416883,15123665.77,2.876973892,17.86759122,0.51880696,-67839840.45,15576671.3,3257442030.0,-79202427.55,-2458406.161,265951931.4,2975913428.0,179521748.6,13749356.15,-4954948.531,38815482.09,-53465063.96,-88869817.66,-744306.4929,158003607.8,14229898.49,-4564648.127,19752883.62,15576671.297739998,-114281544.47000001,265951931.439,732705521.2199999,-20960884.683,-194297511.091,684694183.5899999,3226288687.70226,3356146903.47,2975913427.561,2509159837.78,3262826243.683,3436162870.091,2557171175.41
9,1,0,2011,248,184,290,3241865359.0,3240729678.0,-1135680.34,3380150547.0,139782654.6,135712847.6,1.228682384,15292338.25,3.624918252,18.26891672,0.510226766,-26791294.19,-11214622.89,3229515055.0,-108279151.2,22672284.99,288624216.4,2952105462.0,262669887.8,16905608.03,-14120186.63,153057148.8,-25516655.35,-109971067.0,21652191.27,251172382.0,15876207.68,-13430403.95,126918036.6,-11214622.892260004,-222560695.67000002,288624216.429,995375409.02,-4055276.652999997,-208417697.721,837751332.3899999,3251944300.89226,3463290373.67,2952105461.571,2245354268.98,3244784954.653,3449147375.721,2402978345.61
10,1,0,2012,248,184,290,3240729678.0,3279373864.0,38644185.65,3693831445.0,313680898.0,132368876.5,1.032328248,15251371.59,3.758491186,18.07422378,0.507908018,-15266014.16,-26480637.05,3252893227.0,406369995.8,30342854.31,318967070.7,2960406793.0,40661891.38,752799.0551,-262325.4562,462599200.9,-14789201.24,252966804.3,31678000.36,42754365.42,1391904.996,-320975.8079,313285755.4,-26480637.052260004,183809300.13,318967070.739,1036037300.4,-3302477.597899997,-208680023.1772,1300350533.29,3305854501.05226,3095564563.87,2960406793.261,2243336563.6,3282676341.5979,3488053887.1772,1979023330.71
