,CLUSTER_GT,RAIL_FLAG,Year,UPT_ADJ_original,UPT_ADJ_difference,VRM_ADJ_original,VRM_ADJ_difference,FARE_per_UPT_original,FARE_per_UPT_difference,PCT_HH_NO_VEH_original,PCT_HH_NO_VEH_difference,POP_EMP_original,POP_EMP_difference,POP_CENSUSTRACT_original,POP_CENSUSTRACT_difference,GasPrice_original,GasPrice_difference
0,1,0,2002,639856848.3741,,297749018.947,,73.93285390999998,,372.3199999999999,,54471337.96133001,,9437502.0,,59.749999999999964,
1,1,0,2003,638293508.8507001,-4064624.3353999928,301614439.433,2464385.188,171.711573498,97.075374255,384.73999999999995,3.319999999999997,55604258.63850002,597170.6321700006,9515688.0,-21494.0,70.77,9.380000000000003
2,1,0,2004,640203201.9604,-6966121.229499998,306140094.829,-327751.9015999981,43.04909341999999,-131.000288777,412.8300000000001,2.8300000000000067,57385037.09,722694.7814999995,9642494.0,-22628.0,89.20000000000002,12.579999999999997
3,1,0,2005,659740494.6784002,19537292.718000006,294568113.483,-11571981.345999999,32.644329772,-10.404763648000001,414.60999999999996,1.7799999999999985,58176401.09,791363.9999999995,9619595.0,-22899.0,108.64999999999993,19.450000000000003
4,1,0,2006,654905215.2058002,-4835279.472599998,287187597.8122,-7380515.670799999,35.023487561,2.3791577889999984,414.85,0.2400000000000011,59089382.85,912981.76,9596696.0,-22899.0,123.3800000000001,14.730000000000004
5,1,0,2007,662744177.2298,4734022.023999993,294773696.24320006,6050645.430999996,38.42277749,2.3694800130000004,431.3999999999999,2.05,59384934.18,141011.08000000007,9588767.0,-22899.0,136.74999999999997,10.50999999999999
6,1,0,2008,693750966.3216,31006789.0918,294708289.4542001,-65406.78899999999,38.638213949000004,0.21543645899999947,432.2899999999999,0.8899999999999979,59433891.459999986,48957.28000000073,9566482.0,-22285.0,158.7399999999999,21.99000000000001
7,1,0,2009,661307238.5059999,-32443727.8156,295245887.5032,537598.0490000015,42.15959229899999,3.5213783500000018,436.03000000000003,3.740000000000011,58982071.63999999,-451819.8200000003,9544197.0,-22285.0,115.11000000000004,-43.629999999999995
8,1,0,2010,651836289.3801999,-9470949.125800002,285895897.706,-9349989.7972,41.589954246999994,-0.5696380520000004,463.40000000000003,27.369999999999994,59009986.57999999,27914.939999999944,9521912.0,-22285.0,136.29000000000002,21.17999999999999
9,1,0,2011,662427329.3718002,10591039.991600003,278385914.7986,-7509982.907399998,42.02265161100001,0.43269736400000003,461.14000000000016,-2.2600000000000007,59200707.67,190721.08999999962,9499627.0,-22285.0,172.55999999999995,36.27
10,1,0,2012,663533071.3689998,1105741.9972000134,271408748.868,-6977165.930599999,44.006634801,1.983983189999999,463.09000000000003,1.950000000000001,59478044.559999995,277336.89000000036,9508803.0,9176.0,178.2100000000001,5.650000000000005
11,1,0,2013,653285799.5871999,-10247271.78180001,271707812.26220006,299063.39420000114,45.86030961699999,1.8536748160000007,466.90999999999997,3.8199999999999967,59750540.64999999,272496.0899999997,9513069.0,4266.0,172.96000000000012,-5.250000000000002
12,1,0,2014,649705909.5806,-3579890.0066000028,275453765.46360004,3745953.201399997,46.57339182499999,0.7130822079999992,472.52,5.6100000000000065,60074255.43000001,323714.78000000044,9536047.0,22978.0,166.60000000000005,-6.360000000000001
13,1,0,2015,629274448.4439999,-20431461.136599995,284180220.78659993,8726455.322999997,47.852688425,1.2792966000000008,461.94000000000005,-10.579999999999991,60412203.71999999,337948.29000000027,9569165.0,33118.0,120.51,-46.09000000000002
14,1,0,2016,610716992.2853999,-18557456.158600003,290937627.4924,6757406.705800003,50.263750186,2.411061760999999,448.4599999999999,-13.48000000000001,60666500.02,254296.29999999912,9577817.0,8652.0,108.40000000000006,-12.110000000000003
15,1,0,2017,577309386.2899,-33407605.99549999,293943725.4292,3006097.9368,53.27275045,3.0090002640000013,438.6599999999999,-9.799999999999995,61027884.85,361384.83000000037,9590470.0,12653.0,122.32999999999998,13.93
16,1,0,2018,528839468.80469996,-48469917.4852,281308370.2253,-12635355.203900002,49.935694266000006,-3.337056184000007,427.3299999999999,-11.330000000000005,61331672.56999999,303787.7199999994,9602122.75,11652.75,137.18999999999997,14.859999999999998
17,1,1,2002,48662836.93440001,-175602004.35360003,16992579.5093,-95322633.76269999,10.330000900000002,1.7334261170000005,71.32,5.090000000000001,19872065.485,-945951.674999999,3763072.0,-77193.5,9.77,-10.200000000000001
