,CLUSTER_GT_8_GROUPS,RAIL_FLAG,Year,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CLUSTER_APTA,CLUSTER_APTA_GROUPED,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,Total_FAC_scaled,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,GasPrice_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,Total_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_GasPrice_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_Total_FAC_cumsum
0,100,0,2002,100,100,100,1,0.0,1323822038.0,0.0,1187317429.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1323822038.0,1323822038.0,1323822038.0,1323822038.0,1323822038.0,1323822038.0,1323822038.0
1,100,0,2003,100,100,100,1,1323822038.0,1281862733.0,-41959305.0,1158936553.0,-28380875.69,270698672.7,1.1041700079999999,26042245.27,1.64,31.36,0.778803991,-28082922.29,-46146692.1,14124304.0,54215725.47,-7667983.387,-16068715.92,-29626284.23,-26902392.49,-44206810.46,13530556.61,51936643.58,-7345642.186000001,-15393230.74,-43127016.8,-28082922.29,-46146692.1,14124304.0,54215725.47,-7667983.387,-16068715.92,-29626284.23,1309945655.29,1328009425.1,1267738429.0,1227647007.53,1289530716.387,1297931448.92,1311489017.23
2,100,0,2004,100,100,100,1,1281862733.0,1289530122.0,7667389.0,1209144863.0,50208310.15,285674876.3,1.160469932,26563773.75,1.93,31.0,0.7576963000000001,23448791.19,-24811238.08,20403669.55,60199747.08,-7636450.289,-15140382.98,56464136.47,20850831.24,-22062328.66,18143087.5,53530041.56,-6790385.694,-13462935.8,38236972.26,-4634131.099999998,-70957930.18,34527973.55,114415472.55,-15304433.675999999,-31209098.9,26837852.24,1294164253.1,1360488052.18,1255002148.45,1175114649.45,1304834555.676,1320739220.9,1262692269.76
3,100,0,2005,100,100,100,1,1289530122.0,1349312532.0,59782410.0,1312702254.0,103557390.2,292395695.3,1.11417281,27081157.5,2.35,30.68,0.738640231,10134208.72,20844082.15,19963910.07,78352948.81,-6830822.576,-13758456.74,108705870.4,9654236.727,19856873.79,19018388.04,74642030.5,-6507304.125,-13106834.69,91071315.75,5500077.620000003,-50113848.03000001,54491883.62,192768421.36,-22135256.252,-44967555.64,135543722.64000002,1343812454.38,1399426380.03,1294820648.38,1156544110.6399999,1371447788.252,1394280087.64,1213768809.36
4,100,0,2006,100,100,100,1,1349312532.0,1305932855.0,-43379677.0,919512569.7,-393189683.8,271397714.5,2.474937868,27655014.75,2.68,30.18,0.715800049,-33429604.68,-415268798.0,22722998.2,56992628.75,-11151315.13,-17236749.88,-397370840.8,-33077856.62,-410899317.8,22483905.61,56392949.3,-11033980.4,-17055383.88,-410065610.0,-27929527.059999995,-465382646.03000003,77214881.82,249761050.11,-33286571.382,-62204305.519999996,-261827118.16,1333862382.06,1771315501.03,1228717973.18,1056171804.89,1339219426.382,1368137160.52,1567759973.16
5,100,0,2007,100,100,100,1,1305932855.0,1255878227.0,-50054628.0,1372355124.0,452842553.9,302119347.7,1.193874806,27714120.0,2.86,30.4,0.7114034090000001,48005815.55,529632174.7,2222413.569,27751882.09,4777283.532,-3228023.1180000002,609161546.3,35686881.83,393721481.7,1652112.551,20630378.32,3551368.744,-2399669.253,451058671.9,20076288.490000002,64249528.66999996,79437295.389,277512932.2,-28509287.85,-65432328.638,347334428.14,1235801938.51,1191628698.33,1176440931.611,978365294.8,1284387514.85,1321310555.638,908543798.86
6,100,0,2008,100,100,100,1,1255878227.0,1279870177.0,23991950.0,1434579221.0,62224096.92,307251216.0,1.23788475,27956797.67,3.35,30.42,0.6998131409999999,7141347.543,-18329109.26,8750575.764,67859071.04,416959.5767,-8166898.823,57671945.85,7705027.031,-19775859.03,9441274.548,73215310.35,449870.9508,-8811526.93,52717060.22,27217636.033,45920419.40999995,88187871.153,345372003.24,-28092328.273300003,-73599227.461,405006373.99,1252652540.967,1233949757.5900002,1191682305.8470001,934498173.76,1307962505.2733,1353469404.461,874863803.01
7,100,0,2009,100,100,100,1,1279870177.0,1245049720.0,-34820457.0,1271907797.0,-162671423.2,311985807.7,1.280213615,27734538.0,2.43,30.61,0.6930675079999999,6605638.696,-17629690.99,-8110317.466,-127145920.1,4042488.789,-4850610.43,-147088411.5,7305460.961,-19497436.24,-8969550.161,-140616161.2,4470762.843,-5364499.447,-168604254.7,33823274.729,28290728.419999953,80077553.68699999,218226083.14000002,-24049839.484300002,-78449837.891,257917962.49,1211226445.271,1216758991.5800002,1164972166.313,1026823636.86,1269099559.4843,1323499557.891,987131757.51
8,100,0,2010,100,100,100,1,1245049720.0,1222463995.0,-22585725.0,1277960561.0,6052763.659,284108756.3,1.331363881,27553600.75,2.86,30.93,0.694086512,-38619573.46,-20278483.33,-6473349.714,66464209.53,6630325.392999999,714362.8967,8437491.315,-27704342.68,-14547080.69,-4643756.59,47679118.96,4756365.499,512459.1682,6420384.095,-4796298.730999999,8012245.089999955,73604203.97299999,284690292.67,-17419514.091300003,-77735474.99430001,266355453.805,1227260293.731,1214451749.91,1148859791.027,937773702.3299999,1239883509.0913,1300199469.9943,956108541.1949999
9,100,0,2011,100,100,100,1,1222463995.0,1189791728.0,-32672267.0,1325199798.0,47239236.56,276891484.3,1.462544006,27682634.67,3.63,31.3,0.686139178,-10543551.44,-48545290.81,4557232.709,101937935.2,7530370.561000001,-5456555.097,49480141.16,-10066044.86,-46346724.62,4350840.336,97321271.2,7189327.839,-5209433.34,42265733.09,-15339850.170999998,-40533045.72000004,78161436.682,386628227.87,-9889143.530300003,-83192030.09130001,315835594.96500003,1205131578.171,1230324773.72,1111630291.318,803163500.13,1199680871.5303,1272983758.0913,873956133.035
10,100,0,2012,100,100,100,1,1189791728.0,1198669782.0,8878054.0,1351530138.0,26330340.28,275254101.5,1.467582656,27909105.42,3.77,31.51,0.6863024809999999,-2373186.301,-1798838.8490000002,7745711.317000001,15709721.84,4154240.792,109374.3429,23547023.15,-2653702.8680000002,-2011466.108,8661273.803,17566650.33,4645282.462,122302.6643,26467099.43,-17713036.472,-42331884.56900004,85907147.999,402337949.71,-5734902.738300003,-83082655.74840002,339382618.115,1216382818.472,1241001666.569,1112762634.001,796331832.29,1204404684.7383,1281752437.7484,859287163.885
11,100,0,2013,100,100,100,1,1198669782.0,1202744795.0,4075013.0,1293005928.0,-58524210.05,279698963.9,1.553561697,28818049.08,3.65,29.93,0.664293725,6481550.859,-30007636.98,30989413.36,-13373133.05,-31025509.95,-14758415.51,-51693731.27,7337981.505,-33972654.06,35084156.09,-15140173.26,-35125022.25,-16708498.08,-77440462.12,-11231485.612999998,-72339521.54900004,116896561.359,388964816.65999997,-36760412.6883,-97841071.25840002,287688886.845,1213976280.613,1275084316.549,1085848233.641,813779978.34,1239505207.6883,1300585866.2584,915055908.155
12,100,0,2014,100,100,100,1,1202744795.0,1192647740.0,-10097055.0,1282916499.0,-10089429.02,282626037.7,1.6031245809999999,29110612.08,3.54,30.2,0.665905037,4222614.367,-16993389.86,9714655.354,-12612409.12,5402006.056,1091395.522,-9175127.688,4643397.821,-18686780.89,10682720.61,-13869235.49,5940315.874,1200153.068,-8769680.714,-7008871.245999998,-89332911.40900004,126611216.713,376352407.53999996,-31358406.632299997,-96749675.73640002,278513759.157,1199656611.246,1281980651.409,1066036523.287,816295332.46,1224006146.6323,1289397415.7364001,914133980.8429999
13,100,0,2015,100,100,100,1,1192647740.0,1160473736.0,-32174004.0,1147281912.0,-135634587.0,280202617.1,1.63328305,29378317.83,2.55,30.17,0.66804748,-3452507.16,-10125959.54,8726892.215,-122429758.1,-593703.5794,1439181.2219999998,-126435854.9,-3703691.356,-10862665.04,9361809.771,-131337030.1,-636897.9739,1543887.618,-133978375.2,-10461378.406,-99458870.94900003,135338108.928,253922649.43999997,-31952110.211699996,-95310494.51440002,152077904.257,1170935114.406,1259932606.9490001,1025135627.072,906551086.5600001,1192425846.2117,1255784230.5144,1008395831.743
14,100,0,2016,100,100,100,1,1160473736.0,1162084609.0,1610873.0,1098237811.0,-49044100.76,279086354.6,1.6698418019999999,29437697.5,2.31,29.88,0.671404373,-1558370.396,-11783679.49,1867682.979,-35223903.41,-5572279.365,2194902.715,-50075646.97,-1526268.343,-11540938.54,1829209.1609999998,-34498299.53,-5457491.759,2149688.251,-46938695.56,-12019748.802,-111242550.43900003,137205791.907,218698746.02999997,-37524389.576699995,-93115591.79940002,102002257.287,1174104357.802,1273327159.4390001,1024878817.0929999,943385862.97,1199608998.5767,1255200200.7994,1060082351.713
15,100,0,2017,100,100,100,1,1162084609.0,1100306571.0,-61778038.0,1125332203.0,27094392.53,274821215.5,1.747762813,29668394.67,2.64,30.0,0.672815188,-6009155.131,-24484579.93,7247312.247,49662214.95,2316839.255,923235.0245,29655866.41,-5490124.807999999,-22369766.92,6621338.256,45372727.5,2116726.293,843492.2049,27865029.56,-18028903.933,-135727130.36900002,144453104.154,268360960.97999996,-35207550.32169999,-92192356.77490002,131658123.697,1118335474.933,1236033701.369,955853466.846,831945610.02,1135514121.3217,1192498927.7749,968648447.303
16,100,0,2018,100,100,100,1,1100306571.0,1107464474.0,7157903.0,1171382806.0,46050602.25,274036302.4,1.734851894,29807700.84,2.92,30.01,0.6746876909999999,-1058920.562,3842684.736,4112719.248,36497883.77,182639.2395,1160372.038,44737378.47,-1090004.182,3955483.142,4233444.263,37569244.91,188000.443,1194433.67,47280097.4,-19087824.494999997,-131884445.63300002,148565823.402,304858844.74999994,-35024911.08219999,-91031984.73690002,176395502.167,1126552298.495,1239348919.633,958898650.598,802605629.25,1142489385.0822,1198496458.7369,931068971.833
17,100,1,2002,100,100,100,1,0.0,2028458449.0,0.0,2340374912.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0,2028458449.0
18,100,1,2003,100,100,100,1,2028458449.0,1999850730.0,-28607719.0,2352039404.0,11664491.21,503552796.7,1.4081863609999998,26042245.27,1.64,31.36,0.778803991,40885376.8,-94510466.94,21642307.62,83073361.25,-11749453.66,-24621679.99,14719445.08,32399802.82,-74895249.43,17150545.12,65831863.0,-9310907.997000001,-19511562.3,-3797535.09,40885376.8,-94510466.94,21642307.62,83073361.25,-11749453.66,-24621679.99,14719445.08,1958965353.2,2094361196.94,1978208422.38,1916777368.75,2011600183.66,2024472409.99,1985131284.92
