ID,Year,estimated_effects
"Akron, OH Metro Area-Bus",2002,0.4603735552675038
"Akron, OH Metro Area-Bus",2003,0.46037355526750534
"Akron, OH Metro Area-Bus",2004,0.46037355526750323
"Akron, OH Metro Area-Bus",2005,0.46037355526750234
"Akron, OH Metro Area-Bus",2006,0.4603735552675006
"Akron, OH Metro Area-Bus",2007,0.46037355526750057
"Akron, OH Metro Area-Bus",2008,0.4603735552675023
"Akron, OH Metro Area-Bus",2009,0.46037355526750284
"Akron, OH Metro Area-Bus",2010,0.46037355526750323
"Akron, OH Metro Area-Bus",2011,0.4603735552675039
"Akron, OH Metro Area-Bus",2012,0.4603735552675064
"Akron, OH Metro Area-Bus",2013,0.4603735552675016
"Akron, OH Metro Area-Bus",2014,0.46037355526749946
"Akron, OH Metro Area-Bus",2015,0.4603735552675052
"Akron, OH Metro Area-Bus",2016,0.46037355526750473
"Akron, OH Metro Area-Bus",2017,0.46037355526750234
"Akron, OH Metro Area-Bus",2018,0.4603735552675037
"Albany, GA Metro Area-Bus",2002,0.6521133891446286
"Albany, GA Metro Area-Bus",2003,0.652113389144626
"Albany, GA Metro Area-Bus",2004,0.6521133891446245
"Albany, GA Metro Area-Bus",2005,0.6521133891446286
"Albany, GA Metro Area-Bus",2006,0.6521133891446275
"Albany, GA Metro Area-Bus",2007,0.6521133891446267
"Albany, GA Metro Area-Bus",2008,0.6521133891446278
"Albany, GA Metro Area-Bus",2009,0.6521133891446299
"Albany, GA Metro Area-Bus",2010,0.6521133891446271
"Albany, GA Metro Area-Bus",2011,0.6521133891446284
"Albany, GA Metro Area-Bus",2012,0.6521133891446302
"Albany, GA Metro Area-Bus",2013,0.6521133891446257
"Albany, GA Metro Area-Bus",2014,0.6521133891446265
"Albany, GA Metro Area-Bus",2015,0.6521133891446265
"Albany, GA Metro Area-Bus",2016,0.6521133891446281
"Albany, GA Metro Area-Bus",2017,0.6521133891446268
"Albany, GA Metro Area-Bus",2018,0.6521133891446291
"Albany-Schenectady-Troy, NY Metro Area-Bus",2002,0.8756949186428015
"Albany-Schenectady-Troy, NY Metro Area-Bus",2003,0.8756949186428009
"Albany-Schenectady-Troy, NY Metro Area-Bus",2004,0.8756949186427975
"Albany-Schenectady-Troy, NY Metro Area-Bus",2005,0.8756949186427976
"Albany-Schenectady-Troy, NY Metro Area-Bus",2006,0.8756949186428001
"Albany-Schenectady-Troy, NY Metro Area-Bus",2007,0.8756949186428005
"Albany-Schenectady-Troy, NY Metro Area-Bus",2008,0.8756949186427961
"Albany-Schenectady-Troy, NY Metro Area-Bus",2009,0.8756949186427965
"Albany-Schenectady-Troy, NY Metro Area-Bus",2010,0.8756949186428009
"Albany-Schenectady-Troy, NY Metro Area-Bus",2011,0.8756949186427996
"Albany-Schenectady-Troy, NY Metro Area-Bus",2012,0.8756949186427978
"Albany-Schenectady-Troy, NY Metro Area-Bus",2013,0.875694918642797
"Albany-Schenectady-Troy, NY Metro Area-Bus",2014,0.8756949186427967
"Albany-Schenectady-Troy, NY Metro Area-Bus",2015,0.8756949186427947
"Albany-Schenectady-Troy, NY Metro Area-Bus",2016,0.875694918642799
"Albany-Schenectady-Troy, NY Metro Area-Bus",2017,0.8756949186427996
"Albany-Schenectady-Troy, NY Metro Area-Bus",2018,0.875694918642803
"Albuquerque, NM Metro Area-Bus",2003,0.5928019997099228
"Albuquerque, NM Metro Area-Bus",2004,0.5928019997099304
"Albuquerque, NM Metro Area-Bus",2005,0.5928019997099294
"Albuquerque, NM Metro Area-Bus",2006,0.5928019997099304
"Albuquerque, NM Metro Area-Bus",2007,0.5928019997099282
"Albuquerque, NM Metro Area-Bus",2008,0.5928019997099254
"Albuquerque, NM Metro Area-Bus",2009,0.5928019997099219
"Albuquerque, NM Metro Area-Bus",2010,0.5928019997099279
"Albuquerque, NM Metro Area-Bus",2011,0.5928019997099298
"Albuquerque, NM Metro Area-Bus",2012,0.5928019997099279
"Albuquerque, NM Metro Area-Bus",2013,0.5928019997099299
"Albuquerque, NM Metro Area-Bus",2014,0.5928019997099293
"Albuquerque, NM Metro Area-Bus",2015,0.592801999709931
"Albuquerque, NM Metro Area-Bus",2016,0.5928019997099274
"Albuquerque, NM Metro Area-Bus",2017,0.5928019997099274
"Albuquerque, NM Metro Area-Bus",2018,0.5928019997099232
"Albuquerque, NM Metro Area-Rail",2009,-0.012212378521513134
"Albuquerque, NM Metro Area-Rail",2010,-0.01221237852150825
"Albuquerque, NM Metro Area-Rail",2011,-0.012212378521507139
"Albuquerque, NM Metro Area-Rail",2012,-0.012212378521510414
"Albuquerque, NM Metro Area-Rail",2013,-0.012212378521509373
"Albuquerque, NM Metro Area-Rail",2014,-0.012212378521507014
"Albuquerque, NM Metro Area-Rail",2015,-0.01221237852151133
"Albuquerque, NM Metro Area-Rail",2016,-0.01221237852150861
"Albuquerque, NM Metro Area-Rail",2017,-0.012212378521508388
"Albuquerque, NM Metro Area-Rail",2018,-0.012212378521511968
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2002,0.5942549518891453
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2003,0.5942549518891438
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2004,0.5942549518891429
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2005,0.5942549518891488
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2006,0.5942549518891441
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2007,0.5942549518891459
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2008,0.5942549518891433
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2009,0.5942549518891447
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2010,0.5942549518891457
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2011,0.5942549518891439
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2012,0.5942549518891448
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2013,0.5942549518891453
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2014,0.5942549518891449
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2015,0.5942549518891447
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2016,0.5942549518891447
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2017,0.5942549518891421
"Allentown-Bethlehem-Easton, PA-NJ Metro Area-Bus",2018,0.5942549518891468
"Altoona, PA Metro Area-Bus",2002,0.6373067315966174
"Altoona, PA Metro Area-Bus",2003,0.6373067315966173
"Altoona, PA Metro Area-Bus",2004,0.637306731596616
"Altoona, PA Metro Area-Bus",2005,0.6373067315966193
"Altoona, PA Metro Area-Bus",2006,0.637306731596619
"Altoona, PA Metro Area-Bus",2007,0.6373067315966179
"Altoona, PA Metro Area-Bus",2008,0.637306731596617
"Altoona, PA Metro Area-Bus",2009,0.6373067315966207
"Altoona, PA Metro Area-Bus",2010,0.6373067315966183
"Altoona, PA Metro Area-Bus",2011,0.6373067315966187
"Altoona, PA Metro Area-Bus",2012,0.6373067315966182
"Altoona, PA Metro Area-Bus",2013,0.6373067315966169
"Altoona, PA Metro Area-Bus",2014,0.6373067315966169
"Altoona, PA Metro Area-Bus",2015,0.6373067315966157
"Altoona, PA Metro Area-Bus",2016,0.6373067315966175
"Altoona, PA Metro Area-Bus",2017,0.6373067315966204
"Altoona, PA Metro Area-Bus",2018,0.6373067315966168
"Ames, IA Metro Area-Bus",2003,1.999899061874494
"Ames, IA Metro Area-Bus",2004,1.9998990618744934
"Ames, IA Metro Area-Bus",2005,1.999899061874494
"Ames, IA Metro Area-Bus",2006,1.9998990618744972
"Ames, IA Metro Area-Bus",2007,1.9998990618744936
"Ames, IA Metro Area-Bus",2008,1.999899061874498
"Ames, IA Metro Area-Bus",2009,1.999899061874491
"Ames, IA Metro Area-Bus",2010,1.9998990618744947
"Ames, IA Metro Area-Bus",2011,1.999899061874493
"Ames, IA Metro Area-Bus",2012,1.9998990618744934
"Ames, IA Metro Area-Bus",2013,1.9998990618744958
"Ames, IA Metro Area-Bus",2014,1.999899061874495
