ID,Year,CBSA,POP_CENSUSTRACT_updated
"Bloomington-Normal, IL Metro Area-Bus",2006,14060,49504
"Bloomington-Normal, IL Metro Area-Bus",2007,14060,48183
"Bloomington-Normal, IL Metro Area-Bus",2008,14060,46862
"Bloomington-Normal, IL Metro Area-Bus",2009,14060,45541
"Bloomington-Normal, IL Metro Area-Bus",2010,14060,44220
"Bloomington-Normal, IL Metro Area-Bus",2011,14060,42899
"Bloomington-Normal, IL Metro Area-Bus",2012,14060,42340
"Bloomington-Normal, IL Metro Area-Bus",2013,14060,41427
"Bloomington-Normal, IL Metro Area-Bus",2014,14060,42120
"Bloomington-Normal, IL Metro Area-Bus",2015,14060,42886
"Bloomington-Normal, IL Metro Area-Bus",2016,14060,42824
"Bloomington-Normal, IL Metro Area-Bus",2017,14060,42740
"Bloomington-Normal, IL Metro Area-Bus",2018,14060,42656
"Crestview-Fort Walton Beach-Destin, FL Metro Area-Bus",2002,18880,6562
"Crestview-Fort Walton Beach-Destin, FL Metro Area-Bus",2003,18880,7241
"Crestview-Fort Walton Beach-Destin, FL Metro Area-Bus",2004,18880,7920
"Crestview-Fort Walton Beach-Destin, FL Metro Area-Bus",2005,18880,8599
"Crestview-Fort Walton Beach-Destin, FL Metro Area-Bus",2006,18880,9278
"Crestview-Fort Walton Beach-Destin, FL Metro Area-Bus",2007,18880,9957
"Crestview-Fort Walton Beach-Destin, FL Metro Area-Bus",2008,18880,10636
"Crestview-Fort Walton Beach-Destin, FL Metro Area-Bus",2009,18880,11315
"Dayton, OH Metro Area-Bus",2002,19380,70624
"Dayton, OH Metro Area-Bus",2003,19380,72889
"Dayton, OH Metro Area-Bus",2004,19380,75154
"Dayton, OH Metro Area-Bus",2005,19380,77419
"Dayton, OH Metro Area-Bus",2006,19380,79684
"Dayton, OH Metro Area-Bus",2007,19380,81949
"Dayton, OH Metro Area-Bus",2008,19380,84214
"Dayton, OH Metro Area-Bus",2009,19380,86479
"Dayton, OH Metro Area-Bus",2010,19380,88744
"Dayton, OH Metro Area-Bus",2011,19380,91009
"Dayton, OH Metro Area-Bus",2012,19380,89580
"Dayton, OH Metro Area-Bus",2013,19380,90623
"Dayton, OH Metro Area-Bus",2014,19380,89085
"Dayton, OH Metro Area-Bus",2015,19380,89446
"Dayton, OH Metro Area-Bus",2016,19380,89031
"Dayton, OH Metro Area-Bus",2017,19380,88547
"Dayton, OH Metro Area-Bus",2018,19380,88063
"Lafayette, IN Metro Area-Bus",2003,29140,40790
"Lafayette, IN Metro Area-Bus",2004,29140,40639
"Lafayette, IN Metro Area-Bus",2005,29140,40488
"Lafayette, IN Metro Area-Bus",2006,29140,40337
"Lafayette, IN Metro Area-Bus",2007,29140,40186
"Lafayette, IN Metro Area-Bus",2008,29140,40035
"Lafayette, IN Metro Area-Bus",2009,29140,39884
"Lafayette, IN Metro Area-Bus",2010,29140,39733
"Lafayette, IN Metro Area-Bus",2011,29140,39582
"Lafayette, IN Metro Area-Bus",2012,29140,38250
"Lafayette, IN Metro Area-Bus",2013,29140,37735
"Lafayette, IN Metro Area-Bus",2014,29140,39516
"Lafayette, IN Metro Area-Bus",2015,29140,40738
"Lafayette, IN Metro Area-Bus",2016,29140,41121
"Lafayette, IN Metro Area-Bus",2017,29140,42563
"Lafayette, IN Metro Area-Bus",2018,29140,44005
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2002,31100,10931921
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2003,31100,10896600
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2004,31100,10861279
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2005,31100,10825958
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2006,31100,10790637
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2007,31100,10755316
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2008,31100,10719995
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2009,31100,10684674
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2010,31100,10649353
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2011,31100,10614032
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2012,31100,10684048
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2013,31100,10752006
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2014,31100,10849167
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2015,31100,10921327
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2016,31100,10944789
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2017,31100,11003240
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Bus",2018,31100,11061691
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2002,31100,10931921
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2003,31100,10896600
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2004,31100,10861279
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2005,31100,10825958
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2006,31100,10790637
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2007,31100,10755316
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2008,31100,10719995
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2009,31100,10684674
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2010,31100,10649353
"Los Angeles-Long Beach-Santa Ana, CA Metro Area-Rail",2011,31100,10614032
