CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,WEIGHTED_POP_DENSITY,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,WEIGHTED_POP_DENSITY_log_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,180,2217942122.3899984,0.0,2217942122.3899984,0.0,1988625586.6029818,0.0,69425793.98580562,0.9103021819947679,9573373.92508088,1.9989110857789487,39382.39982242577,9.91778198742711,8293.52986831012,3.9439076288082133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217942122.3899984,2217942122.3899984
1.0,0,2003,180,2217942122.3899984,2217942122.3899984,2150862965.5,-67079156.889998406,2061216227.7190473,72590641.11606514,69469690.0802314,0.9054392297203397,9715519.648739034,2.307690882874156,38482.4032868939,9.826719110310439,8293.403096424487,3.9439076288082133,0.0,0.0,0.0,0.0,-2297183.324668486,7471694.843014017,4967043.163618059,51826705.06153276,17715914.787573192,-1485223.033439579,-38342.953035136685,0.0,0.0,0.0,0.0,0.0,78160608.54459484,80244956.10900213,-147324112.99900055,0.0,-67079156.889998406
1.0,0,2004,180,2217942122.3899984,2150862965.5,2410970009.3499994,260107043.84999937,2329969047.1067734,268752819.3877263,71833060.8514159,0.8826082911909462,9898787.457895527,2.619322090513249,37269.32695011107,9.738290728783621,8293.505725921155,3.9439076288082133,0.0,0.0,0.0,0.0,63410057.976920694,17446347.498496708,5897465.643108612,46788132.33685486,24182546.39796931,-1416989.0110056545,30120.44085680566,0.0,0.0,0.0,0.0,0.0,156337681.28320128,160538880.7327856,99568163.1172137,0.0,260107043.84999937
1.0,0,2005,190,2343609205.7899985,2410970009.3499994,2568753504.359998,32116411.60999866,2549452723.1967936,52157636.003059104,71354507.71819302,0.9065085593872024,9805374.782055678,3.07024427425466,36363.48673463118,9.544051707592091,8101.219414253956,3.973725956119786,0.0,0.0,0.0,0.0,-32193328.061194714,-12280046.444844507,6804391.468913345,68312333.31570454,23344729.54717929,-2111075.47346766,99531.31147235553,0.0,0.0,0.0,0.0,0.0,51976535.663762644,51163814.67320126,-19047403.063202605,125667083.39999999,157783495.00999865
1.0,0,2006,190,2343609205.7899985,2568753504.359998,2599108816.4200006,30355312.06000215,2643821275.5318923,94368552.33509833,71180597.506185,0.885035603228088,10051613.90952655,3.3647209778419507,34831.46563385869,9.439179841988182,8100.2326630328525,4.3169487047712,0.0,0.0,0.0,0.0,-7503694.8734777775,18549879.244911097,9215417.002760047,42878868.71286385,37846291.374487504,-2356382.1870142054,-426343.76779241464,-284817.70499811444,0.0,0.0,0.0,0.0,97919217.80173999,98852326.91228199,-68497014.85227983,0.0,30355312.06000215
1.0,0,2007,190,2343609205.7899985,2599108816.4200006,2608864140.5399995,9755324.119999122,2653399230.0799723,9577954.548080128,71864024.85589182,0.9212996748660185,10100716.830613725,3.542855137613512,35315.73737952839,9.275816016587672,8102.480714825653,4.429588440689977,0.0,0.0,0.0,0.0,34772323.842496864,-30359294.24137745,2541872.7147455993,24465619.87454408,-13018825.71144971,-3130779.1741402186,957950.5357184282,-122669.57822142009,0.0,0.0,0.0,0.0,16106198.262316175,15577486.803957246,-5822162.6839581225,0.0,9755324.119999122
1.0,0,2008,190,2343609205.7899985,2608864140.5399995,2692308348.7999997,83444208.26,2750810420.8007436,97411190.72077137,72097724.367789,0.9036265328036881,10119006.05067311,3.9626710722369993,35340.6145432325,9.462754721082442,8099.942865671859,4.501776796165808,0.0,0.0,8.21557619437227e-05,0.0,16626010.278801102,16590762.775577532,1680911.5308673172,56178492.473424435,1244936.1349295229,3093219.9627793776,-1086196.0040041101,-74487.38363298833,0.0,0.0,978421.6279054382,0.0,95232071.39664765,96609954.75900368,-13165746.499003699,0.0,83444208.26
1.0,0,2009,190,2343609205.7899985,2692308348.7999997,2564111221.5099993,-128197127.29000038,2548968098.2569075,-201842322.54383606,71142776.42522284,0.9957204170221682,10030424.125455657,2.9215137193990373,33595.64800773831,9.545515316727746,8102.217138657095,4.736096508800615,0.0,0.0,8.21557619437227e-05,0.0,-21864836.740418594,-81545269.54270133,-1593092.4580137376,-147634147.71089542,48623561.37955352,2198109.170733016,735143.8674059971,-200132.19039046584,0.0,0.0,0.0,0.0,-201280664.224727,-199513961.73974925,71316834.44974883,0.0,-128197127.29000038
1.0,0,2010,190,2343609205.7899985,2564111221.5099993,2477369488.950001,-86741732.55999818,2536904467.2686076,-12063630.988299847,66984278.08492784,1.0145631694083668,9997355.98913705,3.37368692274567,32730.24784346335,9.772250187084634,8126.2122484222255,4.951634732374765,0.0,0.0,0.061047728382587756,0.0,-95583134.24991353,-14359288.874528175,179928.43714607984,67677905.76864527,23099940.174469966,4099065.962741127,9465276.527033115,-206937.461844604,0.0,0.0,834354.3217554837,0.0,-4792889.394495266,-7009118.168895798,-79732614.39110237,0.0,-86741732.55999818
1.0,0,2011,190,2343609205.7899985,2477369488.950001,2507911504.070001,30542015.120000165,2552742354.6152725,15837887.346664958,64160286.68050455,1.026901004418262,10086446.883782739,4.103516979790575,32037.281396698734,10.027653650322709,8092.808276517318,4.9175752369811665,0.13451252364138713,0.0,0.10516534208053666,0.0,-64060354.13368373,-15954489.711048504,3359555.7793578804,93136108.65872113,17990048.644808304,5331510.337364302,-13797033.809018381,48798.767249929515,-6450562.649790489,0.0,577675.13870947,0.0,20181257.02266991,17089992.202473238,13452022.917526925,0.0,30542015.120000165
