CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,WEIGHTED_POP_DENSITY,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,MDBF_Total,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,WEIGHTED_POP_DENSITY_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,MDBF_Total_log_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,180,2217942122.3899984,0.0,2217942122.3899984,0.0,1986680201.2469673,0.0,69425793.98580562,0.9103021819947679,9573373.92508088,1.9989110857789487,39382.39982242577,9.91778198742711,8293.529868310123,3.9439076288082133,0.0,0.0,0.0,0.0,0.0,5288.785544219272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217942122.3899984,2217942122.3899984
1.0,0,2003,180,2217942122.3899984,2217942122.3899984,2150862965.5,-67079156.889998406,2052880948.0015938,66200746.75462623,69469690.0802314,0.9054392297203397,9715519.648739034,2.307690882874156,38482.4032868939,9.826719110310439,8293.40309642449,3.9439076288082133,0.0,0.0,0.0,0.0,0.0,78129.98556402563,0.0,-2308603.1098820884,7506582.152630614,7924057.292004297,47162444.87166769,17304610.149568107,-1392065.9690188384,-50406.975540998916,0.0,0.0,0.0,0.0,0.0,0.0,-4873106.15609026,0.0,71273512.25533853,73810330.43636815,-140889487.32636654,0.0,-67079156.889998406
1.0,0,2004,180,2217942122.3899984,2150862965.5,2410970009.3499994,260107043.84999937,2315733457.1744366,262852509.17284343,71833060.8514159,0.8826082911909462,9898787.457895527,2.619322090513249,37269.32695011107,9.738290728783621,8293.505725921153,3.9439076288082133,0.0,0.0,0.0,0.0,0.0,115426.86504132673,0.0,64972242.64923561,17520336.414849773,9408679.007366236,42581964.66062833,23620376.203966837,-1328117.9350141159,36453.26359888056,0.0,0.0,0.0,0.0,0.0,0.0,-3192463.7404635632,0.0,153619470.52416798,156544410.02549988,103562633.82449946,0.0,260107043.84999937
1.0,0,2005,190,2343609205.7899985,2410970009.3499994,2568753504.359998,32116411.60999866,2531582701.9642925,52021641.790259406,71354507.71819302,0.9065085593872024,9805374.782055678,3.07024427425466,36363.48673463118,9.544051707592091,8101.219414253957,3.973725956119786,0.0,0.0,0.0,0.0,0.0,74305.81053053179,0.0,-32540009.42428304,-12323877.752060894,10855504.48887551,62152712.20655963,22802389.90945604,-1978602.3307351584,125503.96766157518,0.0,0.0,0.0,0.0,0.0,0.0,2815473.747349323,0.0,51909094.812823,51305032.93982436,-19188621.329825696,125667083.39999999,157783495.00999865
1.0,0,2006,190,2343609205.7899985,2568753504.359998,2599108816.4200006,30355312.06000215,2632552139.1437354,100969437.1794432,71180597.506185,0.885035603228088,10051613.90952655,3.3647209778419507,34831.46563385869,9.439179841988182,8100.232663032851,4.3169487047712,0.0,0.0,0.0,0.0,0.0,55461.314491965764,0.0,-7578293.670926144,18626091.681671973,14705127.803539094,39033110.38329442,36964607.1239907,-2208723.3643816872,-521560.396618346,781912.5594675116,0.0,0.0,0.0,0.0,0.0,4287676.917836495,0.0,104089949.03787398,105157715.56509963,-74802403.5050975,0.0,30355312.06000215
1.0,0,2007,190,2343609205.7899985,2599108816.4200006,2608864140.5399995,9755324.119999122,2641572819.2102666,9020680.06653095,71864024.85589182,0.9212996748660185,10100716.830613725,3.542855137613512,35315.73737952839,9.275816016587672,8102.480714825653,4.429588440689977,0.0,0.0,0.0,0.0,0.0,47908.82417567429,0.0,35180699.11553144,-30468830.731557686,4053909.9763631583,22278021.35987535,-12719125.014380775,-2934681.862434946,1161755.1524561953,336728.77342337626,0.0,0.0,0.0,0.0,0.0,-1099825.2620470894,0.0,15788651.507229015,15323298.94405688,-5567974.824057761,0.0,9755324.119999122
1.0,0,2008,190,2343609205.7899985,2608864140.5399995,2692308348.7999997,83444208.26,2736885122.2839813,95312303.07371491,72097724.367789,0.9036265328036881,10119006.05067311,3.9626710722369993,35340.6145432325,9.462754721082442,8099.942865671857,4.501776796165808,0.0,0.0,0.0,0.0,8.21557619437227e-05,11707.004963147916,0.0,16825152.91604185,16654881.193359822,2680716.75940271,51128657.80448202,1215030.7514874623,2898326.458774076,-1293341.8588655337,204500.78612570718,0.0,0.0,0.0,0.0,390546.96171611326,2731843.2032613475,0.0,93436314.97578557,95089744.86889015,-11645536.60889016,0.0,83444208.26
1.0,0,2009,190,2343609205.7899985,2692308348.7999997,2564111221.5099993,-128197127.29000038,2552399024.4761133,-184486097.8078684,71142776.42522284,0.9957204170221682,10030424.125455657,2.9215137193990373,33595.64800773831,9.545515316727746,8102.2171386570935,4.736096508800615,0.0,0.0,0.0,0.0,8.21557619437227e-05,4744.494148938077,0.0,-22102783.138105065,-81842803.37396535,-2536934.334673849,-134829116.02118313,47488980.60484972,2059482.855477475,991737.5785004178,549299.3262072182,0.0,0.0,0.0,0.0,0.0,5809063.869953645,0.0,-184413072.63293895,-183306811.63241503,55109684.34241467,0.0,-128197127.29000038
1.0,0,2010,190,2343609205.7899985,2564111221.5099993,2477369488.950001,-86741732.55999818,2530018340.032241,-22380684.443872027,66984278.08492784,1.0145631694083668,9997355.98913705,3.37368692274567,32730.24784346335,9.772250187084634,8126.212248422224,4.951634732374765,0.13451252364138713,0.0,0.0,0.0,0.061047728382587756,4560.24165254531,0.0,-96628174.52234726,-14409975.60975405,289585.8615833428,61581486.164039075,22563191.56199866,3840681.220362603,12300247.546761809,567962.6884754358,-5768008.800637079,0.0,0.0,0.0,333041.028594071,-106713.35356336359,0.0,-15436676.214486793,-17583544.33985679,-69158188.2201414,0.0,-86741732.55999818
1.0,0,2011,190,2343609205.7899985,2477369488.950001,2507911504.070001,30542015.120000165,2522475164.939765,-7543175.092475627,64160286.68050455,1.026901004418262,10086446.883782739,4.103516979790575,32037.281396698734,10.027653650322709,8092.808276517314,4.9175752369811665,0.467183603433118,0.0,0.0,0.0,0.10516534208053666,4598.957990604581,0.0,-64770435.89454162,-16012721.38413355,5357143.02683236,84704846.09991147,17572096.042071536,4995752.117733478,-16426755.505529556,-133809.87947006588,-17932222.8172494,0.0,0.0,0.0,230584.9174296077,-677741.9299778463,0.0,-3093265.2069235956,-6258049.730710965,36800064.85071114,0.0,30542015.120000165
