CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,WEIGHTED_POP_DENSITY,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,YEARS_SINCE_TNC_BUS_SQRD,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,WEIGHTED_POP_DENSITY_log_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_BUS_SQRD_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,180,2217942122.3899984,0.0,2217942122.3899984,0.0,1990142671.617535,0.0,69425793.98580562,0.9103021819947679,9573373.92508088,1.9989110857789487,39382.39982242577,9.91778198742711,8293.52986831012,3.9439076288082133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217942122.3899984,2217942122.3899984
1.0,0,2003,180,2217942122.3899984,2217942122.3899984,2150862965.5,-67079156.889998406,2063618760.3584,73476088.74086522,69469690.0802314,0.9054392297203397,9715519.648739034,2.307690882874156,38482.4032868939,9.826719110310439,8293.403096424487,3.9439076288082133,0.0,0.0,0.0,0.0,0.0,-2296760.1194087006,7477213.587514362,4581964.920129365,53204844.91135197,17544514.08543502,-1479187.2795201482,-38895.532057157325,0.0,0.0,0.0,0.0,0.0,0.0,78993694.57344472,81082118.22682866,-148161275.11682707,0.0,-67079156.889998406
1.0,0,2004,180,2217942122.3899984,2150862965.5,2410970009.3499994,260107043.84999937,2333296232.9067807,269677472.54838014,71833060.8514159,0.8826082911909462,9898787.457895527,2.619322090513249,37269.32695011107,9.738290728783621,8293.505725921155,3.9439076288082133,0.0,0.0,0.0,0.0,0.0,63353970.30700232,17458054.804049835,5440232.67381154,48030746.16061578,23948272.108298093,-1411230.9763360468,30554.558391372175,0.0,0.0,0.0,0.0,0.0,0.0,156850599.6358329,161075130.86199406,99031912.9880053,0.0,260107043.84999937
1.0,0,2005,190,2343609205.7899985,2410970009.3499994,2568753504.359998,32116411.60999866,2554407872.073717,53208980.69440378,71354507.71819302,0.9065085593872024,9805374.782055678,3.07024427425466,36363.48673463118,9.544051707592091,8101.219414253956,3.973725956119786,0.0,0.0,0.0,0.0,0.0,-32180661.8343807,-12286985.509017378,6276848.873177276,70132744.00143363,23118721.321875755,-2102492.137039095,100966.28785050352,0.0,0.0,0.0,0.0,0.0,0.0,53059141.003899984,52216623.424694,-20100211.814695343,125667083.39999999,157783495.00999865
1.0,0,2006,190,2343609205.7899985,2568753504.359998,2599108816.4200006,30355312.06000215,2648653879.397329,94246007.3236116,71180597.506185,0.885035603228088,10051613.90952655,3.3647209778419507,34831.46563385869,9.439179841988182,8100.2326630328525,4.3169487047712,0.0,0.0,0.0,0.0,0.0,-7500966.588647443,18561939.287841275,8500710.812819961,44014671.80038164,37478854.543037415,-2346815.768476121,-432484.9882645105,-612315.4297317184,0.0,0.0,0.0,0.0,0.0,97663593.66896048,98575454.11712033,-68220142.05711819,0.0,30355312.06000215
1.0,0,2007,190,2343609205.7899985,2599108816.4200006,2608864140.5399995,9755324.119999122,2658750089.6533,10096210.255970754,71864024.85589182,0.9212996748660185,10100716.830613725,3.542855137613512,35315.73737952839,9.275816016587672,8102.480714825653,4.429588440689977,0.0,0.0,0.0,0.0,0.0,34757418.90075118,-30376634.611228168,2344900.8018618245,25111453.080576513,-12893947.717304816,-3118074.9125926774,971763.350220482,-263730.135766764,0.0,0.0,0.0,0.0,0.0,16533148.756517578,15999769.720150597,-6244445.6001514755,0.0,9755324.119999122
1.0,0,2008,190,2343609205.7899985,2608864140.5399995,2692308348.7999997,83444208.26,2757683203.401398,98933113.74809837,72097724.367789,0.9036265328036881,10119006.05067311,3.9626710722369993,35340.6145432325,9.462754721082442,8099.942865671859,4.501776796165808,0.0,0.0,0.0,8.21557619437227e-05,0.0,16618743.577576132,16600910.995091107,1550662.840405853,57670328.85424924,1232468.10263861,3080589.0082225893,-1101843.569182225,-160134.32262562032,0.0,0.0,0.0,992604.9764360401,0.0,96484330.46281172,97873139.4313709,-14428931.171370875,0.0,83444208.26
1.0,0,2009,190,2343609205.7899985,2692308348.7999997,2564111221.5099993,-128197127.29000038,2551081743.257525,-206601460.14387333,71142776.42522284,0.9957204170221682,10030424.125455657,2.9215137193990373,33595.64800773831,9.545515316727746,8102.217138657095,4.736096508800615,0.0,0.0,0.0,8.21557619437227e-05,0.0,-21856144.280642062,-81592369.57415281,-1469929.9843509572,-151400037.22640422,48150720.839238495,2189124.3361486346,745836.9074274509,-430284.39367877576,0.0,0.0,0.0,0.0,0.0,-205663083.37641427,-203763097.653226,75565970.36322562,0.0,-128197127.29000038
1.0,0,2010,190,2343609205.7899985,2564111221.5099993,2477369488.950001,-86741732.55999818,2540258064.017461,-10823679.240063928,66984278.08492784,1.0145631694083668,9997355.98913705,3.37368692274567,32730.24784346335,9.772250187084634,8126.2122484222255,4.951634732374765,0.0,0.0,0.0,0.061047728382587756,0.0,-95544960.23049365,-14367313.523736373,165787.41079618532,69479412.47222587,22876261.329800982,4082319.7002705047,9602685.740554463,-444919.3266972423,0.0,0.0,0.0,846449.2487337493,0.0,-3304277.178545502,-5561858.356124249,-81179874.20387393,0.0,-86741732.55999818
1.0,0,2011,190,2343609205.7899985,2477369488.950001,2507911504.070001,30542015.120000165,2559708635.549986,19450571.532524716,64160286.68050455,1.026901004418262,10086446.883782739,4.103516979790575,32037.281396698734,10.027653650322709,8092.808276517318,4.9175752369811665,0.13451252364138713,0.0,0.13451252364138713,0.10516534208053666,0.0,-64034419.95420804,-15963707.872321863,3099284.9913682435,95629134.55003846,17815875.936043896,5309750.66586854,-13993648.073028022,104948.03088512087,-4371092.002622669,0.0,-520932.3786433235,586049.2052632932,0.0,23661243.09864365,20527978.724947453,10014036.395052718,0.0,30542015.120000165
