,CBSA,Mode,Year,Mechanical_Failures,Other_Failures,Total_Failures
0,10180.0,Bus,2002,1.0,29.0,30.0
1,10180.0,Bus,2003,10.0,23.0,33.0
2,10180.0,Bus,2004,7.0,22.0,29.0
3,10180.0,Bus,2005,9.0,23.0,32.0
4,10180.0,Bus,2006,12.0,43.0,55.0
5,10180.0,Bus,2007,9.0,25.0,34.0
6,10180.0,Bus,2008,11.0,10.0,21.0
7,10180.0,Bus,2009,25.0,11.0,36.0
8,10180.0,Bus,2010,7.0,26.0,33.0
9,10180.0,Bus,2011,0.0,0.0,0.0
10,10180.0,Bus,2012,0.0,0.0,0.0
11,10180.0,Bus,2013,0.0,0.0,0.0
12,10180.0,Bus,2014,0.0,0.0,0.0
13,10180.0,Bus,2015,0.0,0.0,0.0
14,10180.0,Bus,2016,0.0,0.0,0.0
15,10180.0,Bus,2017,0.0,0.0,0.0
16,10180.0,Bus,2018,0.0,0.0,0.0
17,10420.0,Bus,2002,76.0,1279.0,1355.0
18,10420.0,Bus,2003,19.0,1409.0,1428.0
19,10420.0,Bus,2004,67.0,1254.0,1321.0
20,10420.0,Bus,2005,169.0,2369.0,2538.0
21,10420.0,Bus,2006,166.0,2236.0,2402.0
22,10420.0,Bus,2007,144.0,1230.0,1374.0
23,10420.0,Bus,2008,187.0,1390.0,1577.0
24,10420.0,Bus,2009,201.0,1319.0,1520.0
25,10420.0,Bus,2010,216.0,1221.0,1437.0
26,10420.0,Bus,2011,138.0,959.0,1097.0
27,10420.0,Bus,2012,128.0,878.0,1006.0
28,10420.0,Bus,2013,1061.0,53.0,1114.0
29,10420.0,Bus,2014,1014.0,56.0,1070.0
30,10420.0,Bus,2015,893.0,60.0,953.0
31,10420.0,Bus,2016,788.0,41.0,829.0
32,10420.0,Bus,2017,232.0,519.0,751.0
33,10420.0,Bus,2018,195.0,644.0,839.0
34,10500.0,Bus,2002,107.0,35.0,142.0
35,10500.0,Bus,2003,77.0,45.0,122.0
36,10500.0,Bus,2004,72.0,23.0,95.0
37,10500.0,Bus,2005,68.0,24.0,92.0
38,10500.0,Bus,2006,59.0,21.0,80.0
39,10500.0,Bus,2007,51.0,11.0,62.0
40,10500.0,Bus,2008,43.0,27.0,70.0
41,10500.0,Bus,2009,49.0,20.0,69.0
42,10500.0,Bus,2010,49.0,23.0,72.0
43,10500.0,Bus,2011,18.0,33.0,51.0
44,10500.0,Bus,2012,40.0,15.0,55.0
45,10500.0,Bus,2013,45.0,6.0,51.0
46,10500.0,Bus,2014,69.0,32.0,101.0
47,10500.0,Bus,2015,33.0,232.0,265.0
48,10500.0,Bus,2016,35.0,291.0,326.0
49,10500.0,Bus,2017,58.0,349.0,407.0
50,10500.0,Bus,2018,70.0,273.0,343.0
51,10580.0,Bus,2002,1016.0,2466.0,3482.0
52,10580.0,Bus,2003,1095.0,2247.0,3342.0
53,10580.0,Bus,2004,12.0,18.0,30.0
54,10580.0,Bus,2005,12.0,18.0,30.0
55,10580.0,Bus,2006,353.0,139.0,492.0
56,10580.0,Bus,2007,176.0,293.0,469.0
57,10580.0,Bus,2008,121.0,167.0,288.0
58,10580.0,Bus,2009,79.0,178.0,257.0
59,10580.0,Bus,2010,73.0,187.0,260.0
60,10580.0,Bus,2011,72.0,195.0,267.0
61,10580.0,Bus,2012,223.0,442.0,665.0
62,10580.0,Bus,2013,289.0,107.0,396.0
63,10580.0,Bus,2014,441.0,15.0,456.0
64,10580.0,Bus,2015,428.0,1559.0,1987.0
65,10580.0,Bus,2016,358.0,1236.0,1594.0
66,10580.0,Bus,2017,454.0,1234.0,1688.0
67,10580.0,Bus,2018,517.0,1156.0,1673.0
68,10740.0,Bus,2002,1368.0,813.0,2181.0
69,10740.0,Bus,2003,718.0,1541.0,2259.0
70,10740.0,Bus,2004,45.0,314.0,359.0
71,10740.0,Bus,2005,129.0,73.0,202.0
72,10740.0,Bus,2006,879.0,1644.0,2523.0
73,10740.0,Bus,2007,882.0,1299.0,2181.0
74,10740.0,Bus,2008,777.0,1068.0,1845.0
75,10740.0,Bus,2009,493.0,703.0,1196.0
76,10740.0,Bus,2010,301.0,383.0,684.0
77,10740.0,Bus,2011,316.0,358.0,674.0
78,10740.0,Bus,2012,255.0,420.0,675.0
79,10740.0,Bus,2013,258.0,409.0,667.0
80,10740.0,Bus,2014,183.0,321.0,504.0
81,10740.0,Bus,2015,161.0,338.0,499.0
82,10740.0,Bus,2016,161.0,321.0,482.0
83,10740.0,Bus,2017,234.0,120.0,354.0
84,10740.0,Bus,2018,166.0,134.0,300.0
85,10740.0,Rail,2002,0.0,0.0,0.0
86,10740.0,Rail,2003,0.0,0.0,0.0
87,10740.0,Rail,2004,0.0,0.0,0.0
88,10740.0,Rail,2005,0.0,0.0,0.0
89,10740.0,Rail,2006,0.0,0.0,0.0
90,10740.0,Rail,2007,0.0,0.0,0.0
91,10740.0,Rail,2008,0.0,0.0,0.0
92,10740.0,Rail,2009,7.0,0.0,7.0
93,10740.0,Rail,2010,11.0,0.0,11.0
94,10740.0,Rail,2011,11.0,0.0,11.0
95,10740.0,Rail,2012,17.0,3.0,20.0
96,10740.0,Rail,2013,8.0,7.0,15.0
97,10740.0,Rail,2014,9.0,6.0,15.0
98,10740.0,Rail,2015,14.0,10.0,24.0
99,10740.0,Rail,2016,20.0,2.0,22.0
