,CLUSTER_APTA,Mode,Year,Unnamed: 0,CLUSTER_GT_NEW_11,CLUSTER_GT_ORIGINAL,CBSA,PROBLEM_FLAG,UPT,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_ADJ,FARE_per_UPT,FARE_ADJ_ORIGINAL,AREALANDPT,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,PCT_HH_NO_VEH,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,TOT_UNEMP_MSA,TOT_EMP_MSA,TOT_LABOR_MSA,UNEMP_RATE_PCT,EMP_RATE_PCT,GasPrice,Area_acre,POP_CENSUSTRACT,AVG_SPEED,2018_Dollar_Multiplier,TNC_ARRIVAL,TNC_FLAG,YEARS_SINCE_TNC,FARE_ADJ_2018,TOTAL_MED_INC_INDIV_2018,NATIVE_INSTATE_MED_INC_2018,NATIVE_OUTSTATE_MED_INC_2018,HH_MED_INC_2018,HH_MEAN_INC_2018,GAS_PRICE_2018,FARE_per_UPT_2018,dockCt,docklessCt,scooterCt,PBS_Start,PBS_End,PBS_Flag,walkscore,transit,bike,Bus_UPT_ADJ,Bus_UPT_ADJ_diff,Bus_UPT_ADJ_log,PCT_Bus_UPT_ADJ_rel_diff,Bus_UPT_ADJ_scale,Bus_VRM_ADJ,Bus_VRM_ADJ_diff,Bus_VRM_ADJ_log,PCT_Bus_VRM_ADJ_rel_diff,Bus_VRM_ADJ_scale,Bus_VRH_ADJ,Bus_VRH_ADJ_diff,Bus_VRH_ADJ_log,PCT_Bus_VRH_ADJ_rel_diff,Bus_VRH_ADJ_scale,Bus_FARE_TOTAL,Bus_FARE_TOTAL_diff,Bus_FARE_TOTAL_log,PCT_Bus_FARE_TOTAL_rel_diff,Bus_FARE_TOTAL_scale,Bus_FARE_per_UPT_2018,Bus_FARE_per_UPT_2018_diff,Bus_FARE_per_UPT_2018_log,PCT_Bus_FARE_per_UPT_2018_rel_diff,Bus_FARE_per_UPT_2018_scale,Bus_AVG_SPEED,Bus_AVG_SPEED_diff,Bus_AVG_SPEED_log,PCT_Bus_AVG_SPEED_rel_diff,Bus_AVG_SPEED_scale,Rail_UPT_ADJ,Rail_UPT_ADJ_diff,Rail_UPT_ADJ_log,PCT_Rail_UPT_ADJ_rel_diff,Rail_UPT_ADJ_scale,Rail_VRM_ADJ,Rail_VRM_ADJ_diff,Rail_VRM_ADJ_log,PCT_Rail_VRM_ADJ_rel_diff,Rail_VRM_ADJ_scale,Rail_VRH_ADJ,Rail_VRH_ADJ_diff,Rail_VRH_ADJ_log,PCT_Rail_VRH_ADJ_rel_diff,Rail_VRH_ADJ_scale,Rail_FARE_TOTAL,Rail_FARE_TOTAL_diff,Rail_FARE_TOTAL_log,PCT_Rail_FARE_TOTAL_rel_diff,Rail_FARE_TOTAL_scale,Rail_FARE_per_UPT_2018,Rail_FARE_per_UPT_2018_diff,Rail_FARE_per_UPT_2018_log,PCT_Rail_FARE_per_UPT_2018_rel_diff,Rail_FARE_per_UPT_2018_scale,Rail_AVG_SPEED,Rail_AVG_SPEED_diff,Rail_AVG_SPEED_log,PCT_Rail_AVG_SPEED_rel_diff,Rail_AVG_SPEED_scale,CLUSTER_GT_NEW_11.1,CLUSTER_GT_ORIGINAL.1,CLUSTER_APTA.1,min_year,VRM_ADJ_LAGGED_1,VRM_ADJ_LAGGED_2,VRM_ADJ_LAGGED_3,FARE_per_UPT_LAGGED_1,FARE_per_UPT_LAGGED_2,FARE_per_UPT_LAGGED_3,AVG_SPEED_LAGGED_1,AVG_SPEED_LAGGED_2,AVG_SPEED_LAGGED_3,TNC_FLAG_LAGGED_1,TNC_FLAG_LAGGED_2,TNC_FLAG_LAGGED_3,FARE_per_UPT_2018_LAGGED_1,FARE_per_UPT_2018_LAGGED_2,FARE_per_UPT_2018_LAGGED_3,dockCt_LAGGED_1,dockCt_LAGGED_2,dockCt_LAGGED_3,docklessCt_LAGGED_1,docklessCt_LAGGED_2,docklessCt_LAGGED_3,scooterCt_LAGGED_1,scooterCt_LAGGED_2,scooterCt_LAGGED_3,TNC_FLAG_LAGGED_4,TNC_FLAG_LAGGED_5
0,10,Bus,2002,44529,148,84,588340,1,2528859750,854932151,2528859750,854932151,68352407.52,9960001576,77.8952,9960001576,61747339734,78240152.97,39253048.19,22184442.42,1059069.203,545449.3907,528273.125,662342.0469,81211456.92,216.96,153.87,1528.4,520.92,1194.42,184.66,31245238.2,2915173.28,10599102.06,12162508.4,4017267.84,1551186.63,166.54,883589.3907,1169121.875,708.21,882.93,308.87,2587975.34,41604380.23,44192355.58,111.34,1788.66,26.88,0,31786862,244.38,26.6,38231,0,0,13944002206,763629.1469,739582.375,927278.8657,1237025.147,1636770.625,37.632,109.05328,0,0,0,36252,0,0,0,0,0,2528859750,0,0,0,66121938,854932151,0,0,0,-41135750.5,68352407.52,0,0,0,-1155964.75,1783545587,0,0,0,-91286450,18.72520277,0,0,0,-386.0805016,244.38,0,0,0,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13
1,10,Bus,2003,44548,148,84,588340,1,2491063151,874633977.9,2491063151,874633977.9,70249200.95,9531119622,75.8112,9531119622,61747339734,80859258.13,40696393.26,22736076.32,1078617.188,547191.4375,525813.5,665768.8125,82726116.32,215.58,151.32,1532.57,509.64,1199.63,190.77,31438415.28,2896830.9,10692871.83,12175140.34,4071797.71,1601774.59,165.52,940688.4375,1246540.5,673.39,877.51,349.14,2618810.7,41619383,44238193.68,113.06,1786.94,31.6,0,31522740,244,26.03,38231,0,0,13057633882,749652.2694,720364.495,912103.2732,1288743.159,1707760.485,43.292,103.861344,0,0,0,36252,0,0,0,0,0,2491063151,-37796598.89,-0.341574407,-29.09306549,66121938,874633977.9,19701826.9,0.270332631,40.75040555,-41135750.5,70249200.95,1896793.436,0.274061685,43.03667377,-1155964.75,1703628891,-79916696,-0.806951173,-48.03168507,-91286450,18.02086225,-0.704340518,-0.876945204,-40.20655583,-386.0805016,244,-0.38,-0.003445478,2.332300709,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,854932151,200727856,213597189.3,77.8952,220.0856,106.5313,244.38,299.52,294.2,0,19,19,109.05328,220.0856,108.661926,0,1064,939,0,16,12,0,21,0,17,15
2,10,Bus,2004,44567,148,84,588340,1,2580099793,902681406.4,2580099793,902681406.4,71522649.45,9953146765,80.2148,9953146765,61747339734,83516303.5,42159672,23297368.75,1098024.25,548470.25,522840,668600.75,84256783.75,214.28,148.77,1536.7,498.24,1204.92,196.98,31630176,2878783.5,10787783.75,12185533.75,4126017.25,1652057.75,164.59,997867.25,1323787,638.51,872.26,389.4,2382972.09,42116116.84,44499088.92,101.29,1798.71,37.08,0,31258618,248.48,25.27,38231,0,0,13237685198,729465.4325,695377.2,889238.9975,1327163.443,1760636.71,49.3164,106.685684,0,0,0,36252,0,0,0,0,0,2580099793,89036641.91,0.232545953,33.13408859,66121938,902681406.4,28047428.5,0.431878852,48.40735824,-41135750.5,71522649.45,1273448.494,0.119977455,17.39481031,-1155964.75,1763971543,60342652,1.310856602,163.8101561,-91286450,18.25397355,0.233111294,0.5153065,82.74492383,-386.0805016,248.48,4.48,0.310983106,33.60420454,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,874633977.9,854932151,200727856,75.8112,77.8952,220.0856,244,244.38,299.52,0,0,19,103.861344,109.05328,220.0856,0,0,1064,0,0,16,0,0,21,19,17
3,10,Bus,2005,44586,148,84,588340,1,2614990310,891917409.7,2614990310,891917409.7,70934769.8,10628536982,82.5946,10628536982,61747339734,86021588,43543216,23820027,1117995,551602,521922,673812,85723419,212.6,146.2,1541,487.3,1209.9,202.8,31827602,2859556,10878127,12204881,4181478,1703560,163.39,1054727,1401722,604,866.4,429.6,2174121.74,42877884.67,45052006.43,91.28,1808.72,44.89,2600819.2,30994496,248.44,24.51,38231,0,0,13710812706,711566.58,673279.38,869217.48,1360597.83,1808221.38,57.9081,106.547034,0,0,0,36252,0,0,0,0,0,2614990310,34890516.65,0.339091556,36.86943415,66121938,891917409.7,-10763996.7,-0.301879842,-27.68163097,-41135750.5,70934769.8,-587879.644,-0.247468076,-21.64131855,-1155964.75,1881533505,117561962,0.847006148,91.54602041,-91286450,18.12891139,-0.125062157,-0.07228316,-2.498370826,-386.0805016,248.44,-0.04,-0.052929147,0.172141165,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,902681406.4,874633977.9,854932151,80.2148,75.8112,77.8952,248.48,244,244.38,0,0,0,106.685684,103.861344,109.05328,0,0,0,0,0,0,0,0,0,19,19
4,10,Bus,2006,44605,148,84,588340,2,2649863180,889566500.8,2649863180,889566500.8,72061623.99,10922387909,85.1815,10734296290,61747339734,89133916,45245699,24497222,1135711,547322,512782,669506,87446183,212.3,143.4,1544.3,474.3,1215.8,209.9,32002367,2845049,10986745,12188413,4231974,1750186,163.01,1112863,1476903,567.6,862.6,469.8,1956864.23,43845807.41,45802671.66,81.22,1818.78,50.78,2600819.2,30730374,242.38,23.75,38231,0,0,13652984887,684152.5,640977.5,836882.5,1391078.75,1846128.75,63.475,106.476875,0,0,0,36252,0,0,0,0,0,2649863180,34872870.14,0.191457831,21.55578427,66121938,889566500.8,-2350908.91,-0.013132771,0.437336653,-41135750.5,72061623.99,1126854.185,0.380128043,40.3121832,-1155964.75,1923785655,42252150,0.008488505,23.54773827,-91286450,17.6513029,-0.477608492,-0.781444003,-48.56629701,-386.0805016,242.38,-6.06,-0.394426985,-35.41818125,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,891917409.7,902681406.4,874633977.9,82.5946,80.2148,75.8112,248.44,248.48,244,0,0,0,106.547034,106.685684,103.861344,0,0,0,0,0,0,0,0,0,0,19
5,10,Bus,2007,44624,148,84,588340,1,2662777943,907262669.9,2662777943,907262669.9,73882125.16,11599938556,88.8785,11599938556,61747339734,89818070,45672426,24556270,1162446,572689,536530,703269,88144432,206.6,141.7,1551.8,469.7,1218.2,212.1,32267776,2811660,11022264,12315206,4302329,1816317,159.65,1165894,1563100,539,850.8,510.2,1969396.44,44492707.93,46462104.32,79.46,1820.54,55.07,2600819.2,30466252,241.13,22.99,38231,0,0,14035925653,692953.69,649201.3,850955.49,1410731.74,1891351,66.6347,107.542985,0,0,0,36252,0,0,0,0,0,2662777943,12914763.55,0.261111547,29.22020882,66121938,907262669.9,17696169.08,0.406480836,42.17544536,-41135750.5,73882125.16,1820501.174,0.486533663,50.77043974,-1155964.75,2049369086,125583431,1.737530948,225.4979734,-91286450,18.16606751,0.514764613,0.858478761,112.3068095,-386.0805016,241.13,-1.25,-0.080450457,-7.172309735,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,889566500.8,891917409.7,902681406.4,85.1815,82.5946,80.2148,242.38,248.44,248.48,0,0,0,106.476875,106.547034,106.685684,0,0,0,0,0,0,0,0,0,0,0
6,10,Bus,2008,44643,148,84,588340,1,2751526269,918529201.6,2751526269,918529201.6,74799499.69,12192332191,90.5982,12192332191,61747339734,90649928,46263862,24735412,1241626,591600,547909,726779,88962811,209.6,142.1,1548.1,466.3,1216.9,216.8,32559532,2869550,11218835,12321739,4337555,1811853,161.81,1211430,1620904,519.7,837.1,543.2,2597907.19,44528740.77,47126647.92,101.82,1798.18,63.94,2600819.2,30202130,242.13,22.23,38231,0,0,14265028663,692172,641053.53,850331.43,1417373.1,1896457.68,74.8098,105.999894,0,0,0,36252,0,1,0,0,0,2751526269,88748326.1,0.662381979,70.08729948,66121938,918529201.6,11266531.7,0.292891221,31.14587451,-41135750.5,74799499.69,917374.527,0.227007795,24.62437243,-1155964.75,2149855369,100486283,0.874322698,91.58269651,-91286450,17.76350613,-0.402561378,-0.426774884,-36.71946272,-386.0805016,242.13,1,0.065853713,7.106749768,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,907262669.9,889566500.8,891917409.7,88.8785,85.1815,82.5946,241.13,242.38,248.44,0,0,0,107.542985,106.476875,106.547034,0,0,0,0,0,0,0,0,0,0,0
7,10,Bus,2009,44662,148,84,588340,1,2626595906,914362033.8,2626595906,914362033.8,74664919.28,12874349175,101.4111,12874349175,61747339734,91920123,47129139,24890642,1252797,564170,526081,702655,90218745,228.4,149.2,1522.7,463.5,1219,217.5,32603141,2918342,11254095,12321001,4288988,1820715,164.55,1166662,1561295,547.8,836.5,515.7,4210696.08,42941686.09,47152382.17,166.23,1733.77,46.84,2600819.2,29938008,241.83,22.23,38231,0,0,15062988535,660078.9,615514.77,822106.35,1364994.54,1826715.15,54.8028,118.650987,0,0,0,36252,0,1,0,0,0,2626595906,-124930363.9,-0.906780284,-87.01945785,66121938,914362033.8,-4167167.73,-0.035451642,-2.42749807,-41135750.5,74664919.28,-134580.412,-0.002800328,0.559724219,-1155964.75,2264369791,114514422,1.246202531,134.7354202,-91286450,19.91869803,2.155191895,2.152982815,238.7685759,-386.0805016,241.83,-0.3,-0.03290414,-2.094521861,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,918529201.6,907262669.9,889566500.8,90.5982,88.8785,85.1815,242.13,241.13,242.38,0,0,0,105.999894,107.542985,106.476875,0,0,0,0,0,0,0,0,0,0,0
8,10,Bus,2010,44681,148,84,588340,2,2542866555,880663547.5,2542866555,880663547.5,73012275.37,12981270571,104.9951,12981270571,61747339734,91821135,46914876,24503740,1300547,560639,525413,700371,90175763,0,0,0,456.2,1221.9,221.9,33037839,3006792,11463814,12478158,4313920,1775155,167.44,1147399,1535764,563.6,822.9,513.5,4488321.31,43076449.48,47564770.84,175.25,1724.75,55.14,2600819.2,29673886,235.96,21.85,38231,2,0,14928461158,644734.85,604224.95,805426.65,1319508.85,1766128.6,63.411,120.744365,0,0,0,36252,0,3,0,0,0,2542866555,-83729350.91,-0.636153528,-61.42119173,66121938,880663547.5,-33698486.35,-0.679124693,-63.69576489,-41135750.5,73012275.37,-1652643.911,-0.229714522,-18.83911208,-1155964.75,2271127167,6757376,0.076144841,10.81935128,-91286450,20.28605378,0.36735575,0.384704042,43.40693323,-386.0805016,235.96,-5.87,-0.449552677,-41.00161416,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,914362033.8,918529201.6,907262669.9,101.4111,90.5982,88.8785,241.83,242.13,241.13,0,0,0,118.650987,105.999894,107.542985,0,0,0,0,0,0,0,0,0,0,0
9,10,Bus,2011,44700,148,84,588340,2,2575457672,854070995.8,2575457672,854070995.8,71012727.55,13894048422,110.4041,13894048422,61747339734,92816067,47739497,24537637,1321213,566215,525938,712265,91188690,0,0,0,451.4,1223.1,225.5,33287606,3120482,11641813,12525675,4262828,1736808,172.12,1158297,1573316,564.5,808,527.5,4217765.41,43701405.19,47919170.6,162.09,1737.91,69.03,2600819.2,29409764,236.65,21.28,38231,5,2,15561334233,634160.8,589050.56,797736.8,1297292.64,1762113.92,77.3136,123.652592,0,0,0,36252,0,4,0,0,0,2575457672,32591117.06,0.206770298,21.87348201,66121938,854070995.8,-26592551.71,-0.599441262,-57.2107728,-41135750.5,71012727.55,-1999547.817,-0.649325201,-61.10412149,-1155964.75,2427054047,155926880,1.079698535,115.1516983,-91286450,20.68179437,0.395740588,0.370696357,40.9541342,-386.0805016,236.65,0.69,0.050786682,5.672452285,-418,0,0,0,0,-3778566480,0,0,0,0,5169818946,0,0,0,0,398389818.8,0,0,0,0,-92806304650,0,0,0,0,-450.1042354,0,0,0,0,-1178,148,84,190,38038,880663547.5,914362033.8,918529201.6,104.9951,101.4111,90.5982,235.96,241.83,242.13,2,0,0,120.744365,118.650987,105.999894,0,0,0,0,0,0,0,0,0,0,0
