GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01
Id,Id2,Geography,Total; Estimate; Total population
3100000US27900,27900,"Joplin, MO Metro Area",162578
3100000US28020,28020,"Kalamazoo-Portage, MI Metro Area",307353
3100000US28100,28100,"Kankakee-Bradley, IL Metro Area",103593
3100000US28140,28140,"Kansas City, MO-KS Metro Area",1909666
3100000US28420,28420,"Kennewick-Richland-Pasco, WA Metro Area",219224
3100000US28660,28660,"Killeen-Temple-Fort Hood, TX Metro Area",330421
3100000US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",298447
3100000US28740,28740,"Kingston, NY Metro Area",170938
3100000US28940,28940,"Knoxville, TN Metro Area",635635
3100000US29020,29020,"Kokomo, IN Metro Area",102346
3100000US29100,29100,"La Crosse, WI-MN Metro Area",123253
3100000US29140,29140,"Lafayette, IN Metro Area",171344
3100000US29180,29180,"Lafayette, LA Metro Area",242090
3100000US29340,29340,"Lake Charles, LA Metro Area",186858
3100000US29460,29460,"Lakeland, FL Metro Area",530126
3100000US29540,29540,"Lancaster, PA Metro Area",476155
3100000US29620,29620,"Lansing-East Lansing, MI Metro Area",435632
3100000US29700,29700,"Laredo, TX Metro Area",221478
3100000US29740,29740,"Las Cruces, NM Metro Area",184089
3100000US29820,29820,"Las Vegas-Paradise, NV Metro Area",1691213
3100000US29940,29940,"Lawrence, KS Metro Area",94200
3100000US30020,30020,"Lawton, OK Metro Area",102887
3100000US30140,30140,"Lebanon, PA Metro Area",121054
3100000US30340,30340,"Lewiston-Auburn, ME Metro Area",104298
3100000US30460,30460,"Lexington-Fayette, KY Metro Area",410876
3100000US30620,30620,"Lima, OH Metro Area",101619
3100000US30700,30700,"Lincoln, NE Metro Area",268089
3100000US30780,30780,"Little Rock-North Little Rock, AR Metro Area",623851
3100000US30860,30860,"Logan, UT-ID Metro Area",106718
3100000US30980,30980,"Longview, TX Metro Area",199417
3100000US31020,31020,"Longview, WA Metro Area",95905
3100000US31100,31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",12703423
3100000US31140,31140,"Louisville, KY-IN Metro Area",1183916
3100000US31180,31180,"Lubbock, TX Metro Area",250628
3100000US31340,31340,"Lynchburg, VA Metro Area",227858
3100000US31420,31420,"Macon, GA Metro Area",218398
3100000US31460,31460,"Madera, CA Metro Area",134159
3100000US31540,31540,"Madison, WI Metro Area",519330
3100000US31700,31700,"Manchester-Nashua, NH Metro Area",393207
3100000US31900,31900,"Mansfield, OH Metro Area",121365
3100000US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",671967
3100000US32780,32780,"Medford, OR Metro Area",191465
3100000US32820,32820,"Memphis, TN-MS-AR Metro Area",1236181
3100000US32900,32900,"Merced, CA Metro Area",237278
3100000US33100,33100,"Miami-Fort Lauderdale-Miami Beach, FL Metro Area",5334685
3100000US33140,33140,"Michigan City-La Porte, IN Metro Area",104164
3100000US33260,33260,"Midland, TX Metro Area",119720
3100000US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1480517
3100000US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3076239
3100000US33540,33540,"Missoula, MT Metro Area",96467
3100000US33660,33660,"Mobile, AL Metro Area",393585
3100000US33700,33700,"Modesto, CA Metro Area",497804
3100000US33740,33740,"Monroe, LA Metro Area",165220
3100000US33780,33780,"Monroe, MI Metro Area",152392
3100000US33860,33860,"Montgomery, AL Metro Area",339638
3100000US34060,34060,"Morgantown, WV Metro Area",106899
3100000US34100,34100,"Morristown, TN Metro Area",131585
3100000US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",111330
3100000US34620,34620,"Muncie, IN Metro Area",108356
3100000US34740,34740,"Muskegon-Norton Shores, MI Metro Area",169500
3100000US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",224487
3100000US34900,34900,"Napa, CA Metro Area",127445
3100000US34940,34940,"Naples-Marco Island, FL Metro Area",302514
3100000US34980,34980,"Nashville-Davidson--Murfreesboro, TN Metro Area",1384347
3100000US35300,35300,"New Haven-Milford, CT Metro Area",817828
3100000US35380,35380,"New Orleans-Metairie-Kenner, LA Metro Area",1292774
3100000US35620,35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",18351099
3100000US35660,35660,"Niles-Benton Harbor, MI Metro Area",158224
3100000US35980,35980,"Norwich-New London, CT Metro Area",253468
3100000US36100,36100,"Ocala, FL Metro Area",295555
3100000US36140,36140,"Ocean City, NJ Metro Area",96630
3100000US36220,36220,"Odessa, TX Metro Area",123331
3100000US36260,36260,"Ogden-Clearfield, UT Metro Area",481703
3100000US36420,36420,"Oklahoma City, OK Metro Area",1124533
3100000US36500,36500,"Olympia, WA Metro Area",225469
3100000US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",795707
3100000US36740,36740,"Orlando-Kissimmee, FL Metro Area",1903273
3100000US36780,36780,"Oshkosh-Neenah, WI Metro Area",150687
3100000US36980,36980,"Owensboro, KY Metro Area",109410
3100000US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",782759
3100000US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",521226
3100000US37460,37460,"Panama City-Lynn Haven, FL Metro Area",158141
3100000US37620,37620,"Parkersburg-Marietta-Vienna, WV-OH Metro Area",161018
3100000US37700,37700,"Pascagoula, MS Metro Area",155942
3100000US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",415313
3100000US37900,37900,"Peoria, IL Metro Area",357285
3100000US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5644383
3100000US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",3805123
3100000US38220,38220,"Pine Bluff, AR Metro Area",95402
3100000US38300,38300,"Pittsburgh, PA Metro Area",2314937
3100000US38340,38340,"Pittsfield, MA Metro Area",125654
3100000US38540,38540,"Pocatello, ID Metro Area",83492
3100000US38860,38860,"Portland-South Portland-Biddeford, ME Metro Area",500263
3100000US38900,38900,"Portland-Vancouver-Beaverton, OR-WA Metro Area",2063277
3100000US38940,38940,"Port St. Lucie-Fort Pierce, FL Metro Area",374713
3100000US39100,39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",635978
3100000US39140,39140,"Prescott, AZ Metro Area",194928
3100000US39300,39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",1565972
3100000US39340,39340,"Provo-Orem, UT Metro Area",443188
3100000US39380,39380,"Pueblo, CO Metro Area",147187
3100000US39460,39460,"Punta Gorda, FL Metro Area",154716
3100000US39540,39540,"Racine, WI Metro Area",190368
3100000US39580,39580,"Raleigh-Cary, NC Metro Area",924415
3100000US39660,39660,"Rapid City, SD Metro Area",114805
3100000US39740,39740,"Reading, PA Metro Area",382917
3100000US39820,39820,"Redding, CA Metro Area",176570
3100000US39900,39900,"Reno-Sparks, NV Metro Area",387750
3100000US40060,40060,"Richmond, VA Metro Area",1132036
3100000US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",3827946
3100000US40220,40220,"Roanoke, VA Metro Area",279269
3100000US40340,40340,"Rochester, MN Metro Area",173360
3100000US40380,40380,"Rochester, NY Metro Area",996309
3100000US40420,40420,"Rockford, IL Metro Area",333729
3100000US40580,40580,"Rocky Mount, NC Metro Area",141985
3100000US40660,40660,"Rome, GA Metro Area",90124
3100000US40900,40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2004476
3100000US40980,40980,"Saginaw-Saginaw Township North, MI Metro Area",202037
3100000US41060,41060,"St. Cloud, MN Metro Area",172989
3100000US41100,41100,"St. George, UT Metro Area",117385
3100000US41140,41140,"St. Joseph, MO-KS Metro Area",111755
3100000US41180,41180,"St. Louis, MO-IL Metro Area",2725336
3100000US41420,41420,"Salem, OR Metro Area",360857
3100000US41500,41500,"Salinas, CA Metro Area",389004
3100000US41540,41540,"Salisbury, MD Metro Area",107489
3100000US41620,41620,"Salt Lake City, UT Metro Area",1017572
3100000US41660,41660,"San Angelo, TX Metro Area",100894
3100000US41700,41700,"San Antonio, TX Metro Area",1844018
3100000US41740,41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",2824259
3100000US41780,41780,"Sandusky, OH Metro Area",76797
3100000US41860,41860,"San Francisco-Oakland-Fremont, CA Metro Area",4071751
3100000US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1726057
3100000US42020,42020,"San Luis Obispo-Paso Robles, CA Metro Area",239638
3100000US42060,42060,"Santa Barbara-Santa Maria, CA Metro Area",383393
3100000US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",240367
3100000US42140,42140,"Santa Fe, NM Metro Area",137758
3100000US42220,42220,"Santa Rosa-Petaluma, CA Metro Area",453850
3100000US42260,42260,"Sarasota-Bradenton-Venice, FL Metro Area",660611
3100000US42340,42340,"Savannah, GA Metro Area",302925
3100000US42540,42540,"Scranton--Wilkes-Barre, PA Metro Area",528353
3100000US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3133715
3100000US43100,43100,"Sheboygan, WI Metro Area",111100
3100000US43300,43300,"Sherman-Denison, TX Metro Area",113899
3100000US43340,43340,"Shreveport-Bossier City, LA Metro Area",375139
3100000US43580,43580,"Sioux City, IA-NE-SD Metro Area",139910
3100000US43620,43620,"Sioux Falls, SD Metro Area",201044
3100000US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",303925
3100000US43900,43900,"Spartanburg, SC Metro Area",259224
3100000US44060,44060,"Spokane, WA Metro Area",425684
3100000US44100,44100,"Springfield, IL Metro Area",202317
3100000US44140,44140,"Springfield, MA Metro Area",653913
3100000US44180,44180,"Springfield, MO Metro Area",382521
3100000US44220,44220,"Springfield, OH Metro Area",139053
3100000US44300,44300,"State College, PA Metro Area",124263
3100000US44700,44700,"Stockton, CA Metro Area",646259
3100000US44940,44940,"Sumter, SC Metro Area",102146
3100000US45060,45060,"Syracuse, NY Metro Area",628295
3100000US45220,45220,"Tallahassee, FL Metro Area",317527
3100000US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2596556
3100000US45460,45460,"Terre Haute, IN Metro Area",158940
3100000US45500,45500,"Texarkana, TX-Texarkana, AR Metro Area",125886
3100000US45780,45780,"Toledo, OH Metro Area",637276
3100000US45820,45820,"Topeka, KS Metro Area",224023
3100000US45940,45940,"Trenton-Ewing, NJ Metro Area",345118
3100000US46060,46060,"Tucson, AZ Metro Area",902720
3100000US46140,46140,"Tulsa, OK Metro Area",867878
3100000US46220,46220,"Tuscaloosa, AL Metro Area",189393
3100000US46340,46340,"Tyler, TX Metro Area",185465
3100000US46540,46540,"Utica-Rome, NY Metro Area",281918
3100000US46660,46660,"Valdosta, GA Metro Area",117756
3100000US46700,46700,"Vallejo-Fairfield, CA Metro Area",395426
3100000US46940,46940,"Vero Beach, FL Metro Area",126258
3100000US47020,47020,"Victoria, TX Metro Area",117233
3100000US47220,47220,"Vineland-Millville-Bridgeton, NJ Metro Area",139968
3100000US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1585416
3100000US47300,47300,"Visalia-Porterville, CA Metro Area",404909
3100000US47380,47380,"Waco, TX Metro Area",214582
3100000US47580,47580,"Warner Robins, GA Metro Area",123176
3100000US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5119490
3100000US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",153873
3100000US48140,48140,"Wausau, WI Metro Area",127080
3100000US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",123066
3100000US48300,48300,"Wenatchee, WA Metro Area",103393
3100000US48540,48540,"Wheeling, WV-OH Metro Area",141860
