RAIL_FLAG,Year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT,POP_EMP,GasPrice,PCT_HH_NO_VEH,TSD_POP_PCT,YEARS_2002_2014_BUS,YEARS_AFTER_2014_BUS,YEARS_2002_2014_RAIL,YEARS_AFTER_2014_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_log_FAC,POP_EMP_log_FAC,GasPrice_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,YEARS_2002_2014_BUS_FAC,YEARS_AFTER_2014_BUS_FAC,YEARS_2002_2014_RAIL_FAC,YEARS_AFTER_2014_RAIL_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_log_FAC_scaled,POP_EMP_log_FAC_scaled,GasPrice_log_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,YEARS_2002_2014_BUS_FAC_scaled,YEARS_AFTER_2014_BUS_FAC_scaled,YEARS_2002_2014_RAIL_FAC_scaled,YEARS_AFTER_2014_RAIL_FAC_scaled,Total_FAC_scaled
0,2002,4380705155.151299,4329524585.4306,-46657818.870699026,3880898999.5968413,-1110455042.9450843,104299919.05637267,0.7331422658415406,10687330.481562693,1.4011889838794946,15.340417779908057,0.5404693682187891,0.0,0.0,0.0,0.0,-32062200.81311565,673343277.5388316,-479041166.98601544,-535082786.49910384,19937365.000125196,469104832.811651,-925531549.785448,0.0,0.0,0.0,-809332228.7330787,180999343.09308672,552321492.5588055,-644354779.6824608,-708107375.5627177,43688922.921790965,683855739.4273269,-1218858385.700908,0.0,0.0,0.0,-1110455042.9450762
0,2003,4407200502.3207,4304294535.919702,-98693391.07159996,3922924460.3490286,-1094486290.1059017,100097947.73539501,1.690490182085141,10791955.239662774,1.6341104671425586,15.12861227260557,0.5192393519030756,0.9989731554403715,0.0,0.0,0.0,-12467973.567363637,528850516.72056854,-427566144.36021596,-463538070.04985994,12069373.000595279,383807025.51625973,-861709491.5962937,0.0,0.0,0.0,-840554764.3363181,28419761.902576428,839731973.5374683,-624500479.7153218,-667075806.0812613,9221527.518029988,561408671.1367842,-1241691938.4041631,0.0,0.0,0.0,-1094486290.105887
0,2004,4458040303.502699,4396174350.584398,-58096336.034502245,4098993877.095286,-977854581.8040063,103357296.28412582,1.6594055278601312,10902729.74854641,1.923161836065207,14.87953404314147,0.4984999581189346,1.9979697312940645,0.0,0.0,0.0,5805972.363307697,474436677.0902494,-363323446.76800615,-381571874.6806172,4131401.41005627,306428276.03296566,-800028291.4121926,0.0,0.0,0.0,-754121285.9642444,-6920033419.035945,-2819694761.6563087,-1920628836.8020747,2861495016.353504,648277184.9620999,1188513986.3984072,5984216247.976164,0.0,0.0,0.0,-977854581.8041532
0,2005,4472131081.53,4515989010.990802,47607754.27450086,4311763285.780541,-779831185.2370323,104373535.15097623,1.4565718778756078,11098879.685409307,2.3385247458850165,14.69975526721532,0.4813657819880765,2.9969641923884858,0.0,0.0,0.0,14496861.490726093,474833273.1557668,-292276891.9544126,-268166557.69152617,-3390609.821485804,236498954.3461253,-729264079.8634927,0.0,0.0,0.0,-567269050.3383088,75381677.42931911,1423259824.5007627,-793929733.6359184,-634158107.3468375,-20907940.079699866,885378756.9847867,-1714855663.0894182,0.0,0.0,0.0,-779831185.2370054
0,2006,4506325840.0848,4548818496.725497,45973870.80869852,3999713285.6242,-1122399492.988645,98008138.87893504,1.1835328680587962,11286288.773438098,2.650533507542375,14.443390896868557,0.46074995982495615,3.9959829714764568,0.0,0.0,0.0,-13825392.861377366,-41168192.1011582,-206423074.43471104,-190854764.81038058,-12935273.729887009,159264174.04091236,-659512325.1493287,0.0,0.0,0.0,-965454849.0459335,75487348.55932784,174163985.41380143,-375380087.5502568,-275929443.48080903,-11681826.951812714,241534749.2145281,-950594218.1934211,0.0,0.0,0.0,-1122399492.988643
0,2007,4518123891.892599,4549857617.2058,34696258.3711985,4475674187.052077,-659238726.8447833,106437268.66602734,0.912319963522015,11311286.935578546,2.8679792507108766,14.402936017870347,0.4541258844425549,4.994991826289757,0.0,0.0,0.0,57227692.90248009,226783306.3768539,-179580404.97753116,-139033598.38127348,-14383220.448056698,134535352.8923645,-584199306.2792195,0.0,0.0,0.0,-498650177.9143888,-29396687.014971904,-214632568.41603416,-121604728.18190591,-55616595.91656525,-14743225.033420203,38219313.75693608,-261464236.03881773,0.0,0.0,0.0,-659238726.8447793
0,2008,4518123891.892599,4740687979.320102,225448109.15450042,4728630823.110622,-406384202.80478024,108139612.14371975,0.8837456209958118,11398551.462410167,3.336232287993272,14.521860123121252,0.44632422318110043,5.9939901915477085,0.0,0.0,0.0,81857049.52060044,252075191.65760458,-156581958.0758773,-33908816.66573644,-8596916.81802946,101023261.13277522,-505617162.4098865,0.0,0.0,0.0,-269749351.658553,78129879.76062195,109316421.81248847,-158074075.07931244,-33389270.66860562,-10823930.124270173,96758476.00825362,-488301704.5139535,0.0,0.0,0.0,-406384202.8047777
0,2009,4518123891.892599,4545886577.608303,31060360.179702148,4452761448.242287,-681949770.7963805,109291084.89381899,0.9479240442142419,11326195.008326413,2.4294680560821003,14.654094894682526,0.4388689217595015,6.992988556805662,0.0,0.0,0.0,89213259.30252898,140940349.04889062,-169663393.7637988,-247275342.36829162,-2169514.298096415,69344624.86161649,-425463492.40741014,0.0,0.0,0.0,-545073509.624575,202778191.65340528,311377398.93725777,-243378327.56607917,-392351536.2526261,2672869.8389168866,109410734.2924328,-672459101.6996615,0.0,0.0,0.0,-681949770.7963539
0,2010,4519691060.014601,4452666336.357799,-68504327.15980002,4503785857.386806,-637195156.0896549,100744309.99769853,0.9868105506629736,11285946.653996466,2.86826074305327,14.919107504094493,0.43544083003624595,8.0,0.0,0.0,0.0,20332786.597608134,48673711.46490273,-163301880.30644178,-139938282.387387,10631920.40541787,54974049.916484766,-344170820.58688486,0.0,0.0,0.0,-512798514.89630467,58807134.39108001,201109227.831206,-202101361.7940495,-224443605.26781163,6698460.286284861,77443231.74456552,-554708243.2809228,0.0,0.0,0.0,-637195156.0896473
0,2011,4521001987.014601,4509569289.853399,-12893231.149200806,4626208691.436485,-516063900.14143217,98308510.51129873,1.110157530414593,11357935.658338262,3.614327732921264,15.205354080433699,0.42876542905443343,9.000000000000004,0.0,0.0,0.0,-10116211.532254783,-52923717.65283633,-136659030.45266214,23598096.92660259,24788861.924271896,27372325.533496708,-260742224.9010588,0.0,0.0,0.0,-384681900.1544525,-11592553.65239102,-132536180.11852174,-159659982.41570517,27110828.03247503,30806155.1311988,34292678.10830013,-304484845.22677374,0.0,0.0,0.0,-516063900.1414175
0,2012,4521001987.014601,4570835011.341599,48485098.34799873,5077524896.731348,-64636669.1840365,97411904.37103714,0.9405630189787187,11469328.190438464,3.7428655895730554,15.20748306414913,0.4283869826235672,9.999999999999998,0.0,0.0,0.0,-31393860.637645934,170849198.76941797,-100969271.55889988,49384258.98342936,24908018.985734187,25796347.705576483,-175543358.842166,0.0,0.0,0.0,-36968666.59455291,-30568687.040664233,153664266.75714365,-99771135.08523148,51519971.80048378,22909410.772664964,20698089.299804144,-183088585.68823949,0.0,0.0,0.0,-64636669.18403877
0,2013,4521001987.014601,4549985926.0342,28983939.019598164,5042980079.413217,-98156953.22472909,98908735.54339473,1.006664460821994,11758743.100543993,3.6263629796140657,14.642571033356232,0.421965322821066,10.999999999999998,0.0,0.0,0.0,-13048309.543854725,43692453.68073169,-41368000.477697216,25942590.465279594,-2808886.6621091333,-1030937.1054904802,-88640642.03635994,0.0,0.0,0.0,-77261731.67951025,-14293958.405824196,40475204.67218986,-47449436.65076761,30353128.99337069,-3169926.577485506,-1258491.076546287,-102813474.17965479,0.0,0.0,0.0,-98156953.22471774
0,2014,4521001987.014601,4521001987.014601,0.0,5141137032.637946,0.0,99723136.0049409,1.032946897912106,11892499.337994765,3.5010484992334727,14.701587169785649,0.42221579151280064,11.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2015,4521001987.014601,4419639238.0346985,-101837832.50230177,4666007875.955616,-475623853.37370867,99483473.53730114,1.0734218680188725,12014112.186231738,2.575628290310346,14.604420877782216,0.4227431195857668,11.999999999999996,1.0,0.0,0.0,20146645.134873323,-44384913.63595724,38852182.73663913,-212380943.8888196,-4675536.508494888,2190047.472128393,0.0,-217012019.18113,0.0,0.0,-417264537.87075925,42715219.12638756,-76332490.60839468,41492125.538228944,-239420777.29026976,-3635892.2299226704,3040255.055562716,0.0,-243482292.96530303,0.0,0.0,-475623853.373711
0,2016,4521001987.014601,4278740851.423499,-242909639.24850142,4380348318.75386,-761428685.8168061,99605431.86653344,1.095262955147788,12072099.380176784,2.312639173947151,14.435440855520534,0.42384929855052433,11.999999999999996,2.0,0.0,0.0,38092053.90767919,-81098559.1594327,67704529.2332858,-279707536.5490139,-12923319.435767628,6792060.474952088,0.0,-423607273.09554774,0.0,0.0,-684748044.6238495,44377777.41030492,-93480209.1217246,74869187.91199298,-311002366.92204964,-13853996.363871528,7700930.984688373,0.0,-470040009.7161418,0.0,0.0,-761428685.8168015
0,2017,4521001987.014601,4100260838.8516,-421509266.60040003,4257826517.261611,-884052620.6244711,98770659.67903598,1.1145493497284453,12184769.158376632,2.6060325603683827,14.325452980292765,0.4240565984018347,11.999999999999996,2.999999999999999,0.0,0.0,43039631.082100436,-104624218.82873265,105511412.09088825,-204301314.54764426,-18267640.21957347,7672596.655901089,0.0,-620285775.5168276,0.0,0.0,-791255309.2838856,53673852.496953934,-117217528.67306635,120809581.8781181,-230273113.5518991,-21043194.109893188,8314524.673857904,0.0,-698316743.338546,0.0,0.0,-884052620.6244748
0,2018,4521001987.014601,4006900562.6270003,-514495432.38180125,4140679419.5848513,-1000913943.4473889,98585681.14432977,1.3660652480453663,12266704.435839515,2.9246689722489445,14.202227098606134,0.4244710908637227,11.998751613368844,3.9995838711229497,0.0,0.0,29356227.888640445,-117204403.07567753,137190384.52961853,-128075799.03499901,-24144934.09173357,9501687.6751894,0.0,-807439530.6575667,0.0,0.0,-900816366.7665372,157812963.44532415,16399231.946350973,273954384.50771666,-170287043.40750238,-59747438.29501856,3700956.746786851,0.0,-1222746998.391046,0.0,0.0,-1000913943.4473879
1,2002,4779965162.9648,3322864013.6624007,-1457101149.3023994,3390808984.642266,-1391916678.5708804,327599334.5402655,1.194008678896785,19415626.789393473,1.4056570695355919,24.572458767385584,0.6878767708517636,0.0,0.0,0.0,0.0,-329224383.69712216,812286678.0011983,-445646912.4722168,-587889970.338577,52627817.0547303,567666725.3864361,0.0,0.0,-1311021028.33552,0.0,-1241201074.4010668,-393569370.53015447,1013857999.4166178,-532492231.87189484,-685703961.1674689,60092030.39957855,674432483.2278924,0.0,0.0,-1528533628.0454566,0.0,-1391916678.5708854
1,2003,4779965162.9648,3290112562.6605997,-1489852600.3042006,3466650240.618383,-1316075422.5947635,347804215.76480585,1.2954480016219343,19686384.258068763,1.636426385008891,24.314556496741872,0.6678468948377381,0.0,0.0,1.0,0.0,-243092392.8684795,632109048.2290733,-398264607.7584949,-507525401.8592844,39096941.62995732,469398286.2199739,0.0,0.0,-1217098321.8231173,0.0,-1225376448.230358,-295349449.8377571,887668248.1540124,-489063070.3667463,-596162158.4243509,41895918.935010366,566682138.27173,0.0,0.0,-1431747049.3266773,0.0,-1316075422.5947788
1,2004,4810086419.9648,3481029493.6328998,-1329056926.3319,3646197268.2687497,-1169499818.5729125,357605444.74428725,1.3003315882546556,19995455.45172759,1.9258966904388437,23.942011749366255,0.6464689496790101,0.0,0.0,2.0,0.0,-228092242.25754896,626414518.432518,-335917545.97235674,-416326243.07557505,25236656.58769602,378412472.0247968,0.0,0.0,-1127694368.1428938,0.0,-1077966752.4033651,-267685877.4965256,799537517.3630615,-392907739.58247733,-474248034.8869701,25455391.619466238,425419057.20928425,0.0,0.0,-1285070132.798751,0.0,-1169499818.5729122
1,2005,4810086419.9648,3919417140.2779946,-890669279.6868055,3978427576.058385,-837269510.783278,361784888.4995133,1.2074191127098943,20391955.846488483,2.3444824834247404,23.702834871129465,0.6289811085117931,0.0,0.0,3.0,0.0,-193424185.29205865,779448781.5993656,-268865698.5872099,-292511287.7408338,12714253.154498443,295340643.68665344,0.0,0.0,-1027992495.0298998,0.0,-695289988.2094713,-236396204.55088526,973000512.7839798,-334422477.06524974,-357571594.86369157,14956144.37937726,360460313.0807115,0.0,0.0,-1257296204.5475364,0.0,-837269510.7832943
1,2006,4815860300.309799,4076451268.2299986,-739409032.079801,4124869578.1836834,-696040569.8057077,369728309.57649654,1.2702374716663176,20823699.685317148,2.6668324359996176,23.335774671025916,0.6078577968961083,0.0,0.0,4.0,0.0,-153713799.6619655,692084097.7282231,-190821139.29945704,-205604970.37500617,-5315721.016320803,199647198.07812572,0.0,0.0,-926702214.9649316,0.0,-590426549.5113448,-180987100.90725517,894242396.7417923,-239292020.15935734,-255420815.41175044,-6434374.743445906,241898002.9430257,0.0,0.0,-1150046658.2687027,0.0,-696040569.8056931
1,2007,4824070734.8578,4258519593.7329035,-565551141.1248966,4310859206.262423,-517871246.3942703,372304834.1804306,1.2577545708587372,20852021.432894684,2.8622406539086733,23.398979133886513,0.6026788924961582,0.0,0.0,5.0,0.0,-121360324.6754023,687580531.0918934,-176771236.3010881,-155762902.52371174,-857334.8314750178,177954251.9708571,0.0,0.0,-822802476.2488973,0.0,-412019491.5178161,104045390.95743313,2939433518.4343104,-553720582.7175907,-513243136.0559218,-89133217.39565574,375357532.5136098,0.0,0.0,-2780610752.130485,0.0,-517871246.39429945
1,2008,4824070734.8578,4408490336.127198,-415580398.73060167,4466054779.850425,-362675672.80626756,382683223.52328455,1.3269806745549724,21026347.532896675,3.343625061642582,23.468629439600452,0.5925389744512383,0.0,0.0,6.000000000000001,0.0,-71505566.21945487,557658344.5781102,-149150236.71988517,-40468290.02903487,2770236.0799233355,131470037.63364787,0.0,0.0,-714466933.8632094,0.0,-283692408.5399007,-229593234.11088112,2042608498.6439745,-201311023.79833612,-120304335.58614615,21454907.39025167,217754194.4328681,0.0,0.0,-2093284679.7780006,0.0,-362675672.8062696
1,2009,4839397613.8578005,4278745630.545999,-560651983.3118012,4222383962.7834053,-621375445.26774,383904391.0935887,1.415610681302229,20825066.41010593,2.428690055932816,23.587199334411224,0.5843428620898952,0.0,0.0,6.999999999999998,0.0,-59432946.56024626,400727397.2159791,-169257541.8470247,-270846950.44964874,11786488.733963838,97672992.64465907,0.0,0.0,-605114635.4761363,0.0,-594465195.7384646,-63699226.977404244,412978613.8237713,-176873530.705462,-281605309.3333338,13078530.641341345,103449569.554977,0.0,0.0,-628704092.2716175,0.0,-621375445.2677277
1,2010,4839397613.8578005,4371684873.945401,-467712739.91239864,4401615957.402849,-442143450.64829755,377673632.18711275,1.444091307475149,20712049.556612212,2.8624918421954706,23.89271412725742,0.5832677007721454,0.0,0.0,8.0,0.0,-64665343.301502824,353280876.5277351,-180217030.94071618,-156345028.22240296,27825404.413406853,92814374.09145468,0.0,0.0,-490470149.4208706,0.0,-417776896.85289705,-69481088.54165483,400271603.72844744,-194867875.77570823,-171382374.9723471,30797963.18860571,99606264.68833323,0.0,0.0,-537087942.9639724,0.0,-442143450.64829654
1,2011,4841002524.8578005,4501393746.588597,-339608778.2692035,4515825723.010961,-329265254.3644454,371315625.7949415,1.5625257301284787,20816591.71994681,3.623948368916754,24.226933252409545,0.5755378171479012,0.0,0.0,8.999999999999998,0.0,-80781846.41416053,165621737.47885373,-157750719.85897928,22039298.20634726,45741757.018090814,58479492.54800778,0.0,0.0,-372845236.7356608,0.0,-319495517.75750047,-85870577.84385237,144287183.07775134,-153825716.66606715,21559957.394930426,46535858.44975383,60182661.57220698,0.0,0.0,-362134620.34916824,0.0,-329265254.3644452
1,2012,4843302399.8578005,4578364842.185405,-264937557.67239636,4674932579.411598,-172496447.2600293,370518019.22946846,1.5905656732716857,20987406.743392315,3.7580851563273994,24.321903620496222,0.5754259653688037,0.0,0.0,9.999999999999998,0.0,-72665052.72254829,123064544.61544484,-124472542.57516913,50949985.422421694,51224504.95875115,58818137.05430071,0.0,0.0,-251988191.65594256,0.0,-165068614.9027427,-75058445.57142445,123721800.88790289,-131428718.33230272,52617436.78064713,54604425.64890568,64042447.68023774,0.0,0.0,-260995394.35399458,0.0,-172496447.2600284
1,2013,4843302399.8578005,4687032706.625405,-156269693.23239458,4689637195.696202,-157791830.97542357,378736872.312532,1.6587995688479449,21605624.41880118,3.641308846879929,23.182137045176148,0.5611834093309671,0.0,0.0,11.0,0.0,-33898475.944832526,29034649.058127463,-38994096.991584904,25806641.61176596,-8737184.711700765,-4905800.252472386,0.0,0.0,-127676977.59562945,0.0,-159371244.82633787,-34411940.10582194,30142807.78243334,-38808732.99654076,25859534.508662727,-8255732.905077112,-4885446.845015349,0.0,0.0,-127432320.4140535,0.0,-157791830.97541258
1,2014,4844496422.5409,4844496422.5409,0.0,4849564944.467887,0.0,383718493.3244108,1.6756075858799233,21825586.012691185,3.52421683629989,23.345598548046315,0.5621965382523539,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015,4844496422.5409,4744123938.877598,-100372483.66330205,4495512997.972198,-354051946.4956884,384740778.99181205,1.8012436796090452,22030477.12714223,2.556265287165406,23.326448562685616,0.563805614061748,0.0,0.0,12.0,1.0,13767200.799771242,-161672097.4918021,35787805.33461432,-236795740.69591403,-992083.4061240671,7146688.527908696,0.0,0.0,0.0,-17059867.1345573,-359818094.0661174,14928847.520541307,-159435926.37148649,35312871.73093856,-234176717.61280638,-836654.6037046751,7005373.699988717,0.0,0.0,0.0,-16849740.859145597,-370769058.8503545
