UZA Name,RailBus,MonthYear,UPT,VRM
"Milwaukee, WI",Bus,2-Jan,5019900,1601795
"Milwaukee, WI",Bus,2-Feb,4847700,1478465
"Milwaukee, WI",Bus,2-Mar,4980000,1601330
"Milwaukee, WI",Bus,2-Apr,4896300,1580151
"Milwaukee, WI",Bus,2-May,4903700,1602866
"Milwaukee, WI",Bus,2-Jun,3830700,1529239
"Milwaukee, WI",Bus,2-Jul,4292100,1651874
"Milwaukee, WI",Bus,2-Aug,3932500,1550099
"Milwaukee, WI",Bus,2-Sep,5035500,1530572
"Milwaukee, WI",Bus,2-Oct,5403700,1633231
"Milwaukee, WI",Bus,2-Nov,4942300,1529758
"Milwaukee, WI",Bus,2-Dec,4607229,1510505
"Milwaukee, WI",Bus,3-Jan,4787639,1516374
"Milwaukee, WI",Bus,3-Feb,4724830,1398682
"Milwaukee, WI",Bus,3-Mar,4984872,1516104
"Milwaukee, WI",Bus,3-Apr,4781912,1500779
"Milwaukee, WI",Bus,3-May,4715289,1504952
"Milwaukee, WI",Bus,3-Jun,4176184,1509979
"Milwaukee, WI",Bus,3-Jul,4000590,1550077
"Milwaukee, WI",Bus,3-Aug,3947104,1454498
"Milwaukee, WI",Bus,3-Sep,5114270,1480136
"Milwaukee, WI",Bus,3-Oct,5347077,1541616
"Milwaukee, WI",Bus,3-Nov,4674577,1439435
"Milwaukee, WI",Bus,3-Dec,4570841,1489409
"Milwaukee, WI",Bus,4-Jan,4521772,1466401
"Milwaukee, WI",Bus,4-Feb,4619090,1403374
"Milwaukee, WI",Bus,4-Mar,5101579,1524807
"Milwaukee, WI",Bus,4-Apr,4622112,1455197
"Milwaukee, WI",Bus,4-May,4443968,1442389
"Milwaukee, WI",Bus,4-Jun,4130795,1513242
"Milwaukee, WI",Bus,4-Jul,3806933,1466409
"Milwaukee, WI",Bus,4-Aug,3695787,1433760
"Milwaukee, WI",Bus,4-Sep,5019407,1441038
"Milwaukee, WI",Bus,4-Oct,4947434,1480386
"Milwaukee, WI",Bus,4-Nov,4796745,1441669
"Milwaukee, WI",Bus,4-Dec,4346772,1474698
"Milwaukee, WI",Bus,5-Jan,4580338,1448006
"Milwaukee, WI",Bus,5-Feb,4613643,1356722
"Milwaukee, WI",Bus,5-Mar,4816489,1514697
"Milwaukee, WI",Bus,5-Apr,4812000,1462217
"Milwaukee, WI",Bus,5-May,4642638,1473960
"Milwaukee, WI",Bus,5-Jun,3924011,1422210
"Milwaukee, WI",Bus,5-Jul,4036134,1547309
"Milwaukee, WI",Bus,5-Aug,3855224,1457714
"Milwaukee, WI",Bus,5-Sep,4966610,1437929
"Milwaukee, WI",Bus,5-Oct,5147526,1455191
"Milwaukee, WI",Bus,5-Nov,4953933,1416944
"Milwaukee, WI",Bus,5-Dec,4600933,1426428
"Milwaukee, WI",Bus,6-Jan,4782889,1414152
"Milwaukee, WI",Bus,6-Feb,4551223,1328520
"Milwaukee, WI",Bus,6-Mar,5067964,1472060
"Milwaukee, WI",Bus,6-Apr,4377106,1383654
"Milwaukee, WI",Bus,6-May,4718314,1449260
"Milwaukee, WI",Bus,6-Jun,3958830,1391013
"Milwaukee, WI",Bus,6-Jul,4128297,1493478
"Milwaukee, WI",Bus,6-Aug,3953619,1427501
"Milwaukee, WI",Bus,6-Sep,4945305,1394434
"Milwaukee, WI",Bus,6-Oct,5010479,1463413
"Milwaukee, WI",Bus,6-Nov,4662140,1408974
"Milwaukee, WI",Bus,6-Dec,4290889,1400977
"Milwaukee, WI",Bus,7-Jan,4525062,1430519
"Milwaukee, WI",Bus,7-Feb,3956434,1322289
"Milwaukee, WI",Bus,7-Mar,4656809,1450390
"Milwaukee, WI",Bus,7-Apr,4164080,1372912
"Milwaukee, WI",Bus,7-May,4504449,1410301
"Milwaukee, WI",Bus,7-Jun,3746183,1410836
"Milwaukee, WI",Bus,7-Jul,3670420,1408169
"Milwaukee, WI",Bus,7-Aug,3609747,1400999
"Milwaukee, WI",Bus,7-Sep,4545117,1340224
"Milwaukee, WI",Bus,7-Oct,4839516,1450024
"Milwaukee, WI",Bus,7-Nov,4517034,1377733
"Milwaukee, WI",Bus,7-Dec,3981645,1367631
"Milwaukee, WI",Bus,8-Jan,4096945,1398007
"Milwaukee, WI",Bus,8-Feb,4188688,1341099
"Milwaukee, WI",Bus,8-Mar,4203387,1387143
"Milwaukee, WI",Bus,8-Apr,4545333,1362008
"Milwaukee, WI",Bus,8-May,4278803,1356177
"Milwaukee, WI",Bus,8-Jun,3716766,1363219
"Milwaukee, WI",Bus,8-Jul,3820145,1423659
"Milwaukee, WI",Bus,8-Aug,3776751,1333126
"Milwaukee, WI",Bus,8-Sep,4947034,1351885
"Milwaukee, WI",Bus,8-Oct,5043912,1424787
"Milwaukee, WI",Bus,8-Nov,4265135,1310183
"Milwaukee, WI",Bus,8-Dec,4067888,1375988
"Milwaukee, WI",Bus,9-Jan,4030800,1354881
"Milwaukee, WI",Bus,9-Feb,4177106,1279982
"Milwaukee, WI",Bus,9-Mar,4328705,1397384
"Milwaukee, WI",Bus,9-Apr,4041867,1370252
"Milwaukee, WI",Bus,9-May,3935766,1353670
"Milwaukee, WI",Bus,9-Jun,3445839,1370938
"Milwaukee, WI",Bus,9-Jul,3383008,1406345
"Milwaukee, WI",Bus,9-Aug,3260724,1333876
"Milwaukee, WI",Bus,9-Sep,3940767,1345886
"Milwaukee, WI",Bus,9-Oct,4205548,1405666
"Milwaukee, WI",Bus,9-Nov,3881667,1322835
"Milwaukee, WI",Bus,9-Dec,3739868,1355310
"Milwaukee, WI",Bus,10-Jan,3427337,1284219
"Milwaukee, WI",Bus,10-Feb,3639394,1232452
"Milwaukee, WI",Bus,10-Mar,4314960,1370525
"Milwaukee, WI",Bus,10-Apr,3689471,1324759
"Milwaukee, WI",Bus,10-May,3740792,1302663
"Milwaukee, WI",Bus,10-Jun,3288688,1323997
"Milwaukee, WI",Bus,10-Jul,3206331,1298696
"Milwaukee, WI",Bus,10-Aug,3286488,1279334
"Milwaukee, WI",Bus,10-Sep,4005443,1287517
"Milwaukee, WI",Bus,10-Oct,4075663,1324516
"Milwaukee, WI",Bus,10-Nov,3845336,1287165
"Milwaukee, WI",Bus,10-Dec,3545982,1325030
"Milwaukee, WI",Bus,11-Jan,3448149,1270590
"Milwaukee, WI",Bus,11-Feb,3550263,1158882
"Milwaukee, WI",Bus,11-Mar,4176106,1345652
"Milwaukee, WI",Bus,11-Apr,3789559,1290213
"Milwaukee, WI",Bus,11-May,3811440,1294366
"Milwaukee, WI",Bus,11-Jun,3313779,1236832
"Milwaukee, WI",Bus,11-Jul,3382648,1315617
"Milwaukee, WI",Bus,11-Aug,3442170,1287633
"Milwaukee, WI",Bus,11-Sep,4014577,1247400
"Milwaukee, WI",Bus,11-Oct,4107470,1302982
"Milwaukee, WI",Bus,11-Nov,3963812,1266894
"Milwaukee, WI",Bus,11-Dec,3753439,1274569
"Milwaukee, WI",Bus,12-Jan,3668889,1264096
"Milwaukee, WI",Bus,12-Feb,3937007,1284385
"Milwaukee, WI",Bus,12-Mar,4007681,1358558
"Milwaukee, WI",Bus,12-Apr,3774792,1278167
