,Year,Mode,CLUSTER_APTA4,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
10,2012,0,1.0,2541.0570309999994,-13982351.94321796,0.0,538197.6825624215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18249966.28371016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994,2541.0570309999994
11,2013,0,1.0,2538.567550000001,15320256.48390395,0.0,-12210318.426520113,0.0,6671214.176020198,-141277.0567014021,-12437139.92972029,-1059156.6157464525,-1294855.265318914,-29172.88919989002,-39894662.36289496,0.0,0.0,0.0,0.0,0.0,42502647.92236541,15320256.48390395,-12210318.426520113,-39894662.36289496,6.6712141760201975,-0.1412770567014021,-12.43713992972029,-1.0591566157464525,-1.294855265318914,-0.02917288919989002,0.0,0.0,42.50264792236541,15.32025648390395,-12.210318426520113,-39.89466236289496,2531.8963358239807,2538.7088270567024,2551.0046899297213,2539.6267066157475,2539.86240526532,2538.596722889201,2538.567550000001,2538.567550000001,2496.064902077636,2523.247293516097,2550.7778684265213,2578.462212362896
12,2014,0,1.0,2510.9234859999992,2799364.699618534,0.0,-3440403.95054892,0.0,7918046.865901407,-539722.0762042601,-15504484.674719162,-1542060.0905571936,-320568.56732176954,-3140707.322322561,-42702945.43421765,0.0,0.0,0.0,-7793655.295911359,0.0,36088914.84692222,2799364.699618534,-3440403.95054892,-42702945.43421765,14.589261041921604,-0.6809991329056622,-27.941624604439454,-2.6012167063036458,-1.6154238326406838,-3.169880211522451,-7.793655295911359,0.0,78.59156276928763,18.119621183522487,-15.650722377069034,-82.59760779711262,2496.334224958078,2511.6044851329048,2538.8651106044385,2513.524702706303,2512.53890983264,2514.0933662115217,2518.7171412959106,2510.9234859999992,2432.3319232307117,2492.8038648164766,2526.5742083770683,2593.521093797112
13,2015,0,1.0,2445.688117000001,16164729.327287365,0.0,-20089434.08240389,0.0,6834317.78860592,663623.3357045716,-75298478.47268689,-5961392.63716717,-639524.4860437225,-2579850.284014933,-48256290.604243286,0.0,0.0,0.0,-6666096.480430383,0.0,67136935.16468415,16164729.327287365,-20089434.08240389,-48256290.604243286,21.423578830527525,-0.017375797201090608,-103.24010307712634,-8.562609343470816,-2.254948318684406,-5.749730495537383,-14.459751776341742,0.0,145.72849793397177,34.28435051080985,-35.74015645947293,-130.8538984013559,2424.2645381694733,2445.705492797202,2548.928220077127,2454.250726343472,2447.9430653186855,2451.4378474955383,2460.147868776343,2445.688117000001,2299.9596190660295,2411.403766489191,2481.428273459474,2576.542015401357
14,2016,0,1.0,2323.5068830000005,15483945.021248024,0.0,-15961361.153643914,0.0,5152490.428690975,-525345.6322022665,-31611109.506399147,-3833078.887081447,-644927.7287151867,-8108202.266083691,-47002561.86989868,0.0,0.0,0.0,-6466561.396596234,0.0,-31413261.28315913,15483945.021248024,-15961361.153643914,-47002561.86989868,26.5760692592185,-0.5427214294033571,-134.85121258352547,-12.395688230552263,-2.8998760473995926,-13.857932761621075,-20.926313172937974,0.0,114.31523665081262,49.768295532057884,-51.701517613116835,-177.85646027125458,2296.930813740782,2324.0496044294036,2458.358095583526,2335.902571230553,2326.4067590474,2337.3648157616217,2344.4331961729386,2323.5068830000005,2209.191646349188,2273.7385874679426,2375.208400613117,2501.363343271255
15,2017,0,1.0,2230.8020969999993,7834323.875545365,0.0,24426564.49004592,0.0,5982112.441354056,-1104070.2500897076,20418865.62396131,-3793188.7823066665,-674079.6817744552,-2992337.667569422,-44654416.58902368,0.0,0.0,0.0,0.0,0.0,-99366494.64865112,7834323.875545365,24426564.49004592,-44654416.58902368,32.558181700572554,-1.6467916794930646,-114.43234695956417,-16.18887701285893,-3.5739557291740476,-16.8502704291905,-20.926313172937974,0.0,14.948742002161502,57.60261940760325,-27.27495312307092,-222.51087686027824,2198.2439152994266,2232.4488886794925,2345.2344439595636,2246.9909740128583,2234.3760527291734,2247.65236742919,2251.7284101729374,2230.8020969999993,2215.853354997838,2173.199477592396,2258.0770501230704,2453.3129738602775
16,2018,0,1.0,2176.3866030000004,6055640.062580703,0.0,20065591.094437063,0.0,4631399.272523536,828465.119520082,25062075.52602605,-3853069.154779018,-614414.8612032811,-4021421.5012425664,-42872765.68704944,0.0,0.0,0.0,-310695.3220736686,-49443353.33765312,-7550094.264697449,6055640.062580703,20065591.094437063,-42872765.68704944,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,2139.1970220269045,2177.204929559973,2265.7568744335385,2196.4285491676383,2180.574973590378,2197.2582949304333,2197.623611495012,2225.8299563376536,2168.987955262536,2112.7283435298164,2183.595965028634,2441.770245547328
68,2002,1,1.0,1288.9391099999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1251.7495290269032,1289.7574365599723,1378.3093814335375,1308.9810561676372,1293.1274805903768,1309.8108019304325,1310.176118495011,1338.3824633376526,1281.5404622625354,1225.2808505298153,1296.1484720286333,1554.3227525473271
69,2003,1,1.0,1274.9005779999995,0.0,52907869.729852535,0.0,954635.7128078544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1237.7109970269034,1275.7189045599725,1364.2708494335377,1294.9425241676374,1279.088948590377,1295.7722699304327,1296.1375864950112,1324.3439313376527,1267.5019302625356,1211.2423185298155,1282.1099400286334,1540.2842205473273
70,2004,1,1.0,1354.6364710000007,0.0,20110817.42880425,0.0,6288260.070081212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.189580973096085,-0.8183265599729825,-89.37027143353811,-20.04194616763795,-4.188370590377329,-20.871691930433066,-21.237008495011644,-49.44335333765312,7.398647737464054,63.65825947018396,-7.209362028633855,-265.3836425473277,1317.4468900269046,1355.4547975599737,1444.0067424335389,1374.6784171676386,1358.8248415903781,1375.5081629304339,1375.8734794950124,1404.079824337654,1347.2378232625367,1290.9782115298167,1361.8458330286346,1620.0201135473285
