,Year,Mode,CLUSTER_APTA4,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
51,2002,0,10.0,1201.0079940000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014,1201.0079940000014
52,2003,0,10.0,1127.6911529999995,-46579034.45108234,0.0,-56502325.61861579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995,1127.6911529999995
53,2004,0,10.0,1109.2370340000016,22784448.220681097,0.0,-16308411.813094266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016,1109.2370340000016
54,2005,0,10.0,1185.4139689999993,22266464.220942914,0.0,10540834.094417743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993,1185.4139689999993
55,2006,0,10.0,1159.5406689999998,-3826210.658963072,0.0,-10186709.025641236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998,1159.5406689999998
56,2007,0,10.0,1100.7119669999993,8222083.634554224,0.0,-8503364.23321023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993,1100.7119669999993
57,2008,0,10.0,1112.5671739999998,9001569.91282335,0.0,-3174594.655327407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998,1112.5671739999998
58,2009,0,10.0,1079.0112739999984,509651.4268323737,0.0,-15890580.953013187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984,1079.0112739999984
59,2010,0,10.0,1055.8040629999982,-51229712.27728623,0.0,-9241846.782597337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982,1055.8040629999982
60,2011,0,10.0,1024.0677329999994,-12098335.235923763,0.0,-19795021.104775462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994,1024.0677329999994
