CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,Tot_NonUSA_POP_pct,PCT_HH_NO_VEH,TSD_POP_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE_BUS,scooter_flag_BUS,BIKE_SCOOTER_SCOOTER_RAIL,MAINTENANCE,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,Tot_NonUSA_POP_pct_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_BUS_FAC,scooter_flag_BUS_FAC,BIKE_SCOOTER_SCOOTER_RAIL_FAC,MAINTENANCE_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_2018_log_FAC_scaled,POP_EMP_log_FAC_scaled,GAS_PRICE_2018_log_FAC_scaled,TOTAL_MED_INC_INDIV_2018_log_FAC_scaled,Tot_NonUSA_POP_pct_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,YEARS_SINCE_TNC_BUS_FAC_scaled,YEARS_SINCE_TNC_RAIL_FAC_scaled,BIKE_SHARE_BUS_FAC_scaled,scooter_flag_BUS_FAC_scaled,BIKE_SCOOTER_SCOOTER_RAIL_FAC_scaled,MAINTENANCE_FAC_scaled,Total_FAC_scaled
1.0,0,2002,190,0.0,2013178760.8600004,0.0,1838608501.2834377,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2003,190,2013178760.8600004,2013821311.8699994,642551.0099996328,1977204070.909931,138595569.6264936,52483905.454952925,0.9470981723487523,7061254.271372743,2.255925627644666,40665.69953605673,1.3333803362494374,10.087487836964096,0.5002240753933533,0.0,0.0,0.0,0.0,0.0,0.0,49627070.269822046,63485836.52188909,30745419.143081382,29067742.13357079,13430936.443662792,541670.3721143244,-1757558.193324958,-25870097.63903105,0.0,0.0,0.0,0.0,0.0,0.0,159271019.05178374,41051269.33532488,54892302.36511798,28075125.050640404,27284898.746215,12184948.65774016,604410.4007400649,-1738461.1965650166,-23758923.732719272,0.0,0.0,0.0,0.0,0.0,0.0,138595569.62649423
1.0,0,2004,190,2013821311.8699994,2041332579.5800004,27511267.710000124,2036158262.3745508,58954191.46461978,53263464.80297187,0.9612352388738719,7213576.9439885765,2.5732992772594603,39654.80033522248,1.360412862485001,10.029921523471042,0.48008679570551765,0.0,0.0,0.0,0.0,0.0,0.0,15660832.173436936,-14522754.822005814,36828513.11956175,29850603.99919641,19599351.54264049,693806.4581031182,-1768850.9022355834,-24377009.700886283,0.0,0.0,0.0,0.0,0.0,0.0,61964491.86781298,16274691.414720662,-16209145.484585714,35976920.76173336,29325999.048551694,18849687.23926433,861720.0276403893,-1941647.3306310377,-24184034.212075893,0.0,0.0,0.0,0.0,0.0,0.0,58954191.46461782
1.0,0,2005,190,2041332579.5800004,2063004732.430001,21672152.850000918,2079981963.1184351,43823700.74388443,51970829.05469548,0.9606029272226512,7409766.048200094,3.030197473706255,38477.03398177026,1.3977015393189882,9.948034005809658,0.4612784057156522,0.0,0.0,0.0,0.0,0.0,0.0,-24025568.362886224,-1058163.4752483414,37953940.1131513,38968374.237376,18001211.98954567,798442.5807750152,-2004924.2083815443,-22028702.33675069,0.0,0.0,0.0,0.0,0.0,0.0,46604610.53758034,-25267292.26681801,-3383831.0832315674,38127838.41891077,39974727.46931672,18397190.546929065,1422676.1256094878,-2297577.8929518694,-23150030.57387865,0.0,0.0,0.0,0.0,0.0,0.0,43823700.74388595
1.0,0,2006,190,2063004732.430001,2071799487.9699998,8794755.539999403,2168542998.4895344,88561035.37109914,52066320.033205844,0.9500300721107217,7653103.317713079,3.319809976595151,36885.56924720984,1.3904347473348977,9.794891938327652,0.44109492696673996,0.0,0.0,0.0,0.0,0.0,0.0,3769806.1638083234,12141419.914358392,48211792.73086125,22671253.259847064,29342571.79738119,185130.57860190107,-1642043.4773027205,-24633542.185494434,0.0,0.0,0.0,0.0,0.0,0.0,90046388.7820599,5309274.870749364,15726456.631702185,42914253.96359415,20650335.83495342,27676601.214035183,93685.92159214488,-1531759.8779837221,-22277813.187542394,0.0,0.0,0.0,0.0,0.0,0.0,88561035.37110034
1.0,0,2007,190,2071799487.9699998,2090532280.4199991,18732792.449998964,2185303709.717029,16760711.227494571,53406452.62830065,0.9712208541275228,7706491.438351352,3.49041302011358,37448.31570790235,1.4395934516417621,9.546150534692952,0.43727182622896227,0.0,0.0,0.0,0.0,0.0,0.0,26558802.01985538,-17953395.708933834,16029383.321170723,12625450.359168291,-10445473.147204507,2876349.4319673833,-2690762.5537140034,-8865268.218166726,0.0,0.0,0.0,0.0,0.0,0.0,18135085.504141547,27312069.00817397,-20733504.78186648,16799204.25119636,13444588.832560923,-11119961.934685323,3118066.66041542,-2659991.276283536,-9399759.532015732,0.0,0.0,0.0,0.0,0.0,0.0,16760711.227495585
1.0,0,2008,190,2090532280.4199991,2172421239.8199997,81888959.40000081,2262602377.968169,77298668.25114037,54111882.80165494,0.9403804991404742,7762978.81906725,3.9171743553592844,37456.14493782707,1.4734511425993606,9.668662112144645,0.4292863913707484,0.0,0.0,0.08864437341420488,0.0,0.0,0.0,17679471.72170698,24040053.014227785,11650954.20647519,30011070.653758325,-593379.560149146,2425711.8944465313,2562668.9178659464,-10761611.675861781,0.0,0.0,-4890903.387126282,0.0,0.0,0.0,72124035.78534395,19032095.878244378,26215182.211366214,12101927.046314431,31591257.913875714,-639091.4373037508,2548530.3369110436,2776276.788387128,-11215062.992634786,0.0,0.0,-5112447.494020335,0.0,0.0,0.0,77298668.25114003
1.0,0,2009,190,2172421239.8199997,2087736682.3600006,-84684557.45999914,2124275581.7856674,-138326796.1825021,54108013.706133805,1.045768348521478,7728320.619517108,2.863573123989129,35764.969006346306,1.4823620734469511,9.815546830351742,0.418830699145324,0.0,0.0,0.08862957725268496,0.0,0.0,0.0,-1465510.371269447,-76644945.50501794,-2951439.3199769305,-80840425.6999379,37297707.34047603,758105.236147483,2472326.1531608,-13711864.09073035,0.0,0.0,0.0,0.0,0.0,0.0,-135086046.25714552,-169490.70099383395,-78027680.71333474,-3201980.5612476147,-84659356.32904768,38470069.73594906,755061.1841959035,2604389.3910038373,-14097808.189029712,0.0,0.0,0.0,0.0,0.0,0.0,-138326796.18250483
1.0,0,2010,190,2087736682.3600006,2019401363.6500006,-68335318.71000014,2109230575.1616485,-15045006.624018826,51447519.4528445,1.0754378129154436,7710907.631749482,3.3201609749666927,34928.74012378555,1.5464631006927505,10.077648872858548,0.4142766523298002,0.0,0.0,0.16351082739232914,0.0,0.0,0.0,-48530456.14761445,-22184335.206092604,3801612.56025132,36786184.984327026,19818202.06647176,4436311.215971464,3169600.7065360374,-6659877.113097258,0.0,0.0,-4075217.0443836194,0.0,0.0,0.0,-13437973.977630286,-52591699.67949149,-22633104.095138278,2977990.231711481,38458771.75144229,21098064.05890359,4631506.693486799,3301338.7058997224,-6523198.737729204,0.0,0.0,-3764675.5531038223,0.0,0.0,0.0,-15045006.624018919
1.0,0,2011,190,2019401363.6500006,2050937950.3099985,31536586.659997907,2128398707.572548,19168132.410899453,50249004.96891801,1.1002773508160806,7791753.40321123,4.056463003190802,34360.29596059512,1.5540574486852388,10.38042540872323,0.40373649845109566,0.13581241466742647,0.0,0.2229977604283966,0.0,0.0,0.0,-27142143.137594245,-15873358.431414392,17171347.93190592,50689284.36585415,10986661.85988629,200304.2418140442,4181561.4074195535,-10180094.698131647,-5439437.098802238,0.0,-3066477.5330138076,0.0,0.0,0.0,21527648.90792447,-28625075.40237263,-23938087.831264228,18781336.028807607,56733364.528011836,11105801.476482695,507364.85118814965,4914119.226221656,-11176455.450452862,-5378787.110479042,0.0,-3755447.9052448436,0.0,0.0,0.0,19168132.410898335
1.0,0,2012,190,2050937950.3099985,2080704081.9599996,29766131.65000101,2108259394.0577068,-20139313.51484102,49478187.99001496,1.1079110306602689,7908357.146095779,4.089478005335446,34214.69037305115,1.5983191471268596,10.279850774934046,0.40441768209323176,0.6028920026630268,0.0,0.2609773777793215,0.0,0.0,0.0,-21604860.13390936,-4042896.7636435353,21418870.711825497,1999438.470224431,3712697.470789378,2474218.307859551,-1528846.2906940365,-436869.5261983628,-19030408.99541273,0.0,-1770840.086039202,0.0,0.0,0.0,-18809496.83520375,-22448347.9805391,-4726435.331263485,22163924.344025318,2099955.2990682437,3774852.400132094,2550892.3670714675,-1589282.6522165122,-455402.40435786865,-19614080.576078955,0.0,-1895388.9806765402,0.0,0.0,0.0,-20139313.514835328
