CLUSTER_APTA,RAIL_FLAG,Year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,Tot_NonUSA_POP_pct,PCT_HH_NO_VEH,TSD_POP_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE_BUS,scooter_flag_BUS,BIKE_SCOOTER_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,Tot_NonUSA_POP_pct_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_BUS_FAC,scooter_flag_BUS_FAC,BIKE_SCOOTER_RAIL_FAC,Total_FAC,VRM_ADJ_log_FAC_scaled,FARE_per_UPT_2018_log_FAC_scaled,POP_EMP_log_FAC_scaled,GAS_PRICE_2018_log_FAC_scaled,TOTAL_MED_INC_INDIV_2018_log_FAC_scaled,Tot_NonUSA_POP_pct_FAC_scaled,PCT_HH_NO_VEH_FAC_scaled,TSD_POP_PCT_FAC_scaled,YEARS_SINCE_TNC_BUS_FAC_scaled,YEARS_SINCE_TNC_RAIL_FAC_scaled,BIKE_SHARE_BUS_FAC_scaled,scooter_flag_BUS_FAC_scaled,BIKE_SCOOTER_RAIL_FAC_scaled,Total_FAC_scaled
10.0,0,2002,0.0,2013178760.8600004,0.0,1844406478.459369,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0,2003,1003337123.1800003,2013821311.8699994,-11613189.430000529,1997431187.0502603,38955863.76947023,53880115.49428777,0.9429190619512353,8420159.764331585,2.1376289345500683,38680.018541485915,1.2877754439333777,9.437796149003745,0.41200267122320694,0.0,0.0,0.0,0.0,0.0,3257837.1291903565,13377531.966935663,20181502.979300935,10501182.39115862,8789377.328043582,-200896.15563402302,-83267.53486632215,-11696619.002047049,0.0,0.0,0.0,0.0,0.0,44126649.10207969,2072490.0263777294,12331272.75850512,17559572.868014507,9540740.356090235,7907232.753548566,-45748.28640748137,-60400.063324408926,-10349296.643332213,0.0,0.0,0.0,0.0,0.0,38955863.76947206
10.0,0,2004,991723933.7499994,2041332579.5800004,9592589.53000044,2053546115.7867231,30573108.099810198,53839344.819315396,0.964466210120027,8543280.811944373,2.461560565758948,37516.794128735215,1.2978809077909377,9.483128055810724,0.39408841618762075,0.0,0.0,0.0,0.0,0.0,3275657.9937316277,-9322585.399801144,22345540.878838465,13165075.55611705,12333011.947901279,-122459.68757444964,-2147.7706836592697,-10699813.094441932,0.0,0.0,0.0,0.0,0.0,30972280.424091138,4185087.597672886,-7940173.923112129,20427855.369670462,12381734.368010467,11485802.075020453,5881.589870621421,-23879.97926463734,-9949198.99806157,0.0,0.0,0.0,0.0,0.0,30573108.09980655
10.0,0,2005,1001316523.2800001,2063004732.430001,30805225.35000021,2096906792.6866913,29453391.40076811,53218415.93238964,0.9518121458193721,8766864.950661099,2.9390605955534537,36372.40495176062,1.3351336301218026,9.52185661297839,0.3843991454666271,0.0,0.0,0.0,0.0,0.0,-11975565.612126624,1857532.4478214458,22545097.33249352,17553526.07039774,11445637.179083044,-5017.922188495388,-245696.40909646836,-9592232.088811647,0.0,0.0,0.0,0.0,0.0,31583280.997569367,-11028871.81057797,796550.7923970013,21184858.787389833,16938709.323203765,10911858.053541534,106919.39666775757,-254411.92907022766,-9202221.212780504,0.0,0.0,0.0,0.0,0.0,29453391.40077119
10.0,0,2006,1032121748.6300002,2071799487.9699998,-8995968.960000329,2196488427.214454,63721910.93514696,53932745.67631307,0.9444435741327746,9049416.243305508,3.220523449884902,34851.498422833036,1.3136243400889316,9.528242416935884,0.37104333426003355,0.0,0.0,0.0,0.0,0.0,8371347.353400219,9994128.95838474,29980975.1558133,9682096.15376312,18327540.614861075,-167599.2853106247,442541.2798794927,-11151362.819985488,0.0,0.0,0.0,0.0,0.0,65479667.41080773,7449555.185360012,10942928.723900795,28672284.21393927,9335588.186503714,17838161.76064052,-110633.09264814845,383583.44090398063,-10789557.483454911,0.0,0.0,0.0,0.0,0.0,63721910.93514523
10.0,0,2007,1023125779.67,2090532280.4199991,21453693.279999025,2204528956.4879894,10432020.10876467,55263038.118931964,0.9569293577114383,9148660.821273154,3.397123566636358,35125.173711004514,1.3537767598529806,9.16537081813672,0.37111785553849796,0.0,0.0,0.0,0.0,0.0,15282784.693589011,-8974893.706851617,9340386.992496949,5761156.217109329,-4977561.10707768,739190.9203262397,-2110884.2117173034,-3298420.281730592,0.0,0.0,0.0,0.0,0.0,11761759.5161434,15270227.367144704,-10475274.430821825,9153216.956160598,5925170.8747481685,-4906099.775823474,758870.4861021221,-2056266.0209532592,-3237825.3477914697,0.0,0.0,0.0,0.0,0.0,10432020.108765561
10.0,0,2008,1044579472.949999,2172421239.8199997,36584952.33000068,2284886546.7103214,44344027.280974425,55569554.920154534,0.9200649550328684,9204621.898644688,3.813007009539195,35116.36796735187,1.4253824894093097,9.367739835787857,0.36839016773411154,0.0,0.0,0.0,0.0,0.0,6680038.7266862765,16941606.169397637,4237487.957889166,12827044.862637503,267763.09036130866,1625538.2852324431,1618573.3641824117,-3894188.5843171794,0.0,0.0,0.0,0.0,0.0,40303863.8720706,7525388.10105788,19346673.92864997,4208479.004207202,13383516.971437644,344469.9518813233,1727701.0222439289,1741254.8680848228,-3933456.566589448,0.0,0.0,0.0,0.0,0.0,44344027.28097334
10.0,0,2009,1081164425.2799997,2087736682.3600006,-51765151.96999935,2141487381.4358497,-70853050.98470767,55049000.136498384,1.01377751656468,9154157.735423837,2.7413441321301315,33364.4518888466,1.3920986731785645,9.641413674253945,0.3609670575470177,0.0,0.0,0.0,0.0,0.0,-7076135.42838674,-42681321.43302671,-4059465.4580538627,-36173844.04937098,24454677.529936075,-620066.396979271,1831048.9651670882,-5448001.513536344,0.0,0.0,0.0,0.0,0.0,-69773107.78425229,-6384868.691262528,-35927558.05827075,-4603456.103484167,-45355730.14107165,25561987.479767937,-1167567.212004911,3242256.8730645836,-6218115.131444331,0.0,0.0,0.0,0.0,0.0,-70853050.98470584
10.0,0,2010,1029399273.3100003,2019401363.6500006,-22913689.810000375,2116999096.5984178,-1394080.804202877,51638346.75128136,1.0161666427942346,9087062.377632855,3.2092554741486943,32650.920133966094,1.437623117633854,9.774136570274921,0.3565716159622144,0.0,0.0,0.1499981335847519,0.0,0.0,-20693309.44392288,-1810084.6046165668,-1791784.6500524636,16439290.654536797,10885094.27381169,1081564.7854291303,529467.0850058825,-1161358.8138720095,0.0,0.0,-3778637.749627064,0.0,0.0,-299758.4633050668,-24172179.209068894,-1593189.7148469994,-3014684.2314472324,17652696.125933576,12489728.711717159,1178979.1692698186,609589.3897782809,-1052473.959631503,0.0,0.0,-3492547.0859095827,0.0,0.0,-1394080.8042053748
10.0,0,2011,1006485583.4999998,2050937950.3099985,10339469.16999957,2126783033.1827886,8026713.088079967,50127856.8540742,1.0368341393320235,9115990.972214904,3.9605054578157706,32281.664109751764,1.4629728846581522,10.111393876999037,0.34997544961419097,0.0,0.0,0.2690640200312418,0.0,0.0,-14536586.696402228,-9224243.02227073,9738461.904208729,22518913.685922198,5356487.737412234,450302.93314440455,2408341.608148451,-4181866.12981044,0.0,0.0,-2843310.5865117926,0.0,0.0,9686501.433840401,-16060991.08169698,-10794586.701139431,10162465.82129089,23627343.531751856,5787150.51279974,579840.3581363654,2449585.497849044,-4245068.680644135,0.0,0.0,-3479026.170266832,0.0,0.0,8026713.0880805105
