,Year,Mode,UPT_ADJ,Known_FAC,New_Reporter_FAC,Total,Pivot_4m_2012
0,2002,0,30.03993444,0.0,30.03993444,30.03993444,30.90991918
1,2003,0,30.280958919999996,0.5025164228659594,0.7814618500000003,1.2839782728659597,32.19389746
2,2004,0,33.75245425,1.041130161148018,2.5175115599999986,3.5586417211480166,35.75253919
3,2005,0,36.08101354999999,0.4806677205167655,1.7610127499999981,2.2416804705167634,37.99421967
4,2006,0,37.361676440000004,0.6664324233706699,0.42215362000000023,1.08858604337067,39.08280572
5,2007,0,37.77804396999998,0.13188986470429997,0.20871817,0.3406080347043,39.42341376
6,2008,0,39.467500769999994,0.8982346229881263,0.040155989999999975,0.9383906129881263,40.36180438
7,2009,0,37.44135161,-2.466652266257338,0.1324834099999999,-2.334168856257338,38.02763553
8,2010,0,36.52065411000001,-0.0361092549347809,0.04079059,0.004681335065219109,38.03231687
9,2011,0,37.37921393000001,0.3270202209789393,0.012730139999999996,0.3397503609789393,38.37206724
10,2012,0,38.10829868999999,-0.32586184762802495,0.062093279999999994,-0.263768567628025,38.10829868
11,2013,0,37.87698675000001,-0.5820730232843128,0.0,-0.5820730232843128,37.52622565
12,2014,0,37.55719317999999,-0.6322108429998485,0.0,-0.6322108429998485,36.8940148
13,2015,0,36.53263623000001,-1.9770260247138647,0.0,-1.9770260247138647,34.91698877
14,2016,0,34.70159652,-1.4042964092072052,0.0,-1.4042964092072052,33.51269236
15,2017,0,33.29150745,-0.12373209572669465,0.0,-0.12373209572669465,33.38896026
16,2018,0,32.493877170000005,-0.7396483603496243,0.0,-0.7396483603496243,32.64931189
