,Year,Mode,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
0,2002,0,30.03993444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.03993444,30.03993444,30.03993444,30.03993444,30.03993444,30.03993444
1,2003,0,30.280958919999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.280958919999996,30.280958919999996,30.280958919999996,30.280958919999996,30.280958919999996,30.280958919999996
2,2004,0,33.75245425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75245425,33.75245425,33.75245425,33.75245425,33.75245425,33.75245425
3,2005,0,36.08101354999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.08101354999999,36.08101354999999,36.08101354999999,36.08101354999999,36.08101354999999,36.08101354999999
4,2006,0,37.361676440000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.361676440000004,37.361676440000004,37.361676440000004,37.361676440000004,37.361676440000004,37.361676440000004
5,2007,0,37.77804396999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.77804396999998,37.77804396999998,37.77804396999998,37.77804396999998,37.77804396999998,37.77804396999998
6,2008,0,39.467500769999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.467500769999994,39.467500769999994,39.467500769999994,39.467500769999994,39.467500769999994,39.467500769999994
7,2009,0,37.44135161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.44135161,37.44135161,37.44135161,37.44135161,37.44135161,37.44135161
8,2010,0,36.52065411000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.52065411000001,36.52065411000001,36.52065411000001,36.52065411000001,36.52065411000001,36.52065411000001
9,2011,0,37.37921393000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.37921393000001,37.37921393000001,37.37921393000001,37.37921393000001,37.37921393000001,37.37921393000001
10,2012,0,38.10829868999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.10829868999999,38.10829868999999,38.10829868999999,38.10829868999999,38.10829868999999,38.10829868999999
11,2013,0,37.87698675000001,19210547.222416777,10584334.749864357,-26156231.25151431,-1668538.4340752787,-18143429.108077466,-40543659.37759895,0.19210547222416777,0.10584334749864356,-0.26156231251514306,-0.016685384340752788,-0.18143429108077466,-0.4054365937759895,37.68488127777584,37.771143402501366,38.13854906251515,37.89367213434076,38.058421041080784,38.282423343775996
12,2014,0,37.55719317999999,12376403.598806892,9750968.157895159,489731.9080522466,-6225412.160377224,-23653357.584659886,-56249513.000102684,0.3158695082122367,0.20335302907759517,-0.2566649934346206,-0.07893950594452502,-0.41796786692737353,-0.9679317237770164,37.241323671787754,37.353840150922395,37.81385817343461,37.63613268594452,37.97516104692737,38.525124903777005
13,2015,0,36.53263623000001,34014824.190687634,10705171.046577604,-25890520.17483785,-12852816.011002658,-116867927.39315663,-88276476.33760571,0.656017750119113,0.3104047395433712,-0.5155701951829991,-0.2074676660545516,-1.58664714085894,-1.8506964871530736,35.8766184798809,36.222231490456636,37.04820642518301,36.74010389605456,38.11928337085895,38.38333271715308
14,2016,0,34.70159652,31390130.798708964,6843499.196961204,-23770032.578205377,-18604518.290226974,-46155443.81407508,-90772944.17305763,0.9699190581062026,0.3788397315129832,-0.7532705209650529,-0.3935128489568213,-2.0482015789996906,-2.75842592888365,33.7316774618938,34.32275678848702,35.454867040965055,35.09510936895683,36.74979809899969,37.46002244888365
15,2017,0,33.29150745,15374600.455878118,7278040.380005233,27712947.05279752,-9439121.755939286,30487048.83677437,-81278007.4155865,1.1236650626649838,0.4516201353130355,-0.47614105043707766,-0.48790406651621415,-1.743331090631947,-3.571206003039515,32.167842387335014,32.83988731468696,33.767648500437076,33.77941151651621,35.034838540631945,36.86271345303951
16,2018,0,32.493877170000005,13652067.890636427,8684317.33063309,24698172.674561437,-11496106.970089283,36596557.10968064,-143414397.4717915,1.2601857415713482,0.5384633086193664,-0.22915932369146327,-0.602865136217107,-1.3773655195351404,-5.00534997775743,31.233691428428656,31.955413861380638,32.72303649369147,33.09674230621711,33.871242689535144,37.49922714775744
