,Year,Mode,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
0,2002,1,13.360426249999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.360426249999993,13.360426249999993,13.360426249999993,13.360426249999993,13.360426249999993,13.360426249999993
1,2003,1,13.224982859999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.224982859999995,13.224982859999995,13.224982859999995,13.224982859999995,13.224982859999995,13.224982859999995
2,2004,1,14.069131300000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.069131300000008,14.069131300000008,14.069131300000008,14.069131300000008,14.069131300000008,14.069131300000008
3,2005,1,14.63078545999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.63078545999999,14.63078545999999,14.63078545999999,14.63078545999999,14.63078545999999,14.63078545999999
4,2006,1,15.307388940000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.307388940000006,15.307388940000006,15.307388940000006,15.307388940000006,15.307388940000006,15.307388940000006
5,2007,1,15.604063030000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.604063030000002,15.604063030000002,15.604063030000002,15.604063030000002,15.604063030000002,15.604063030000002
6,2008,1,16.47188368000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.47188368000001,16.47188368000001,16.47188368000001,16.47188368000001,16.47188368000001,16.47188368000001
7,2009,1,16.158393479999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.158393479999994,16.158393479999994,16.158393479999994,16.158393479999994,16.158393479999994,16.158393479999994
8,2010,1,16.551577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.551577,16.551577,16.551577,16.551577,16.551577,16.551577
9,2011,1,17.252398200000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.252398200000002,17.252398200000002,17.252398200000002,17.252398200000002,17.252398200000002,17.252398200000002
10,2012,1,17.659841580000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.659841580000002,17.659841580000002,17.659841580000002,17.659841580000002,17.659841580000002,17.659841580000002
11,2013,1,17.786915940000007,38246148.635648355,4459040.770675749,-26346631.911138836,-1198055.8286473488,-8043495.43413732,3134764.1697037877,0.3824614863564835,0.044590407706757484,-0.26346631911138835,-0.011980558286473488,-0.0804349543413732,0.031347641697037874,17.404454453643524,17.74232553229325,18.050382259111394,17.79889649828648,17.86735089434138,17.75556829830297
12,2014,1,18.25174539,44080352.2411638,4705659.149626614,4762470.123829208,-3842265.5011234097,-11077574.683481183,-1286460.2501351507,0.8232650087681216,0.09164699920302362,-0.21584161787309628,-0.05040321329770759,-0.19121070117618502,0.01848303919568637,17.42848038123188,18.160098390796975,18.467587007873096,18.302148603297706,18.442956091176185,18.233262350804313
13,2015,1,18.057320409999996,4406794.854393363,5244040.650281051,-25201010.069761474,-4454718.84068401,-59415608.072020486,-3624994.210203885,0.8673329573120552,0.14408740570583412,-0.467851718570711,-0.09495040170454769,-0.7853667818963899,-0.01776690290635248,17.18998745268794,17.913233004294163,18.525172128570706,18.152270811704543,18.842687191896385,18.075087312906348
14,2016,1,17.797311069999992,12044240.151077706,3275514.373379965,-6917639.640495469,-9744192.40428305,-21953698.555589415,-181562.35032287985,0.9877753588228323,0.1768425494396338,-0.5370281149756657,-0.19239232574737816,-1.004903767452284,-0.01958252640958128,16.80953571117716,17.620468520560358,18.334339184975658,17.98970339574737,18.802214837452276,17.816893596409574
15,2017,1,17.451371880000004,34695580.83285221,3457162.51296429,5840486.911657499,-4799517.874119961,15548831.339666728,1767239.76367041,1.3347311671513542,0.2114141745692767,-0.4786232458590908,-0.24038750448857776,-0.8494154540556168,-0.00191012877287718,16.11664071284865,17.239957705430726,17.929995125859094,17.69175938448858,18.30078733405562,17.45328200877288
16,2018,1,17.130358299999994,31322975.639159933,4380686.743021236,1607943.165701362,-6126998.962912215,18605072.274554122,-41050109.01052691,1.6479609235429538,0.25522104199948903,-0.4625438142020772,-0.30165749411769993,-0.6633647313100757,-0.41241121887814625,15.48239737645704,16.875137258000503,17.592902114202072,17.432015794117692,17.79372303131007,17.54276951887814
