CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749582.0,2203565452.0,0.0,2217749582.0,0.0,2025123498.4498749,0.0,69431799.63651021,0.9102786428414076,9573567.143826585,1.9989229721545723,39381.469965213546,9.917688029711911,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,2217749582.0
1.0,0,2003,170,2217749582.0,2203565452.0,2217749582.0,2150502598.9999995,-67246983.00000018,2079264588.712962,54141090.26308711,69475683.83844686,0.9168707344014717,9715711.202587085,2.3077092528229817,38481.401179128,9.826644160485746,3.943894077307056,-2136145.623130317,-2849474.6745585706,10961491.53962622,46882315.242973834,7194517.474439656,-275307.4461247748,0.0,59777396.51322606,60739883.73288606,-127986866.73288622,0.0,-67246983.00000018
1.0,0,2004,180,2396974805.0,2389867700.0,2150502598.9999995,2410970010.0,81242188.0000003,2374408639.608502,118537262.6050649,71765534.23904203,0.8811162918022641,9734314.782684496,2.6074594940736557,38183.58992380748,9.786967609269468,3.9555663396720595,33363834.830998212,18898349.33148698,13014483.42508313,42323546.31545031,9812359.444127554,-262605.3383717834,0.0,117149968.0087744,120148662.2327383,-38906474.23273803,179225222.99999985,260467411.00000015
1.0,0,2005,190,2522641888.0,2541057031.0,2410970010.0,2568753503.9999986,32116410.999998577,2571421468.1642785,48834406.22915628,70767074.60414761,0.908709006019361,9670224.811546005,3.0629169958820954,37264.37843132749,9.582088124551113,3.982687664464881,-26276056.154265963,-8828153.211474633,15018647.10254754,61787185.603106774,9476702.582134081,-391277.7312362591,0.0,50787048.190811545,50202477.94245759,-18086066.942459013,125667082.9999998,157783493.9999984
1.0,0,2006,190,2522641888.0,2541057031.0,2568753503.9999986,2599108817.0000005,30355313.00000269,2639318934.866875,67897466.70259638,70624705.90615213,0.8978368338450172,9915449.723039184,3.355692065332699,35771.54082711947,9.461948548410053,4.30155178767887,-6208304.808844498,6343073.047091217,20349097.458601594,38804767.27508088,15337528.638338452,-437276.6031243656,-4979071.434153924,69209813.57298937,69600418.23587984,-39245105.23587716,0.0,30355313.00000269
1.0,0,2007,190,2522641888.0,2541057031.0,2599108817.0000005,2608864140.999998,9755323.999997467,2670795932.791544,31476997.9246684,71582714.3552377,0.9208602306105821,9964969.76569808,3.5310062793786834,36276.70610874326,9.294565235999123,4.4274885399032895,27924036.473290045,-15613881.370318435,5606744.059846822,22148090.81737713,-5314331.897725228,-581207.9422772715,-2145494.152190431,32023955.988002628,32032431.121109534,-22277107.12111208,0.0,9755323.999997467
1.0,0,2008,190,2522641888.0,2541057031.0,2608864140.999998,2692308348.999999,83444208.00000104,2753667887.395366,82871954.6038229,71889164.49129106,0.9010416255067859,9988399.397412283,3.9554554445044965,36238.91881751508,9.4554621860263,4.508747727850302,13299454.153143913,11658337.81294471,3707429.182520395,50828891.78294155,494853.46918987704,571292.5202151388,-1301872.640454996,79258386.28050062,80184779.81715873,3259428.182842342,0.0,83444208.00000104
1.0,0,2009,190,2522641888.0,2541057031.0,2692308348.999999,2564111221.0,-128197127.99999961,2556417539.773727,-197250347.62163973,70967398.25016546,0.9931869137659665,9910892.792191492,2.9101362046971992,34545.635455789095,9.56712468936851,4.71934066604225,-17812065.22604486,-58269778.57198042,-3503296.4932404626,-134066183.26785897,19685742.956646424,405637.705715577,-3502148.9128452856,-197062091.80960795,-193927600.8472409,65730472.84724125,0.0,-128197127.99999961
1.0,0,2010,190,2522641888.0,2541057031.0,2564111221.0,2477369489.000001,-86741731.99999885,2534537525.921414,-21880013.852312773,67087317.041166835,1.011159790656542,9893600.100512411,3.3619635552803038,33716.16047501595,9.777768115309279,4.947970199525997,-77803257.84536316,-10354410.070921015,404231.6109085451,61219673.00075116,9376315.743300945,756766.4422328646,-3621654.1633284357,-20022335.282419078,-21256551.847391795,-65485180.15260705,0.0,-86741731.99999885
1.0,0,2011,190,2522641888.0,2541057031.0,2477369489.000001,2507911502.000001,30542012.999999788,2569716760.0508237,35179234.129409365,64589050.37874564,1.0324809727559339,9986664.09812566,4.092877324958459,33057.754898560874,10.06543443647519,4.895036823554085,-52013089.76103548,-11399132.074429754,7407968.856493464,84204721.17741813,7302867.75771421,985103.2244193272,857525.3952786135,37345964.575858496,35615990.66413342,-5073977.664133636,0.0,30542012.999999788
1.0,0,2012,190,2522641888.0,2541057031.0,2507911502.000001,2541057030.9999995,33145528.99999903,2565069722.521246,-4647037.529577829,63654979.010832,1.0331937282706827,10106162.130560195,4.140214257275543,32885.7085785359,9.958940532822863,4.987356848646763,-20103131.161741458,387714.49285937124,9358173.887274224,4814138.708110301,2199422.7436848693,-376872.9512083455,-1597965.0138850631,-5318519.294906098,-5421165.594249601,38566694.59424863,0.0,33145528.99999903
1.0,0,2013,190,2522641888.0,2541057031.0,2541057030.9999995,2538567550.000001,-2489480.9999990985,2564581969.2312946,-487753.2899502814,64440490.50185641,1.0525608051525281,10218543.93976726,3.9654549378235004,33089.926406244245,9.695200702110121,4.990027977129983,22221968.1656557,-9870533.765979098,8756737.531238826,-18653587.24345712,-2189007.504010329,-882122.1695504633,-24060.615331462788,-640605.6014339465,-785879.3583362729,-1703601.641662828,0.0,-2489480.9999990985
1.0,0,2014,190,2522641888.0,2541057031.0,2538567550.000001,2510923485.999999,-27644064.000002045,2547132181.3140125,-17449787.917283215,64472290.6259952,1.0552857020000461,10358402.722098505,3.757632076906906,33372.44649362026,9.64365408837213,5.143028107483799,4085959.49367147,-2832499.8697905717,10393817.53431032,-23247446.69760295,-3186169.22966979,-218498.66500837915,-2539714.5342278895,-17544551.968317784,-17594767.062376875,-10049296.93762517,0.0,-27644064.000002045
1.0,0,2015,190,2522641888.0,2541057031.0,2510923485.999999,2445688117.000001,-65235368.99999772,2435349064.1511245,-111783117.16288802,65239258.51204985,1.0818127292498356,10472818.645738743,2.8576666928336514,34516.89053111851,9.510527451972603,5.284222653366168,23451014.88688373,-16112870.82603033,8970667.366502635,-112178906.97136638,-12313975.878765086,-435743.6101844362,-2086138.7988430988,-110705953.83180293,-110858951.23122908,45623582.23123139,0.0,-65235368.99999772
1.0,0,2016,190,2522641888.0,2541057031.0,2445688117.000001,2323506883.0000005,-122181234.00000072,2389315972.622048,-46033091.52907633,66113243.24680118,1.104717302622811,10554924.899873944,2.5185717610537024,35303.22951100643,9.381259123522486,5.715785148652855,22469945.1854069,-12803333.799771365,6762996.945633802,-47312666.86716131,-7919848.87768526,-439387.05733774905,-6556390.911944415,-45798685.38285939,-45903260.29565534,-76277973.7043454,0.0,-122181234.00000072
1.0,0,2017,190,2522641888.0,2541057031.0,2323506883.0000005,2230802096.9999995,-92704786.00000066,2451614578.267297,62298605.64524897,66222639.767624594,1.0654314734435388,10662889.412182815,2.7392459466138064,36103.068578746366,9.23344619094028,5.884423667787759,11444844.750119418,19495434.886802714,7852168.3235448655,30731854.900749266,-7835953.209058343,-459317.5150789645,-2419246.3959641834,58809785.741114765,59371061.92803338,-152075847.92803404,0.0,-92704786.00000066
1.0,0,2018,190,2522641888.0,2541057031.0,2230802096.9999995,2176386603.0000005,-54415493.99999925,2514847558.352827,63232980.08552979,66335689.74926932,1.0328058269144271,10741812.06997656,3.04606558246051,36989.70148767346,9.096285973060793,6.1187931809606075,8814403.895378504,16014597.056909632,6078987.247070972,37746445.83957206,-7961887.215363702,-418579.06477242196,-3251197.3456580746,57022770.413136974,57301023.31773249,-111716517.31773174,0.0,-54415493.99999925
1.0,1,2002,150,1292016171.9999993,1615530131.0,0.0,1292016171.9999993,0.0,1193085343.7574573,0.0,49814785.82760192,1.6449755572275602,8445944.209983494,1.9566243795576885,43672.133831359766,11.080959921196712,3.903983803230599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292016171.9999993,1292016171.9999993
