CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018_HINY,FARE_per_UPT_cleaned_2018_MIDLOW,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,RESTRUCTURE,YEARS_SINCE_TNC_BUS_HINY,YEARS_SINCE_TNC_BUS_MIDLOW,YEARS_SINCE_TNC_RAIL_HINY,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_HINY_FAC,FARE_per_UPT_cleaned_2018_log_MIDLOW_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749582.0,2203565452.0,0.0,2217749582.0,0.0,1952900614.3638806,0.0,69431799.63651021,0.9102786428414076,0.0,9573567.143826585,0.5679150656233117,1.9989229721545723,39381.469965213546,9.917688029711911,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,2217749582.0
1.0,0,2003,170,2217749582.0,2203565452.0,2217749582.0,2150502598.9999995,-67246983.00000018,2116958209.8273046,35709117.920850575,69475683.83844686,0.9168707344014717,0.0,9715711.202587085,0.566331971270963,2.3077092528229817,38481.401179128,9.826644160485746,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1848926.3507325388,-1355859.235036809,0.0,8578113.631747214,-3674414.138052528,31959104.650904104,3554169.278302393,-423843.38063112536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37509679.81074193,37755287.98330233,-109290951.98330227,0.0,-71535663.99999993
1.0,0,2004,180,2396974805.0,2389867700.0,2150502598.9999995,2410970010.0,81242188.0000003,2421522796.7606125,71770778.53418422,71765534.23904203,0.8811162918022641,0.0,9734314.782684496,0.5670800056848286,2.6074594940736557,38183.58992380748,9.786967609269468,3.9555663396720595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26643138.255397838,8064566.335748073,0.0,10184464.75825571,-2022275.7976726699,28861525.682510506,4846077.520407923,-404285.1416585461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69164415.88139497,70121160.26273525,183205.73726495355,179225222.99999985,249529589.0000001
1.0,0,2005,190,2522641888.0,2541057031.0,2410970010.0,2568753503.9999986,32116410.999998577,2634444733.154343,31011935.68624904,70767074.60414761,0.908709006019361,0.0,9670224.811546005,0.5621325759866738,3.0629169958820954,37264.37843132749,9.582088124551113,3.982687664464881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21334448.20356328,-3936391.5717821587,0.0,11752875.406642323,-1487190.0942113244,42094130.9957446,4680950.900589473,-602412.2713572186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31167515.162062425,30788027.573429756,1328383.426568812,125667082.9999998,157783493.9999984
1.0,0,2006,190,2522641888.0,2541057031.0,2568753503.9999986,2599108817.0000005,30355313.00000269,2671408072.4240847,36963339.269740805,70624705.90615213,0.8978368338450172,0.0,9915449.723039184,0.5616796485483977,3.355692065332699,35771.54082711947,9.461948548410053,4.30155178767887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5095639.6762504615,2695343.9454049193,0.0,15921483.441443395,-445774.99230543955,26481515.20051187,7571415.22717343,-673131.7535104544,-6707456.952798488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39747754.43966876,39816351.103257835,-9461038.103255138,0.0,30355313.00000269
1.0,0,2007,190,2522641888.0,2541057031.0,2599108817.0000005,2608864140.999998,9755323.999997467,2692900984.5309677,21492912.106883563,71582714.3552377,0.9208602306105821,0.0,9964969.76569808,0.5550867828387394,3.5310062793786834,36276.70610874326,9.294565235999123,4.4274885399032895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22374436.669576913,-6907608.147529306,0.0,4388712.522063687,-6822550.856862486,15129110.505941536,-2630037.5191861177,-894653.1521686601,-2890768.032747767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21746641.9890878,21681320.13383495,-11925996.133837484,0.0,9755323.999997467
1.0,0,2008,190,2522641888.0,2541057031.0,2608864140.999998,2692308348.999999,83444208.00000104,2749230611.3940234,56329626.863055974,71889164.49129106,0.9010416255067859,0.0,9988399.397412283,0.5581048095106869,3.9554554445044965,36238.91881751508,9.4554621860263,4.508747727850302,0.0,0.0,0.0,0.0,0.0,0.0,0.07104663719910444,0.0,10621998.834125875,5039187.488350809,0.0,2902089.4950649193,3137897.97540564,34662644.92664355,242614.05306319142,879944.5522001123,-1753644.771655799,0.0,0.0,0.0,0.0,0.0,0.0,-2364234.2082315437,0.0,53368498.34496675,53713681.658830844,29730526.341170203,0.0,83444208.00000104
1.0,0,2009,190,2522641888.0,2541057031.0,2692308348.999999,2564111221.0,-128197127.99999961,2621677425.8621745,-127553185.5318493,70967398.25016546,0.9931869137659665,0.0,9910892.792191492,0.5605866487545621,2.9101362046971992,34545.635455789095,9.56712468936851,4.71934066604225,0.0,0.0,0.0,0.0,0.0,0.0,0.07104663719910444,0.0,-14439684.204884049,-25775266.98290794,0.0,-2745541.216404536,2817080.9950263184,-92449816.75663693,9714615.836973256,624854.9309859256,-4719596.588231171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-126973353.98607911,-125738801.05465774,-2458326.9453418627,0.0,-128197127.99999961
1.0,0,2010,190,2522641888.0,2541057031.0,2564111221.0,2477369489.000001,-86741731.99999885,2597097577.812417,-24579848.04975693,67087317.041166835,1.011159790656542,0.0,9893600.100512411,0.56410963816295,3.3619635552803038,33716.16047501595,9.777768115309279,4.947970199525997,0.0,0.0,0.0,0.0,0.0,0.0,0.12768546400986416,0.0,-63034095.03462857,-4636201.743733888,0.0,314130.6990094958,3576244.1130313794,41720526.901864015,4631192.844191619,1165680.733442494,-4880852.561390715,0.0,0.0,0.0,0.0,0.0,0.0,-2016113.4764974408,0.0,-23159487.524711594,-23919996.634686768,-62821735.36531207,0.0,-86741731.99999885
1.0,0,2011,190,2522641888.0,2541057031.0,2477369489.000001,2507911502.000001,30542012.999999788,2607450490.3704433,10352912.558025721,64589050.37874564,1.0324809727559339,0.0,9986664.09812566,0.5597171562192801,4.092877324958459,33057.754898560874,10.06543443647519,4.895036823554085,0.0,0.0,0.12496612797067758,0.0,0.0,0.0,0.16867203705134062,0.0,-42053256.50295573,-5040832.713400351,0.0,5799372.726891643,-4352176.041412741,57294328.7337151,3607179.881861331,1517245.688232582,1157415.1893136422,0.0,0.0,-5011923.989578342,0.0,0.0,0.0,-1395880.1378222255,0.0,11521472.83484491,10445662.365444072,20096350.634555716,0.0,30542012.999999788
1.0,0,2012,190,2522641888.0,2541057031.0,2507911502.000001,2541057030.9999995,33145528.99999903,2576147738.51994,-31302751.85050313,63654979.010832,1.0331937282706827,0.0,10106162.130560195,0.5556667393908061,4.140214257275543,32885.7085785359,9.958940532822863,4.987356848646763,0.0,0.0,0.5049977494070688,0.0,0.0,0.0,0.20578687227443668,0.0,-16233635.389866114,127155.17102834725,0.0,7325556.061904502,-3922516.249576606,3290804.9524916895,1085012.3688030106,-580161.7176321368,-2153201.970227547,0.0,0.0,-17471496.183660366,0.0,0.0,0.0,-873115.892524551,0.0,-29405598.84925978,-29355859.8583346,62501388.85833363,0.0,33145528.99999903
1.0,0,2013,190,2522641888.0,2541057031.0,2541057030.9999995,2538567550.000001,-2489480.9999990985,2541543381.232903,-34604357.28703627,64440490.50185641,1.0525608051525281,0.0,10218543.93976726,0.5554845763010797,3.9654549378235004,33089.926406244245,9.695200702110121,4.990027977129983,0.0,0.0,1.3142978187952767,0.0,0.0,0.0,0.20578687227443668,0.0,17844572.332497284,-4419326.182480236,0.0,6854701.634231315,-141698.10810547732,-12775380.271852456,-1083563.937984943,-1358048.5326965565,-31491.136894511772,0.0,0.0,-38192916.65453073,0.0,0.0,0.0,0.0,0.0,-33303150.857816312,-33449262.365350053,30959781.365350947,0.0,-2489480.9999990985
1.0,0,2014,190,2522641888.0,2541057031.0,2538567550.000001,2510923485.999999,-27644064.000002045,2479949961.3762116,-61593419.85669188,64472290.6259952,1.0552857020000461,0.0,10358402.722098505,0.5549177180414916,3.757632076906906,33372.44649362026,9.64365408837213,5.143028107483799,0.0,0.0,2.1833497858733715,0.0,0.0,0.0,0.4721236239140731,0.0,3268121.8903362174,-1318125.944017154,0.0,8135859.922803467,-541337.4117857792,-15925897.438840631,-1577586.126182566,-336187.25454286416,-3422273.7937732087,0.0,0.0,-40881409.67421632,0.0,0.0,0.0,-9439188.390067358,0.0,-62038024.220286205,-61584849.78351981,33940785.78351777,0.0,-27644064.000002045
1.0,0,2015,190,2522641888.0,2541057031.0,2510923485.999999,2445688117.000001,-65235368.99999772,2362233501.1892233,-117716460.18698847,65239258.51204985,1.0818127292498356,0.0,10472818.645738743,0.5556199069237358,2.8576666928336514,34516.89053111851,9.510527451972603,5.284222653366168,0.0,0.018557417611548017,3.1833497858733715,0.0,0.0,0.0,0.7236305595667644,0.0,18829403.000917967,-7090763.96506955,0.0,7022280.1142091695,665617.1189555844,-77318020.2627732,-6098695.873209972,-670719.7252341869,-2811161.9991125227,0.0,1520351.050796784,-46197871.49317628,0.0,0.0,0.0,-8073559.59637543,0.0,-120223141.63007164,-119095052.04425202,53859683.0442543,0.0,-65235368.99999771
1.0,0,2016,190,2522641888.0,2541057031.0,2445688117.000001,2323506883.0000005,-122181234.00000072,2285780236.5162334,-76453264.67298974,66113243.24680118,1.104717302622811,0.0,10554924.899873944,0.5550432384951618,2.5185717610537024,35303.22951100643,9.381259123522486,5.715785148652855,0.0,0.037114835223096034,4.183349785873372,0.0,0.0,0.0,0.9827746569155519,0.0,18038347.22079653,-5635749.666916077,0.0,5294189.784509778,-526919.168761746,-32467128.40585953,-3921385.7632180736,-676395.5125058839,-8835271.895074377,0.0,1496700.1551085226,-44997621.78000289,0.0,0.0,0.0,-7831895.168680445,0.0,-80063130.2006042,-79359429.45585918,-42821804.54414152,0.0,-122181234.00000072
1.0,0,2017,190,2522641888.0,2541057031.0,2323506883.0000005,2230802096.9999995,-92704786.00000066,2279835718.5284257,-5944517.987807661,66222639.767624594,1.0654314734435388,0.0,10662889.412182815,0.5538005359420408,2.7392459466138064,36103.068578746366,9.23344619094028,5.884423667787759,0.0,0.0531878990189827,5.183349785873371,0.0,0.0,0.0,0.9827746569155519,0.0,9149044.186038794,8484961.774930382,0.0,6146643.584370478,-1107379.85330729,20978153.786124844,-3880560.8931321055,-706953.5159787049,-3260912.2386869546,0.0,1653559.1039768872,-42749638.92481774,0.0,0.0,0.0,0.0,0.0,-5293082.990481416,-5716640.559725458,-86988145.44027522,0.0,-92704786.00000066
1.0,0,2018,190,2522641888.0,2541057031.0,2230802096.9999995,2176386603.0000005,-54415493.99999925,2221270381.9455113,-58565336.582914844,66335689.74926932,1.0328058269144271,0.0,10741812.06997656,0.5547824939235894,3.04606558246051,36989.70148767346,9.096285973060793,6.1187931809606075,0.0,0.03214612759177333,6.183349785873371,0.0,0.0,0.0,1.0,0.5358203458960399,7062491.606871558,6969789.0622204365,0.0,4758765.148986282,830951.7429854443,25749516.389213264,-3941844.4240279156,-644398.4775294889,-4382387.850067393,0.0,-1375700.924917701,-41043986.07864001,0.0,0.0,0.0,-376294.76357576984,-50472996.1321456,-56866094.70062688,-57437036.257148154,3021542.2571489047,0.0,-54415493.99999925
