,CBSA,MNAME,Mode,Year,Tot_Pop,TNC_FLAG,YEARS_SINCE_TNC,UBER_NET_REVENUE
0,10420,"Akron, OH Metro Area",Bus,2014,703825.0,1,0,445
167,10420,"Akron, OH Metro Area",Bus,2015,704243.0,1,1,1690
375,10420,"Akron, OH Metro Area",Bus,2016,702221.0,1,2,4964
632,10420,"Akron, OH Metro Area",Bus,2017,703505.0,1,3,7932
919,10420,"Akron, OH Metro Area",Bus,2018,703962.5,1,4,11270
633,10500,"Albany, GA Metro Area",Bus,2017,151754.0,1,0,7932
920,10500,"Albany, GA Metro Area",Bus,2018,150067.25,1,1,11270
634,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2017,886188.0,1,0,7932
921,10580,"Albany-Schenectady-Troy, NY Metro Area",Bus,2018,889452.0,1,1,11270
1,10740,"Albuquerque, NM Metro Area",Bus,2014,905213.0,1,0,445
168,10740,"Albuquerque, NM Metro Area",Bus,2015,906209.0,1,1,1690
376,10740,"Albuquerque, NM Metro Area",Bus,2016,913924.0,1,2,4964
635,10740,"Albuquerque, NM Metro Area",Bus,2017,913113.0,1,3,7932
922,10740,"Albuquerque, NM Metro Area",Bus,2018,914433.5,1,4,11270
2,10740,"Albuquerque, NM Metro Area",Rail,2014,905213.0,1,0,445
169,10740,"Albuquerque, NM Metro Area",Rail,2015,906209.0,1,1,1690
377,10740,"Albuquerque, NM Metro Area",Rail,2016,913924.0,1,2,4964
636,10740,"Albuquerque, NM Metro Area",Rail,2017,913113.0,1,3,7932
923,10740,"Albuquerque, NM Metro Area",Rail,2018,914433.5,1,4,11270
170,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2015,832327.0,1,0,1690
378,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2016,835652.0,1,1,4964
637,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2017,840550.0,1,2,7932
924,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2018,845054.75,1,3,11270
379,11020,"Altoona, PA Metro Area",Bus,2016,124650.0,1,0,4964
638,11020,"Altoona, PA Metro Area",Bus,2017,123457.0,1,1,7932
925,11020,"Altoona, PA Metro Area",Bus,2018,122326.5,1,2,11270
171,11180,"Ames, IA Metro Area",Bus,2015,96021.0,1,0,1690
380,11180,"Ames, IA Metro Area",Bus,2016,97090.0,1,1,4964
639,11180,"Ames, IA Metro Area",Bus,2017,97502.0,1,2,7932
926,11180,"Ames, IA Metro Area",Bus,2018,98078.25,1,3,11270
640,11260,"Anchorage, AK Metro Area",Bus,2017,400888.0,1,0,7932
927,11260,"Anchorage, AK Metro Area",Bus,2018,400328.0,1,1,11270
3,11460,"Ann Arbor, MI Metro Area",Bus,2014,356874.0,1,0,445
172,11460,"Ann Arbor, MI Metro Area",Bus,2015,358880.0,1,1,1690
381,11460,"Ann Arbor, MI Metro Area",Bus,2016,364709.0,1,2,4964
641,11460,"Ann Arbor, MI Metro Area",Bus,2017,367627.0,1,3,7932
928,11460,"Ann Arbor, MI Metro Area",Bus,2018,371272.75,1,4,11270
173,11540,"Appleton, WI Metro Area",Bus,2015,233007.0,1,0,1690
382,11540,"Appleton, WI Metro Area",Bus,2016,234079.0,1,1,4964
642,11540,"Appleton, WI Metro Area",Bus,2017,236126.0,1,2,7932
929,11540,"Appleton, WI Metro Area",Bus,2018,237929.25,1,3,11270
383,11700,"Asheville, NC Metro Area",Bus,2016,452319.0,1,0,4964
643,11700,"Asheville, NC Metro Area",Bus,2017,456145.0,1,1,7932
930,11700,"Asheville, NC Metro Area",Bus,2018,460384.25,1,2,11270
4,12020,"Athens-Clarke County, GA Metro Area",Bus,2014,197268.0,1,0,445
