RAIL_FLAG,CLUSTER_APTA4,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,RESTRUCTURE,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
0,1.0,2002,170,2217749582.0,2203565452.0,0.0,2217749582.0,0.0,2220218178.1350756,0.0,69431799.63651021,0.9102786428414076,9573567.143826585,0.5679150656233117,1.9989229721545723,9.917688029711911,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,2217749582.0
0,1.0,2003,170,2217749582.0,2203565452.0,2217749582.0,2150502598.9999995,-67246983.00000018,2363313231.083141,493974.96632407606,69475683.83844686,0.9168707344014717,9715711.202587085,0.566331971270963,2.3077092528229817,9.826644160485746,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1910704.1835200535,-2726711.5710530374,8832193.385350525,-12694715.719883518,8321996.3923307145,-2347923.3127774945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22470.395058416296,212127.0345049738,-71747791.0345049,0.0,-71535663.99999993
0,1.0,2004,180,2396974805.0,2389867700.0,2150502598.9999995,2410970010.0,81242188.0000003,2668885343.066667,55665113.98382377,71765534.23904203,0.8811162918022641,9734314.782684496,0.5670800056848286,2.6074594940736557,9.786967609269468,3.9555663396720595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27964724.49097974,17903830.814281397,10486151.910522427,-6989788.409701559,7519578.14261631,-2239362.6543906806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47308666.65527791,48122861.498447396,22181504.50155283,179225222.99999985,249529589.0000001
0,1.0,2005,190,2522641888.0,2541057031.0,2410970010.0,2568753503.9999986,32116410.999998577,2853631399.7895174,-17290597.843085915,70767074.60414761,0.908709006019361,9670224.811546005,0.5621325759866738,3.0629169958820954,9.582088124551113,3.982687664464881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22319343.17763818,-8396567.74545568,12101016.413635187,-5131984.018060724,10950554.902028568,-3339249.7737259315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16135573.399216767,-16323287.244650736,48439698.24464932,125667082.9999998,157783493.9999984
0,1.0,2006,190,2522641888.0,2541057031.0,2568753503.9999986,2599108817.0000005,30355313.00000269,2859307236.109272,5675836.319754541,70624705.90615213,0.8978368338450172,9915449.723039184,0.5616796485483977,3.355692065332699,9.461948548410053,4.30155178767887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5319571.605003394,6007059.297393329,16393407.70229739,-1526555.5375125483,6907612.2804731615,-3724016.7574250167,-9370669.685334772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9367265.694888148,9204100.91684584,21151212.083156846,0.0,30355313.00000269
0,1.0,2007,190,2522641888.0,2541057031.0,2599108817.0000005,2608864140.999998,9755323.999997467,2840503847.7178,-18803388.391471304,71582714.3552377,0.9208602306105821,9964969.76569808,0.5550867828387394,3.5310062793786834,9.294565235999123,4.4274885399032895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23468630.971725054,-14839886.113445312,4518588.500567466,-23521553.663127307,3952462.2182477335,-4946496.923744941,-4039643.1537003582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15407898.163477663,-15789226.993547818,25544550.993545283,0.0,9755323.999997467
0,1.0,2008,190,2522641888.0,2541057031.0,2608864140.999998,2692308348.999999,83444208.00000104,2894708119.8755317,54204272.157731086,71889164.49129106,0.9010416255067859,9988399.397412283,0.5581048095106869,3.9554554445044965,9.4554621860263,4.508747727850302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07104663719910444,0.0,11148592.315293614,11057403.766347319,2987963.1195453443,11008856.076326877,9031459.016957939,4905161.880446341,-2449610.0752230594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-300476.8034276838,0.0,47389349.29626669,47981909.39297992,35462298.60702113,0.0,83444208.00000104
0,1.0,2009,190,2522641888.0,2541057031.0,2692308348.999999,2564111221.0,-128197127.99999961,2798522780.1034203,-96185339.77211213,70967398.25016546,0.9931869137659665,9910892.792191492,0.5605866487545621,2.9101362046971992,9.56712468936851,4.71934066604225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07104663719910444,0.0,-15110955.363449518,-55380619.48268372,-2826426.2758856025,9851769.47394357,-24521550.544323944,3487763.421291519,-6597287.088386133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91097305.85949382,-90266063.922472,-37931064.07752761,0.0,-128197127.99999961
0,1.0,2010,190,2522641888.0,2541057031.0,2564111221.0,2477369489.000001,-86741731.99999885,2738624139.145923,-59898640.957496524,67087317.041166835,1.011159790656542,9893600.100512411,0.56410963816295,3.3619635552803038,9.777768115309279,4.947970199525997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12768546400986416,0.0,-65972169.402479805,-9851896.76711626,323677.80782809143,13135446.386504384,10858759.887280928,6502033.408865413,-6823144.472383632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-256233.21524417115,0.0,-52083526.36674505,-51674853.40953179,-35066878.59046706,0.0,-86741731.99999885
0,1.0,2011,190,2522641888.0,2541057031.0,2477369489.000001,2507911502.000001,30542012.999999788,2684352533.430541,-54271605.7153822,64589050.37874564,1.0324809727559339,9986664.09812566,0.5597171562192801,4.092877324958459,10.06543443647519,4.895036823554085,0.0,0.0,0.0,0.12496612797067758,0.0,0.0,0.0,0.0,0.0,0.16867203705134062,0.0,-44031233.69477822,-10833707.710560763,5970913.291508209,-15034340.766833076,14874895.050975155,8452049.162637172,1621760.600790651,0.0,0.0,0.0,-8748854.571203358,0.0,0.0,0.0,0.0,0.0,-177406.11328636174,0.0,-47905924.75075058,-48204684.442548856,78746697.44254865,0.0,30542012.999999788
