RAIL_FLAG,CLUSTER_APTA4,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018_HINY,FARE_per_UPT_cleaned_2018_MIDLOW,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,TTI_CONG_PER_COMMUTER_RAIL,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HINY,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HINY,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_HINY_log_FAC,FARE_per_UPT_cleaned_2018_MIDLOW_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,TTI_CONG_PER_COMMUTER_RAIL_log_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HINY_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HINY_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
0,2.0,2007,1436,832303107.0000001,958899929.0,913931565.0000001,924926555.0,2306721.9999998305,934366590.0756284,5640399.908676638,12139213.002662905,0.0,0.895757297618231,2506046.0194194596,0.34780737583798604,3.4551355017601795,31993.077300879882,7.428921805166348,3.7473472551869267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03945550572118674,0.0,5144974.141440957,0.0,-4881109.754823088,5199761.389164719,-1381840.5249385496,5620222.422712952,-2046116.878965584,-754022.7533051891,-756803.8138535112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6145064.2274327,5983181.3029443845,-3676459.302944556,8688267.999999998,10994989.999999829
0,2.0,2008,1436,832303107.0000001,958899929.0,924926555.0,988529403.0000001,63602848.00000024,964406973.1452094,30040383.069581624,12290406.974323366,0.0,0.8949319157018631,2511974.2483535623,0.34768094753883916,3.86519583198288,31801.15427399655,7.60595589291727,3.801241314722138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03945550572118674,0.0,11168138.853580765,0.0,1631255.4433189577,2342857.8986844337,-92910.13778898216,11801584.331667906,1277984.1742842218,1524770.4965661974,-168156.17471852258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29485524.88559497,30215782.161085565,33387065.838914663,0.0,63602848.00000024
0,2.0,2009,1436,832303107.0000001,958899929.0,988529403.0000001,908879793.0,-79649610.00000037,898683315.8142161,-65723657.330993354,11963645.855133768,0.0,1.0103714186644657,2493193.3027503705,0.35148787587781644,2.8103374921298956,30173.234862315603,7.709680988226808,4.009220187255651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03945550572118674,0.0,-10351747.542290693,0.0,-34433658.635399364,-2174396.4672055976,1632118.5106307082,-33924860.04941394,10332928.749073677,863315.3107087857,-978516.6987487307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69034816.82264517,-67328333.47259913,-12321276.527401231,0.0,-79649610.00000037
0,2.0,2010,1460,834611629.0000001,961216518.0,908879793.0,898704146.9999999,-12484167.99999988,916680676.2798519,15579467.586329237,11662173.301157078,0.0,1.0147581535574084,2506860.1969974237,0.3513498825254088,3.269849533510993,29669.122375049657,7.925990832461792,4.027879329848159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03934637244312827,0.0,-9167128.23386223,0.0,803629.2680720146,3902038.4932668204,194907.03915916543,14862000.298738945,2966185.922961119,2201789.5112677305,-6318.45001318707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15757103.849590378,16227143.370317277,-28711311.370317157,2308521.999999999,-10175645.999999883
0,2.0,2011,1460,834611629.0000001,961216518.0,898704146.9999999,936058350.9999999,37354203.999999985,939187286.659945,22506610.380093183,11462779.635000493,0.0,0.9974284523821851,2526455.2832451183,0.3441031962358014,4.0111020093807,29100.830016762302,8.21325535454527,4.1277261650759955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052275766936384235,0.0,-8874908.554202927,0.0,4159430.0730483327,3169491.9207531824,-2730718.2616488975,20770379.492845982,3625884.7932712412,2266865.84300243,-498160.07388889045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-280820.7963197964,0.0,21607444.436860643,21560003.920119338,15794200.079880657,0.0,37354203.999999985
0,2.0,2012,1460,834611629.0000001,961216518.0,936058350.9999999,961216517.9999998,25158166.999999605,935344399.4136424,-3842887.246302915,11264859.97852807,0.0,0.992574394229256,2552570.2182420236,0.33060451780988964,4.025635842023475,28874.30950212684,8.25691541066462,4.125146976115281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08932640213667568,0.0,-5067917.810729301,0.0,39973.64205204847,4280986.572835178,-4956694.984320764,398350.2547838401,1821256.042979533,255035.76274542912,8787.93039390662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-806308.5059595846,0.0,-4026531.0952197113,-4083514.0483248816,29241681.048324503,0.0,25158166.999999605
0,2.0,2013,1460,834611629.0000001,961216518.0,961216517.9999998,943429917.9999999,-17786599.999999646,930149042.9355136,-5195356.478128411,11263611.05969423,0.0,1.02084820166258,2586254.4538100096,0.32980914648163084,3.8688140678341774,29012.009098915678,8.061410663150488,4.209983574408115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14992332918955767,0.0,4471477.789294841,0.0,-7996099.876807097,7382191.669203304,-331499.9726815887,-4350521.32207748,-855855.7902139608,-1640308.7589655973,-294535.80988471536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1244216.4876723976,0.0,-4859368.559804689,-4851599.365726633,-12935000.634273017,0.0,-17786599.999999646
0,2.0,2014,1460,834611629.0000001,961216518.0,943429917.9999999,939315734.0,-4114183.9999997607,925703646.3099123,-4445396.6256015105,11419119.683224887,0.0,1.0016930398073778,2619700.4193235864,0.3284601264596993,3.648912589689066,29100.59214070388,8.10393323624538,4.286909931253786,0.0,0.0,0.0,0.4634091283432141,0.0,0.0,0.0,0.27427024863560834,0.0,10034236.524859542,0.0,3577134.240921219,5544627.435318095,-595914.7569547603,-6158674.394421691,-655779.3350426946,336754.96030773607,-368800.0041352777,0.0,0.0,0.0,-14127460.285409113,0.0,0.0,0.0,-1908525.8221713072,0.0,-4322401.436728261,-4529706.145868553,415522.1458687918,0.0,-4114183.9999997607
0,2.0,2015,1460,834611629.0000001,961216518.0,939315734.0,913699509.0000002,-25616225.000000145,883470119.3216025,-42233526.988309674,11782498.880544942,0.0,1.0041721746130894,2653957.930823444,0.3292756080897387,2.6811130935646244,30303.426469331953,7.89858692563221,4.435976714625912,0.0,0.0,0.0,1.163409128343214,0.0,0.0,0.0,0.4943164397245658,0.0,19801186.117566247,0.0,-1993350.9149643714,5432924.754570733,355184.43319294765,-30963453.933105122,-7308954.899813805,-1850225.2605093974,-640786.9390225708,0.0,0.0,0.0,-21235529.964467064,0.0,0.0,0.0,-4162310.74608872,0.0,-42565317.35264112,-42688106.12170672,17071881.12170656,0.0,-25616225.000000145
0,2.0,2016,1460,834611629.0000001,961216518.0,913699509.0000002,871357915.0,-42341593.999999925,851570407.6052864,-31899711.716316137,12159503.951854233,0.0,1.0184609172565577,2686779.490681187,0.32603077162588595,2.375580169433513,31096.219490803018,7.7279764475579835,4.946688749888003,0.0,0.0,0.0,2.219500082355071,0.0,0.0,0.0,0.6363086872349343,0.0,19006482.15462748,0.0,-3669228.0105478973,5061313.742497767,-1356067.4170857258,-11098849.868821274,-4477787.190638305,-1155800.5689117615,-2122028.836900041,0.0,0.0,0.0,-30865444.43451286,0.0,0.0,0.0,-2687432.752738904,0.0,-33364843.183031533,-33537313.717140395,-8804280.282859538,0.0,-42341593.999999925
