CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,TSD_WA_EMP_PCT_LEHD,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,TSD_WA_EMP_PCT_LEHD_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749582.0,2203565452.0,0.0,2217749582.0,0.0,1897146143.5897515,0.0,69431799.63651021,0.9102786428414076,9573567.143826585,60.16252644051002,1.9989229721545723,39381.469965213546,9.917688029711911,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,2217749582.0
1.0,0,2003,170,2217749582.0,2203565452.0,2217749582.0,2150502598.9999995,-67246983.00000018,2062486881.4935036,50885394.772394314,69475683.83844686,0.9168707344014717,9715711.202587085,60.465174129230775,2.3077092528229817,38481.401179128,9.826644160485746,3.943894077307056,0.0,0.0,-2200808.2064132034,-3224046.1099823136,14894060.402813531,-58071.57069050487,37711469.43184888,9953934.046538414,-1983980.3714987035,0.0,0.0,0.0,55183960.903763086,56035169.49127003,-127570833.49126996,0.0,-71535663.99999993
1.0,0,2004,180,2396974805.0,2389867700.0,2150502598.9999995,2410970010.0,81242188.0000003,2401009560.790785,112824216.67406055,71765534.23904203,0.8811162918022641,9734314.782684496,60.88094295597845,2.6074594940736557,38183.58992380748,9.786967609269468,3.9555663396720595,0.0,0.0,35133195.557005666,22080607.5776134,17684314.351520155,-468331.88828452665,34051763.59457641,13578664.485731374,-1892281.9038627085,0.0,0.0,0.0,110121427.9677947,112859146.37791158,-42554780.377911374,179225222.99999985,249529589.0000001
1.0,0,2005,190,2522641888.0,2541057031.0,2410970010.0,2568753503.9999986,32116410.999998577,2609386512.7629337,40605284.32875269,70767074.60414761,0.908709006019361,9670224.811546005,60.67713397054524,3.0629169958820954,37264.37843132749,9.582088124551113,3.982687664464881,0.0,0.0,-27549757.626559503,-10186804.79281895,20407448.366327666,-864304.7027678129,49682301.625971146,13112801.43316237,-2821303.6160057653,0.0,0.0,0.0,41780380.68730917,41288206.70221423,-9171795.70221565,125667082.9999998,157783493.9999984
1.0,0,2006,190,2522641888.0,2541057031.0,2568753503.9999986,2599108817.0000005,30355313.00000269,2677736452.386447,68349939.62351266,70624705.90615213,0.8978368338450172,9915449.723039184,60.34114963146723,3.355692065332699,35771.54082711947,9.461948548410053,4.30155178767887,0.0,0.0,-6490610.801586238,7419708.016222805,27658367.609976765,-1044836.2934455237,31234849.757967323,21231804.209387522,-3147549.8955348604,-6565184.875021942,0.0,0.0,70296547.72796585,70642004.8418255,-40286691.84182282,0.0,30355313.00000269
1.0,0,2007,190,2522641888.0,2541057031.0,2599108817.0000005,2608864140.999998,9755323.999997467,2698556383.594247,20819931.207800917,71582714.3552377,0.9208602306105821,9964969.76569808,60.32386373342976,3.5310062793786834,36276.70610874326,9.294565235999123,4.4274885399032895,0.0,0.0,29379033.850896902,-18058303.085792657,7615215.694520099,-43068.97433120434,17838077.806499105,-7342669.021973077,-4181283.498323993,-2829410.987486294,0.0,0.0,22377591.78400889,22281887.364047945,-12526563.364050472,0.0,9755323.999997467
1.0,0,2008,190,2522641888.0,2541057031.0,2608864140.999998,2692308348.999999,83444208.00000104,2780144174.109274,81587790.51502673,71889164.49129106,0.9010416255067859,9988399.397412283,60.45500293018635,3.9554554445044965,36238.91881751508,9.4554621860263,4.508747727850302,0.0,0.0,14004152.05528313,13572589.919641946,5035298.328094312,415808.25386591,40895609.68772876,688561.4171482427,4139913.3356899666,-1716460.1024105658,0.0,0.0,77035472.8950417,78057406.3181623,5386801.6818387285,0.0,83444208.00000104
1.0,0,2009,190,2522641888.0,2541057031.0,2692308348.999999,2564111221.0,-128197127.99999961,2605939233.928208,-174204940.1810656,70967398.25016546,0.9931869137659665,9910892.792191492,60.960963369886066,2.9101362046971992,34545.635455789095,9.56712468936851,4.71934066604225,0.0,0.0,-18683075.24804065,-67394780.81862676,-4748802.93178368,1665682.7283744165,-108605568.23707998,27258086.3262575,2942912.7467910415,-4619348.327473736,0.0,0.0,-172184893.76158184,-169902826.64456037,41705698.644560754,0.0,-128197127.99999961
1.0,0,2010,190,2522641888.0,2541057031.0,2564111221.0,2477369489.000001,-86741731.99999885,2581866266.1478777,-24072967.78033051,67087317.041166835,1.011159790656542,9893600.100512411,63.98019728182189,3.3619635552803038,33716.16047501595,9.777768115309279,4.947970199525997,0.0,0.0,-81621462.873733,-11933772.46048631,555554.2025881568,9254293.07812722,49235414.544330455,12974264.867669748,5487010.339141506,-4777162.396690291,0.0,0.0,-20825860.699052528,-21561418.66571043,-65180313.33428842,0.0,-86741731.99999885
1.0,0,2011,190,2522641888.0,2541057031.0,2477369489.000001,2507911502.000001,30542012.999999788,2600387742.0705976,18521475.92271936,64589050.37874564,1.0324809727559339,9986664.09812566,63.55084603357472,4.092877324958459,33057.754898560874,10.06543443647519,4.895036823554085,0.12496612797067758,0.0,-54594897.52558523,-13185005.466967575,10059565.509863054,-1261924.350722786,67655523.71343043,10104935.896190105,7134360.128480608,1132686.3551322483,-6388885.75642351,0.0,20656358.503397364,18970262.835433856,11571750.164565928,0.0,30542012.999999788
1.0,0,2012,190,2522641888.0,2541057031.0,2507911502.000001,2541057030.9999995,33145528.99999903,2568700518.510266,-31687223.560332134,63654979.010832,1.0331937282706827,10106162.130560195,62.67015533598128,4.140214257275543,32885.7085785359,9.958940532822863,4.987356848646763,0.5049977494070688,0.0,-21107735.89798298,481697.08336333395,12709385.121258788,-2543357.057455069,3878988.24011613,3046224.2468485488,-2713504.56879668,-2107487.2455438413,-22271565.43940053,0.0,-30627355.51759229,-30595416.21953293,63740945.21953196,0.0,33145528.99999903
1.0,0,2013,190,2522641888.0,2541057031.0,2541057030.9999995,2538567550.000001,-2489480.9999990985,2518465137.475133,-50235381.03513242,64440490.50185641,1.0525608051525281,10218543.93976726,62.59056107944897,3.9654549378235004,33089.926406244245,9.695200702110121,4.990027977129983,1.3142978187952767,0.0,23366514.716334254,-11375649.4950572,11892718.44779302,-217767.0983732508,-15047706.72448503,-3023996.444549539,-6356803.204199,-30897.54649939049,-48685930.13736636,0.0,-49479517.48640249,-49506617.61191096,47017136.61191187,0.0,-2489480.9999990985
1.0,0,2014,190,2522641888.0,2541057031.0,2538567550.000001,2510923485.999999,-27644064.000002045,2454220172.154328,-64244965.32080527,64472290.6259952,1.0552857020000461,10358402.722098505,62.420941261014576,3.757632076906906,33372.44649362026,9.64365408837213,5.143028107483799,2.1833497858733715,0.0,4300832.174504129,-3226640.2995054103,14117028.766123187,-518821.23672594194,-18756643.34199392,-4400624.763206776,-1563934.5335597799,-3349607.468972177,-52113052.09600532,0.0,-65511462.79934201,-65175716.53731315,37531652.53731109,0.0,-27644064.000002045
1.0,0,2015,190,2522641888.0,2541057031.0,2510923485.999999,2445688117.000001,-65235368.99999772,2305054268.7450147,-149165903.40931314,65239258.51204985,1.0818127292498356,10472818.645738743,62.2169479368701,2.8576666928336514,34516.89053111851,9.510527451972603,5.284222653366168,3.1833497858733715,0.0,24659588.706788633,-18663232.49488054,12182929.847216787,-627417.6012111248,-90847020.30596985,-17004254.815229468,-3133693.9222950875,-2751464.946342405,-58890143.540398985,0.0,-155074709.07232204,-152802210.75637132,87566841.75637361,0.0,-65235368.99999772
1.0,0,2016,190,2522641888.0,2541057031.0,2445688117.000001,2323506883.0000005,-122181234.00000072,2210819269.9268794,-94234998.81813481,66113243.24680118,1.104717302622811,10554924.899873944,62.109875398680614,2.5185717610537024,35303.22951100643,9.381259123522486,5.715785148652855,4.183349785873372,0.0,23629084.007338062,-14828809.363900535,9184484.801205307,-319492.5709139028,-38212894.33556672,-10938653.603338186,-3163554.053679369,-8647628.06717317,-57360140.62882451,0.0,-100657603.81485301,-99603083.27729553,-22578150.722705197,0.0,-122181234.00000072
1.0,0,2017,190,2522641888.0,2541057031.0,2323506883.0000005,2230802096.9999995,-92704786.00000066,2208418007.4326954,-2401262.4941834696,66222639.767624594,1.0654314734435388,10662889.412182815,61.83586323449242,2.7392459466138064,36103.068578746366,9.23344619094028,5.884423667787759,5.183349785873371,0.0,12048456.128715482,22652424.1709026,10664113.808147563,-781179.4844198603,24740999.072867095,-10821272.288592726,-3300380.135693712,-3191593.955166346,-54494553.34656706,0.0,-2482986.0298069543,-3284311.9167161966,-89420474.08328447,0.0,-92704786.00000066
1.0,0,2018,190,2522641888.0,2541057031.0,2230802096.9999995,2176386603.0000005,-54415493.99999925,2204236478.1896057,-4181529.243090801,66335689.74926932,1.0328058269144271,10741812.06997656,62.05130165746771,3.04606558246051,36989.70148767346,9.096285973060793,6.1187931809606075,6.183349785873371,0.0,9273703.962533336,18608093.834882744,8255480.1750363,585183.4452888514,30375906.89997963,-10997466.281177945,-3015617.6873411983,-4289223.09739847,-52320294.28018705,0.0,-3524233.028383799,-4548335.676359262,-49867158.32364,0.0,-54415493.99999925
1.0,1,2002,150,1292016171.9999993,1615530131.0,0.0,1292016171.9999993,0.0,975963329.4700707,0.0,49814785.82760192,1.6449755572275602,8445944.209983494,46.77359186263105,1.9566243795576885,43672.133831359766,11.080959921196712,3.903983803230599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292016171.9999993,1292016171.9999993
1.0,1,2003,150,1292016171.9999993,1615530131.0,1292016171.9999993,1278422089.9999995,-13594081.99999951,1279155314.6869748,74513538.30823031,53476957.51965334,1.6347740643854307,8588747.439730044,48.233925770880376,2.234740756442172,42662.37787938272,10.99289217665458,3.903983803230599,0.0,0.0,55292516.33022114,1759706.7657841928,9146846.028169772,402146.9062063679,20174816.576377295,6247894.382703392,-1117349.8672951749,0.0,0.0,0.0,82648223.94623959,84198116.53714985,-94030254.53714973,0.0,-9832137.999999871
1.0,1,2004,160,1299712058.9999993,1626917221.0,1278422089.9999995,1357509238.0000007,71391261.00000082,1356630557.5640602,69586514.19649282,53624570.06095655,1.603999765257398,8759934.671476807,48.08247766266773,2.5567289224811294,41255.15616440346,10.884847513136755,3.898038989649783,0.0,0.0,20721003.60561556,10375303.504522555,10969510.74259575,-308441.78654076695,21382310.937836412,8488946.653920073,-1104427.5067555732,0.0,0.0,0.0,70524206.15119402,72799189.0357379,-1407928.035737087,7695887.0000000065,79087148.00000083
