RAIL_FLAG,CLUSTER_APTA4,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018_HINY,FARE_per_UPT_cleaned_2018_MIDLOW,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,TTI_CONG_PER_COMMUTER_RAIL,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_HINY_log_FAC,FARE_per_UPT_cleaned_2018_MIDLOW_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,TTI_CONG_PER_COMMUTER_RAIL_log_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
0,2.0,2012,1460,834611629.0000001,961216518.0,936058350.9999999,961216517.9999998,25158166.999999605,935156714.1907257,-4349200.98777567,11264859.97852807,0.0,0.992574394229256,2552570.2182420236,0.33060451780988964,4.025635842023475,28874.30950212684,8.25691541066462,4.125146976115281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08932640213667568,0.0,-4994569.22338558,0.0,42718.17715120551,4153611.52266414,-5613064.111391141,450196.85389768187,1821813.1043144662,240920.7405197173,13827.958261178468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-577708.0346372421,0.0,-4462253.012605571,-4515647.906933225,29673814.906932842,0.0,25158166.999999605
0,2.0,2013,1460,834611629.0000001,961216518.0,961216517.9999998,943429917.9999999,-17786599.999999646,929373298.4048088,-5783415.785917168,11263611.05969423,0.0,1.02084820166258,2586254.4538100096,0.32980914648163084,3.8688140678341774,29012.009098915678,8.061410663150488,4.209983574408115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14992332918955767,0.0,4394647.636380935,0.0,-8060161.78956915,7158992.032727117,-375551.0362876805,-4913710.106777652,-856110.7312053059,-1555254.0393934415,-403058.25477174245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-891462.5809398344,0.0,-5501668.869836747,-5483557.33971801,-12303042.660281632,0.0,-17786599.999999646
0,2.0,2014,1460,834611629.0000001,961216518.0,943429917.9999999,939315734.0,-4114183.9999997607,934007139.670643,4633841.265834516,11419119.683224887,0.0,1.0016930398073778,2619700.4193235864,0.3284601264596993,3.648912589689066,29100.59214070388,8.10393323624538,4.286909931253786,0.0,0.0,0.0,0.0,0.16161767259535742,0.0,0.0,0.0,0.0,0.27427024863560834,0.0,9868767.705140006,0.0,3607915.0723595656,5379605.619624491,-674917.6386268197,-6955048.836794588,-655975.6478862386,318374.73620153876,-505285.9290572006,0.0,0.0,0.0,0.0,-4207800.25887976,0.0,0.0,0.0,0.0,-1367430.3242886509,0.0,4808204.497792346,4719596.24203327,-8833780.242033035,0.0,-4114183.9999997607
0,2.0,2015,1460,834611629.0000001,961216518.0,939315734.0,913699509.0000002,-25616225.000000145,886580261.0446875,-47426878.62595522,11782498.880544942,0.0,1.0041721746130894,2653957.930823444,0.3292756080897387,2.6811130935646244,30303.426469331953,7.89858692563221,4.435976714625912,0.0,0.0,0.0,0.0,1.0007329349109753,0.0,0.0,0.0,0.0,0.4943164397245658,0.0,19463666.488106,0.0,-2008282.9399210692,5271236.892932424,402848.0914416465,-34904418.02458981,-7311163.207886195,-1754283.4368023307,-877769.6878367524,0.0,0.0,0.0,0.0,-22757047.62724152,0.0,0.0,0.0,0.0,-2982233.652379347,0.0,-47457447.10417695,-47426394.25167446,21810169.251674306,0.0,-25616225.000000145
0,2.0,2016,1460,834611629.0000001,961216518.0,913699509.0000002,871357915.0,-42341593.999999925,858306773.9750394,-28273487.06964823,12159503.951854233,0.0,1.0184609172565577,2686779.490681187,0.32603077162588595,2.375580169433513,31096.219490803018,7.7279764475579835,4.946688749888003,0.0,0.0,0.0,0.0,1.9321347378446365,0.0,0.0,0.0,0.0,0.6363086872349343,0.0,18690751.01790101,0.0,-3697524.5695357644,4910643.219019625,-1536229.4599861528,-12529277.515944758,-4479140.695926031,-1096319.8856146776,-2910702.172397686,0.0,0.0,0.0,0.0,-25131514.253275275,0.0,0.0,0.0,0.0,-1925505.5383011992,0.0,-29704819.854060907,-29802660.612450637,-12538933.387549313,0.0,-42341593.999999925
0,2.0,2017,1460,834611629.0000001,961216518.0,871357915.0,831552342.0000001,-39805573.00000009,845842231.9022915,-8951286.717338912,12281198.976827214,0.0,1.0133404202490515,2723302.8340536105,0.32283668878671495,2.5871111280765544,31229.15029256711,7.447846200594936,5.1713650493599825,0.0,0.0,0.0,0.0,2.8696980053701124,0.0,0.0,0.0,0.0,0.73091161422099,0.0,5732299.47077991,0.0,2896143.9015382645,4978943.486220983,-583699.095052482,8587919.210353343,-876837.8946150357,-2284217.8392406264,-1235907.0855923148,0.0,0.0,0.0,0.0,-24110059.048410278,0.0,0.0,0.0,0.0,-1389626.20687152,0.0,-8571238.006045194,-8957240.466551658,-30639678.533448424,0.0,-39596919.00000009
0,2.0,2018,1460,834611629.0000001,961216518.0,831552342.0000001,809531783.0000001,-22020558.999999903,836765365.5119275,-13453680.619160803,12605880.249967996,0.0,1.0085579264681765,2755043.820597202,0.3266516078332754,2.8661268903790953,31624.666409858393,7.199429888269627,5.46755028277949,0.0,0.0,0.0,0.0,3.8596753736341722,0.0,0.0,0.0,0.0,0.8247575867409823,0.41079761662415076,10606675.244752636,0.0,3896906.2239692756,4322163.220657279,814999.1758401301,9975725.844592998,-2083661.2703738266,-1853496.345517318,-1535315.3160130307,0.0,0.0,0.0,0.0,-24516316.306768313,0.0,0.0,0.0,0.0,-1329267.0455030263,-11051950.948149813,-13170189.411181137,-13594813.837856526,-8411638.16214338,0.0,-22006451.999999903
0,3.0,2002,1590,93361892.0,126415320.0,0.0,93361892.0,0.0,89811253.39499453,0.0,2436593.4779696306,0.0,0.9032781122438395,625427.9987299526,0.24101167174693017,1.9327110653241693,34213.9259747588,6.686646296435381,3.3043487636261704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03037252072826459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93361892.0,93361892.0
0,3.0,2003,1881,107017640.0,144172399.0,93361892.0,106709732.00000003,-307907.99999998417,106629517.69244598,4423572.232462923,2233198.8911159504,0.0,0.858391245666022,606473.7860828445,0.23853130071381315,2.175428902625773,33123.494929623936,6.827657074011349,3.1964995583905607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026496902753602117,0.0,396614.0693739784,0.0,793889.6831016,1203167.9014114363,-179564.14057153137,1233851.1697257783,678323.2980077213,123938.57119854869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4314143.829893311,4506358.191298489,-4813665.191298475,13655748.0,13348441.000000017
0,3.0,2004,2467,151968379.0,195328644.0,106709732.00000003,152484264.0,823792.9999999804,156552788.01810402,6389424.4508597385,2306245.577937355,0.0,0.8526077429221257,611693.8400438278,0.24408513500852574,2.4979813251360663,30558.561992459043,7.066984276182877,3.1096136229761324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018659381765202616,0.0,1744711.9594879195,0.0,274257.84713894944,1591597.329333123,-13890.418683884205,1670111.7686688285,1039520.6226568387,102524.21382038428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400358.308997941,6609861.887994162,-5789075.887994181,44950739.0,45771524.999999985
