,ID,Year,RAIL_FLAG,CLUSTER_APTA,UPT_ADJ_2012,UPT_ADJ_log,VRM_ADJ_log,FARE_per_UPT_cleaned_2018_log,POP_EMP_log,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,estimated_effects,residual,PREDICT,EXP_PREDICT,fitted,check_fitted,UPT_ADJ,fitted_exp,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,VRM_ADJ_ratio,FARE_per_UPT_cleaned_2018_ratio,POP_EMP_ratio,GAS_PRICE_2018_ratio,TOTAL_MED_INC_INDIV_2018_ratio,PCT_HH_NO_VEH_diff,JTW_HOME_PCT_diff,VRM_ADJ_log_FAC_ratio,FARE_per_UPT_cleaned_2018_log_FAC_ratio,POP_EMP_log_FAC_ratio,GAS_PRICE_2018_log_FAC_ratio,TOTAL_MED_INC_INDIV_2018_log_FAC_ratio,PCT_HH_NO_VEH_FAC_ratio,JTW_HOME_PCT_FAC_ratio,UPT_ADJ_base,UPT_ADJ_ratio,fitted_exp_ratio,UPT_ADJ_diff,fitted_exp_diff,UPT_ADJ_first_year,UPT_ADJ_new_reporter,effects_FAC_ratio,residual_FAC_ratio,FAC_Sum,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,CLUSTER_APTA4,DIFF,PCT_DIFF,estimated_effects2
0,"Akron, OH Metro Area-Bus",2003,0,24,5996224.0,15.501150519869483,15.19593019664448,0.46290398838890867,13.823451180111006,1.1389541679514876,10.446266881676316,8.2,3.1,0,0,0,0,0,0,0,0,0,0,3.1935976289784227,-0.014969627020197385,12.322522517911258,224699.23812321827,15.51612014688968,-1.7763568394002505e-15,5395902.000000001,5477284.266697897,3976568.9999999967,0.5886808032899999,1007971.2324999995,2.1235000000000004,34414.656879999995,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5395902.000000001,5395902.000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5395902.000000001,5395902.000000001,2.0,81382.26669789571,0.01508223587046164,3.1935976289784227
1,"Akron, OH Metro Area-Bus",2004,0,24,5996224.0,15.591676240288203,15.277699187717081,0.4142036710538668,13.839439464371155,1.2336966414921573,10.403979542747855,7.79,3.1,0,0,0,0,0,0,0,0,0,0,3.19359762897842,-0.030826586203644993,12.428905197513426,249921.26225608046,15.622502826491846,-1.7763568394002505e-15,5907161.999999994,6092095.458413085,4315393.000000003,0.51316528347,1024216.4999999993,2.4339,32989.6525,1.0053809796448432,0.8947939128704886,1.0011566058324968,1.0831837454101183,0.9959519185746024,-0.40999999999999925,0.0,1.0546256319358431,1.0228350353182658,1.004579772854251,1.0206051484638359,1.0062321350545165,0.9994409176758624,1.0,5395902.000000001,1.0947496822588685,1.1122474499732038,511259.9999999935,614811.1917151883,5395902.000000001,0.0,0.9999999999999973,0.9842681004991721,584476.773241845,294754.55661387986,123215.61274390112,24712.005503798304,111183.36180630895,33627.99000493556,-3016.7534309786934,0.0,605676.2398053104,-94416.2398053169,0.0,511259.9999999935,2.0,184933.45841309056,0.031306650877881925,3.19359762897842
2,"Akron, OH Metro Area-Bus",2005,0,24,5996224.0,15.609547764511376,15.214970866375863,0.46080355301854314,13.857195463269905,1.3616173734074501,10.365663122316796,7.47,3.1,0,0,0,0,0,0,0,0,0,0,3.1935976289784214,0.011644763207665061,12.40430537232529,243848.2224092119,15.59790300130371,-1.7763568394002505e-15,6013680.999999997,5944059.248237458,4053011.0,0.5853473839799999,1042564.92,2.9025000000000003,31749.479999999996,0.9958941251185486,1.1125047536302886,1.0012829998602517,1.103688968270654,0.9963171380457233,-0.3200000000000003,0.0,0.9600201237830581,0.9786272800192922,1.0050874127891185,1.0279208815810235,1.0056452687321642,0.9995636162819632,1.0,5907161.999999994,1.0180321785656128,0.9757002806035826,106519.0000000028,-148036.2101756269,5395902.000000001,0.0,1.0000000000000013,1.0433861623176577,-136664.6550541609,-236167.6055534226,-126252.11930667759,30052.171506194823,164933.17068192156,33347.5169344285,-2577.789316605587,0.0,-143542.37902917963,250061.37902918243,0.0,106519.0000000028,2.0,-69621.75176253915,-0.011577227286006554,3.1935976289784214
3,"Akron, OH Metro Area-Bus",2006,0,24,5996224.0,15.619000620622101,15.200500819115321,0.4624195402656345,13.879496423290751,1.4291143583028187,10.305856204902874,6.85,2.5,0,0,0,0,0,0,0,0,0,0,3.1935976289784214,-0.0012953892025105163,12.42669838084619,249370.33776048533,15.620296009824612,0.0,6070796.999999997,6078666.141880144,3994785.999999997,0.58791135625,1066076.33,3.175,29906.249999999978,0.9990489599101028,1.0035068897288348,1.0016093415207974,1.0495711836626007,0.9942302854426013,-0.6200000000000001,-0.6000000000000001,0.990632250450657,0.999251083968359,1.0063937809204906,1.014636527885457,1.0088254639073844,0.999154679497678,1.0037160511552674,6013680.999999997,1.0094976770467206,1.0226456177539953,57116.0,134606.8936426863,5395902.000000001,0.0,1.0,0.9871432113944941,135968.35190250064,-56334.657477642846,-4503.742110074614,38450.15883971674,88019.40965074288,53073.5246160231,-5083.487843724265,22347.146227459652,136183.52122046426,-79067.52122046426,0.0,57116.0,2.0,7869.141880147159,0.0012962287950243046,3.1935976289784214
4,"Akron, OH Metro Area-Bus",2007,0,24,5996224.0,15.58515171075647,15.335336405458683,0.4954104497959457,13.881340825687872,1.4843734312795258,10.32592678168161,7.48,2.9,0,0,0,0,0,0,0,0,0,0,3.1935976289784214,-0.11541255451970873,12.506966636297754,270212.2216930059,15.70056426527618,0.0,5868745.999999997,6586707.186906665,4571428.000000002,0.64117171943,1068044.4200000004,3.4122000000000012,30512.569999999985,1.0088704699896336,1.0713441078016723,1.0001328868383168,1.0386666557897657,1.0019474924139915,0.6300000000000008,0.3999999999999999,1.0916633131660594,0.9848212814340375,1.0005272536919858,1.0119669629660963,0.9970556027094178,1.0008596872741602,0.9975302789951658,6070796.999999997,0.9667175496067485,1.0835777180665136,-202051.0,508041.04502652027,5395902.000000001,0.0,1.0,0.8921534203200755,512523.2742691699,556469.3665785734,-92146.91913408962,3200.8501315463614,72649.00287368873,-17874.83823847428,5218.986924909871,-14993.174866984587,507383.3601050363,-709434.3601050363,0.0,-202051.0,2.0,717961.1869066674,0.12233638785980305,3.1935976289784214
5,"Akron, OH Metro Area-Bus",2008,0,24,5996224.0,15.630405330244448,15.169629032763586,0.4821471542238629,13.879020969528272,1.5642522442567808,10.29784755996769,6.76,3.0,0,0,0,0,0,0,0,0,0,0,3.1935976289784227,0.012416716897189567,12.424390984368838,248795.6025401901,15.617988613347261,1.7763568394002505e-15,6140428.999999996,6064656.415941862,3873344.0,0.61954809111,1065569.5800000003,3.7790999999999997,29667.690000000006,0.9891944090228035,0.9732276628852988,0.9998328795331278,1.0538131519292957,0.997280706874299,-0.7200000000000006,0.10000000000000009,0.8978226140976371,1.006168012703465,0.9993372242909556,1.0173446536092583,1.0041338802718205,0.9990184044179194,0.9993819970933985,5868745.999999997,1.046293194491634,0.9207417672972381,271682.99999999907,-522050.77096480224,5395902.000000001,0.0,1.0000000000000013,1.1363589771766123,-450679.8646465045,-599653.1248049485,36198.49988140879,-3889.662291351385,101791.36649072015,24260.693309725397,-5760.73514595291,-3626.9020861060567,-465146.4361414028,736829.4361414019,0.0,271682.99999999907,2.0,-75772.58405813389,-0.012339949547195144,3.1935976289784227
6,"Akron, OH Metro Area-Bus",2009,0,24,5996224.0,15.531262431382714,15.048489098997845,0.496753538880262,13.860814012525106,1.315362110251888,10.277892585389473,8.32,3.2,0,0,0,0,0,0,0,0,0,0,3.1935976289784187,0.053800008797201315,12.28386479360709,216178.5937196661,15.47746242258551,-1.7763568394002505e-15,5560853.999999997,5269585.332134427,3431434.0000000005,0.6433774401600001,1046344.3300000007,2.7261,29081.52000000001,0.9920143113912607,1.0302944537335532,0.9986881670513259,0.8408887473751733,0.9980622188800122,1.5600000000000005,0.20000000000000018,0.9242300160577688,0.9932511314142047,0.9948101185392288,0.9478301587701661,1.0029360582460962,1.0021301003827678,0.9987643761143895,6140428.999999996,0.9056132722974243,0.8689008858412042,-579574.9999999991,-795071.0838074358,5395902.000000001,0.0,0.999999999999996,1.042251515558967,-835393.3331281843,-465260.2067284106,-41440.948381406204,-31868.098628281517,-320345.2060130677,18028.657200018344,13079.730163258744,-7587.260740295348,-805004.80245498,225429.8024549809,0.0,-579574.9999999991,2.0,-291268.66786557063,-0.05237840588254444,3.1935976289784187
7,"Akron, OH Metro Area-Bus",2010,0,24,5996224.0,15.541231537219314,15.060082355947621,0.5098150333815028,13.850870703707582,1.434369984351454,10.249973767207049,8.04,2.9,0,0,0,0,0,0,0,0,0,0,3.1935976289784236,0.03393168050177674,12.313702227739114,222726.03174018566,15.507299856717538,0.0,5616568.000000001,5429185.455854581,3471447.0000000005,0.66498320015,1035991.7500000008,3.197,28280.800000000014,1.000770393417805,1.0262937120300801,0.9992826316832085,1.0904753703729357,0.9972836047905276,-0.28000000000000114,-0.30000000000000027,1.007569225171307,0.9939627873660478,0.9971623195475897,1.025950480156227,1.0041102168721587,0.9996181538308316,1.0018563026478735,5560853.999999997,1.0100189647129747,1.0302870365808288,55714.000000003725,159600.12372015417,5395902.000000001,0.0,1.0000000000000049,0.9803277462343318,168101.75587241244,42091.35607076371,-33572.05802436351,-15779.926694507534,144306.831378675,22856.315934411374,-2123.390797204578,10322.628004637989,168421.78851864787,-112707.78851864414,0.0,55714.000000003725,2.0,-187382.5441454202,-0.03336246336649359,3.1935976289784236
8,"Akron, OH Metro Area-Bus",2011,0,24,5996224.0,15.583481647326964,15.181095705963214,0.5044518928372189,13.849324449797944,1.6001145849732161,10.229703082804564,8.13,3.3,0,0,0,0,0,0,0,0,0,0,3.1935976289784214,-0.04088358286081411,12.430767601209357,250387.15210382536,15.624365230187781,1.7763568394002505e-15,5858953.000000005,6103451.97329832,3918013.999999997,0.65607756368,1034391.0800000002,3.9536,27713.280000000006,1.0080353710660688,0.9894802228394263,0.9998883641366153,1.1155521953401049,0.9980223671920666,0.09000000000000163,0.3999999999999999,1.081892657493847,1.0024895284084256,0.9995581912218596,1.0363249502539693,1.002982579147803,1.0001227672430966,0.9975302789951658,5616568.000000001,1.0431553575065777,1.124192942555801,242385.00000000373,674266.5174437389,5395902.000000001,0.0,0.9999999999999978,0.9279148903724114,679048.4224647321,459955.6795149013,13982.605593854412,-2481.4490454223214,204021.55319803595,16751.858599018098,689.5305690243964,-13871.355964679753,697538.1069847505,-455153.10698474676,0.0,242385.00000000373,2.0,244498.97329831496,0.04173083028628404,3.1935976289784214
9,"Akron, OH Metro Area-Bus",2012,0,24,5996224.0,15.606640662517258,15.166952052983406,0.722966293184792,13.85068326204996,1.5963324092556201,10.235153973990212,8.54,3.0,0,0,0,0,0,0,0,0,0,0,3.1935976289784223,0.09159457040302829,12.321448463135809,224458.0273194136,15.515046092114229,0.0,5996224.000000001,5471404.520450697,3862989.000000002,1.0605363091899997,1035797.5799999993,3.9349,27864.759999999977,0.9990683378028997,1.4331719306643285,1.0000981139734968,0.9976363094536387,1.0005328494034993,0.40999999999999837,-0.2999999999999998,0.9908425840197219,0.9036558880145148,1.0003884125626912,0.999186121577489,0.9991994834146398,1.0005593950720346,1.0018563026478735,5858953.000000005,1.0234292714073652,0.896444265374294,137270.99999999627,-632047.4528476223,5395902.000000001,0.0,1.0000000000000009,1.1416540744013917,-611158.0079015791,-53652.869829898256,-564475.6239496949,2275.690949417156,-4768.47542520619,-4690.189049345775,3277.4694354824474,10875.989967666448,-606728.1820524845,743999.1820524808,0.0,137270.99999999627,2.0,-524819.4795493037,-0.0875249956554831,3.1935976289784223
