,CBSA,MNAME,Mode,Year,Mecha_Failures,Other_Failures,Total_Failures,MDBF_Exclude,MDBF_Notes
100,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2017,46,458,504,0,
101,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Bus,2018,71,424,495,0,
102,11020,"Altoona, PA Metro Area",Bus,2002,147,62,209,0,
103,11020,"Altoona, PA Metro Area",Bus,2003,172,62,234,0,
104,11020,"Altoona, PA Metro Area",Bus,2004,176,77,253,0,
105,11020,"Altoona, PA Metro Area",Bus,2005,168,98,266,0,
106,11020,"Altoona, PA Metro Area",Bus,2006,127,103,230,0,
107,11020,"Altoona, PA Metro Area",Bus,2007,110,71,181,0,
108,11020,"Altoona, PA Metro Area",Bus,2008,71,77,148,0,
109,11020,"Altoona, PA Metro Area",Bus,2009,80,94,174,0,
110,11020,"Altoona, PA Metro Area",Bus,2010,66,67,133,0,
111,11020,"Altoona, PA Metro Area",Bus,2011,45,80,125,0,
112,11020,"Altoona, PA Metro Area",Bus,2012,40,78,118,0,
113,11020,"Altoona, PA Metro Area",Bus,2013,54,36,90,0,
114,11020,"Altoona, PA Metro Area",Bus,2014,43,41,84,0,
115,11020,"Altoona, PA Metro Area",Bus,2015,47,32,79,0,
116,11020,"Altoona, PA Metro Area",Bus,2016,23,30,53,0,
117,11020,"Altoona, PA Metro Area",Bus,2017,40,36,76,0,
118,11020,"Altoona, PA Metro Area",Bus,2018,63,47,110,0,
119,11180,"Ames, IA Metro Area",Bus,2002,26,145,171,0,
120,11180,"Ames, IA Metro Area",Bus,2003,38,170,208,0,
121,11180,"Ames, IA Metro Area",Bus,2004,35,145,180,0,
122,11180,"Ames, IA Metro Area",Bus,2005,49,157,206,0,
123,11180,"Ames, IA Metro Area",Bus,2006,41,163,204,0,
124,11180,"Ames, IA Metro Area",Bus,2007,38,185,223,0,
125,11180,"Ames, IA Metro Area",Bus,2008,70,189,259,0,
126,11180,"Ames, IA Metro Area",Bus,2009,84,177,261,0,
127,11180,"Ames, IA Metro Area",Bus,2010,75,278,353,0,
128,11180,"Ames, IA Metro Area",Bus,2011,84,266,350,0,
129,11180,"Ames, IA Metro Area",Bus,2012,41,159,200,0,
130,11180,"Ames, IA Metro Area",Bus,2013,44,126,170,0,
131,11180,"Ames, IA Metro Area",Bus,2014,34,152,186,0,
132,11180,"Ames, IA Metro Area",Bus,2015,50,156,206,0,
133,11180,"Ames, IA Metro Area",Bus,2016,43,174,217,0,
134,11180,"Ames, IA Metro Area",Bus,2017,44,234,278,0,
135,11180,"Ames, IA Metro Area",Bus,2018,35,237,272,0,
136,11260,"Anchorage, AK Metro Area",Bus,2002,48,29,77,0,
137,11260,"Anchorage, AK Metro Area",Bus,2003,84,39,123,0,
138,11260,"Anchorage, AK Metro Area",Bus,2004,103,64,167,0,
139,11260,"Anchorage, AK Metro Area",Bus,2005,165,59,224,0,
140,11260,"Anchorage, AK Metro Area",Bus,2006,94,68,162,0,
141,11260,"Anchorage, AK Metro Area",Bus,2007,283,341,624,0,
142,11260,"Anchorage, AK Metro Area",Bus,2008,94,86,180,0,
143,11260,"Anchorage, AK Metro Area",Bus,2009,98,90,188,0,
144,11260,"Anchorage, AK Metro Area",Bus,2010,99,104,203,0,
145,11260,"Anchorage, AK Metro Area",Bus,2011,65,128,193,0,
146,11260,"Anchorage, AK Metro Area",Bus,2012,150,467,617,0,
147,11260,"Anchorage, AK Metro Area",Bus,2013,67,557,624,0,
148,11260,"Anchorage, AK Metro Area",Bus,2014,277,318,595,0,
149,11260,"Anchorage, AK Metro Area",Bus,2015,465,271,736,0,
150,11260,"Anchorage, AK Metro Area",Bus,2016,518,312,830,0,
151,11260,"Anchorage, AK Metro Area",Bus,2017,371,363,734,0,
152,11260,"Anchorage, AK Metro Area",Bus,2018,170,523,693,0,
153,11460,"Ann Arbor, MI Metro Area",Bus,2002,663,241,904,0,
155,11460,"Ann Arbor, MI Metro Area",Bus,2003,587,407,994,0,
157,11460,"Ann Arbor, MI Metro Area",Bus,2004,465,356,821,0,
159,11460,"Ann Arbor, MI Metro Area",Bus,2005,457,360,817,0,
161,11460,"Ann Arbor, MI Metro Area",Bus,2006,405,452,857,0,
163,11460,"Ann Arbor, MI Metro Area",Bus,2007,450,326,776,0,
165,11460,"Ann Arbor, MI Metro Area",Bus,2008,314,356,670,0,
167,11460,"Ann Arbor, MI Metro Area",Bus,2009,285,371,656,0,
169,11460,"Ann Arbor, MI Metro Area",Bus,2010,324,402,726,0,
171,11460,"Ann Arbor, MI Metro Area",Bus,2011,297,369,666,0,
173,11460,"Ann Arbor, MI Metro Area",Bus,2012,275,370,645,0,
175,11460,"Ann Arbor, MI Metro Area",Bus,2013,323,462,785,0,
177,11460,"Ann Arbor, MI Metro Area",Bus,2014,269,389,658,0,
179,11460,"Ann Arbor, MI Metro Area",Bus,2015,248,389,637,0,
181,11460,"Ann Arbor, MI Metro Area",Bus,2016,171,297,468,0,
183,11460,"Ann Arbor, MI Metro Area",Bus,2017,205,341,546,0,
185,11460,"Ann Arbor, MI Metro Area",Bus,2018,174,311,485,0,
204,11540,"Appleton, WI Metro Area",Bus,2002,4,24,28,0,
206,11540,"Appleton, WI Metro Area",Bus,2003,29,101,130,0,
208,11540,"Appleton, WI Metro Area",Bus,2004,35,129,164,0,
210,11540,"Appleton, WI Metro Area",Bus,2005,33,101,134,0,
212,11540,"Appleton, WI Metro Area",Bus,2006,21,48,69,0,
214,11540,"Appleton, WI Metro Area",Bus,2007,29,78,107,0,
216,11540,"Appleton, WI Metro Area",Bus,2008,39,106,145,0,
218,11540,"Appleton, WI Metro Area",Bus,2009,33,81,114,0,
220,11540,"Appleton, WI Metro Area",Bus,2010,36,158,194,0,
222,11540,"Appleton, WI Metro Area",Bus,2011,33,162,195,0,
224,11540,"Appleton, WI Metro Area",Bus,2012,29,149,178,0,
226,11540,"Appleton, WI Metro Area",Bus,2013,26,148,174,0,
228,11540,"Appleton, WI Metro Area",Bus,2014,44,155,199,0,
230,11540,"Appleton, WI Metro Area",Bus,2015,29,93,122,0,
232,11540,"Appleton, WI Metro Area",Bus,2016,38,127,165,0,
234,11540,"Appleton, WI Metro Area",Bus,2017,44,138,182,0,
236,11540,"Appleton, WI Metro Area",Bus,2018,35,157,192,0,
238,11700,"Asheville, NC Metro Area",Bus,2002,11,38,49,0,
239,11700,"Asheville, NC Metro Area",Bus,2003,2,57,59,0,
240,11700,"Asheville, NC Metro Area",Bus,2004,3,70,73,0,
241,11700,"Asheville, NC Metro Area",Bus,2005,8,100,108,0,
242,11700,"Asheville, NC Metro Area",Bus,2006,6,96,102,0,
243,11700,"Asheville, NC Metro Area",Bus,2007,18,105,123,0,
244,11700,"Asheville, NC Metro Area",Bus,2008,38,71,109,0,
245,11700,"Asheville, NC Metro Area",Bus,2009,44,284,328,0,
246,11700,"Asheville, NC Metro Area",Bus,2010,82,527,609,0,
247,11700,"Asheville, NC Metro Area",Bus,2011,76,490,566,0,
248,11700,"Asheville, NC Metro Area",Bus,2012,63,460,523,0,
249,11700,"Asheville, NC Metro Area",Bus,2013,57,413,470,0,
250,11700,"Asheville, NC Metro Area",Bus,2014,59,428,487,0,
251,11700,"Asheville, NC Metro Area",Bus,2015,26,349,375,0,
252,11700,"Asheville, NC Metro Area",Bus,2016,22,347,369,0,
253,11700,"Asheville, NC Metro Area",Bus,2017,9,255,264,0,
254,11700,"Asheville, NC Metro Area",Bus,2018,10,366,376,0,
255,12020,"Athens-Clarke County, GA Metro Area",Bus,2002,51,21,72,0,
256,12020,"Athens-Clarke County, GA Metro Area",Bus,2003,67,87,154,0,
257,12020,"Athens-Clarke County, GA Metro Area",Bus,2004,102,3,105,0,
258,12020,"Athens-Clarke County, GA Metro Area",Bus,2005,110,84,194,0,
