CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749582.0,2203565452.0,0.0,2217749582.0,0.0,2037392237.3475237,0.0,69431799.63651021,0.9102786428414076,9573567.143826585,1.9989229721545723,39381.469965213546,9.917688029711911,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,2217749582.0
1.0,0,2003,170,2217749582.0,2203565452.0,2217749582.0,2150502598.9999995,-67246983.00000018,2086907161.3137527,49514923.966228895,69475683.83844686,0.9168707344014717,9715711.202587085,2.3077092528229817,38481.401179128,9.826644160485746,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2127883.5120029636,-2957396.359128983,11902578.423973557,38728524.67884816,9861190.663327359,-1796087.7597899607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53610926.13522717,54581038.68627695,-121828021.68627712,0.0,-67246983.00000018
1.0,0,2004,180,2396974805.0,2389867700.0,2150502598.9999995,2410970010.0,81242188.0000003,2382305033.8530684,115117813.67102557,71765534.23904203,0.8811162918022641,9734314.782684496,2.6074594940736557,38183.58992380748,9.786967609269468,3.9555663396720595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33146244.37377405,19791583.28237932,14131966.91234002,34969286.21405284,13452054.347672839,-1713089.738545847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113778045.39167322,116630831.35542703,-35388643.355426736,179225222.99999985,260467411.00000015
1.0,0,2005,190,2522641888.0,2541057031.0,2410970010.0,2568753503.9999986,32116410.999998577,2588689452.268482,40743009.16676594,70767074.60414761,0.908709006019361,9670224.811546005,3.0629169958820954,37264.37843132749,9.582088124551113,3.982687664464881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26118646.08396316,-9212924.218182435,16308186.884034393,51024304.89346053,12990580.689631904,-2553953.1280641584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42437549.036917046,42000894.39222852,-9884483.392229933,125667082.9999998,157783493.9999984
1.0,0,2006,190,2522641888.0,2541057031.0,2568753503.9999986,2599108817.0000005,30355313.00000269,2655204991.5049987,66515539.236516654,70624705.90615213,0.8978368338450172,9915449.723039184,3.355692065332699,35771.54082711947,9.461948548410053,4.30155178767887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6173286.524715869,6645053.558393603,22097828.071777165,32074856.860085487,21033593.98842203,-2849825.498176832,-4126164.072945953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68702056.38283962,69103834.57428253,-38748521.574279845,0.0,30355313.00000269
1.0,0,2007,190,2522641888.0,2541057031.0,2599108817.0000005,2608864140.999998,9755323.999997467,2676941584.9997673,21736593.494767934,71582714.3552377,0.9208602306105821,9964969.76569808,3.5310062793786834,36276.70610874326,9.294565235999123,4.4274885399032895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27744932.70681207,-16304924.960311742,6087527.957671237,18316595.99722714,-7274586.143388446,-3786007.831290277,-1777819.4863362503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23005718.240383726,22939889.29235339,-13184565.292355923,0.0,9755323.999997467
1.0,0,2008,190,2522641888.0,2541057031.0,2608864140.999998,2692308348.999999,83444208.00000104,2755510282.5764637,78568697.57669652,71889164.49129106,0.9010416255067859,9988399.397412283,3.9554554445044965,36238.91881751508,9.4554621860263,4.508747727850302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13212786.599570688,12196968.863575667,4025302.599641881,41997448.17510097,682015.9446205122,3745548.944298864,-1078907.8742089728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74781163.2525996,75672180.24420115,7772027.755799895,0.0,83444208.00000104
1.0,0,2009,190,2522641888.0,2541057031.0,2692308348.999999,2564111221.0,-128197127.99999961,2587729245.728338,-167781036.84812567,70967398.25016546,0.9931869137659665,9910892.792191492,2.9101362046971992,34545.635455789095,9.56712468936851,4.71934066604225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17704472.703704752,-60849360.305588536,-3801895.274225788,-111447033.24375245,27003383.443017244,2662232.9305454185,-2901706.261314504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167038851.4150234,-165020081.78366464,36822953.78366501,0.0,-128197127.99999961
1.0,0,2010,190,2522641888.0,2541057031.0,2564111221.0,2477369489.000001,-86741731.99999885,2562997851.2966375,-24731394.431700855,67087317.041166835,1.011159790656542,9893600.100512411,3.3619635552803038,33716.16047501595,9.777768115309279,4.947970199525997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77331718.04730797,-10802084.296755519,440143.5842802995,50564269.98162069,12853323.135835538,4964019.759562965,-3000659.426886131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22312705.30965013,-23335842.59284786,-63405889.407151,0.0,-86741731.99999885
1.0,0,2011,190,2522641888.0,2541057031.0,2477369489.000001,2507911502.000001,30542012.999999788,2587208057.0191016,24210205.72246463,64589050.37874564,1.0324809727559339,9986664.09812566,4.092877324958459,33057.754898560874,10.06543443647519,4.895036823554085,0.0,0.12496612797067758,0.0,0.0,0.0,0.0,0.0,-51694441.86126824,-11903979.431238024,8042804.230872486,69488990.96103306,10010749.15107463,6455170.618770713,709961.1458488097,0.0,-5045689.303036215,0.0,0.0,0.0,0.0,0.0,26063565.512057234,24504928.934767358,6037084.06523243,0.0,30542012.999999788
