CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749581.3899984,0.0,2217749581.3899984,0.0,2037600177.7244315,0.0,69431799.7197327,0.9102786428940713,9573567.147229096,1.9989229721513273,39381.46996217698,9.917688031220283,3.943894077151392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749581.3899984,2217749581.3899984
1.0,0,2003,170,2217749581.3899984,2217749581.3899984,2150502599.5,-67246981.8899984,2086980794.1790416,49380616.45461027,69475683.98892178,0.9168707344627459,9715711.205998616,2.3077092528111955,38481.401176415784,9.826644161827897,3.943894077151392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2125555.4075679937,-2954883.8026455096,11964403.135489237,38453318.70155743,9890899.392351802,-1772399.7698366486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53455782.24934831,54424395.70416761,-121671377.59416604,0.0,-67246981.8899984
1.0,0,2004,180,2396974804.189998,2150502599.5,2410970009.3499994,81242187.04999955,2382179656.1334987,114926172.25290427,71765534.36699252,0.8811162918246909,9734314.785986489,2.6074594940671103,38183.5899208982,9.786967610316058,3.9555663395189544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33085260.036763333,19770579.03348693,14205380.773658335,34721017.181004465,13492611.523558952,-1690498.3837819558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113584350.16469009,116430073.24321152,-35187886.19321197,179225222.7999998,260467409.84999937
1.0,0,2005,190,2522641887.5899982,2410970009.3499994,2568753504.359998,32116411.60999866,2588386473.887325,40595777.767715454,70767074.62729827,0.908709006100634,9670224.813841425,3.062916995899679,37264.378429144956,9.582088125114511,3.9826876644101383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26074499.917624816,-9203907.23248332,16392903.924561892,50661160.07664925,13029731.894475425,-2520250.097909705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42285138.64766873,41853250.43919802,-9736838.829199374,125667083.39999999,157783495.00999865
1.0,0,2006,190,2522641887.5899982,2568753504.359998,2599108816.4200006,30355312.06000215,2655059951.225694,66673477.33836961,70624705.95700414,0.8978368338860935,9915449.72534454,3.3556920653529003,35771.54082544715,9.461948548694796,4.301551787507873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6163458.2320791865,6637950.566748626,22212720.236815352,31847570.76380457,21097086.39933869,-2812285.381420807,-3974386.554074201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68845197.79913303,69252465.8209736,-38897153.76097145,0.0,30355312.06000215
1.0,0,2007,190,2522641887.5899982,2599108816.4200006,2608864140.5399995,9755324.11999913,2676758615.9414206,21698664.715726465,71582714.22176692,0.920860230658136,9964969.767975949,3.5310062794088344,36276.70610707583,9.294565236313069,4.427488539822927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27694722.68669477,-16288719.636891365,6119109.871751824,18187126.461172026,-7296395.9838959575,-3736164.048724877,-1712397.3099294398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22967282.040176973,22903055.648293782,-13147731.528294656,0.0,9755324.11999913
1.0,0,2008,190,2522641887.5899982,2608864140.5399995,2692308348.7999997,83444208.25999999,2754989437.5181036,78230821.5766826,71889164.48625225,0.9010416255843359,9988399.399665158,3.955455444520034,36238.9188156954,9.45546218646883,4.5087477275865275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13188500.468617568,12184314.946849756,4046182.9563325676,41699306.24658185,684112.4063164946,3695864.9057113873,-1039228.6532207048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74459053.27718891,75346835.15206026,8097373.107939744,0.0,83444208.25999999
1.0,0,2009,190,2522641887.5899982,2692308348.7999997,2564111221.5099993,-128197127.29000041,2588227934.3535976,-166761503.16450617,70967398.2597386,0.9931869138790398,9910892.794405615,2.910136204717093,34545.63545432737,9.567124689695598,4.719340665911408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17674299.006480575,-60788867.239376165,-3821499.7717937157,-110678600.62946968,27084971.592609316,2626876.5016295845,-2794878.5974852587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166046297.15036654,-164056997.41450965,35859870.12450926,0.0,-128197127.29000041
1.0,0,2010,190,2522641887.5899982,2564111221.5099993,2477369488.950001,-86741732.55999815,2563371011.1328554,-24856923.220742185,67087317.12761723,1.0111597907645298,9893600.102716183,3.361963555301827,33716.16047364013,9.777768115564363,4.947970199308635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77199480.00983404,-10791596.79944821,442509.45515219844,50204688.53385781,12892064.60796456,4898135.23613821,-2890177.968669123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22443856.944838606,-23459357.58505633,-63282374.974941835,0.0,-86741732.55999815
1.0,0,2011,190,2522641887.5899982,2477369488.950001,2507911504.070001,30542015.120000165,2587114221.2025733,23743210.069718357,64589050.40171328,1.0324809728937592,9986664.100329852,4.092877324962317,33057.75489723392,10.06543443684577,4.895036823332479,0.0,0.12496612787206522,0.0,0.0,0.0,0.0,0.0,-51605093.6631525,-11892140.276362475,8084503.30015294,68992825.60590634,10040920.172438506,6369596.590080222,683730.8228038499,0.0,-5079912.08696506,0.0,0.0,0.0,0.0,0.0,25594430.464901812,24046349.721196298,6495665.39880387,0.0,30542015.120000165
