CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749582.0,2203565452.0,0.0,2217749582.0,0.0,2043205414.9073768,0.0,69431799.63651021,0.9102786428414076,9573567.143826585,1.9989229721545723,39381.469965213546,9.917688029711911,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749582.0,2217749582.0
1.0,0,2003,170,2217749582.0,2203565452.0,2217749582.0,2150502598.9999995,-67246983.00000018,2091811202.5675182,48605787.66014171,69475683.83844686,0.9168707344014717,9715711.202587085,2.3077092528229817,38481.401179128,9.826644160485746,3.943894077307056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2200972.5066656074,-3288688.7971730903,15796138.554176584,34372930.725189984,9460335.50783777,-1806486.8669872617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52333256.61637837,53437175.95286974,-120684158.95286992,0.0,-67246983.00000018
1.0,0,2004,180,2396974805.0,2389867700.0,2150502598.9999995,2410970010.0,81242188.0000003,2393052613.011677,120455503.85614194,71765534.23904203,0.8811162918022641,9734314.782684496,2.6074594940736557,38183.58992380748,9.786967609269468,3.9555663396720595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35137852.645294696,22654391.488674663,18755563.80166703,31039640.017189458,12904840.77247585,-1723007.399391637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118769281.32591005,122011533.4021893,-40769345.40218903,179225222.99999985,260467411.00000015
1.0,0,2005,190,2522641888.0,2541057031.0,2410970010.0,2568753503.9999986,32116410.999998577,2596642624.498286,37144914.061223455,70767074.60414761,0.908709006019361,9670224.811546005,3.0629169958820954,37264.37843132749,9.582088124551113,3.982687664464881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27553095.370007396,-10428228.929426074,21643616.005614657,45277875.60211429,12462328.389256883,-2568749.0362370475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38833746.66131529,38396575.24517535,-6280164.245176777,125667082.9999998,157783493.9999984
1.0,0,2006,190,2522641888.0,2541057031.0,2568753503.9999986,2599108817.0000005,30355313.00000269,2666889741.9898863,70247117.49160029,70624705.90615213,0.8978368338450172,9915449.723039184,3.355692065332699,35771.54082711947,9.461948548410053,4.30155178767887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6491348.123238711,7614063.612537271,29335666.541585717,28476608.925893802,20176974.338717703,-2866305.352485659,-3992601.6340361713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72253058.30897395,72691139.3577091,-42335826.35770643,0.0,30355313.00000269
1.0,0,2007,190,2522641888.0,2541057031.0,2599108817.0000005,2608864140.999998,9755323.999997467,2687992851.804165,21103109.81427854,71582714.3552377,0.9208602306105821,9964969.76569808,3.5310062793786834,36276.70610874326,9.294565235999123,4.4274885399032895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29382860.218495786,-18493932.216088742,8075707.696576789,16266377.285242056,-6980247.35507766,-3807888.6670563594,-1720248.6310350962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22722628.33105678,22663356.76015423,-12908032.760156762,0.0,9755323.999997467
1.0,0,2008,190,2522641888.0,2541057031.0,2608864140.999998,2692308348.999999,83444208.00000104,2766173385.80957,78180534.00540498,71889164.49129106,0.9010416255067859,9988399.397412283,3.9554554445044965,36238.91881751508,9.4554621860263,4.508747727850302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14006006.755560433,13916370.417059472,5339728.5705284085,37278364.376933,653753.0793609213,3767362.8229016527,-1043990.6546359586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73917595.36770792,74923951.69983794,8520256.300163107,0.0,83444208.00000104
1.0,0,2009,190,2522641888.0,2541057031.0,2692308348.999999,2564111221.0,-128197127.99999961,2598923262.289911,-167250123.51965877,70967398.25016546,0.9931869137659665,9910892.792191492,2.9101362046971992,34545.635455789095,9.56712468936851,4.71934066604225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18685358.703902096,-69021060.87283686,-5033667.768386025,-99246726.65312913,25902665.951811407,2677756.59920282,-2807698.804702114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166214090.25194198,-163959022.01369748,35761894.013697885,0.0,-128197127.99999961
1.0,0,2010,190,2522641888.0,2541057031.0,2564111221.0,2477369489.000001,-86741731.99999885,2562029946.903349,-36893315.38656236,67087317.041166835,1.011159790656542,9893600.100512411,3.3619635552803038,33716.16047501595,9.777768115309279,4.947970199525997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81631474.82684211,-12214003.444456294,590729.7533513126,44873743.826986924,12330601.532014558,4992946.813259911,-2903436.615160645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33960892.96084633,-34762829.25655274,-51978902.7434461,0.0,-86741731.99999885
1.0,0,2011,190,2522641888.0,2541057031.0,2477369489.000001,2507911502.000001,30542012.999999788,2575001183.1674113,12971236.264062569,64589050.37874564,1.0324809727559339,9986664.09812566,4.092877324958459,33057.754898560874,10.06543443647519,4.895036823554085,0.0,0.12496612797067758,0.0,0.0,0.0,0.0,0.0,-54601671.237284504,-13503294.503067799,10667352.861431412,61640322.7597171,9603663.383013807,6492741.627178548,686878.3045166956,0.0,-5648693.7085437635,0.0,0.0,0.0,0.0,0.0,15337299.486961514,13796490.030355815,16745522.969643973,0.0,30542012.999999788
