,ID,Year,RAIL_FLAG,CLUSTER_APTA,UPT_ADJ_2012,UPT_ADJ_log,VRM_ADJ_log,FARE_per_UPT_cleaned_2018_log,POP_EMP_log,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS_NY,YEARS_SINCE_TNC_BUS_HI,YEARS_SINCE_TNC_BUS_MID,YEARS_SINCE_TNC_BUS_LOW,YEARS_SINCE_TNC_RAIL_NY,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,estimated_effects,residual,fitted,check_fitted,UPT_ADJ,fitted_exp,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,VRM_ADJ_ratio,FARE_per_UPT_cleaned_2018_ratio,POP_EMP_ratio,GAS_PRICE_2018_ratio,TOTAL_MED_INC_INDIV_2018_ratio,PCT_HH_NO_VEH_diff,JTW_HOME_PCT_diff,YEARS_SINCE_TNC_BUS_NY_diff,YEARS_SINCE_TNC_BUS_HI_diff,YEARS_SINCE_TNC_BUS_MID_diff,YEARS_SINCE_TNC_BUS_LOW_diff,YEARS_SINCE_TNC_RAIL_NY_diff,YEARS_SINCE_TNC_RAIL_HI_diff,YEARS_SINCE_TNC_RAIL_MID_diff,VRM_ADJ_log_FAC_ratio,FARE_per_UPT_cleaned_2018_log_FAC_ratio,POP_EMP_log_FAC_ratio,GAS_PRICE_2018_log_FAC_ratio,TOTAL_MED_INC_INDIV_2018_log_FAC_ratio,PCT_HH_NO_VEH_FAC_ratio,JTW_HOME_PCT_FAC_ratio,YEARS_SINCE_TNC_BUS_NY_FAC_ratio,YEARS_SINCE_TNC_BUS_HI_FAC_ratio,YEARS_SINCE_TNC_BUS_MID_FAC_ratio,YEARS_SINCE_TNC_BUS_LOW_FAC_ratio,YEARS_SINCE_TNC_RAIL_NY_FAC_ratio,YEARS_SINCE_TNC_RAIL_HI_FAC_ratio,YEARS_SINCE_TNC_RAIL_MID_FAC_ratio,UPT_ADJ_base,UPT_ADJ_ratio,fitted_exp_ratio,UPT_ADJ_diff,fitted_exp_diff,UPT_ADJ_first_year,UPT_ADJ_new_reporter,effects_FAC_ratio,residual_FAC_ratio,FAC_Sum,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_NY_FAC,YEARS_SINCE_TNC_BUS_HI_FAC,YEARS_SINCE_TNC_BUS_MID_FAC,YEARS_SINCE_TNC_BUS_LOW_FAC,YEARS_SINCE_TNC_RAIL_NY_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,CLUSTER_APTA4
0,"Akron, OH Metro Area-Bus",2012,0,24,5996224.0,15.606640662517258,15.166952052983406,0.722966293184792,13.85068326204996,1.5963324092556201,10.235153973990212,8.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.397770915018187,0.013547467162798497,15.59309319535446,0.0,5996224.000000001,5915538.117429622,3862989.000000002,1.0605363091899997,1035797.5799999993,3.9349,27864.759999999977,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5996224.000000001,5996224.000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5996224.000000001,5996224.000000001,2.0
1,"Akron, OH Metro Area-Bus",2013,0,24,5996224.0,15.60327522525226,15.242641393499586,0.7389895746257368,13.851960609453858,1.5689491957039656,10.236288773502844,8.07,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.397770915018188,-0.01412861885643988,15.6174038441087,1.7763568394002505e-15,5976078.000000004,6061111.027560673,4166726.0,1.09381879764,1037121.4999999998,3.8015999999999996,27896.39999999998,1.0049904120651116,1.0221632482620449,1.0000922226997564,0.9828461707643814,1.0001108727348427,-0.46999999999999886,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0412055201386696,0.9920996275063976,1.0001497711856608,0.9962006128619632,0.999959168965743,0.9995470155107496,0.9960219144953162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5996224.000000001,0.9966402189111019,1.024608565990325,-20145.999999997206,145572.91013105027,5996224.000000001,0.0,1.0000000000000009,0.9727033880051155,151006.69059761098,247077.52878797418,-47372.40315507872,898.0615779679896,-22781.976342387858,-244.83202755667602,-2716.1964660707035,-23853.491777237206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147558.47399677066,-167704.47399676786,0.0,-20145.999999997206,2.0
2,"Akron, OH Metro Area-Bus",2014,0,24,5996224.0,15.604068741875366,15.28114137742234,0.7434184901869276,13.85629790868444,1.5176734391762705,10.22891473073712,8.14,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.397770915018185,-0.027786868601655648,15.631855610477023,1.7763568394002505e-15,5980822.000000004,6149340.804993791,4330273.0,1.1031127100800004,1041629.5799999996,3.5616000000000003,27691.44,1.0025258078917458,1.0059932043878073,1.0003131180742473,0.9673184086087068,0.9992796175519382,0.07000000000000028,-0.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0207515794055553,0.9978100270784922,1.0005086470510316,0.9928973462850804,1.0002653648374624,1.0000674833369836,1.002394473664578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5976078.000000004,1.0007938316735492,1.0145567004187723,4744.0,88229.77743311785,5996224.000000001,0.0,0.9999999999999973,0.9864346009411782,87817.99803917015,124013.05715079204,-13087.448996818492,3039.7144514348033,-42446.012607349214,1585.8409671327622,403.28568551420085,14309.561388464044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86991.97712521614,-82247.97712521614,0.0,4744.0,2.0
3,"Akron, OH Metro Area-Bus",2015,0,24,5996224.0,15.582682892372315,15.333203946082216,0.7063306338395245,13.85957497335196,1.2652560327428346,10.259819837774073,8.38,3.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.397770915018188,-0.02060370663176997,15.603286599004084,0.0,5854274.999999997,5976145.970825976,4561690.000000004,1.0265414763000003,1045048.6699999993,2.5440000000000005,28560.639999999996,1.0034069816759106,0.950111738089703,1.0002365036237757,0.8336813441431528,1.0030213476063188,0.2400000000000002,-0.10000000000000009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.028163957677814,1.0185285640632782,1.0003842865308492,0.965519186401149,0.9988886037928933,1.0002313904012092,1.0007975216782798,1.0,1.0,0.9608719554925638,1.0,1.0,1.0,1.0,5980822.000000004,0.978841202764435,0.971835219471465,-126547.00000000652,-173194.8341678148,5996224.000000001,0.0,1.0000000000000027,1.0072090227614967,-159176.79023945754,168443.6176865396,110816.04357806363,2298.3493380066316,-206223.6085499075,-6647.062886180024,1383.904802140993,4769.835198933019,0.0,0.0,-234017.86940705392,0.0,0.0,0.0,0.0,-168448.53901023383,41901.53901022731,0.0,-126547.00000000652,2.0
4,"Akron, OH Metro Area-Bus",2016,0,24,5996224.0,15.520430635412396,15.296124153518813,0.6995170649757269,13.858550171748274,1.180960030016863,10.25419371870895,8.22,4.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.3977709150181905,-0.005973667733421076,15.526404303145817,0.0,5500945.000000003,5533904.169174742,4395641.000000002,1.0127804305499999,1043978.2499999995,2.2574999999999994,28400.400000000016,0.9975817322528422,0.9903535702157501,0.999926058222878,0.9333763281545208,0.9994516356861931,-0.16000000000000014,1.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9804128245748278,1.0033785050907005,0.9998798564600327,0.9883501494937739,1.0002024570874835,0.999845769471698,0.9912690955621951,1.0,1.0,0.9608719554925638,1.0,1.0,1.0,1.0,5854274.999999997,0.939645814383507,0.9259988287083104,-353329.9999999944,-442241.8016512338,5996224.000000001,0.0,1.0000000000000027,1.0147375817293471,-443691.9122137673,-114668.71141219986,19778.697889860538,-703.3533224417989,-68201.42857233697,1185.239465827198,-902.9079260751361,-51113.11557763018,0.0,0.0,-229066.33275877114,0.0,0.0,0.0,0.0,-433223.2070636559,79893.20706366148,0.0,-353329.9999999944,2.0
5,"Akron, OH Metro Area-Bus",2017,0,24,5996224.0,15.5131997950018,15.306357033073395,0.6938473612861995,13.861458037913705,1.240748222488552,10.312591365853002,7.79,4.8,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.397770915018186,0.017090657665574188,15.496109137336227,1.7763568394002505e-15,5461312.000000001,5368767.643669178,4440852.000000002,1.0014008518199997,1047018.4200000005,2.4582,30108.360000000004,1.000668985126682,0.9918948314867428,1.0002098247023963,1.0506267705527979,1.0056950013571038,-0.4300000000000006,0.5999999999999996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0054740249653304,1.002810523830127,1.0003409849142604,1.008345972093405,0.9979009670407402,0.9995855593922895,0.9952281984322311,1.0,1.0,0.9608719554925638,1.0,1.0,1.0,1.0,5500945.000000003,0.9927952379091226,0.9701591280843971,-39633.00000000186,-165136.52550556418,5996224.000000001,0.0,0.9999999999999956,1.0233323636927119,-161957.79862886755,30112.31026290972,15460.537010718153,1875.7392591760574,45910.7334573554,-11546.66486207562,-2279.8149887817813,-26249.417975210545,0.0,0.0,-215241.22079295892,0.0,0.0,0.0,0.0,-164152.9951597764,124519.99515977452,0.0,-39633.00000000186,2.0
6,"Akron, OH Metro Area-Bus",2018,0,24,5996224.0,15.506986785522134,15.305573317996483,0.6727058330354226,13.864611540491342,1.3137236682850553,10.354483550892281,7.44,5.525,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.397770915018189,0.037854736994916455,15.469132048527218,0.0,5427485.999999996,5225870.042016722,4437372.999999999,0.959532321,1050325.4100000004,2.72,31396.49999999998,0.9999487980663708,0.9695300012216139,1.000227501505903,1.058815676278091,1.004062236498383,-0.34999999999999964,0.7250000000000005,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9995819864500409,1.0105203019972644,1.000369794285472,1.0101961671755861,0.9984937888964363,0.9996626516143389,0.9942369427492994,1.0,1.0,0.9608719554925638,1.0,1.0,1.0,1.0,5461312.000000001,0.9938062502197266,0.9733835376874692,-33826.00000000466,-142897.60165245552,5996224.000000001,0.0,1.0000000000000027,1.0209811526638568,-142356.80504260774,-2282.902416554086,57454.651541284,2019.5619687791284,55684.450150034674,-8225.888774425943,-1842.3647867917534,-31473.85371993813,0.0,0.0,-213690.45900499562,0.0,0.0,0.0,0.0,-145360.80502497216,111534.8050249675,0.0,-33826.00000000466,2.0
7,"Albany, GA Metro Area-Bus",2012,0,34,1017648.0,13.833005622924423,13.168280847908996,0.4449945168856894,12.29025946220245,1.5985387315650998,9.989561114915071,9.61,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.526008295919614,0.21151733228822497,13.621488290636199,0.0,1017648.0000000003,823638.563811998,523493.0,0.5604816395100001,217565.41999999993,3.9458,21796.730000000007,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1017648.0000000003,1017648.0000000003,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017648.0000000003,1017648.0000000003,3.0
8,"Albany, GA Metro Area-Bus",2013,0,34,1017648.0,13.832383407453648,13.202663282768935,0.4506054744390289,12.291845076175978,1.5711959201772325,10.001472334220102,11.23,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.526008295919615,0.21614774672480086,13.616235660728847,0.0,1017015.0,819323.6322961907,541805.0000000003,0.56926204596,217910.66999999987,3.8124000000000002,22057.919999999995,1.002611004067809,1.0126090487420114,1.000129013873011,0.9828951211203394,1.0011923666283242,1.620000000000001,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.018511801905872,0.9972263521454945,1.000185919332319,0.9962062079653957,0.9995715074604014,1.0015629246289959,0.9818313880003465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1017648.0000000003,0.9993779774538933,0.9947611346707265,-633.0000000003492,-4314.931515807286,1017648.0000000003,0.0,1.0000000000000009,1.004641151371259,-4990.44256298252,18838.49818590693,-2822.5971918418263,189.2004366958065,-3860.7448764309797,-436.05457593748315,1590.5071228483962,-18489.251664223364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5331.320824604555,4698.320824604206,0.0,-633.0000000003492,3.0
9,"Albany, GA Metro Area-Bus",2014,0,34,1017648.0,13.691188061567917,13.285588757307245,0.4966632567006165,12.271566194858112,1.529225190308926,10.048115030277737,10.98,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.526008295919614,0.06284617932148022,13.628341882246435,-1.7763568394002505e-15,883093.9999999998,829302.8411665567,588650.0000000005,0.6432290791600002,213536.17000000013,3.6145999999999994,23111.17999999999,1.0062809656477825,1.1022130996498127,0.9983502166524072,0.9732873988983041,1.004663582970484,-0.25,-0.09999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0452327326528366,0.9774586998311406,0.9976252683855249,0.9941825097080426,0.998323130096447,0.9997590252530594,1.0007975216782798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1017015.0,0.8683195429762587,1.0121798132959974,-133921.00000000023,9979.208870365983,1017648.0000000003,0.0,0.9999999999999991,0.8578709768759549,13606.52937793561,46002.367598924575,-22924.840391232497,-2415.1376728953946,-5916.474889275095,-1705.4018449619339,-245.07493225982012,811.091509635776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12387.052819228773,-146308.052819229,0.0,-133921.00000000023,3.0
