RAIL_FLAG,Year,CLUSTER_APTA,CLUSTER_APTA4,UPT_ADJ_first_year,UPT_ADJ_2012,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ_BUS,VRM_ADJ_RAIL,FARE_per_UPT_cleaned_2018_BUS,FARE_per_UPT_cleaned_2018_RAIL,POP_EMP,TSD_POP_EMP_PCT,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,RESTRUCTURE,YEARS_SINCE_TNC_BUS_HINY,YEARS_SINCE_TNC_BUS_MIDLOW,YEARS_SINCE_TNC_RAIL_HINY,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC
0,2002,2953,270,4205001438,4154102849,0,4205001438,0,4106897814,0,111396434.3,0,0.932215596,0,12800221.56,0.564602576,1.981749167,39535.9618,15.72377828,3.696638529,0,0,0,0,0,0,0.008483844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4205001438,4205001438,0,0,0,0
0,2003,3383,309,4283147623,4249724984,4205001438,4155787045,-127360578,4290774465,-38750586.86,103536316.7,0,0.973305139,0,12768014.01,0.558774869,2.268771845,38502.75483,15.39657817,3.701158953,0,0,0,0,0,0,0.008329056,0,-47757251.29,0,-58467851.61,0,16256215.29,-5105243.323,55975189.61,7336926.727,-1270900.757,0,0,0,0,0,0,0,0,0,-33277920.19,-32347099.44,-99983853.56,78146185,-54184768,0,0,0,0
0,2004,4091,374,4534898779,4516674109,4155787045,4484482459,76944258,4765751046,140367457.2,104556852.5,0,0.962171117,0,12612867.09,0.554790841,2.578904617,37586.75568,14.92097438,3.71206541,0,0,0,0,0,0,0.007866675,0,45646954.81,0,12233397.75,0,20429262.58,-5088449.65,55385820.29,9985251.308,-1232429.223,0,0,0,0,0,0,0,0,0,129655193.8,131423493.1,-65795764.15,251751156,317378885,0,0,0,0
0,2005,4700,430,4711000054,4730237755,4484482459,4793515324,132931590,5135264336,118672754.7,104850861.7,0,0.965889056,0,12522997.59,0.547519177,3.037836474,36477.76121,14.5057029,3.730261794,0,0,0,0,0,0,0.007572612,0,3540884.949,0,-1541584.301,0,22371184.53,-3839175.186,77857967.13,9528890.368,-1298129.083,0,0,0,0,0,0,0,0,0,106562603.1,107389534.4,25463859.58,176101275,308954669,0,0,0,0
0,2006,5342,489,4753215416,4779814968,4793515324,4895708313,59977627,5263216006,80348711.89,103422100,0,0.969168752,0,12708430.69,0.545689976,3.334688935,34787.419,14.25578986,3.992519413,0,0,0,0,0,0,0.007505356,0,-2890149.4,0,-6085218.359,0,28600671.05,1685466.292,49085876.23,15599785.9,-1775281.105,-9650867.478,0,0,0,0,0,0,0,0,74631579.07,74940099.1,-14925735.1,42215362,102229726,0,0,0,0
0,2007,5655,518,4774087233,4810890998,4895708313,4878516364,-38063766,5304626587,16943373.84,104499666.4,0,0.991507338,0,12702877.76,0.54007346,3.495610992,35252.81953,14.18188253,4.068405212,0,0,0,0,0,0,0.007472544,0,33598711.85,0,-32378841.59,0,7969723.83,-8927554.871,25871819.06,-4914293.035,-460199.9272,-3268712.423,0,0,0,0,0,0,0,0,17433044.09,17054858.05,-55196777.05,20871817,-17270102,0,0,0,0
0,2008,5687,521,4778102832,4815750887,4878516364,5059317251,176785288,5434379556,124725665.1,105780321.3,0,0.982724188,0,12767511.55,0.540780329,3.926040479,35217.09884,14.29501759,4.145635446,0,0,0,0,0,0,0.044975968,0,26854046.25,0,14210544.59,0,6280965.582,2099166.19,64326746.15,444147.3031,1186748.068,-2671613.547,0,0,0,0,0,0,-1952077.413,0,110757058.9,111938854.9,64870679.06,4015599,180825133,0,0,0,0
0,2009,5787,530,4791351173,4830738910,5059317251,4823146435,-249419157,5132143188,-314902891.1,105016763.1,0,1.067080151,0,12633101.91,0.544284459,2.869915834,33639.52763,14.40175416,4.341449575,0,0,0,0,0,0,0.044851607,0,-17490876.46,0,-126010041.5,0,-5894318.845,8807529.764,-172063172.4,16787377.03,1243672.058,-7584073.287,0,0,0,0,0,0,0,0,-302129419.3,-297153635.1,47771465.1,13248341,-236133829,0,0,0,0
0,2010,5875,538,4795430232,4836034809,4823146435,4707869474,-119356020,5081795893,-55125382.66,96134139.96,0,1.08493904,0,12571909.33,0.547259392,3.321938069,33039.10174,14.63715918,4.482277852,0,0,0,0,0,0,0.075422786,0,-111307854.4,0,-19844358.45,0,1149889.575,6149178.644,77107563.25,6117235.815,2408321.326,-5108575.992,0,0,0,0,0,0,-1710054.244,0,-45067587.75,-45672399.8,-73655641.2,4079059,-115248982,0,0,0,0
0,2011,5940,544,4796703246,4837281840,4707869474,4761989126,52846638,5113821386,31302358.64,93274343.94,0,1.110764887,0,12653484.36,0.543186619,4.066699408,32312.84419,14.93188853,4.465051326,0,0.000462235,0.065721137,0,0,0,0.099207759,0,-54517978.23,0,-27395868.71,0,8635162.47,-7712160.291,108555345.5,7222532.032,2754990.975,425033.5037,0,115179.4263,-5235238.177,0,0,0,-1299015.663,0,31475653.94,29846445.5,22917671.5,1273014,54037131,0.065721137,0,-5235238.177,0
0,2012,6039,553,4802912574,4843491168,4761989126,4843491168,75292714,5073468155,-47460666.19,92492861.62,0,1.099690355,0,12761526.08,0.536435477,4.105266325,32103.69822,14.91833153,4.554976779,0,0.000923274,0.515299088,0,0,0,0.125578592,0,-18113438.17,0,10524521.71,0,11526033.12,-11772514.92,4933054.718,2437648.801,-139172.3903,-3255809.564,0,111408.0572,-37931055.89,0,0,0,-1170966.882,0,-42803502.09,-42917926.98,118178755,6209328,81470156,0.515299088,0,-37931055.89,0
0,2013,6039,553,4802912574,4843491168,4843491168,4819210487,-24280681,4914728824,-158739331,93922320.88,0,1.183367477,0,13054187.77,0.536465644,3.936749783,32170.15081,14.35114622,4.591724212,0,0.000923274,1.190427398,0,0,0,0.386166907,0,27455485.72,0,-87137986.21,0,18324449.34,-25603.73645,-23060064.78,-805509.9018,-4888025.104,-1082313.045,0,0,-59740907.79,0,0,0,-11781932.7,0,-142691201.7,-141278688,117061400,0,-24217288,1.190427398,0,-59740907.79,0
0,2014,6039,553,4802912574,4843491168,4819210487,4776669044,-42541443,4828840071,-85888752.59,93962428.01,0,1.179938205,0,13206866.24,0.536337181,3.731123913,32321.22566,14.40440983,4.693920946,0,0.000923274,1.896939298,0.028084623,0,0,0.548568834,0,12333848.7,0,1366067.97,0,13406719.7,-500156.0364,-29421846.13,-1818525.793,325772.9806,-4146596.908,0,0,-62527099.39,-4689347.184,0,0,-8857220.382,0,-84528343.07,-84006507.86,41517422.86,0,-42489085,1.925023921,0,-67216446.58,0
0,2015,6039,553,4802912574,4843491168,4776669044,4650594789,-126074255,4565721637,-263118434.1,94620441.99,0,1.210259359,0,13340139.98,0.537486399,2.77692344,33324.66763,14.2820406,4.770179655,0,0.012354155,2.672229255,0.203877662,0,0,0.721972178,0,33356222.24,0,-37751418.14,0,12109591.87,1923054.094,-152739035.4,-10503681.79,-1189477.367,-2835366.35,0,2156551.157,-67877456.66,-31013120.16,0,0,-9007065.577,0,-263261598.6,-259724841.1,133718986.1,0,-126005855,2.876106917,0,-98890576.82,0
0,2016,6039,553,4802912574,4843491168,4650594789,4469415222,-181179567,4391078966,-174642670.9,94983623.1,0,1.229239374,0,13404061.83,0.537010963,2.461796293,34177.48448,14.10318535,5.21416051,0,0.022101099,3.447519212,0.406529482,0,0,0.886809785,0,28533653.8,0,-25149898.58,0,8599744.346,-1013625.073,-57230181.89,-7985413.249,-1545949.303,-15964426.19,0,1596379.687,-66169813.62,-35632951.97,0,0,-8137430.335,0,-180059305,-178024321.4,-3062033.649,0,-181086355,3.854048694,0,-101802765.6,0
0,2017,6039,553,4802912574,4843491168,4469415222,4271812331,-197602891,4355125001,-31573669.17,94770263.79,0,1.218929995,0,13525043.95,0.536046218,2.69214338,34792.12889,14.00493344,5.35714907,0,0.032237423,4.222809169,0.614609349,0,0,0.914720049,0,10898535.07,0,17885712.52,0,10643943.56,-1152659.931,41308281.8,-5608870.497,-966515.9944,-5111841.146,0,2202640.823,-63858652.58,-34980232.4,0,0,-1643358.431,0,-30690897.02,-31792657.11,-165496745.9,0,-197289403,4.837418518,0,-98838884.97,0
0,2018,6039,553,4802912574,4843491168,4271812331,4185195780,-86616551,4275216399,-84975516.69,94818705.41,0,1.198331834,0,13607118.03,0.536934256,2.971673819,35557.79397,13.88848438,5.575385704,0,0.02287986,4.998099126,0.836869716,0,0,0.947952758,0.356237326,14175696.38,0,26813543.87,0,8249567.193,966543.5098,44699463.8,-6420328.289,-1038056.788,-7370054.697,0,-1025219.123,-60989347.77,-36088277.62,0,0,-1711876.381,-62741477.78,-82777838.81,-84267285.19,-2239464.811,0,-86506750,5.834968841,0,-97077625.39,0
