,ID,Year,RAIL_FLAG,CLUSTER_APTA,UPT_ADJ_2012,UPT_ADJ_log,VRM_ADJ_log,FARE_per_UPT_cleaned_2018_log,POP_EMP_log,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,JTW_HOME_PCT,MAINTENANCE_WMATA,YEARS_SINCE_TNC_BUS_HINY,YEARS_SINCE_TNC_BUS_MIDLOW,YEARS_SINCE_TNC_RAIL_HINY,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag,estimated_effects,residual,fitted,check_fitted,UPT_ADJ,fitted_exp,VRM_ADJ,FARE_per_UPT_cleaned_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,VRM_ADJ_ratio,FARE_per_UPT_cleaned_2018_ratio,POP_EMP_ratio,GAS_PRICE_2018_ratio,TOTAL_MED_INC_INDIV_2018_ratio,PCT_HH_NO_VEH_diff,JTW_HOME_PCT_diff,MAINTENANCE_WMATA_diff,YEARS_SINCE_TNC_BUS_HINY_diff,YEARS_SINCE_TNC_BUS_MIDLOW_diff,YEARS_SINCE_TNC_RAIL_HINY_diff,YEARS_SINCE_TNC_RAIL_MID_diff,BIKE_SHARE_diff,scooter_flag_diff,VRM_ADJ_log_FAC_ratio,FARE_per_UPT_cleaned_2018_log_FAC_ratio,POP_EMP_log_FAC_ratio,GAS_PRICE_2018_log_FAC_ratio,TOTAL_MED_INC_INDIV_2018_log_FAC_ratio,PCT_HH_NO_VEH_FAC_ratio,JTW_HOME_PCT_FAC_ratio,MAINTENANCE_WMATA_FAC_ratio,YEARS_SINCE_TNC_BUS_HINY_FAC_ratio,YEARS_SINCE_TNC_BUS_MIDLOW_FAC_ratio,YEARS_SINCE_TNC_RAIL_HINY_FAC_ratio,YEARS_SINCE_TNC_RAIL_MID_FAC_ratio,BIKE_SHARE_FAC_ratio,scooter_flag_FAC_ratio,UPT_ADJ_base,UPT_ADJ_ratio,fitted_exp_ratio,UPT_ADJ_diff,fitted_exp_diff,UPT_ADJ_first_year,UPT_ADJ_new_reporter,effects_FAC_ratio,residual_FAC_ratio,FAC_Sum,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,MAINTENANCE_WMATA_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,CLUSTER_APTA4
0,"Akron, OH Metro Area-Bus",2003,0,24,5996224.0,15.501150519869483,15.19593019664448,0.46290398838890867,13.823451180111006,1.1389541679514876,10.446266881676316,8.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9428221797272247,-0.07003367486327883,15.571184194732762,0.0,5395902.000000001,5787343.997524331,3976568.9999999967,0.5886808032899999,1007971.2324999995,2.1235000000000004,34414.656879999995,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5395902.000000001,5395902.000000001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5395902.000000001,5395902.000000001,2.0
1,"Akron, OH Metro Area-Bus",2004,0,24,5996224.0,15.591676240288203,15.277699187717081,0.4142036710538668,13.839439464371155,1.2336966414921573,10.403979542747855,7.79,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9428221797272287,-0.056358041586845695,15.64803428187505,1.7763568394002505e-15,5907161.999999994,6249638.136433615,4315393.000000003,0.51316528347,1024216.4999999993,2.4339,32989.6525,1.0053809796448432,0.8947939128704886,1.0011566058324968,1.0831837454101183,0.9959519185746024,-0.40999999999999925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.051602444521163,1.0173996873546145,1.004965787447024,1.010466567000791,1.0047168018625077,0.9892714851537343,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5395902.000000001,1.0947496822588685,1.0798801901367951,511259.9999999935,462294.138909284,5395902.000000001,0.0,1.000000000000004,1.0137695724867863,423161.5995099591,278441.7335966321,93887.0077961391,26794.902416971254,56476.56981270255,25451.40060350886,-57890.014715994745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431025.6777195133,80234.32228048018,0.0,511259.9999999935,2.0
2,"Akron, OH Metro Area-Bus",2005,0,24,5996224.0,15.609547764511376,15.214970866375863,0.46080355301854314,13.857195463269905,1.3616173734074501,10.365663122316796,7.47,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942822179727226,0.0012135876796580194,15.608334176831722,3.552713678800501e-15,6013680.999999997,6006387.2962851,4053011.0,0.5853473839799999,1042564.92,2.9025000000000003,31749.479999999996,0.9958941251185486,1.1125047536302886,1.0012829998602517,1.103688968270654,0.9963171380457233,-0.3200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9621366498857671,0.9836294235758093,1.005516332100599,1.0141577379296403,1.0042729339691365,0.9916166218056429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5907161.999999994,1.0180321785656128,0.9610776120411786,106519.0000000028,-243250.84014851507,5395902.000000001,0.0,0.9999999999999973,1.059261142036034,-228431.7310209409,-223664.94298749213,-96703.64697107514,32585.867364039135,83632.05150392953,25240.913170992444,-49521.97310133473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-229920.85109960721,336439.85109961,0.0,106519.00000000276,2.0
3,"Akron, OH Metro Area-Bus",2006,0,24,5996224.0,15.619000620622101,15.200500819115321,0.4624195402656345,13.879496423290751,1.4291143583028187,10.305856204902874,6.85,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942822179727225,0.01170479231735428,15.607295828304746,0.0,6070796.999999997,6000153.808671612,3994785.999999997,0.58791135625,1066076.33,3.175,29906.249999999978,0.9990489599101028,1.0035068897288348,1.0016093415207974,1.0495711836626007,0.9942302854426013,-0.6200000000000001,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9911356282497008,0.999427768040147,1.0069332193431297,1.0074454808008682,1.0066774775967287,0.9838210453724234,1.0037738300905787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6013680.999999997,1.0094976770467206,0.9989621901975346,57116.0,-6233.487613487989,5395902.000000001,0.0,0.9999999999999991,1.01054643028396,-4724.0501550192785,-53307.50397171098,-3441.2204645608012,41694.169432611765,44774.74642804558,40156.22015137275,-97295.07204371925,22694.610312941666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6241.057090699761,63357.05709069976,0.0,57116.0,2.0
4,"Akron, OH Metro Area-Bus",2007,0,24,5996224.0,15.58515171075647,15.335336405458683,0.4954104497959457,13.881340825687872,1.4843734312795258,10.32592678168161,7.48,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942822179727225,-0.11190136724247843,15.697053077998948,0.0,5868745.999999997,6563620.575348829,4571428.000000002,0.64117171943,1068044.4200000004,3.4122000000000012,30512.569999999985,1.0088704699896336,1.0713441078016723,1.0001328868383168,1.0386666557897657,1.0019474924139915,0.6300000000000008,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0865078575173506,0.9883823651280883,1.0005715970145275,1.0060914346692864,0.99776904915748,1.016712464325414,0.9974919989306815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6070796.999999997,0.9667175496067485,1.0939087204502786,-202051.0,563466.7666772166,5395902.000000001,0.0,1.0,0.8837278201077667,567782.014962061,525171.641892759,-70528.30292749689,3470.049441002317,36979.863315999915,-13543.649681917928,101457.97828933001,-15225.565367615398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570100.77838339,-772151.77838339,0.0,-202051.0,2.0
5,"Akron, OH Metro Area-Bus",2008,0,24,5996224.0,15.630405330244448,15.169629032763586,0.4821471542238629,13.879020969528272,1.5642522442567808,10.29784755996769,6.76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942822179727226,0.039004797966236224,15.591400532278213,0.0,6140428.999999996,5905533.572340166,3873344.0,0.61954809111,1065569.5800000003,3.7790999999999997,29667.690000000006,0.9891944090228035,0.9732276628852988,0.9998328795331278,1.0538131519292957,0.997280706874299,-0.7200000000000006,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9030610011696635,1.0047090192624952,0.9992815191825376,1.0088173049507296,1.0031295276531291,0.9812361626062207,0.9993724091744545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5868745.999999997,1.046293194491634,0.8997371960408165,271682.99999999907,-658087.0030086627,5395902.000000001,0.0,1.0000000000000009,1.1628875336530575,-589181.3458322933,-568910.3616295418,27636.03796069181,-4216.58142355917,51746.5231603747,18366.402896190943,-110120.1956493926,-3683.171147057037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-588416.9296842422,860099.9296842413,0.0,271682.99999999907,2.0
6,"Akron, OH Metro Area-Bus",2009,0,24,5996224.0,15.531262431382714,15.048489098997845,0.496753538880262,13.860814012525106,1.315362110251888,10.277892585389473,8.32,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942822179727226,0.010564568197354879,15.520697863185358,-1.7763568394002505e-15,5560853.999999997,5502415.20197942,3431434.0000000005,0.6433774401600001,1046344.3300000007,2.7261,29081.52000000001,0.9920143113912607,1.0302944537335532,0.9986881670513259,0.8408887473751733,0.9980622188800122,1.5600000000000005,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9281690758129432,0.9948396610046404,0.9943749910012113,0.9730177473982856,1.0022230462807795,1.0418950747110267,0.9987452122191532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6140428.999999996,0.9056132722974243,0.9317388741554468,-579574.9999999991,-403118.37036074605,5395902.000000001,0.0,1.0,0.971960386706968,-409782.7056490189,-441072.68997500493,-31686.695216937023,-34539.96838142311,-165682.60636089236,13650.457850840681,257253.7317127549,-7704.9352783570575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-419152.59670854395,-160422.40329145512,0.0,-579574.9999999991,2.0
7,"Akron, OH Metro Area-Bus",2010,0,24,5996224.0,15.541231537219314,15.060082355947621,0.5098150333815028,13.850870703707582,1.434369984351454,10.249973767207049,8.04,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9428221797272256,0.010404380872752243,15.530827156346561,-1.7763568394002505e-15,5616568.000000001,5558434.025354313,3471447.0000000005,0.66498320015,1035991.7500000008,3.197,28280.800000000014,1.000770393417805,1.0262937120300801,0.9992826316832085,1.0904753703729357,0.9972836047905276,-0.28000000000000114,-0.30000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0071592162512277,0.9953841987598944,0.9969240991683814,1.0131648358809264,1.0031116223322876,0.9926606884489664,1.001885138172325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5560853.999999997,1.0100189647129747,1.0101807699562078,55714.000000003725,56018.823374892585,5395902.000000001,0.0,0.9999999999999996,0.9998398255047019,57220.0700062477,39811.356327504705,-25667.796789246353,-17104.635443109455,73207.73026779322,17303.277492990637,-40812.839995811504,10482.978146126447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56613.77533405771,-899.7753340539857,0.0,55714.000000003725,2.0
8,"Akron, OH Metro Area-Bus",2011,0,24,5996224.0,15.583481647326964,15.181095705963214,0.5044518928372189,13.849324449797944,1.6001145849732161,10.229703082804564,8.13,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942822179727225,-0.04355720295320278,15.627038850280167,0.0,5858953.000000005,6119792.121741645,3918013.999999997,0.65607756368,1034391.0800000002,3.9536,27713.280000000006,1.0080353710660688,0.9894802228394263,0.9998883641366153,1.1155521953401049,0.9980223671920666,0.09000000000000163,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0773059973260732,1.001901473249894,0.9995210535366179,1.018382196117957,1.0022582570209115,1.0023705693402698,0.9974919989306815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5616568.000000001,1.0431553575065777,1.1009921308459805,242385.00000000373,561358.0963873323,5395902.000000001,0.0,0.9999999999999996,0.9474685039176177,557340.7231716845,434194.3907897086,10679.753808211164,-2690.035379945022,103244.85448584212,12683.654119427067,13314.46389834048,-14086.358549899944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567229.1703613469,-324844.1703613432,0.0,242385.00000000373,2.0
9,"Akron, OH Metro Area-Bus",2012,0,24,5996224.0,15.606640662517258,15.166952052983406,0.722966293184792,13.85068326204996,1.5963324092556201,10.235153973990212,8.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942822179727225,0.05363583288003819,15.553004829637219,0.0,5996224.000000001,5683084.298821428,3862989.000000002,1.0605363091899997,1035797.5799999993,3.9349,27864.759999999977,0.9990683378028997,1.4331719306643285,1.0000981139734968,0.9976363094536387,1.0005328494034993,0.40999999999999837,-0.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9913347090022873,0.9255199723475439,1.0004210765503425,0.9995844263063728,0.999393611652592,1.0108448641321128,1.001885138172325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5858953.000000005,1.0234292714073652,0.928640088710083,137270.99999999627,-436707.8229202172,5395902.000000001,0.0,1.0,1.1020730926868882,-416080.58879812015,-50769.53268692208,-436374.9814544409,2467.0677178589253,-2434.826738998246,-3552.800827211173,63539.549241434914,11044.935950158386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-418094.3663317936,555365.3663317899,0.0,137270.99999999627,2.0
10,"Akron, OH Metro Area-Bus",2013,0,24,5996224.0,15.60327522525226,15.242641393499586,0.7389895746257368,13.851960609453858,1.5689491957039656,10.236288773502844,8.07,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9428221797272225,0.027615709031130184,15.57565951622113,0.0,5976078.000000004,5813302.269432958,4166726.0,1.09381879764,1037121.4999999998,3.8015999999999996,27896.39999999998,1.0049904120651116,1.0221632482620449,1.0000922226997564,0.9828461707643814,1.0001108727348427,-0.46999999999999886,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0476757407337922,0.9943404998298121,1.0003958267593906,0.9969951161105396,0.9998737280861018,0.9877111427302513,0.9968659821035976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5996224.000000001,0.9966402189111019,1.0229132569155335,-20145.999999997206,130217.97061153036,5395902.000000001,0.0,0.9999999999999973,0.9743154824339069,143058.1301756402,285874.42080574256,-33935.63074848479,2373.465914500438,-18017.956895195846,-757.1546806425963,-73686.7408934417,-18792.273326837836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137393.02103508782,-157539.02103508502,0.0,-20145.999999997206,2.0
