,ID,Year,RAIL_FLAG,CLUSTER_APTA,UPT_ADJ_log,VRM_ADJ_log,FARE_per_UPT_2018_log,POP_EMP_log,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,TSD_POP_EMP_PCT,JTW_HOME_PCT,PER_CAPITA_TNC_TRIPS_HI_OPEX_BUS,PER_CAPITA_TNC_TRIPS_MID_OPEX_BUS,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS,PER_CAPITA_TNC_TRIPS_NEW_YORK_BUS,BIKE_SHARE,scooter_flag,estimated_effects,residual,fitted,check_fitted,UPT_ADJ,fitted_exp,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,VRM_ADJ_ratio,FARE_per_UPT_2018_ratio,POP_EMP_ratio,GAS_PRICE_2018_ratio,TOTAL_MED_INC_INDIV_2018_ratio,PCT_HH_NO_VEH_diff,TSD_POP_EMP_PCT_diff,JTW_HOME_PCT_diff,PER_CAPITA_TNC_TRIPS_HI_OPEX_BUS_diff,PER_CAPITA_TNC_TRIPS_MID_OPEX_BUS_diff,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS_diff,PER_CAPITA_TNC_TRIPS_NEW_YORK_BUS_diff,BIKE_SHARE_diff,scooter_flag_diff,VRM_ADJ_log_FAC_ratio,FARE_per_UPT_2018_log_FAC_ratio,POP_EMP_log_FAC_ratio,GAS_PRICE_2018_log_FAC_ratio,TOTAL_MED_INC_INDIV_2018_log_FAC_ratio,PCT_HH_NO_VEH_FAC_ratio,TSD_POP_EMP_PCT_FAC_ratio,JTW_HOME_PCT_FAC_ratio,PER_CAPITA_TNC_TRIPS_HI_OPEX_BUS_FAC_ratio,PER_CAPITA_TNC_TRIPS_MID_OPEX_BUS_FAC_ratio,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS_FAC_ratio,PER_CAPITA_TNC_TRIPS_NEW_YORK_BUS_FAC_ratio,BIKE_SHARE_FAC_ratio,scooter_flag_FAC_ratio,UPT_ADJ_base,UPT_ADJ_ratio,fitted_exp_ratio,UPT_ADJ_diff,fitted_exp_diff,UPT_ADJ_first_year,UPT_ADJ_new_reporter,effects_FAC_ratio,residual_FAC_ratio,FAC_Sum,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_EMP_PCT_FAC,JTW_HOME_PCT_FAC,PER_CAPITA_TNC_TRIPS_HI_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_MID_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_NEW_YORK_BUS_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,CLUSTER_APTA4
0,"Akron, OH Metro Area-Bus",2002,0,24,15.469230710079277,15.208376625044341,0.14825406721340958,13.808215921076174,1.0660890969625496,10.47920963156113,8.6,0.21926953156494397,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.290803000758097,-0.24552412433896995,15.714754834418246,-1.7763568394002505e-15,5226385.660000004,6680842.663159714,4026372.388000001,0.15980752799999998,992730.9043999999,1.904,35567.284380000034,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5226385.660000004,5226385.660000004,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5226385.660000004,5226385.660000004,2.0
1,"Akron, OH Metro Area-Bus",2003,0,24,15.501150499112994,15.195930102090628,0.4629039882063673,13.823451180111006,1.1389541679514876,10.446266881676316,8.2,0.2086211783184839,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.290803000758097,-0.02068388549754826,15.52183438461054,-1.7763568394002505e-15,5395901.887999996,5508672.370912997,3976568.6240000003,0.5886808029999999,1007971.2324999995,2.1235000000000004,34414.656879999995,0.9991816008203521,3.1223695707452244,1.0011033473927342,1.0683480125596836,0.9968563707528478,-0.40000000000000036,-0.010648353246460074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886999044463046,0.8155411116669818,1.0040090416174299,1.0165646593038973,1.0107954639119947,0.9974939189460853,0.9937089234853977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5226385.660000004,1.03243469560568,0.8245475381854993,169516.22799999174,-1172170.292246717,5226385.660000004,0.0,1.0,1.25212265964487,-905141.9311154992,-59058.65735846332,-964053.2888432281,20952.797619678724,86573.29784867438,56421.25778269668,-13097.746082977481,-32879.59208188004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-916982.2304390047,1086498.4584389965,0.0,169516.22799999174,2.0
2,"Akron, OH Metro Area-Bus",2004,0,24,15.591676287857569,15.27769908459787,0.4142036707432596,13.839439464371155,1.2336966414921573,10.403979542747855,7.79,0.20624929303936515,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.290803000758098,-0.07174373310479795,15.663420020962365,-1.7763568394002505e-15,5907162.280999997,6346536.972187737,4315392.555000002,0.513165283,1024216.4999999993,2.4339,32989.6525,1.005380979114664,0.8947939125523442,1.0011566058324968,1.0831837454101183,0.9959519185746024,-0.40999999999999925,-0.002371885279118746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0775177504316005,1.0320626776554953,1.0042076107378197,1.021591476128912,1.0138788846463123,0.9974313474535245,0.9985952447494275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5395901.887999996,1.0947497570585927,1.1520991892164163,511260.3930000011,837864.60127474,5226385.660000004,0.0,1.0000000000000009,0.9502218003295649,783943.5615683665,418278.1759073855,173007.0628956224,22703.854724170495,116505.48680870305,74889.09986637048,-13860.197125143342,-7579.921508741989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,820712.3022561292,-309451.9092561281,0.0,511260.3930000011,2.0
3,"Akron, OH Metro Area-Bus",2005,0,24,15.609547744723166,15.214970882413319,0.46080355303115866,13.857195463269905,1.3616173734074501,10.365663122316796,7.47,0.20402195479537688,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.2908030007581035,-0.009066512802311695,15.618614257525477,0.0,6013680.880999995,6068451.920740955,4053011.0650000013,0.5853473839999999,1042564.92,2.9025000000000003,31749.479999999996,0.995894132890221,1.112504754495002,1.0012829998602517,1.103688968270654,0.9963171380457233,-0.3200000000000003,-0.0022273382439882694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9443346865367741,0.9702531631012014,1.0046739028806897,1.029262388240822,1.0125674587404818,0.9979946322171356,0.9986807966153863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5907162.280999997,1.0180321099934242,0.9561831826292941,106518.5999999987,-278085.0514467824,5226385.660000004,0.0,1.0000000000000056,1.064683125665159,-249477.017248851,-328824.0400500093,-175719.39290764226,27609.502801867395,172857.6760681619,74238.01823979792,-11846.032926469294,-7792.748474557375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-258833.05084569912,365351.65084569785,0.0,106518.59999999873,2.0
4,"Akron, OH Metro Area-Bus",2006,0,24,15.619000689641032,15.200500822369563,0.46241954073795305,13.879496423290751,1.4291143583028187,10.305856204902874,6.85,0.20352657327319024,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.290803000758098,-0.02193498897595536,15.640935678616989,1.7763568394002505e-15,6070797.419000001,6205431.515959514,3994786.012999998,0.5879113570000001,1066076.33,3.175,29906.249999999978,0.9990489590709318,1.0035068907263507,1.0016093415207974,1.0495711836626007,0.9942302854426013,-0.6200000000000001,-0.0004953815221866442,-0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.986874857637497,0.998953335220766,1.005873778207061,1.0153350067663516,1.0196851658522195,0.9961182524121874,0.9997064458308256,1.000194462015751,1.0,1.0,1.0,1.0,1.0,1.0,6013680.880999995,1.0094977666973421,1.0225724117135024,57116.5380000053,136979.59521855973,5226385.660000004,0.0,0.9999999999999944,0.9872139686405812,136758.9447289792,-78930.4176857871,-6294.3079716955,35323.027703037355,92219.83700081405,118380.30552480619,-23343.591253696286,-1765.3410947020832,1169.4325062026167,0.0,0.0,0.0,0.0,0.0,0.0,135743.28075954996,-78626.74275954466,0.0,57116.5380000053,2.0
5,"Akron, OH Metro Area-Bus",2007,0,24,15.585151724047213,15.335336419458681,0.4954104501432585,13.881340825687872,1.4843734312795258,10.32592678168161,7.48,0.19530432889574587,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2908030007580966,-0.16286887232769998,15.748020596374912,0.0,5868746.078000004,6906823.898053939,4571428.063999997,0.64117172,1068044.4200000004,3.4122000000000012,30512.569999999985,1.0088704706946687,1.0713441074584713,1.0001328868383168,1.0386666557897657,1.0019474924139915,0.6300000000000008,-0.008222244377444371,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.1310122619629976,0.9788477260124682,1.000484487394813,1.012537260174521,0.9934793965025263,1.0039598513621788,0.9951387848976713,0.9998703796611328,1.0,1.0,1.0,1.0,1.0,1.0,6070797.419000001,0.9667174957333234,1.1130287845882338,-202051.3409999963,701392.3820944251,5226385.660000004,0.0,0.9999999999999987,0.8685467351983067,700145.9646188992,795348.901782318,-128411.1703294891,2941.2248259694293,76111.16670881394,-39585.26288278597,24039.455429138703,-29511.452096421082,-786.898818644958,0.0,0.0,0.0,0.0,0.0,0.0,686174.8537509571,-888226.1947509533,0.0,-202051.3409999963,2.0
6,"Akron, OH Metro Area-Bus",2008,0,24,15.630405328290188,15.169629026567392,0.48214715415594267,13.879020969528272,1.5642522442567808,10.29784755996769,6.76,0.20128034820949098,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2908030007580944,-0.00045573168986486057,15.63086105998005,-1.7763568394002505e-15,6140428.987999995,6143228.014288957,3873343.9760000035,0.619548091,1065569.5800000003,3.7790999999999997,29667.690000000006,0.9891944077156973,0.9732276620659082,0.9998328795331278,1.0538131519292957,0.997280706874299,-0.7200000000000006,0.005976019313745112,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.8595890508797436,1.0086320933206614,0.9993909535841371,1.0181735219244747,1.009194364624417,0.9954935767774277,1.0035480808991153,0.9999675933400298,1.0,1.0,1.0,1.0,1.0,1.0,5868746.078000004,1.046293178540888,0.8894432672620867,271682.90999999084,-763595.8837649822,5226385.660000004,0.0,0.9999999999999978,1.1763461373358874,-622150.25926543,-824036.2069577631,50659.56382056159,-3574.3387644153636,106655.78551770825,53959.39132924942,-26447.05361327951,20822.785861109594,-190.186458601041,0.0,0.0,0.0,0.0,0.0,0.0,-648829.3916521235,920512.3016521144,0.0,271682.90999999084,2.0
7,"Akron, OH Metro Area-Bus",2009,0,24,15.531262442891736,15.048489219355647,0.49675353878290157,13.860814012525106,1.315362110251888,10.277892585389473,8.32,0.19761313624306245,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.2908030007580968,0.06732170770289976,15.463940735188835,0.0,5560854.0639999965,5198811.204193503,3431434.4129999997,0.6433774400000001,1046344.3300000007,2.7261,29081.52000000001,0.9920143197305888,1.03029445367676,0.9986881670513259,0.8408887473751733,0.9980622188800122,1.5600000000000005,-0.003667211966428524,0.20000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.8952896731304303,0.9905792408203151,0.9952299698563158,0.9454280300946093,1.0065254739807943,1.0098340227846307,0.9978289174175164,0.9999351877302513,1.0,1.0,1.0,1.0,1.0,1.0,6140428.987999995,0.9056132844899534,0.846267010129077,-579574.9239999987,-944416.8100954546,5226385.660000004,0.0,1.0000000000000024,1.0701271138331114,-978474.1919132605,-642966.3264528607,-57847.50275590408,-29290.031367911975,-335095.30593932443,40069.20959210894,60385.11857539907,-13331.378424823895,-397.9751399432907,0.0,0.0,0.0,0.0,0.0,0.0,-943986.5074153251,364411.58341532643,0.0,-579574.9239999987,2.0
8,"Akron, OH Metro Area-Bus",2010,0,24,15.541231502678654,15.060082497963277,0.5098150338920184,13.850870703707582,1.434369984351454,10.249973767207049,8.04,0.20253107397546194,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.2908030007580962,0.04059258580574179,15.500638916872912,0.0,5616567.806000004,5393142.145891005,3471447.4930000007,0.6649832010000001,1035991.7500000008,3.197,28280.800000000014,1.0007703948508477,1.026293713258931,0.9992826316832085,1.0904753703729357,0.9972836047905276,-0.28000000000000114,0.0049179377323994855,-0.30000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,1.0106415862974187,0.9915714448777212,0.9973921317885075,1.0271960685950312,1.0091416021539854,0.9982450830986519,1.002918961065804,1.0000972262814005,1.0,1.0,1.0,1.0,1.0,1.0,5560854.0639999965,1.010018918201916,1.0373798805274463,55713.74200000707,194330.9416975025,5226385.660000004,0.0,0.9999999999999993,0.97362493948421,206886.5938073879,59176.30840940766,-46869.96500537207,-14501.97454225449,151233.36857150198,50835.11548946087,-9758.836782843877,16231.916505434083,540.6611620536878,0.0,0.0,0.0,0.0,0.0,0.0,207864.0605428843,-152150.31854287724,0.0,55713.74200000707,2.0
9,"Akron, OH Metro Area-Bus",2011,0,24,15.5834815935631,15.181095727913105,0.5044518924266101,13.849324449797944,1.6001145849732161,10.229703082804564,8.13,0.19347753309000645,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.2908030007581006,-0.06976610473988834,15.653247698302987,-1.7763568394002505e-15,5858952.685000004,6282305.187255831,3918014.085999999,0.656077563,1034391.0800000002,3.9536,27713.280000000006,1.008035363017845,0.9894802210431789,0.9998883641366153,1.1155521953401049,0.9980223671920666,0.09000000000000163,-0.009053540885455486,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.116827842436537,1.003481537694454,0.9995940110093522,1.0380776652915857,1.0066290556595907,1.000564735372564,0.9946486170388789,0.9998703796611328,1.0,1.0,1.0,1.0,1.0,1.0,5616567.806000004,1.043155337453786,1.164869201907143,242384.87900000066,889163.0413648263,5226385.660000004,0.0,1.0000000000000044,0.8955128656833756,896931.3039484384,656171.4986734947,19554.292530045353,-2280.264694462925,213865.7890043642,37232.540601839304,3171.8745124521697,-30056.405257009978,-728.0214222843772,0.0,0.0,0.0,0.0,0.0,0.0,925999.0516325734,-683614.1726325727,0.0,242384.87900000066,2.0
