,CBSA,MNAME,Mode,Year,TNC_FLAG,YEARS_SINCE_TNC,UBER_NET_REVENUE,UBER_REV_SCALED
25,11020,"Altoona, PA Metro Area",Bus,2018,1,2,11270,2.2703464947622884
26,11180,"Ames, IA Metro Area",Bus,2015,1,0,1690,1.0
27,11180,"Ames, IA Metro Area",Bus,2016,1,1,4964,2.9372781065088756
28,11180,"Ames, IA Metro Area",Bus,2017,1,2,7932,4.693491124260355
29,11180,"Ames, IA Metro Area",Bus,2018,1,3,11270,6.668639053254438
30,11260,"Anchorage, AK Metro Area",Bus,2017,1,0,7932,1.0
31,11260,"Anchorage, AK Metro Area",Bus,2018,1,1,11270,1.4208270297528995
32,11460,"Ann Arbor, MI Metro Area",Bus,2014,1,0,445,1.0
33,11460,"Ann Arbor, MI Metro Area",Bus,2015,1,1,1690,3.797752808988764
34,11460,"Ann Arbor, MI Metro Area",Bus,2016,1,2,4964,11.155056179775281
35,11460,"Ann Arbor, MI Metro Area",Bus,2017,1,3,7932,17.824719101123595
36,11460,"Ann Arbor, MI Metro Area",Bus,2018,1,4,11270,25.325842696629213
37,11540,"Appleton, WI Metro Area",Bus,2015,1,0,1690,1.0
38,11540,"Appleton, WI Metro Area",Bus,2016,1,1,4964,2.9372781065088756
39,11540,"Appleton, WI Metro Area",Bus,2017,1,2,7932,4.693491124260355
40,11540,"Appleton, WI Metro Area",Bus,2018,1,3,11270,6.668639053254438
41,11700,"Asheville, NC Metro Area",Bus,2016,1,0,4964,1.0
42,11700,"Asheville, NC Metro Area",Bus,2017,1,1,7932,1.5979049153908138
43,11700,"Asheville, NC Metro Area",Bus,2018,1,2,11270,2.2703464947622884
44,12020,"Athens-Clarke County, GA Metro Area",Bus,2014,1,0,445,1.0
45,12020,"Athens-Clarke County, GA Metro Area",Bus,2015,1,1,1690,3.797752808988764
46,12020,"Athens-Clarke County, GA Metro Area",Bus,2016,1,2,4964,11.155056179775281
47,12020,"Athens-Clarke County, GA Metro Area",Bus,2017,1,3,7932,17.824719101123595
48,12020,"Athens-Clarke County, GA Metro Area",Bus,2018,1,4,11270,25.325842696629213
49,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2012,1,0,15,1.0
50,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2013,1,1,103,6.866666666666666
51,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",Bus,2014,1,2,445,29.666666666666668
